model,language_pair,score
gpt,en-de,13.665562445737065
gpt,en-he,12.913837668511215
gpt,en-hi,28.835355819637815
gpt,en-hu,17.276558458669925
gpt,en-ko,27.509114001766537
gpt,en-es,7.550619873600482
gpt,en-yo,13.125260472441278
gpt,en-zh,20.472566260925404
palm,en-de,18.405778463648833
palm,en-he,15.601416436721944
palm,en-hi,28.243582181039013
palm,en-hu,21.781990774890943
palm,en-ko,27.846257424745797
palm,en-es,12.249004952858336
palm,en-yo,12.71519907223905
palm,en-zh,23.49352880602881
google,en-de,13.193553321936411
google,en-he,13.583835731558247
google,en-hi,29.766691037111656
google,en-hu,16.610280331750758
google,en-ko,28.970279154413504
google,en-es,6.113917713352702
google,en-yo,8.797544168097321
google,en-zh,21.216108188066897
opus,en-de,9.957351726859724
opus,en-he,12.826195003464347
opus,en-hi,29.57970399129021
opus,en-hu,13.476482780612246
opus,en-ko,0.0
opus,en-es,6.208525065842309
opus,en-yo,15.172947075692354
opus,en-zh,19.001006851505597
nllb,en-de,13.284348691371804
nllb,en-he,12.70392367016251
nllb,en-hi,29.24671504787995
nllb,en-hu,18.84569528223616
nllb,en-ko,28.060467186340823
nllb,en-es,6.180680578437972
nllb,en-yo,12.977683191056284
nllb,en-zh,19.00500515961593
