idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,t_f_brkt_ko,t_l_brkt_ko,t_f_ko,t_l_ko,t_f_a_ko,t_l_a_ko,t_f_brkt_zh,t_l_brkt_zh,t_f_zh,t_l_zh,t_f_a_zh,t_l_a_zh
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,그는 [[더 많은 것을 얻기 위해 노력하는 것보다 이미 가진 것에 만족하는 것이 더 낫다는]] 생각으로 채용 제안을 받아들이기로 결정했습니다.,그녀는 [[손에 새]]를 쥔 채로 조심스럽게 새의 깃털을 살펴보았습니다.,그는 더 많은 것을 얻기 위해 노력하는 것보다 이미 가진 것에 만족하는 것이 더 낫다는 생각으로 채용 제안을 받아들이기로 결정했습니다.,그녀는 손에 새를 쥔 채로 조심스럽게 새의 깃털을 살펴보았습니다.,더 많은 것을 얻기 위해 노력하는 것보다 이미 가진 것에 만족하는 것이 더 낫다는,손에 새,他决定接受这份工作，相信[[看得见摸得着的]]，知足常乐,她把[[一只鸟拿在手里]]，仔细检查它的羽毛,他决定接受这份工作，相信看得见摸得着的，知足常乐,她把一只鸟拿在手里，仔细检查它的羽毛,看得见摸得着的,一只鸟拿在手里
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,새 직원이 문제를 일으키기 시작하자 그들은 [[침입자를 찾았는 것]]을 깨달았습니다.,새의 둥지를 살펴보다가 조류학자는 [[둥지에서 뻐꾸기를 발견했습니다]].,새 직원이 문제를 일으키기 시작하자 그들은 침입자를 찾았는 것을 깨달았습니다.,새의 둥지를 살펴보다가 조류학자는 둥지에서 뻐꾸기를 발견했습니다.,침입자를 찾았는 것,둥지에서 뻐꾸기를 발견했습니다,当新员工开始制造麻烦时，他们才发现被[[鸠占鹊巢]]了,鸟类学家在观察鸟巢时，在巢中发现了一只[[杜鹃鸟]],当新员工开始制造麻烦时，他们才发现被鸠占鹊巢了,鸟类学家在观察鸟巢时，在巢中发现了一只杜鹃鸟,鸠占鹊巢,杜鹃鸟
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,그 신비한 사건은 탑정에겐 [[풀리지 않는 난제]]였습니다.,두꺼운 껍질은 그 호두를 맨손으로 [[까기는 어려운 견과]]로 만들었습니다.,그 신비한 사건은 탑정에겐 풀리지 않는 난제였습니다.,두꺼운 껍질은 그 호두를 맨손으로 까기는 어려운 견과로 만들었습니다.,풀리지 않는 난제,까기는 어려운 견과,这神秘案件对侦探是个[[难啃的硬骨头]],厚实的外壳让核桃[[难以被徒手打开]],这神秘案件对侦探是个难啃的硬骨头,厚实的外壳让核桃难以被徒手打开,难啃的硬骨头,难以被徒手打开
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,여러 프로젝트를 동시에 감행하면서 요즘 그녀는 [[해야 할 일이 많았습니다]].,저녁 포틀럭 파티에서 가지각색의 요리를 전부 조금씩 시도한 그의 [[접시에는 많은 것이 담겨 있었습니다]].,여러 프로젝트를 동시에 감행하면서 요즘 그녀는 해야 할 일이 많았습니다.,저녁 포틀럭 파티에서 가지각색의 요리를 전부 조금씩 시도한 그의 접시에는 많은 것이 담겨 있었습니다.,해야 할 일이 많았습니다,접시에는 많은 것이 담겨 있었습니다,她在工作中兼顾多个项目，这几天[[忙得不可开交]],在餐会上，他每样菜都试了一些，[[在盘子里盛了很多]],她在工作中兼顾多个项目，这几天忙得不可开交,在餐会上，他每样菜都试了一些，在盘子里盛了很多,忙得不可开交,在盘子里盛了很多
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,직업을 갖는 것은 [[살 집을 마련하는 것]]에 있어 필수적입니다.,비바람 속에서 [[당신의 머리 위에 있는 지붕은]] 당신의 건조함을 유지시켜줍니다.,직업을 갖는 것은 살 집을 마련하는 것에 있어 필수적입니다.,비바람 속에서 당신의 머리 위에 있는 지붕은 당신의 건조함을 유지시켜줍니다.,살 집을 마련하는 것,당신의 머리 위에 있는 지붕은,找份工作对[[养家糊口]]很重要,在暴雨中，[[头顶有个屋檐]]可以避免淋湿,找份工作对养家糊口很重要,在暴雨中，头顶有个屋檐可以避免淋湿,养家糊口,头顶有个屋檐
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,시험을 망치고 나서 [[그녀는]] 더 공부를 열심히 하기 위한 [[동기부여를 받았습니다]].,[[그녀는]] 아침 6시에 호텔 프론트 데스크로 부터 [[기상 알람을 받았습니다]].,시험을 망치고 나서 그녀는 더 공부를 열심히 하기 위한 동기부여를 받았습니다.,그녀는 아침 6시에 호텔 프론트 데스크로 부터 기상 알람을 받았습니다.,그녀는 동기부여를 받았습니다,그녀는 기상 알람을 받았습니다,在考试失利后，她[[警醒]]要努力学习,她早上六点接到酒店前台的[[叫早电话]],在考试失利后，她警醒要努力学习,她早上六点接到酒店前台的叫早电话,警醒,叫早电话
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,그는 항상 파티에서 끊임 없이 불평하는 [[흥을 깨는 사람이었습니다]].,비바람 이후에 돗자리는 [[젖은 담요]]로 땅에 있었습니다.,그는 항상 파티에서 끊임 없이 불평하는 흥을 깨는 사람이었습니다.,비바람 이후에 돗자리는 젖은 담요로 땅에 있었습니다.,흥을 깨는 사람이었습니다,젖은 담요,他在聚会上总是[[扫兴的那个人]]，不停地抱怨,在暴雨后，[[野餐布在地上被打湿]],他在聚会上总是扫兴的那个人，不停地抱怨,在暴雨后，野餐布在地上被打湿,扫兴的那个人,野餐布在地上被打湿
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,회사의 합병이후 직원들의 [[상황이 완전히 달라졌습니다]].,축구에서 야구로 종목을 바꾸자 선수들은 [[전혀 다른 구기 종목을 하게 됩니다]].,회사의 합병이후 직원들의 상황이 완전히 달라졌습니다.,축구에서 야구로 종목을 바꾸자 선수들은 전혀 다른 구기 종목을 하게 됩니다.,상황이 완전히 달라졌습니다,전혀 다른 구기 종목을 하게 됩니다,公司合并后，对员工来说[[变化巨大]],对这些球员来说，当从足球转成棒球后，[[比赛类型是全新的]],公司合并后，对员工来说变化巨大,对这些球员来说，当从足球转成棒球后，比赛类型是全新的,变化巨大,比赛类型是全新的
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,동거를 결정하는 것은 그들이 함께 생활할 수 있는지 확인하기 위한 [[진정한 척도]]였습니다.,그들은 함께 작업하며 다양한 용액의 pH를 측정해야 했기에 그 화학 실험은 [[그들간의 관계를 측정하는 산성 시험]]이었습니다. ,동거를 결정하는 것은 그들이 함께 생활할 수 있는지 확인하기 위한 진정한 척도였습니다.,그들은 함께 작업하며 다양한 용액의 pH를 측정해야 했기에 그 화학 실험은 그들간의 관계를 측정하는 산성 시험이었습니다. ,진정한 척도,그들간의 관계를 측정하는 산성 시험,同居是对他们关系的[[关键考验]]，看他们能否适应和彼此生活,这个化学实验是对它们的[[酸度测试]]，因为它们一同决定溶液的pH值,同居是对他们关系的关键考验，看他们能否适应和彼此生活,这个化学实验是对它们的酸度测试，因为它们一同决定溶液的pH值,关键考验,酸度测试
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,새로운 전략을 시도한 후 회사는 [[모든 부문에서 향상]]을 보였습니다.,체스 마스터는 말의 위치를 조정하며 [[전 체스판을 걸친 향상]]을 이루어냈습니다.,새로운 전략을 시도한 후 회사는 모든 부문에서 향상을 보였습니다.,체스 마스터는 말의 위치를 조정하며 전 체스판을 걸친 향상을 이루어냈습니다.,모든 부문에서 향상,전 체스판을 걸친 향상,实施新战略后，公司[[全面改善]],棋手通过改变棋子位置[[获得在棋盘上的优势]],实施新战略后，公司全面改善,棋手通过改变棋子位置获得在棋盘上的优势,全面改善,获得在棋盘上的优势
