idiom,meaning,example,source,dupl,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
in bad shape,in a difficult or unfavorable situation.,"My lack of means is extreme , granted , and I look bad , skin white , mouth chapped , body apparently even shorter than usual , eye roaming and I daresay a bit fretful , trousers in bad shape , attention astray for a book lying around to pinch or even an old magazine , since I sold a few volumes I should now like to have kept , in exchange for a slug of what turned out to be the world 's nastiest though cheapest whiskey .",EPIE,0,"frozenset({'shape', 'bad'})",in bad shape,in a difficult or unfavorable situation.,"My lack of means is extreme , granted , and I look bad , skin white , mouth chapped , body apparently even shorter than usual , eye roaming and I daresay a bit fretful , trousers in bad shape , attention astray for a book lying around to pinch or even an old magazine , since I sold a few volumes I should now like to have kept , in exchange for a slug of what turned out to be the world 's nastiest though cheapest whiskey .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
ill-gotten gains,money or other benefits that were obtained illegally or unethically.,"Swegen also had dealings with the Swedes , and involved himself with Normandy and in the Irish Sea , perhaps selling his ill-gotten gains and fraternising not only with Duke Richard II in Rouen , but also the rulers of Norse settlements in Ireland such as Dublin , Wexford , Waterford , Cork and Limerick .",EPIE,0,"frozenset({'gotten', 'ill', 'gain'})",ill-gotten gains,money or other benefits that were obtained illegally or unethically.,"Swegen also had dealings with the Swedes , and involved himself with Normandy and in the Irish Sea , perhaps selling his ill-gotten gains and fraternising not only with Duke Richard II in Rouen , but also the rulers of Norse settlements in Ireland such as Dublin , Wexford , Waterford , Cork and Limerick .",O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
hop in,get into a vehicle.,"Erm I have mentioned accessibility , I would raise that again , I 'm a non-driver erm it 's easy to hop in a car and get from here to Chelmsford , if you want to do it by public transport it is a nightmare erm the meeting here on , on Monday which was very poorly attended , and I understand that 's been the pattern right across the area , and I do not think the health authority is that interested in finding out what people have thought to be honest !",EPIE,0,frozenset({'hop'}),hop in,get into a vehicle.,"Erm I have mentioned accessibility , I would raise that again , I 'm a non-driver erm it 's easy to hop in a car and get from here to Chelmsford , if you want to do it by public transport it is a nightmare erm the meeting here on , on Monday which was very poorly attended , and I understand that 's been the pattern right across the area , and I do not think the health authority is that interested in finding out what people have thought to be honest !",O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
home truth,"a frank and honest statement, often unpleasant, that is said to someone in order to help them.","This does not mean that I am not going to suggest some home truths : only that I think they are truths , and not another uncomprehending outsider 's attempt to cajole , belittle or malign people who are struggling to do their best in a complex and stressful situation , and who know better than anyone else that their best sometimes is not very good .",EPIE,0,"frozenset({'truth', 'home'})",home truth,"a frank and honest statement, often unpleasant, that is said to someone in order to help them.","This does not mean that I am not going to suggest some home truths : only that I think they are truths , and not another uncomprehending outsider 's attempt to cajole , belittle or malign people who are struggling to do their best in a complex and stressful situation , and who know better than anyone else that their best sometimes is not very good .",O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
hocus pocus,a phrase used to describe something that is done in a mysterious or magical way.,"‘ Yo ho ho … 98 whores in horse 's head … give me the moonlight … and a tower of power … mumbo jumbo … hocus pocus … look , I have only got seven items … ahoy there … avast there me hearties … what do you mean , this is the post office … ?",EPIE,0,"frozenset({'pocus', 'hocus'})",hocus pocus,a phrase used to describe something that is done in a mysterious or magical way.,"‘ Yo ho ho … 98 whores in horse 's head … give me the moonlight … and a tower of power … mumbo jumbo … hocus pocus … look , I have only got seven items … ahoy there … avast there me hearties … what do you mean , this is the post office … ?",O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
hit [pron] ceiling,reach the maximum level of success or achievement that one can attain.,"Why should you go clucking around them like a mother hen , just because they both hit the ceiling ? ’",EPIE,0,"frozenset({'ceil', 'hit'})",hit [pron] ceiling,reach the maximum level of success or achievement that one can attain.,"Why should you go clucking around them like a mother hen , just because they both hit the ceiling ? ’",O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O,,,,,
high season,the busiest time of year for a particular activity or industry.,"* Product criteria : UK demand segment for high season air inclusive tour package family holidays : principal benefit sought : sunshine , warmth , comfortable accommodation , relaxed atmosphere ; retail price : ( say ) between £200 to £500 for one or two weeks , per person ; duration : 7,10 or 14 days , with emphasis on departure/ return on Fridays , Saturdays or Sundays ; location and climatic requirements : Mediterranean coast , guaranteed sunshine , warmth ; mode of transport : air charter flights ; mode of accommodation : two , three and four star equivalent hotels or self catering apartments .",EPIE,0,"frozenset({'season', 'high'})",high season,the busiest time of year for a particular activity or industry.,"* Product criteria : UK demand segment for high season air inclusive tour package family holidays : principal benefit sought : sunshine , warmth , comfortable accommodation , relaxed atmosphere ; retail price : ( say ) between £200 to £500 for one or two weeks , per person ; duration : 7,10 or 14 days , with emphasis on departure/ return on Fridays , Saturdays or Sundays ; location and climatic requirements : Mediterranean coast , guaranteed sunshine , warmth ; mode of transport : air charter flights ; mode of accommodation : two , three and four star equivalent hotels or self catering apartments .",O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
high and mighty,having an attitude of superiority or arrogance.,"And however my person , and parts be meane in the Worlds Eye , and so may cast an odium upon the things that I hold forth ; yet I shall runne the hazard in that kinde , and leave the Lord to gain his own Honour and Glory in it ; as seeing by sweet experience , it is one of his greatest designes in the World , to confound the high and mighty things thereof , by the most meane and contemptible .",EPIE,0,"frozenset({'mighti', 'high'})",high and mighty,having an attitude of superiority or arrogance.,"And however my person , and parts be meane in the Worlds Eye , and so may cast an odium upon the things that I hold forth ; yet I shall runne the hazard in that kinde , and leave the Lord to gain his own Honour and Glory in it ; as seeing by sweet experience , it is one of his greatest designes in the World , to confound the high and mighty things thereof , by the most meane and contemptible .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O,,,,,
hell bent,"determined to do something, no matter the cost or consequences.","The Doctor had wanted to run straight back into danger , as was his wont , but she had persuaded him that on this occasion at least , some forethought and preparation would be a better idea than just leaving everything to chance and inspiration , particularly as the former seemed hell bent on giving them a hard time of things .",EPIE,0,"frozenset({'hell', 'bent'})",hell bent,"determined to do something, no matter the cost or consequences.","The Doctor had wanted to run straight back into danger , as was his wont , but she had persuaded him that on this occasion at least , some forethought and preparation would be a better idea than just leaving everything to chance and inspiration , particularly as the former seemed hell bent on giving them a hard time of things .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM O O O O O O O O O,,,,,
heart of gold,a kind and generous person.,"The action takes place in tough Dodge City , Kansas during the 1880s , and centres on the lives and experiences of five people : Matt Dillon , the dauntless and fearless United States Marshal ; Kitty Russell , proprietress of the Longbranch Saloon , a woman with a heart of gold who has eyes only for Dillon ; Chester Goode , Matt 's deputy ; Doc Galen Adams , the kindly , dedicated physician ; and Festus Haggen , Matt 's unkempt , hillbilly deputy .",EPIE,0,"frozenset({'heart', 'gold'})",heart of gold,a kind and generous person.,"The action takes place in tough Dodge City , Kansas during the 1880s , and centres on the lives and experiences of five people : Matt Dillon , the dauntless and fearless United States Marshal ; Kitty Russell , proprietress of the Longbranch Saloon , a woman with a heart of gold who has eyes only for Dillon ; Chester Goode , Matt 's deputy ; Doc Galen Adams , the kindly , dedicated physician ; and Festus Haggen , Matt 's unkempt , hillbilly deputy .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,,,,,
