idiom,subsentence,sentence,label
if it's the last thing I do,I am determined to get this house cleaned today if it's the last thing I do.,I am going to get this house cleaned today if it's the last thing I do.,0
if it's the last thing I do,I am determined to get this house cleaned today if it's the last thing I do.,I am determined to get this house cleaned today if it's the last thing I physically do.,1
rock the boat,Don't rock the boat,"If you don't want any trouble with your boss, then stop rocking the boat.",0
rock the boat,Don't rock the boat,Don't rock the boat so it won't tip over and cause trouble.,1
i'll eat my hat,I will eat my hat if you can climb that 8 feet wall by yourself,If you are really able to climb that 8 feet wall by yourself then I'll eat my hat.,0
i'll eat my hat,I will eat my hat if you can climb that 8 feet wall by yourself,"I will eat my hat if you can climb that 8 feet wall by yourself, literally consuming the material of the hat.",1
on board,Let's get Phoebe on board,"Let's get Phoebe on board for the Madison project. After all, it is her area of expertise.",0
on board,Let's get Phoebe on board,Let's get Phoebe on board the boat so she can join the Madison project.,1
blast from the past,It was a blast from the past,What a blast from the past! I haven't heard that song in years.,0
blast from the past,It was a blast from the past,It was a blast from the past as the sound of the explosion echoed through the air.,1
beat a hasty retreat,I quickly made a hasty retreat,"Once I realized that John was going to be at the party, I beat a hasty retreat.",0
beat a hasty retreat,I quickly made a hasty retreat,I quickly made a hasty retreat and ran away from the party.,1
raise the bar,Everyone is expecting us to raise the bar,"Our family is so competitive. Now that my cousin has gone to university, everyone will expect me and my brother to raise the bar too.",0
raise the bar,Everyone is expecting us to raise the bar,Everyone is expecting us to raise the bar so that it is higher than before.,1
the pen is mightier than the sword,The power of the pen is greater than the power of the sword,I totally believe that the pen is mightier than the sword and will continue to write about my honest opinions even if it irks a few.,0
the pen is mightier than the sword,The power of the pen is greater than the power of the sword,The power of the pen is greater than the power of the sword because it can create more lasting and meaningful change.,1
yellow streak,Ginna's got a yellow streak of cowardice,Ginna's got a yellow streak which shows up the moment she is asked to stand up against Nick.,0
yellow streak,Ginna's got a yellow streak of cowardice,"Ginna's got a yellow streak of paint running down her back, indicating her lack of courage when faced with Nick.",1
how come,Why is it that you are not going to the party?,How come you are not going to the party?,0
how come,Why is it that you are not going to the party?,Why is it that you are not going to the party?,1
look on the bright side,Don't forget to look on the bright side,Don't worry about your exam score; look on the bright side. It is a significant improvement from the previous exam.,0
look on the bright side,Don't forget to look on the bright side,"Don't forget to look on the bright side of the room, where the light is shining the brightest.",1
speak of the devil,We were just speaking of the devil,"We were huddled together in our lunch table, talking about our boss, when he walked in. Well, speak of the devil!",0
speak of the devil,We were just speaking of the devil,"We were just speaking of the devil, as if he was a real entity that could be summoned.",1
strike a chord,The two immediately struck a chord,The two immediately struck a note on the basis of the fact that they follow the same faith. This has led to a beautiful marriage and a lifelong companionship.,0
strike a chord,The two immediately struck a chord,"The two immediately struck a chord on the guitar strings, creating a beautiful melody.",1
all in a day's work,Doing difficult tasks is all in a day's work,Teaching difficult students might sound like a nightmare to other people but to teachers it is all in a day's work.,0
all in a day's work,Doing difficult tasks is all in a day's work,Working hard for 8 hours is all in a day's work.,1
ignorance is bliss,Ignorance of the consequences is bliss,The farmers were using these pesticides in their fields without even considering the harmful effects it has on the land. Ignorance is bliss.,0
ignorance is bliss,Ignorance of the consequences is bliss,"Ignorance of the consequences is bliss, so the farmers were unaware of the damage they were causing.",1
on the money,His prediction was spot on the money,What he predicted was right on the money.,0
on the money,His prediction was spot on the money,"His prediction was spot on the money, as the amount was exactly correct.",1
water under the bridge,All of our past disagreements are now water under the bridge,"We used to have big disagreements some years back, but that's all water under the bridge now. We get along fine.",0
water under the bridge,All of our past disagreements are now water under the bridge,All of our past disagreements are now water that has passed under the bridge and is no longer an issue.,1
monkey business,Stop engaging in monkey business,I want to sleep. Stop disturbing me by your monkey business.,0
monkey business,Stop engaging in monkey business,Stop engaging in monkey business by climbing trees and swinging from branch to branch.,1
rack your brains,I have been racking my brains,I have been racking my brain all day trying to think of place where I kept my car keys.,0
rack your brains,I have been racking my brains,I have been using my brain to its fullest capacity to try and remember where I put my car keys.,1
in the good books,He always managed to stay in the good books,"He always managed to be in the good books of the bosses, surprised one and all.",0
in the good books,He always managed to stay in the good books,"He always managed to stay in the good books of the bosses, so the pages were not torn out.",1
let sleeping dogs lie,It was best to leave the sleeping dogs undisturbed,"As Eliza was in good spirits that morning, Andy decided not to bring up the argument they had last night. It was best to let sleeping dogs lie.",0
let sleeping dogs lie,It was best to leave the sleeping dogs undisturbed,It was best to leave the sleeping dogs undisturbed and not wake them up.,1
break the ice,Breaking the ice,Jone suggested playing a party game to break the ice.,0
break the ice,Breaking the ice,Breaking the ice by using a hammer to physically break the frozen surface.,1
down for the count,She is down for the count,I doubt she'll leave the hospital. Her illness has her down for the count.,0
down for the count,She is down for the count,"She is down for the count, unable to stand up and count to ten.",1
have never had it so good,You have never had it so good,You should not have broken up with her. You have never had it so good with anyone else.,0
have never had it so good,You have never had it so good,You have never had it so good with the abundance of resources available.,1
take with a grain of salt,I take the article with a grain of salt,"I have read the article, but I take it with a grain of salt.",0
take with a grain of salt,I take the article with a grain of salt,I take the article with a grain of salt to reduce its intensity.,1
troubled waters,He was fascinated by troubled waters,"The situation was getting worse, but like all the other members of the company, he was fascinated by troubled waters.",0
troubled waters,He was fascinated by troubled waters,He was fascinated by the choppy and dangerous waters.,1
fall on deaf ears,His protestations fell on deaf ears,His protestations that the project would put the firm over budget fell on deaf ears.,0
fall on deaf ears,His protestations fell on deaf ears,"His protestations fell on deaf ears, so no one heard them.",1
bark up the wrong tree,The investigators were barking up the wrong tree,It was a very sensitive case and yet for over one year the investigators kept barking up the wrong tree.,0
bark up the wrong tree,The investigators were barking up the wrong tree,"The investigators were barking up the wrong tree, which was not the one that had the correct answer.",1
chill to the bone,The movie gave me a chill to the bone,The movie they played on cable last night gave me a chill to the bone. I will not be watching a night time movie any time soon.,0
chill to the bone,The movie gave me a chill to the bone,The movie gave me a chill to the bone as I felt a cold sensation throughout my body.,1
slow day,Today was a slow day,"The shop did not make a lot of money today, we had a slow day.",0
slow day,Today was a slow day,Today was a slow day so the shop did not have a lot of activity.,1
take the cake,Your hypocrisy takes the cake,I can't believe you said that your hypocrisy takes the cake.,0
take the cake,Your hypocrisy takes the cake,Your hypocrisy takes the cake because it is the most impressive of all.,1
take a leaf out of someone's book,Taking a leaf out of my dad's book,"I couldn't decide what to do after high school, but my dad makes great money welding, so I took a leaf out of his book and went to trade school instead of college.",0
take a leaf out of someone's book,Taking a leaf out of my dad's book,Taking a leaf out of my dad's book by copying his example and following his footsteps.,1
"when the going gets tough, the tough get going","When the going gets tough, the tough rise to the challenge","The company secretary handled the objections very calmly and politely. I truly saw the personification of the fact that when the going gets tough, the tough get going.",0
"when the going gets tough, the tough get going","When the going gets tough, the tough rise to the challenge","When the going gets tough, the tough get going and take on the difficult task.",1
pass on the baton,Handing over the responsibility,"The governor of the State Bank of India resigns this month, passing on the baton to one of his closest associaExample: ing: give responsibility for something important to another person. Example: The governor of the State Bank of India resigns this month, passing on the baton to one of his closest associa",0
pass on the baton,Handing over the responsibility,Handing over the responsibility of the baton to another person.,1
all up,It is all up for now,"It is all up with now finding some good crane operator, they couldn't have survived so long in these conditions.",0
all up,It is all up for now,"It is all up for now, as all the pieces are in place and nothing else is needed.",1
liquor up,Getting their friends liquored up,"When their friends came for a visit, they took them to the bar and liquored them up.",0
liquor up,Getting their friends liquored up,Getting their friends liquored up by providing them with alcoholic beverages.,1
curry favour,She is trying to curry favor,Her uncle is so rich that she feels compelled to curry favor with him lest she does not get mentioned in the will!,0
curry favour,She is trying to curry favor,She is trying to curry favor by adding spices to the dish to make it more flavorful.,1
zip your lip,Why don't you just zip your lip,"Why don't you just zip your lip, I am tired of being nagged all morning.",0
zip your lip,Why don't you just zip your lip,Why don't you just zip your lip so that no sound comes out.,1
drive up the wall,This stagnant traffic and constant honking is pushing me to the brink of insanity.,This stagnant traffic and constant honking is driving me up the wall.,0
drive up the wall,This stagnant traffic and constant honking is pushing me to the brink of insanity.,"This stagnant traffic and constant honking is driving me up the wall, literally pushing me closer to the top of the wall.",1
arm in arm,"This couple always walks arm in arm, showing a sweet display of affection",This couple always walks arm in arm. It is very sweet to see a subtle display of affection these days.,0
arm in arm,"This couple always walks arm in arm, showing a sweet display of affection","This couple always walks arm in arm, their arms intertwined to demonstrate their love.",1
long run,To ensure success in the long run,"To make this project successful in the long run, they will need more partners.",0
long run,To ensure success in the long run,"To ensure success in the long run, they will need to keep running for a longer period of time.",1
two peas in a pod,Those boys are like two peas in a pod,"Those boys could be twins, they are like two peas in a pod.",0
two peas in a pod,Those boys are like two peas in a pod,"Those boys are like two peas in a pod, so they are very similar in size and shape.",1
whole nine yards,I will go the whole nine yards,"She is the love of my life. For her, I'll go the whole nine yards.",0
whole nine yards,I will go the whole nine yards,"I will go the whole nine yards, which is the full length of the fabric.",1
the ball is in your court,The decision is now in your hands,"We did what we could, and now the ball is in your court.",0
the ball is in your court,The decision is now in your hands,"The ball is in your court, so you can make the decision.",1
rat race,The man has been in a never-ending rat race,The man has been in a rat race all his life. No wonder he is enjoying his retired life to the fullest.,0
rat race,The man has been in a never-ending rat race,"The man has been in a never-ending rat race, running around in circles trying to get ahead.",1
