model,language_pair,score
gpt,en-zh,0.05606706142425537
gpt,en-ko,0.05121262192726135
gpt,en-he,0.051010702848434446
gpt,en-yo,0.010648499727249145
palm,en-zh,0.06222290992736816
palm,en-ko,0.055878095626831055
palm,en-he,0.06077376961708069
palm,en-yo,0.010602387189865113
google,en-zh,0.04596983909606934
google,en-ko,0.05101476430892944
google,en-he,0.05105382323265076
google,en-yo,0.022765477895736696
opus,en-zh,0.03395059108734131
opus,en-ko,0.0
opus,en-he,0.05210631489753723
opus,en-yo,0.009097456932067871
nllb,en-zh,0.041659302711486816
nllb,en-ko,0.038095288276672364
nllb,en-he,0.05618941307067871
nllb,en-yo,0.009505652189254761
