model,language_pair,score
gpt,en-zh,1.850097865115628
gpt,en-ko,10.087348581914712
gpt,en-he,14.507475769440969
gpt,en-yo,2.3491930984838847
palm,en-zh,3.317712124521021
palm,en-ko,14.265454217477458
palm,en-he,16.47582009310713
palm,en-yo,0.1297649178154575
google,en-zh,4.0790594809823
google,en-ko,26.103257840210247
google,en-he,25.371393599421207
google,en-yo,6.181362604753811
opus,en-zh,0.5765775902795326
opus,en-ko,0.0
opus,en-he,22.61223085476292
opus,en-yo,0.3339188490706841
nllb,en-zh,0.571763125836237
nllb,en-ko,8.423996686630158
nllb,en-he,21.184011379765384
nllb,en-yo,0.49661542887045773
