model,language_pair,score
gpt,en-de,0.2399541822419357
gpt,en-he,0.23315764705504496
gpt,en-hi,0.23828686447902325
gpt,en-hu,0.2563801916422505
gpt,en-ko,0.24840028819500218
gpt,en-es,0.25407836410743867
gpt,en-yo,0.12479235627112635
gpt,en-zh,0.25302283895561484
palm,en-de,0.212587463200843
palm,en-he,0.22468132829434678
palm,en-hi,0.21168011830632197
palm,en-hu,0.19407581785458242
palm,en-ko,0.20575067804552466
palm,en-es,0.2102083518932188
palm,en-yo,0.22695714006236933
palm,en-zh,0.26563573617634106
google,en-de,0.23919484120469847
google,en-he,0.20602356753105514
google,en-hi,0.22489333692697697
google,en-hu,0.19758981811069457
google,en-ko,0.2203123968472893
google,en-es,0.19464280299861644
google,en-yo,0.24293863292529738
google,en-zh,0.30864253137602954
opus,en-de,0.12125280934335435
opus,en-he,0.17799779232510934
opus,en-hi,0.17734920496715584
opus,en-hu,0.16058119813226193
opus,en-ko,0.0
opus,en-es,0.1295707947980636
opus,en-yo,0.1910490652289586
opus,en-zh,0.20390364843489842
nllb,en-de,0.20617186905536417
nllb,en-he,0.231318898504864
nllb,en-hi,0.23586648919494413
nllb,en-hu,0.23133773551514952
nllb,en-ko,0.22578642075634206
nllb,en-es,0.20320309952903595
nllb,en-yo,0.2566670755861199
nllb,en-zh,0.22798662925616048
