idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,tag_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
frozenset(),now and then,occasionally; from time to time.,"She said it was br it was , I did not think it was but it wa it was really good fun and also I was going out with Carl at the time and so , you know , in our big like little group big little group , our big group , that was a bit of a erm contradiction , erm in our big group and erm we knew masses of people and there were lots of there and there were lots of Felixstowe people there and it was just a really good laugh and erm Right Said Fred were there and some other sort of ravey group , can not remember what now and then , no some techno group , and then erm so we all thought oh let's go for this , let's go , la this time last year we thought oh well let's go over to this one for a joke , you know , for old time 's sake let's just go along and have a joke and we went and it was full of erm like they were all about fourteen , I suppose when we went we were all fourteen too but last year well most of my friends are sort of you know sixteen erm we went and it was not , it was not , it was not full at all and the place is huge and it says , it says on the thing , you know , two thousand people go and there must have been about four hundred at the most and it was really , and I , also I ha I was ill that day and it was really shit so if they said it was brilliant last year it probably was not the stockings because it was , nobody I met said it was , and also yeah the stockings and the feathers were put on the same day and there 's competition between the two companies does stocking and I have forgotten what feathers is , there 's competition and so lots of people went to the feathers instead and the feathers had like too many people and the stockings had too lit too few .",O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O,by and by,soon; after a while.,"By and by, she paused to make sure everyone was paying attention.",,
"frozenset({'line', 'bottom'})",[pron] bottom line is,the most important point or conclusion.,"It 's something to do with relating to it , but it 's something to do with the , the final , the bottom line is that people watch .",O O O O O O O O O O O O O O O O O O O O O O B-IDIOM I-IDIOM I-IDIOM I-IDIOM O O O O,the bottom line,"ing: in the final analysis, the most important fact in a situation. Example: The bottom line is that pregnant women's health is at greater risk if they smExample: ing: in the final analysis, the most important fact in a situation. ","The bottom line is that pregnant women's health is at greater risk if they smExample: ing: in the final analysis, the most important fact in a situation. Example: The bottom line is that pregnant women's health is at greater risk if they sm",,
"frozenset({'nook', 'everi', 'cranni'})",,,,,every nook and cranny,to look for something everywhere,"The lawyers searched every nook and cranny to find more evidence but alas, there was none.",,
frozenset({'buff'}),,,,,in the buff,naked,The model created a sensation when she posed for a magazine cover in the buff.,,
frozenset({'anycal'}),,,,,it's anyone's call,a competition where the outcome is difficult to predict or judge,I think this year's election would be anyone's call. Both the candidates seem to have an equally divided support base.,,
"frozenset({'knee', 'jerk', 'reaction'})",,,,,knee jerk reaction,an automatic response to something,It was a typical knee jerk reaction. He said no immediately without considering our proposal.,,
"frozenset({'touch', 'knock', 'wood'})",,,,,knock on wood (touch wood),tap knuckle on wood in order to avoid bad luck,"I am expecting a promotion and a big pay hike this year, touch wood.",,
"frozenset({'ear', 'lend'})",,,,,lend me your ears,ask for someone's full attention,"Lend me your ears, and I will tell you about my adventures in the mountains.",,
"frozenset({'off', 'head', 'chicken', 'like', 'cut'})",,,,,like a chicken with its head cut off,act in a frenzied manner,Does he know how to handle the situation? He has been running around all morning like a chicken with its head cut off.,,
"frozenset({'word', 'mum'})",,,,,mum's the word,keep quiet and say nothing,"We are throwing a party for our friend Jeremy, but its a surprise, so don't tell him anything about it. Mum's the word.",,
