annotations_ambiguous,annotations_figurative,annotations_literal,bad_idiom,converted,error,idiom,intended_ambiguous,intended_ambiguous_old,intended_figurative,intended_figurative_old,intended_literal,intended_literal_old,is_literal,iter,justification,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,well_formed
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,a bed of roses,<like a bed of roses>,It's not a bed of roses,her new job was <like a bed of roses> compared to her previous one,It's not a bed of roses trying to rebuild our relationship,the garden was designed <like a bed of roses> with various colors and fragrances,It's not a bed of roses because we used cotton sheets instead,False,0,"Although the sentence mentions 'various other flowers,' the idiom 'bed of roses' is still used figuratively to describe life. The literal interpretation would involve an actual bed made of roses.",ambiguous : figurative : literal,ambiguous,figurative,literal,easy option,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,a bird in the hand,a bird in the hand,There's a bird in his hand,"he decided to accept the job offer, believing that a bird in the hand is worth two in the bush",There's a bird in his hand because he's considering the potential he might have if he holds on,"holding a bird in the hand, she carefully examined its feathers",There's a bird in his hand because he caught it,True,0,"The hypothesis describes a situation where someone is literally holding a bird in their hand and examining its feathers, which is a literal interpretation of the idiom 'a bird in the hand'.",ambiguous : figurative : literal,ambiguous,figurative,literal,a possession that is worthy,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,False,False,a cuckoo in the nest,found a cuckoo in the nest,He was a cuckoo in the nest,"when the new employee started causing problems, they realized they had found a cuckoo in the nest",He was a cuckoo in the nest because he had different views from the team,"while observing the bird's nest, the ornithologist found a cuckoo in the nest",He was a cuckoo in the nest as he sneaked his way in,True,0,"The hypothesis is a literal interpretation of the idiom, as it describes an actual cuckoo bird being found in a nest, rather than the figurative meaning of an unwelcome intruder or a problem within a group or family.",ambiguous : figurative : figurative,ambiguous,figurative,figurative,an unwelcome intruder in a place or situation.,False
"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'ambiguous']",False,False,False,a damp squib,<turned out to be a damp squib>,The event was a damp squib,the much-hyped party <turned out to be a damp squib> with only a few guests showing up,The event was a damp squib as it failed to live up to expectations,the firework <turned out to be a damp squib> when it failed to ignite due to the rain,The event was a damp squib because it was constantly disrupted by rain,False,0,"The hypothesis is not a literal interpretation of the idiom 'a damp squib', as it is used figuratively to describe a situation or event that is disappointing or fails to meet expectations, rather than referring to an actual wet firework.",figurative : figurative : ambiguous,figurative,figurative,ambiguous,an event which people think will be exciting but which is disappointing when it happens.,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",False,False,False,a good man is hard to find,a good man is hard to find,It's a good man that's hard to find.,"in today's world, a good man is hard to find for a long-lasting relationship",It's a good man that's hard to find nowadays since trust and kindness seem to be lacking,"in the crowded shopping mall, a good man is hard to find when you're looking for your friend",It's a good man that's hard to find since he's been missing for many days,True,0,"In this context, the idiom is used literally as it refers to the difficulty of finding a specific person (a good man) in a crowded shopping mall.",ambiguous : figurative : literal,ambiguous,figurative,literal,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,True
"['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,a hard nut to crack,a hard nut to crack,He's a hard nut to crack,the mysterious case was a hard nut to crack for the detective,He's a hard nut to crack and no one has been able to bring him out of his shell,the thick shell made the walnut a hard nut to crack with bare hands,He's a hard nut to crack and a hammer couldn't break it open,True,0,"In this case, the idiom 'a hard nut to crack' is used literally, as it refers to the physical difficulty of cracking a walnut with a thick shell using bare hands.",figurative : figurative : literal,figurative,figurative,literal,a problem that is difficult to solve,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",False,False,False,a litmus test,the new policy was a litmus test,I used the test as a litmus test,"for the government, the new policy was a litmus test of public opinion",I used the test as a litmus test to determine whether I should invest in this business scheme,"in the chemistry lab, the new policy was a litmus test to determine the acidity of a solution",I used the test as a litmus test to check the acidity of the soil,True,0,"In this case, the hypothesis is using the term 'litmus test' in its literal sense, as it refers to an actual test in a chemistry lab to determine the acidity of a solution.",ambiguous : figurative : literal,ambiguous,figurative,literal,someone's decision or opinion about something that suggests what they think about a wider range of related things,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,a lot on my plate,having a lot on the plate,I have a lot on my plate,"juggling multiple projects at work, she was having a lot on the plate these days",I have a lot on my plate with all the tasks I have to do for work,"at the potluck dinner, he was having a lot on the plate after trying a bit of everything",I have a lot on my plate because I loaded it up,True,1,"In this context, the phrase 'a lot on my plate' is used to describe the amount of food on the person's plate at a potluck dinner, which is a literal interpretation of the idiom.",ambiguous : figurative : literal,ambiguous,figurative,literal,to have so many things to do at one time,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,False,False,a needle in a haystack,finding a needle in a haystack,"It's like a needle in a haystack"" ",locating the right document in the archive was like finding a needle in a haystack,It's like a needle in a haystack trying to find a way to resolve this issue,"the farmer accidentally dropped his sewing needle, and it became a challenge of finding a needle in a haystack",It's like a needle in a haystack since I'm looking for a physical needle among the hay bales,True,0,"The hypothesis describes a situation where a needle is literally lost in a haystack, which is a direct interpretation of the idiom without any figurative meaning.",figurative : figurative : literal,figurative,figurative,literal,something very small amidst something very big,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,True,False,a piece of cake,she found it a piece of cake,It's a piece of cake,she found it a piece of cake to solve the complex math problem,It's a piece of cake for me to get the job done,"searching through the bakery, she found it a piece of cake on the shelf",I'm going to have a piece of cake for dessert,True,0,"In this context, 'a piece of cake' is used to describe an actual piece of cake found in a bakery, which is a literal interpretation of the phrase.",ambiguous : figurative : literal,ambiguous,figurative,literal,very easy task,True
