index,idiom_set,idiom
1,"frozenset({'drop', 'like', 'flies'})",drop like flies
2,"frozenset({'kitchen', 'sink', 'but', 'everything'})",everything but the kitchen sink
3,"frozenset({'day', 'field'})",field day
4,"frozenset({'bird', 'flip'})",flip the bird
5,"frozenset({'tacks', 'get', 'down', 'brass'})",get down to brass tacks
6,"frozenset({'down', 'balloon', 'go', 'like', 'lead'})",go down like a lead balloon
7,"frozenset({'makes', 'haste', 'waste'})",haste makes waste
8,"frozenset({'handbasket', 'hell', 'going'})",going to hell in a handbasket
9,"frozenset({'s', 'idle', 'hands', 'devil', 'tools'})",idle hands are the devil's tools
10,"frozenset({'every', 'and', 'nook', 'cranny'})",every nook and cranny
11,frozenset({'buff'}),in the buff
12,frozenset({'face'}),in your face
13,"frozenset({'s', 'call', 'anyone'})",it's anyone's call
14,"frozenset({'knee', 'jerk', 'reaction'})",knee jerk reaction
15,"frozenset({'touch', 'knock', 'wood'})",knock on wood (touch wood)
16,"frozenset({'ears', 'lend'})",lend me your ears
17,"frozenset({'off', 'head', 'chicken', 'like', 'its', 'with', 'cut'})",like a chicken with its head cut off
18,"frozenset({'s', 'word', 'mum'})",mum's the word
19,"frozenset({'york', 'new', 'minute'})",New York minute
20,"frozenset({'dice', 'no'})",no dice
21,"frozenset({'no', 'cat', 'room', 'swing'})",no room to swing a cat
22,"frozenset({'off', 'wrong', 'foot'})",off on the wrong foot
24,"frozenset({'pedal', 'metal'})",pedal to the metal
25,"frozenset({'zenith', 'life', 'or', 'career'})",zenith of career or life
26,"frozenset({'young', 'turk'})",Young Turk
27,"frozenset({'unring', 'bell'})",unring the bell
28,"frozenset({'wire', 'down'})",down to the wire
29,"frozenset({'gift', 't', 'horse', 'don', 'look', 'mouth'})",don't look a gift horse in the mouth
30,"frozenset({'joe', 'cup'})",cup of joe
31,"frozenset({'no', 'cigar', 'but', 'close'})","close, but no cigar"
32,"frozenset({'stand', 'can', 'sight', 't'})",can't stand the sight of
33,"frozenset({'keep', 'schtum'})",keep schtum
34,"frozenset({'shop', 'stop', 'one'})",one stop shop
35,"frozenset({'relationship', 'stormy'})",stormy relationship
36,"frozenset({'every', 'story', 'picture', 'tells'})",every picture tells a story
37,"frozenset({'rat', 'love'})",love rat
38,"frozenset({'haste', 'repent', 'marry', 'leisure'})","marry in haste, repent at leisure"
39,"frozenset({'love', 'blind'})",love is blind
40,"frozenset({'beholder', 'eye', 'beauty'})",beauty is in the eye of the beholder
41,"frozenset({'break', 'split', 'up'})",break up | split up
42,"frozenset({'leave', 'altar'})",leave at the altar
43,"frozenset({'little', 'three', 'words'})",those three little words
44,"frozenset({'date', 'double'})",double date
45,"frozenset({'year', 'round'})",year-round
46,"frozenset({'heaven', 'match', 'made'})",match made in heaven
47,"frozenset({'wise', 'one', 'and', 'love', 'cannot'})",one cannot love and be wise
48,"frozenset({'never', 'true', 'run', 'smooth', 'did', 'love', 'course'})",the course of true love never did run smooth
49,"frozenset({'love', 'no', 'lost'})",no love lost
50,"frozenset({'sealed', 'with', 'kiss'})",sealed with a kiss
51,"frozenset({'cheese', 'hard'})",hard cheese
52,"frozenset({'hip', 'joined'})",joined at the hip
53,"frozenset({'end', 'story'})",end of story
54,"frozenset({'hand', 'worth', 'bush', 'two', 'bird'})",a bird in the hand is worth two in the bush
55,"frozenset({'toss', 'up'})",toss-up
56,"frozenset({'no', 'bark', 'bite', 'and', 'all'})",all bark and no bite
57,"frozenset({'greek', 'all'})",all Greek to me
58,"frozenset({'beat', 'bush', 'around'})",beat around the bush
59,"frozenset({'chow', 'down'})",chow down
60,"frozenset({'fair', 'war', 'and', 'love', 'all'})",all is fair in love and war
61,"frozenset({'streak', 'yellow'})",yellow streak
62,"frozenset({'zip', 'lip'})",zip your lip
63,"frozenset({'poke', 'pig'})",pig in a poke
64,"frozenset({'and', 'suited', 'booted'})",suited and booted
65,"frozenset({'out', 'mind'})",out of mind
66,"frozenset({'off', 'away', 'zoom'})",zoom away | zoom off
67,"frozenset({'keep', 'top'})",keep on top
68,"frozenset({'chill', 'bone'})",chill to the bone
69,"frozenset({'with', 'concern'})",concern with
70,"frozenset({'within', 'earshot'})",within earshot
71,"frozenset({'and', 'time', 'again'})",time and again
72,"frozenset({'take', 'effect'})",take effect
73,"frozenset({'none', 'lip'})",none of your lip
74,"frozenset({'do', 'strive'})",strive to do
75,"frozenset({'as', 'dead', 'dodo'})",dead as a dodo
77,"frozenset({'cards', 'house'})",a house of cards
78,"frozenset({'pull', 'socks', 'up'})",pull your socks up
79,"frozenset({'between', 'fall', 'cracks'})",fall between the cracks
80,"frozenset({'thought', 'lost'})",lost in thought
81,"frozenset({'fate', 'twist'})",twist of fate
83,"frozenset({'pass', 'torch'})",pass the torch
84,"frozenset({'skin', 'get', 'under'})",get under skin
85,"frozenset({'heads', 'up'})",heads up
86,"frozenset({'tight', 'run', 'ship'})",run a tight ship
87,"frozenset({'down', 'come', 'with'})",come down with
88,"frozenset({'right', 'two', 't', 'don', 'make', 'wrongs'})",two wrongs don't make a right
89,"frozenset({'from', 'time'})",from time to time
90,"frozenset({'ropes', 'learn'})",learn the ropes
91,"frozenset({'deck', 'stack'})",stack the deck
92,"frozenset({'mind', 'blow'})",blow mind
93,"frozenset({'row', 'blazing'})",blazing row
94,"frozenset({'sock', 'put'})",put a sock in it
95,"frozenset({'one', 'not', 'day', 'rome', 'built'})",rome was not built in one day
97,"frozenset({'all', 'can', 't', 'win'})",you can't win them all
98,frozenset({'wish'}),you wish
99,"frozenset({'know', 'better', 'than'})",you know better than that
100,"frozenset({'can', 'say', 'again'})",you can say that again
101,"frozenset({'got', 've', 'kidding'})",you've got to be kidding
102,frozenset({'made'}),made it
103,"frozenset({'strike', 'surgical'})",surgical strike
104,"frozenset({'sense', 'make'})",make sense
105,"frozenset({'s', 'dozen', 'baker'})",baker's dozen
106,"frozenset({'across', 'come'})",come across
107,"frozenset({'have', 'must'})",must have
108,"frozenset({'hand', 'upper'})",upper hand
109,"frozenset({'shine', 'and', 'rise'})",rise and shine
110,"frozenset({'figure', 'ballpark'})",ballpark figure
111,"frozenset({'zero', 'tolerance'})",zero tolerance
113,"frozenset({'pours', 'rains', 'when'})","when it rains, it pours"
114,"frozenset({'blind', 'alley', 'up'})",up a blind alley
115,"frozenset({'skidoo', 'three', 'twenty'})",twenty-three skidoo
116,"frozenset({'s', 'charm', 'third', 'time'})",third time's a charm
117,"frozenset({'fall', 'harder', 'bigger'})",the bigger they are the harder they fall
118,frozenset({'southpaw'}),southpaw
119,"frozenset({'something', 'fishy', 'smell'})",smell something fishy
120,"frozenset({'riding', 'shotgun'})",riding shotgun
121,frozenset({'scapegoat'}),scapegoat
122,"frozenset({'bell', 'saved'})",saved by the bell
123,"frozenset({'free', 'scot'})",scot-free
124,"frozenset({'roaring', 'trade'})",roaring trade
125,"frozenset({'patch', 'rough', 'through', 'go'})",go through a rough patch
126,"frozenset({'get', 'hitched'})",get hitched
127,"frozenset({'love', 'cupboard'})",cupboard love
128,"frozenset({'hard', 'rock', 'and', 'between', 'place'})",between a rock and a hard place
129,"frozenset({'chase', 'cut'})",cut to the chase
130,"frozenset({'pigs', 'fly', 'when'})",when pigs fly
131,"frozenset({'set', 'ways'})",set in ways
132,"frozenset({'s', 'thing', 'one', 'not', 'other', 'if'})","if it's not one thing, it's the other"
133,"frozenset({'until', 'come', 'cows', 'home'})",until the cows come home
134,"frozenset({'what', 'eat'})",you are what you eat
135,"frozenset({'parted', 'money', 'fool', 'easily', 'and'})",a fool and his money are easily parted
136,"frozenset({'divided', 'itself', 'cannot', 'stand', 'against', 'house'})",a house divided against itself cannot stand
137,"frozenset({'spots', 'leopard', 't', 'can', 'change'})",a leopard can't change his spots
138,frozenset({'stake'}),at stake
139,frozenset({'sea'}),at sea
140,"frozenset({'scratch', 'back'})",scratch back
141,"frozenset({'s', 'small', 'world'})",it's a small world
142,"frozenset({'name', 'mud'})",name is mud
143,"frozenset({'ginger', 'up'})",ginger up
144,"frozenset({'link', 'only', 'its', 'strong', 'as', 'chain', 'weakest'})",a chain is only as strong as its weakest link
145,"frozenset({'fives', 'bunch'})",a bunch of fives
146,"frozenset({'cold', 'turkey'})",cold turkey
147,"frozenset({'blues', 'baby'})",baby blues
148,"frozenset({'before', 'one', 'jack', 'robinson', 'can', 'say'})",before one can say Jack Robinson
150,"frozenset({'forever', 'diamond'})",diamond is forever
151,"frozenset({'s', 'fool', 'paradise'})",fool's paradise
152,"frozenset({'fish', 'from', 'head', 'down', 'rots'})",fish rots from the head down
153,"frozenset({'call', 'wild'})",call of the wild
154,"frozenset({'gods', 'dish', 'fit'})",dish fit for the gods
155,"frozenset({'s', 'man', 'best', 'friend'})",man's best friend
156,"frozenset({'as', 'hatter', 'mad'})",as mad as a hatter
157,"frozenset({'never', 'so', 'have', 'had', 'good'})",have never had it so good
158,"frozenset({'shoulder', 'chip'})",chip on shoulder
159,"frozenset({'hit', 'books'})",hit the books
