idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,Az anatómia órán tanulmányoztuk az Achilles-ínét és annak funkcióját.
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,A jelmezbálon megtalálták Mr Right és Ms Right ruháikat az üzletben.
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,"Az új alkalmazott egy fiatal török volt a cégnél, aki nemrég költözött Törökországból."
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,A madarat a kezében tartva óvatosan megvizsgálta a tollait.
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,"Miközben megfigyelte a madárfészket, az ornitológus egy kakukkot talált a fészekben."
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,"A vastag héj miatt a dió kemény diónak bizonyult, hogy kézzel nehezen lehet feltörni."
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,"Az összejövetelen sok mindent kipróbált, ezért nagyon sok étel volt a tányérján."
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,Az esőzés alatt a fejed fölötti tető szárazon tartott.
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,"A bizonytalan asztalnak egy laza csavarja van, és meg kell javítani."
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Ő egy ébresztő hívást kapott a szálloda recepciójától reggel 6-kor.
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,Az eső után a piknik takaró nedves takaróként feküdt a földön.
a whale of,very big (piece) of something,We [[had a whale of a time]] at the amusement park,The marine biologist [[had a whale of a time]] studying the humpback's behavior,We had a whale of a time at the amusement park,The marine biologist had a whale of a time studying the humpback's behavior,had a whale of a time,"A tengerbiológus nagyon jól érezte magát, amikor tanulmányozta a bálna viselkedését."
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,"Amikor áttértek a fociról a baseballra, az teljesen új játék volt a játékosok számára."
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The company [[started a witch hunt]] to find the person responsible for the leak,"During the historical reenactment, they [[started a witch hunt]] to portray the events accurately",The company started a witch hunt to find the person responsible for the leak,"During the historical reenactment, they started a witch hunt to portray the events accurately",started a witch hunt,"A történelmi újrajátszás során boszorkányüldözést kezdtek, hogy hűen ábrázolják az eseményeket."
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,"A kémiai laboratóriumi kísérlet az acid teszt volt a kapcsolatukra, mivel együtt kellett dolgozniuk a különböző oldatok pH-jának meghatározásához."
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,"A sakk mester javításokat hajtott végre az egész táblán, a bábui pozícióinak beállításával."
