idiom,meaning,source_model,source_sentence,translation,afl,correctness
"Mr Right, Ms Right",the best future life partner for someone,gpt,found their Mr Right and Ms Right,מצאו את המר רייט והמיס רייט שלהם,a,
,,gpt,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","לאחר שנים של חיפושים, הם מצאו את המר או הגברה הנכונים והתיישבו.",a,1
,,gpt,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","במסיבת התחפושות, הם מצאו את התלבושות של מר וגברת הנכונים בחנות.",l,0
"Mr Right, Ms Right",the best future life partner for someone,palm,found their Mr Right and Ms Right,מצא את הגבר הנכון והאישה הנכונה,a,
,,palm,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",אחרי שנים של חיפוש הם סוף סוף מצאו את הגבר הנכון והאישה הנכונה והתיישבו,f,1
,,palm,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store",במסיבת תחפושות הם מצאו את תלבושות מר וגברת נכונים בחנות,l,0
"Mr Right, Ms Right",the best future life partner for someone,opus,found their Mr Right and Ms Right,"""מצאו את הגבר הנכון והצודק.",a,
,,opus,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","אחרי שנים של חיפושים, הם סוף סוף מצאו את הגבר הנכון והצודק שלהם והתיישבו.",f,2
,,opus,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","במסיבת התחפושות, הם מצאו את התלבושות הנכונות שלהם בחנות.",l,2
"Mr Right, Ms Right",the best future life partner for someone,nllb,found their Mr Right and Ms Right,מצא את מר הנכון שלהם וגברת הנכונה,a,
,,nllb,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","אחרי שנים של חיפוש, הם סוף סוף מצאו את מר ומרת הנכון שלהם והתיישבו",a,1
,,nllb,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","במסיבת התחפושות, הם מצאו את התלבושות של מר ושל גברת הנכון בחנות.",l,1
a whole new ball game,a significant change in circumstances.,opus,it's a whole new ball game,זה משחק חדש לגמרי.,l,
,,opus,"After the company's merger, [[it's a whole new ball game]] for the employees","אחרי המיזוג של החברה, זה משחק חדש לגמרי לעובדים.",l,1
,,opus,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","כשהם עברו מכדורגל לכדור בסיס, זה משחק חדש לגמרי לשחקנים.",l,0
a whole new ball game,a significant change in circumstances.,gpt,it's a whole new ball game,זה משחק כדור חדש לגמרי,l,
,,gpt,"After the company's merger, [[it's a whole new ball game]] for the employees","לאחר הפירוק של החברה, זה משחק כדור חדש לכל העובדים.",l,1
,,gpt,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","כאשר הם החליפו מכדורגל לבייסבול, זה משחק כדור חדש לגמרי עבור השחקנים.",l,0
a whole new ball game,a significant change in circumstances.,nllb,it's a whole new ball game,זה משחק כדור חדש לגמרי.,l,
,,nllb,"After the company's merger, [[it's a whole new ball game]] for the employees","לאחר המיזוג של החברה, זה משחק כדור חדש לגמרי עבור העובדים",l,1
,,nllb,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","כשהם עברו מפוטבול לבייסבול, זה משחק כדור חדש לגמרי עבור השחקנים.",l,0
a whole new ball game,a significant change in circumstances.,palm,it's a whole new ball game,אלה כללי משחק חדשים,f,
,,palm,"After the company's merger, [[it's a whole new ball game]] for the employees",לאחר מיזוג החברה זה משחק חדש לגמרי עבור העובדים,l,1
,,palm,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",כשהם עברו מכדורגל לבייסבול זה היה משחק כדור חדש לגמרי עבור השחקנים,l,0
asked for the moon,ask for something that is very difficult or impossible to get,gpt,asked for the moon,ביקש לירח,l,
,,gpt,He [[asked for the moon]] when he requested a million-dollar salary,הוא ביקש את הירח כשביקש משכורת של מיליון דולר.,l,1
,,gpt,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift","הילד, המסוגל באסטרונומיה, בצורה משעשעת ביקש את הירח כמתנת יום הולדת.",l,1
asked for the moon,ask for something that is very difficult or impossible to get,opus,asked for the moon,ביקשתי את הירח.,l,
,,opus,He [[asked for the moon]] when he requested a million-dollar salary,הוא ביקש את הירח כשהוא ביקש משכורת של מיליון דולר.,l,1
,,opus,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift","הילד, המוקסם מאסטרונומיה, ביקש בשובבות את הירח כמתנת יום הולדת",l,0
asked for the moon,ask for something that is very difficult or impossible to get,palm,asked for the moon,דרשו את הירח,l,
,,palm,He [[asked for the moon]] when he requested a million-dollar salary,הוא ביקש את הירח כשביקש שכר של מיליון דולר,l,1
,,palm,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",ילד שהיה מוקסם מאסטרונומיה ביקש בצחוק את הירח כמתנה ליום הולדתו,l,0
asked for the moon,ask for something that is very difficult or impossible to get,nllb,asked for the moon,ביקש את הירח.,l,
,,nllb,He [[asked for the moon]] when he requested a million-dollar salary,הוא ביקש את הירח כשהוא ביקש משכורת של מיליון דולר,l,1
,,nllb,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift","הילד, המוקסם באסטרונומיה, ביקש בשחקנות את הירח כמתנת יום הולדת",l,1
asleep at the switch,failing to attend to one's responsibilities or duties,nllb,asleep at the switch,ישן על המתג.,l,
,,nllb,The manager was [[asleep at the switch]] when the crisis occurred,המנהל ישן במתג כשהמשבר התרחש.,l,2
,,nllb,The train operator fell [[asleep at the switch]] during his break,מפעיל הרכבת נרדם במתקן ההפעלה במהלך ההפסקה שלו.,l,1
asleep at the switch,failing to attend to one's responsibilities or duties,opus,asleep at the switch,ישן על המתג,l,
,,opus,The manager was [[asleep at the switch]] when the crisis occurred,המנהל ישן על המתג כשהמשבר התרחש.,l,2
,,opus,The train operator fell [[asleep at the switch]] during his break,מפעיל הרכבת נרדם על המתג בזמן ההפסקה שלו,l,1
asleep at the switch,failing to attend to one's responsibilities or duties,gpt,asleep at the switch,נרדם על המתג,l,
,,gpt,The manager was [[asleep at the switch]] when the crisis occurred,המנהל ישן על המתג כשהמשבר קרה.,l,2
,,gpt,The train operator fell [[asleep at the switch]] during his break,המפעיל של הרכבת נרדם על המתג במהלך ההפסקה שלו.,l,1
asleep at the switch,failing to attend to one's responsibilities or duties,palm,asleep at the switch,רדום בזמן העבודה,f,
,,palm,The manager was [[asleep at the switch]] when the crisis occurred,מנהלים ישנו בשמירה כשהמשבר פרץ,f,0
,,palm,The train operator fell [[asleep at the switch]] during his break,נהגו של הרכבת נרדם במעבר במהלך ההפסקה שלו,l,1
big cheese,to be an important and successful individual,opus,the big cheese,"""הגבינה הגדולה""",l,
,,opus,"In the company, he's [[the big cheese]] and everyone respects him","בחברה, הוא ""הגבינה הגדולה"" וכולם מכבדים אותו.",l,2
,,opus,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","בפסטיבל הגבינה, הם הציגו את הגבינה הגדולה ששוקלת יותר מ-100 פאונד.",l,0
big cheese,to be an important and successful individual,gpt,the big cheese,הגבינה הגדולה,l,
,,gpt,"In the company, he's [[the big cheese]] and everyone respects him","בחברה, הוא הגבינה הגדולה וכולם מכבדים אותו.",l,2
,,gpt,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","בפסטיבל הגבינה, הציגו את הגבינה הגדולה ששוקלת מעל 100 פאונד.",l,0
big cheese,to be an important and successful individual,nllb,the big cheese,הגבינה הגדולה.,l,
,,nllb,"In the company, he's [[the big cheese]] and everyone respects him","בחברה, הוא הגבינה הגדולה וכולם מכבדים אותו",l,2
,,nllb,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","בפסטיבל הגבינה, הם הציגו את הגבינה הגדולה ששוקלת מעל 100 קילו",l,0
big cheese,to be an important and successful individual,palm,the big cheese,מנהיג,f,
