idiom,meaning,instance,label,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe
Dutch uncle,"criticize, scold or lecture someone",he dressed up like a Dutch uncle for the historical reenactment,literal,literal,literal,literal,"['3JBT3HLQFOIGF8N0VU0U6X7WMW7PZS', '3X3OR7WPZFGB4R7FUC7ACW18IDZL8L']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[115.322, 54.151]"
Easter egg,a decorated or dyed egg usually given to children at Easter,"during the egg hunt, the child found an Easter egg in the bushes",literal,figurative,figurative,figurative,"['3JCG6DTRVJ6S1SNO8BW6F9L2MP8QQQ', '3ERMJ6L4DE8RAVKHKJGJY9K27YJM71']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[171.447, 112.306]"
"Mr Right, Ms Right",the best future life partner for someone,"after years of searching, they finally found their Mr Right and Ms Right and settled down",figurative,figurative,figurative,figurative,"['3DY4FPOOAH4KI1Y57PFGQMUFZ3PRVM', '3XC1O3LBO82U2BZ3XAI53SXVWQKTLI']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[148.92, 38.074]"
Young Turk,a young person who has many new ideas and wants a reform,he quickly became a Young Turk in the company due to his innovative ideas,figurative,figurative,figurative,figurative,"['337RC3OW0LI9F33S25IK4ALGTB0LVQ', '3X4MXAO0BW4XXQYAXZKCCODT6CRWR1']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[151.871, 56.632]"
Young Turk,a young person who has many new ideas and wants a reform,"the new employee was a Young Turk in the company, having recently moved from Turkey",literal,literal,literal,literal,"['31HQ4X3T38QTNBMO8ADFTN19U76LSL', '3L6L49WXWGDWJ1HSQM1QEVP6U1445A']","['APRZ7BR8C0ZMQ', 'AX8NXTT8QMGHC']","[41.727, 47.025]"
a bed of roses,easy option,"despite the challenges, she learned that life is not always a bed of roses",figurative,figurative,figurative,figurative,"['34X6J5FLP9EBF5JBDLCXI89G8UGJQS', '3TYCR1GOTSZQON82327NPGYCHM6ZL4']","['A1LI3JQS2VBOXC', 'A38DXFI1TZA295']","[43.09, 40.343]"
a bed of roses,easy option,"while visiting the botanical garden, she noticed that life is not always a bed of roses, as there were various other flowers",literal,tie,literal,discard,"['337RC3OW0LI9F33S25IK4ALGTB0LVQ', '3X4MXAO0BW4XXQYAXZKCCODT6CRWR1']","['A2LMQ4497NMK3S', 'AX8NXTT8QMGHC']","[151.871, 56.632]"
a damp squib,an event which people think will be exciting but which is disappointing when it happens.,the highly anticipated party turned out to be a damp squib due to poor planning,figurative,figurative,figurative,figurative,"['3QRYMNZ7FEXKQB2O9NYKGK1K1LKNTE', '37WLF8U1W56DG769GXYBDIS2NI4K6V']","['A2LMQ4497NMK3S', 'APRZ7BR8C0ZMQ']","[173.839, 66.1]"
a hard nut to crack,a problem that is difficult to solve,the thick shell made the walnut a hard nut to crack with bare hands,literal,literal,literal,literal,"['3S96KQ6I92KB4ZBBKTKHKFPQNHIDTM', '3MB8LZR5BV9VZS9G314D21AZDDTLK4']","['A2TBXASXZIRNNW', 'AX8NXTT8QMGHC']","[31.243, 51.454]"
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,"for the government, the new policy was a litmus test of public opinion",figurative,figurative,figurative,figurative,"['3EICBYG64KC7L49S83B2Y3KZ4FFJCN', '3E337GFOLPOGL6GIPNZDH1MVBRCGNY']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[30.161, 31.016]"
