idiom,subsentence,sentence,label
blow [pron] fuse,When it blew a fuse,"Wendy , very kindly , checked Billy 's carriage on her own machine when it was giving trouble and when , rather embarrassingly , it blew a fuse on Wendy 's console , she did not even charge Billy for the replacement and repairs .",0
blow [pron] fuse,When it blew a fuse,"When it blew a fuse, the physical electric circuit was damaged and needed to be replaced.",1
hot potato,Throwing it back and forth across the Chamber like a hot potato,"The issue of ‘ reprivatisation ’ , as it is quaintly termed , is also politically sensitive , and the Polish Sejm has been throwing it back and forth across the Chamber like a hot potato .",0
hot potato,Throwing it back and forth across the Chamber like a hot potato,"Throwing it back and forth across the Chamber like a hot potato, so that it is too hot to hold.",1
against time,The delay in treatment was significantly related to the global ejection fraction when plotted against time,"Although there were no significant differences in the global left ventricular ejection fractions whether patients were treated early or in the third hour , when the global left ventricular ejection fraction measured in these patients was plotted against time and a regression analysis performed , the delay in treatment was significantly related to the global ejection fraction , i.e. the longer the delay to treatment the lower the global ejection fraction .",0
against time,The delay in treatment was significantly related to the global ejection fraction when plotted against time,The delay in treatment was significantly related to the global ejection fraction when plotted against the physical clock time.,1
the letter of the law,Adhering to the letter of the law,"The first heroes in the battle to adapt to the damage are the referees at all levels who have sat down amongst themselves , worked out interpretations , decided what to ignore in the letter of the law ; and because the superior team can no longer launch sustained driving to sap the opposition , you find that inferior teams are still fresh as daisies at the end .",0
the letter of the law,Adhering to the letter of the law,Adhering to the letter of the law means following the exact words written in the legal document.,1
pop [pron] question,Niall popped the question,"As they circled over Durham Cathedral , love-struck Niall popped the question to Carol , who was celebrating her 38th birthday .",0
pop [pron] question,Niall popped the question,Niall popped the question by pressing the button on the intercom.,1
rack [pron] brain,She had to rack her brain,"They had no level of communication at all , and a bus ride with him was an ordeal rather than a pleasure , for she had to rack her brains to reply to his remarks about the weather , the town 's football teams , the cinema , his headmaster , and so forth , but nevertheless when he wrote her a note saying :",0
rack [pron] brain,She had to rack her brain,"She had to rack her brain to think of a response, as if she was physically putting her brain on a rack.",1
