model,language_pair,score
gpt,en-de,0.8990486732218415
gpt,en-he,0.8909042738378048
gpt,en-hi,0.9013414527289569
gpt,en-hu,0.8833456148859113
gpt,en-ko,0.90283648960758
gpt,en-es,0.9016770570306107
gpt,en-yo,0.8565227225190029
gpt,en-zh,0.8892239046981558
llama,en-de,0.6727658670861274
llama,en-he,0.8622573373140767
llama,en-hi,0.8465479841688648
llama,en-hu,0.2747955167433247
llama,en-ko,0.8182728828396648
llama,en-es,0.6661392954410985
llama,en-yo,0.008777804556302726
llama,en-zh,0.8628371737431735
google,en-de,0.8864653520286083
google,en-he,0.9046143166488037
google,en-hi,0.8983697457006201
google,en-hu,0.8958227653056383
google,en-ko,0.8979916705284268
google,en-es,0.8958597389282659
google,en-yo,0.878140157321468
google,en-zh,0.8876923556672409
opus,en-de,0.8974201204255223
opus,en-he,0.9157126401551068
opus,en-hi,0.8928114626323804
opus,en-hu,0.8953559680376202
opus,en-ko,0.0
opus,en-es,0.8982730121351779
opus,en-yo,0.8640699677634984
opus,en-zh,0.8806072532897815
nllb,en-de,0.8983050556853414
nllb,en-he,0.907503220718354
nllb,en-hi,0.9025147184729576
nllb,en-hu,0.9005821800092235
nllb,en-ko,0.8821422448381782
nllb,en-es,0.898570258053951
nllb,en-yo,0.8581761454697698
nllb,en-zh,0.8804856651695445
