idiom,phrase,sentence,sentence_label_gpt3,sentence_reason_gpt3,phrase_label,sentence_label,kor_Hang_idiom,kor_Hang_phrase,kor_Hang_sentence,kor_Hang_phrase_label,kor_Hang_sentence_label,kor_Hang_notes,fra_Latn_idiom,fra_Latn_phrase,fra_Latn_sentence,fra_Latn_phrase_label,fra_Latn_sentence_label,heb_Hebr_idiom,heb_Hebr_phrase,heb_Hebr_sentence,heb_Hebr_phrase_label,heb_Hebr_sentence_label,zho_Hans_idiom,zho_Hans_phrase,zho_Hans_sentence,zho_Hans_phrase_label,zho_Hans_sentence_label,yor_Latn_idiom,yor_Latn_phrase,yor_Latn_sentence,yor_Latn_phrase_label,yor_Latn_sentence_label
eyes are bigger than your stomach,My eyes were bigger than my stomach,My eyes were bigger than my stomach when I ordered too much food at the restaurant.,0,"Here, ""eyes are bigger than your stomach"" means to take more than one can handle or consume.",2,0,눈은 배보다 더 큰데,내 눈은 위보다 더 커서,식당에서 너무 많은 음식을 주문했을 때 내 눈은 위보다 더 커졌습니다.,1,1,,Les yeux sont plus gros que ton estomac,Mes yeux étaient plus gros que mon ventre.,Mes yeux étaient plus gros que mon estomac quand j'ai commandé trop de nourriture au restaurant.,,,העיניים גדולות יותר מהבטן שלך.,העיניים שלי היו גדולות יותר מהבטן שלי.,העיניים שלי היו גדולות יותר מהבטן שלי כשהזמנתי יותר מדי אוכל במסעדה.,,,你的眼睛比你的胃大,我的眼睛比我的胃大,"当我在餐厅订购太多食物时,我的眼睛比肚子大.",,,ojú rẹ tóbi ju ikun rẹ lọ,Ojú mi tóbi ju ikun mi lọ,Ojú mi tóbi ju ikun mi lọ nígbà tí mo pa á láyè láti jẹun ní ilé oúnjẹ.,,
eyes are bigger than your stomach,My eyes were bigger than my stomach,My eyes were bigger than my stomach when I tried to eat a whole pizza by myself.,1,"Here, ""eyes are bigger than your stomach"" means to overestimate one's capacity.",2,0,눈은 배보다 더 큰데,내 눈은 위보다 더 커서,내가 혼자 피자를 먹으려고 할 때 내 눈은 위보다 더 커졌습니다.,1,1,,Les yeux sont plus gros que ton estomac,Mes yeux étaient plus gros que mon ventre.,Mes yeux étaient plus gros que mon estomac quand j'ai essayé de manger une pizza entière toute seule.,,,העיניים גדולות יותר מהבטן שלך.,העיניים שלי היו גדולות יותר מהבטן שלי.,העיניים שלי היו גדולות יותר מהבטן שלי כשניסיתי לאכול פיצה שלמה לבד.,,,你的眼睛比你的胃大,我的眼睛比我的胃大,"我试图吃一个整整片披萨的时候,我的眼睛比我的胃大.",,,ojú rẹ tóbi ju ikun rẹ lọ,Ojú mi tóbi ju ikun mi lọ,Ojú mi tóbi ju ikun mi lọ nígbà tí mo gbìyànjú láti jẹ pizza kan láìsí ẹni tó ń jẹ mi.,,
eaten them alive,The crowd ate them alive,The crowd ate them alive with their criticism.,0,"Here, to ""eat them alive"" means to overwhelm someone with criticism.",2,0,살아서 먹었지,군중들은 그들을 살아 먹었습니다.,군중들은 그들의 비판으로 그들을 살아 먹었습니다.,2,0,"""to eat alive"" in Korean is neither idiomatic nor proverbial but can be interpreted metaphorically.",Je les ai mangés vivants.,La foule les a mangés vivants.,La foule les a mangés vivants avec leurs critiques.,,,אכלתי אותם בחיים.,הקהל אכל אותם בחיים.,הקהל אכל אותם חיים עם הביקורת שלהם.,,,吃了活着的人,群众吃了他们活着.,群众用他们的批评活着吃了他们.,,,ó jẹ wọ́n láàyè,Àwọn èèyàn náà jẹ wọ́n láàyè,Àwọn èèyàn náà jẹ wọ́n láàyè pẹ̀lú ìfiniṣẹ̀sọ́nà wọn.,,
eaten them alive,The crowd ate them alive,The crowd ate them alive because they were hungry.,1,"Here, to ""eat them alive"" means to literally consume them.",2,1,살아서 먹었지,군중들은 그들을 살아 먹었습니다.,군중들은 굶주렸기 때문에 그들을 살아 먹었습니다.,2,1,,Je les ai mangés vivants.,La foule les a mangés vivants.,La foule les mange vivants parce qu'ils ont faim.,,,אכלתי אותם בחיים.,הקהל אכל אותם בחיים.,הקהל אכל אותם בחיים כי הם היו רעבים.,,,吃了活着的人,群众吃了他们活着.,"群众因为饥饿,就活着吃了它们.",,,ó jẹ wọ́n láàyè,Àwọn èèyàn náà jẹ wọ́n láàyè,Ìjọ náà jẹ wọ́n láàyè nítorí ebi ń pa wọ́n.,,
makes my ears burn,My ears burn,My ears burn when I hear people talking about me behind my back.,0,"Here, ""makes my ears burn"" means to feel embarrassed or ashamed.",2,0,내 귀가 불타게,내 귀가 불타고,사람들이 제 뒤에서 나에 대해 말하는 것을 들으면 귀가 니다.,1,1,,Ça me brûle les oreilles.,Mes oreilles brûlent,Mes oreilles brûlent quand j'entends des gens parler de moi derrière mon dos.,,,זה גורם לאוזניים שלי לשרוף,האוזניים שלי עולות.,האוזניים שלי עולות כשאני שומע אנשים מדברים עליי מאחורי הגב.,,,让我的耳朵燃烧,我的耳朵燃烧了,"我听到人们背后谈论我时,我的耳朵会燃烧.",,,ó máa ń mú kí etí mi máa dáná sun,Ètí mi ń jó,Ẹ̀rù máa ń bà mí tí mo bá gbọ́ táwọn èèyàn bá ń sọ̀rọ̀ nípa mi lẹ́yìn.,,
makes my ears burn,My ears burn,My ears burn because I was out in the sun too long.,1,"Here, ""makes my ears burn"" means to have a literal burning sensation in the ears.",2,1,내 귀가 불타게,내 귀가 불타고,너무 오래 햇볕에 빠졌기 때문에 귀가 불타고 있습니다.,1,1,,Ça me brûle les oreilles.,Mes oreilles brûlent,Mes oreilles brûlent parce que j'ai été trop longtemps au soleil.,,,זה גורם לאוזניים שלי לשרוף,האוזניים שלי עולות.,האוזניים שלי עולות כי הייתי בחוץ בשמש יותר מדי זמן.,,,让我的耳朵燃烧,我的耳朵燃烧了,"我耳朵烧得很火,因为我太长时间在阳光中.",,,ó máa ń mú kí etí mi máa dáná sun,Ètí mi ń jó,Ẹ̀rù ń bà mí torí pé mo ti wà níta fún ọ̀pọ̀ ọdún.,,
sit on the fence,I'm sitting on the fence,I'm sitting on the fence and can't decide which side to take.,0,"Here, to ""sit on the fence"" means to remain neutral or undecided.",2,0,울타리에 앉으세요,난 울타리에 앉아 있어,난 울타리에 앉아 있어 어느 쪽으로 나서는지를 결정할 수 없어,1,1,,S'asseoir sur la clôture,Je suis assis sur la clôture,Je suis assis sur la clôture et je ne peux pas décider de quel côté prendre.,,,ישב על הגדר,אני יושב על הגדר.,אני יושב על הגדר ולא יכול להחליט איזה צד לקחת.,2,0,坐在围上,我坐在围上,"我坐在围上,我无法决定哪一边.",,,jókòó lórí àgọ́,Mo jókòó lórí àgọ́,"Mo jókòó lórí àgọ́ náà, mi ò sì mọ ojú tí mo máa fi wo ọ̀ràn náà.",,
sit on the fence,I'm sitting on the fence,I'm sitting on the fence because it's the only place to sit in the garden.,1,"Here, to ""sit on the fence"" means to literally sit on the fence.",2,1,울타리에 앉으세요,난 울타리에 앉아 있어,난 울타리에 앉아있어요 왜냐하면 그것은 정원에서 앉아 있는 유일한 장소이기 때문입니다.,1,1,,S'asseoir sur la clôture,Je suis assis sur la clôture,Je suis assis sur la clôture parce que c'est le seul endroit dans le jardin.,,,ישב על הגדר,אני יושב על הגדר.,אני יושב על הגדר כי זה המקום היחיד שישב בו בגינה.,2,not grammatical,坐在围上,我坐在围上,"我坐在围上,因为这是花园里唯一的坐的地方.",,,jókòó lórí àgọ́,Mo jókòó lórí àgọ́,Mo jókòó lórí àgọ́ náà nítorí pé ibi tí mo lè jókòó sí ni ọgbà náà.,,
brought home the bacon,He brought home the bacon,He brought home the bacon by working hard and earning a promotion.,0,"Here, to ""bring home the bacon"" means to provide for one's family.",2,0,베이컨을 가져왔어요,그는 베이컨을 가져왔어요,그는 열심히 일하면서 을 가져왔고 승진을 얻었습니다.,1,3,Incomplete translation of the idiom.,Je suis rentré avec le bacon.,Il a ramené le bacon.,Il a ramené le bacon à la maison en travaillant dur et en gagnant une promotion.,,,הבאתי הביתה את הבקון.,הוא הביא הביתה את הבקון.,הוא הביא הביתה את הבייקון על ידי עבודה קשה וזכות קידום.,1,"1, doesn't make sense",带回家的子,他带回家了肉.,他通过努力工作和获得晋升来带回家的培根.,,,mo mú ìjẹ̀jẹ̀ wá sílé,Ó mú ìjẹ̀jẹ̀ wá sílé,"Ó mú oúnjẹ náà wá sílé rẹ̀ nípa ṣíṣe iṣẹ́ àṣekára, ó sì rí ìtẹ́síwájú gbà.",,
brought home the bacon,He brought home the bacon,He brought home the bacon from the grocery store.,1,"Here, to ""bring home the bacon"" means to bring home a literal piece of bacon.",2,1,베이컨을 가져왔어요,그는 베이컨을 가져왔어요,그는 식료품 가게에서 베이컨을 가져왔다.,1,1,,Je suis rentré avec le bacon.,Il a ramené le bacon.,Il a ramené le bacon de l'épicerie.,,,הבאתי הביתה את הבקון.,הוא הביא הביתה את הבקון.,הוא הביא הביתה את הבייקון מהחנות.,1,1,带回家的子,他带回家了肉.,他从杂货店带回家的肉.,,,mo mú ìjẹ̀jẹ̀ wá sílé,Ó mú ìjẹ̀jẹ̀ wá sílé,Ó mú ìbẹ̀rẹ̀ ẹran náà wá sílé láti ilé ìtajà.,,
