idiom,meaning,example
by all means,in every way possible.,"""Do you mind if I go to the party?"" ""By all means."""
banker's hours,short working hours,"With our boss on leave, most of us worked banker's hours for the whole week."
hot potato,any subject which several folks are talking about and which is frequently argued,The issue of gun control is a political hot potato in the United States.
penny for your thoughts,a way of asking what someone else is thinking,"""You have been quiet for a while, a penny for your thoughts."""
add insult to injury,to make a bad situation worse,"The company rejected his application for a job, and to add insult to injury, refused to pay his expenses."
actions speak louder than words,what you do carries more weight than what you say,"""You always speak of the importance of charity, but never do anything. Actions speak louder than words!"""
the best of both worlds,a win-win situation,"""If you decide to live here you get the greenery of the countryside and the amenities of urban life. Its the best of both worlds, really."""
best thing since sliced bread,something that is too fine,The invention of internet has changed the way we live; it is the best thing since sliced bread.
have no truck with,avoid dealing or being associated with,You should have no truck with those few in your class. They are just trying to misuse your trait of helping others.
save your breath,to not waste effort on something that has no outcome,You must save your breath by not asking this generation to keep their cell phones at rest.
belly up,to die,Many companies went belly up during the great inflation.
spin a yarn,to tell a tale,Kids like to have their grandparents spin a yarn for them.
vale of years,the decreasing time of a individual's life.,I shall not leave my parents during their vale of years.
variety is the spice of life,new and exciting practices make life more attractive,I started learning tennis after having tried swimming because variety is the spice of life.
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.","In an inexplicable or concealed place or condition, especially the mysterious state of existence after death."
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Some people think they've turned into an ugly duckling whereas the truth is they are & look the same as they used to in their childhood.
late unpleasantness,the war that took place recently,"No sooner had Japanese recovered from the late unpleasantness, a massive volcanic eruption took place destroying huge no. of lives & property."
uncle Tom Cobley and all,used to denote a long list of people (in British English),"Businessman, entrepreneurs, Uncle Tom Cobley and all had been invited to the Real Estate Awards function in the city last month.3"
upper crust,"the aristocracy and upper classes, informal",Reservation system was developed to help the needy. Now it has become privilege for the society therefore even the upper crust are demanding reservation these days.
cry over spilt milk,to be upset about things that have already been done,"While its sad that the results have not been as good as you expected, you should now focus on moving ahead and achieving better results next time; there is no use crying over spilt milk."
fit as a fiddle,A very healthy person,"My grandfather is 90 years old, but he is as fit as a fiddle."
