idiom,subsentence,sentence,label,reason
blow [pron] fuse,I blew my fuse,I blew my fuse when I heard the news.,0,"Here, ""blow [pron] fuse"" means to reach the limits of one's patience or tolerance. "
blow [pron] fuse,I blew my fuse,I blew my fuse when I set the circuit overload.,1,"Here, ""blow [pron] fuse"" means to cause a short circuit in an electrical system."
hot potato,Handling that problem was a hot potato,Handling that problem was a hot potato and so no one would take responsibility for it.,0,"Here, ""hot potato"" means a situation that is difficult to manage, so it is passed around without being addressed directly."
hot potato,Handling that problem was a hot potato,Handling that problem was a hot potato as it burned our hands.,1,"Here, ""hot potato"" means a literal hot potato that is so hot it burns the person handling it."
against time,We are running against time,We are running against time trying to get this project finished before the deadline.,0,"Here, ""against time"" means to be working within a tight timeline."
against time,We are running against time,We are running against time to beat the other team.,1,"Here, ""against time"" means to be racing the clock to achieve one's goal before someone else."
the letter of the law,We followed the letter of the law,"We followed the letter of the law regardless of the context, even if the outcomes were unethical.",0,"Here, ""the letter of the law"" means to strictly adhere to the rules and regulations without letting emotion influence decisions."
the letter of the law,We followed the letter of the law,We followed the letter of the law that was written in the contract.,1,"Here, ""the letter of the law"" means to adhere to the law that is written down in a document."
pop [pron] question,He popped his question,He popped his question when he proposed to his girlfriend last night.,0,"Here, to ""pop [pron] question"" means to ask a serious or life changing question like a marriage proposal."
pop [pron] question,He popped his question,He popped his question by shouting it out loud.,1,"Here, to ""pop [pron] question"" means to ask and answer one's own question out loud."
rack [pron] brain,I racked my brain,I racked my brain trying to think of a creative solution.,0,"Here, to ""rack [pron] brain"" means to use one's mental energy to think of something."
rack [pron] brain,I racked my brain,I racked my brain listening to the sound of my thoughts.,1,"Here, to ""rack [pron] brain"" means to physically use one's brain by listening to all of the thoughts in it."
back on [pron] feet,He's back on his feet,He's back on his feet after months of hard work.,0,"Here, to ""back on [pron] feet"" means to recover from a difficult situation or regain control after a setback."
back on [pron] feet,He's back on his feet,He's back on his feet after spraining his ankle.,1,"Here, to ""back on [pron] feet"" means to physically be able to stand upright and capable of walking."
pigs might fly,The day pigs might fly,The day pigs might fly is when I get the courage to ask him out.,0,"Here, ""pigs might fly"" is used to express extreme disbelief and doubt."
