idiom,meaning,intended_ambiguous,maxvote_ambiguous,intended_figurative,maxvote_figurative,intended_literal,maxvote_literal,annotations_ambiguous,annotations_figurative,annotations_literal,well_formed,maxvote - for sort
a bed of roses,easy option,It's not a bed of roses,ambiguous,It's not a bed of roses trying to rebuild our relationship,figurative,It's not a bed of roses because we used cotton sheets instead,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a bird in the hand,a possession that is worthy,There's a bird in his hand,ambiguous,There's a bird in his hand because he's considering the potential he might have if he holds on,figurative,There's a bird in his hand because he caught it,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a cuckoo in the nest,an unwelcome intruder in a place or situation.,He was a cuckoo in the nest,ambiguous,He was a cuckoo in the nest because he had different views from the team,figurative,He was a cuckoo in the nest as he sneaked his way in,figurative,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,ambiguous : figurative : figurative
a cut above,noticeably greater to,This project is a cut above,figurative,This project is a cut above the rest and stands out from all the others,figurative,This project is a cut above the previous projects as it used more advanced techniques,figurative,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
a damp squib,an event which people think will be exciting but which is disappointing when it happens.,The event was a damp squib,figurative,The event was a damp squib as it failed to live up to expectations,figurative,The event was a damp squib because it was constantly disrupted by rain,ambiguous,"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'ambiguous']",FALSE,figurative : figurative : ambiguous
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,It's a good man that's hard to find.,ambiguous,It's a good man that's hard to find nowadays since trust and kindness seem to be lacking,figurative,It's a good man that's hard to find since he's been missing for many days,literal,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a hard nut to crack,a problem that is difficult to solve,He's a hard nut to crack,figurative,He's a hard nut to crack and no one has been able to bring him out of his shell,figurative,He's a hard nut to crack and a hammer couldn't break it open,literal,"['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,I used the test as a litmus test,ambiguous,I used the test as a litmus test to determine whether I should invest in this business scheme,figurative,I used the test as a litmus test to check the acidity of the soil,literal,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a lot on my plate,to have so many things to do at one time,I have a lot on my plate,ambiguous,I have a lot on my plate with all the tasks I have to do for work,figurative,I have a lot on my plate because I loaded it up,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a needle in a haystack,something very small amidst something very big,"It's like a needle in a haystack"" ",figurative,It's like a needle in a haystack trying to find a way to resolve this issue,figurative,It's like a needle in a haystack since I'm looking for a physical needle among the hay bales,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
a piece of cake,very easy task,It's a piece of cake,ambiguous,It's a piece of cake for me to get the job done,figurative,I'm going to have a piece of cake for dessert,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",TRUE,ambiguous : figurative : literal
a roof over your head,a place to live,He has a roof over his head,ambiguous,"He has a roof over his head, meaning he has a place to stay and someone to rely on",figurative,"He has a roof over his head, literally providing a cover from the rain",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,I think he has a screw loose,ambiguous,I think he has a screw loose because of the outrageous things he does,figurative,I think he has a screw loose because the machine is malfunctioning,literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",TRUE,ambiguous : figurative : literal
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",A storm is brewing,ambiguous,A storm is brewing; it's only a matter of time before everything starts to fall apart,ambiguous,A storm is brewing; rain clouds have been gathering in the sky,literal,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",FALSE,ambiguous : ambiguous : literal
a trip to the sun,something which is very unlikely,He took a trip to the sun,figurative,He took a trip to the sun in order to find new inspiration for his art work,figurative,He took a trip to the sun by building a space shuttle,literal,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",FALSE,figurative : figurative : literal
a voice crying in the wilderness,to say something that is not popular,She's a voice crying in the wilderness,ambiguous,She's a voice crying in the wilderness as she protests against the injustice in the society,figurative,She's a voice crying in the wilderness as she screams for help from the remote location,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a wakeup call,something that makes you realize that you need to take action to change a situation,It's a wakeup call,ambiguous,It's a wakeup call for me to start being more responsible with my time,figurative,It's a wakeup call because the alarm just went off,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a wet blanket,a person who spoils other people's fun.,He's a wet blanket,ambiguous,"He's a wet blanket, extinguishing any enthusiasm in the room",figurative,"He's a wet blanket, literally drenching the atmosphere with water",literal,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a whale of,very big (piece) of something,She had a whale of a time,figurative,She had a whale of a time at the amusement park,figurative,She had a whale of a time cutting up the whale,figurative,"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']",FALSE,figurative : figurative : figurative
a whole new ball game,a significant change in circumstances.,This is a whole new ball game,ambiguous,This is a whole new ball game now that we've received the grant,figurative,"This is a whole new ball game, as we just switched to soccer",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
a witch hunt,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,The investigation is a witch hunt,figurative,The investigation is a witch hunt because they are trying to quickly find someone to blame,figurative,The investigation is a witch hunt as they are trying to identify and punish a witch,literal,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",FALSE,figurative : figurative : literal
above board,"straight; without concealment, legitimate; open",Everything was above board,ambiguous,"Everything was above board, which was a relief, especially in this difficult political climate",figurative,"Everything was above board, literally visible to everyone",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
Achilles heel,a vulnerable spot or weakness,This is his Achilles heel,ambiguous,"This is his Achilles heel, as he always has difficulty containing his emotions",figurative,"This is his Achilles heel, as he has a weak spot on the back of his heel where he gets injured easily",literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
acid test,a test that proves a hypothesis or validity of a product or idea,We have to put this to the acid test,ambiguous,We have to put this to the acid test to see if it will help us in the long run,figurative,We have to put this to the acid test to see if it remains the same after a chemical reaction,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
across the board,applying to everyone,We took action across the board,figurative,We took action across the board to make sure the situation was handled efficiently,figurative,We took action across the board that was laid out in front of us,figurative,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
act of God,an occurrence of out of control natural forces in action,It was an act of God,figurative,It was an act of God when the hurricane destroyed our town,figurative,It was an act of God when the choir sang to praise Him,ambiguous,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'ambiguous']",FALSE,figurative : figurative : ambiguous
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse",He added fuel to the flames,ambiguous,He added fuel to the flames by arguing and making things worse,figurative,He added fuel to the flames by placing some fuel on the burning log,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
afraid of my own shadow,to be very nervous or easily frightened,"I'm afraid of my own shadow"" ",ambiguous,I'm afraid of my own shadow because I'm always anxious over every little thing,figurative,I'm afraid of my own shadow because it's always following me,literal,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
against the clock,in a great hurry to finish something before a particular time,We are working against the clock,ambiguous,We are working against the clock to make sure the project gets finished on time,literal,We are working against the clock because it's ticking loudly,literal,"['figurative', 'ambiguous', 'ambiguous']","['literal', 'literal', 'figurative']","['literal', 'literal', 'literal']",FALSE,ambiguous : literal : literal
against the grain,a difficult path to be followed,She always goes against the grain,ambiguous,She always goes against the grain by challenging the status quo and thinking outside the box,figurative,"She always goes against the grain, literally carving a piece of wood in the opposite direction",literal,"['ambiguous', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",TRUE,ambiguous : figurative : literal
ages,a long time; a very long time,He's been waiting ages,figurative,He's been waiting ages for her to make a decision,figurative,"He's been waiting ages, since he started at 9 a.m",figurative,"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'ambiguous']","['literal', 'figurative', 'figurative']",FALSE,figurative : figurative : figurative
