idiom,meaning,source_model,source_sentence,translation,afl,correctness
"Mr Right, Ms Right",the best future life partner for someone,palm,found their Mr Right and Ms Right,rí ọkọ ọmọ ọdọ wọn àti ìyàwó ọmọ ọdọ wọn,x,2
,,palm,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",Lẹ́yìn ọdún ọ̀pọ̀lọpọ̀ ìwákiri wọ́n tún rí ọkọ tí wọ́n ń fẹ́ àti aya tí wọ́n ń fẹ́ wọ́n sì ṣe ìdọ́mọlẹ̀,f,1
,,palm,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store",Níbi ayẹyẹ ìwọsọ wọ́n rí ìwọsọ ọkọ tí wọ́n ń fẹ́ àti ìwọsọ aya tí wọ́n ń fẹ́ nínú ìkábọ̀,f,2
"Mr Right, Ms Right",the best future life partner for someone,opus,found their Mr Right and Ms Right,Mo rí Ọtún àti Ọtún wọn,l,1
,,opus,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","Léyìn òpò ọdún tí wón ti ń wá wọn kiri, wón rí Ògbéni Mstún àti Mess, wón sì fi ibè sílè.",l,2
,,opus,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","Nígbà tí wón dé ilé ìtajà náà, wón rí Ògá wọn àti Ògbéni Msights tí wón wà ní ṣóòbù tí wón ti ń ta ọjà.",l,1
"Mr Right, Ms Right",the best future life partner for someone,gpt,found their Mr Right and Ms Right,ni won fi han Mr Right ati Ms Right won.,a,2
,,gpt,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","Nitoripe ojo meta ti won ti owo isoro, won ni won fi owo isoro ti won ni Mr Right ati Ms Right, won gbe won si ile.",x,2
,,gpt,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","Ni ẹbun ẹwẹ akọkọ, wọn ti wa ni ọja lati wa ni awọn ẹwẹ Mr Right ati Ms Right.",x,2
"Mr Right, Ms Right",the best future life partner for someone,nllb,found their Mr Right and Ms Right,wọ́n rí ọkùnrin àti obìnrin tó wù wọ́n,f,1
,,nllb,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","Lẹ́yìn ọ̀pọ̀ ọdún tí wọ́n ti ń wá a kiri, wọ́n rí Ọ̀gbẹ́ni àti Ìyáàfin tó wù wọ́n, wọ́n sì bẹ̀rẹ̀ sí í gbé pa pọ̀",f,1
,,nllb,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","Níbi ayẹyẹ aṣọ náà, wọ́n rí aṣọ tí wọ́n fi ń ṣe Ọ̀gá àti Obìnrin Tó Tóbi jù lọ nínú ilé ìtajà náà",l,2
a whole new ball game,a significant change in circumstances.,nllb,it's a whole new ball game,eré tuntun gbáà ni,a,0
,,nllb,"After the company's merger, [[it's a whole new ball game]] for the employees","Lẹ́yìn tí ilé-iṣẹ́ náà bá di ọ̀kan, gbogbo nǹkan á yí padà pátápátá fún àwọn òṣìṣẹ́",f,1
,,nllb,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","Nígbà tí wọ́n yí padà láti orí eré bọ́ọ̀lù sí orí eré bọ́ọ̀lù baseball, gbogbo eré bọ́ọ̀lù náà yí padà pátápátá fún àwọn òṣèré",l,0
a whole new ball game,a significant change in circumstances.,opus,it's a whole new ball game,Ó jẹ eré bọọlù àfẹsẹgbá tuntun,l,1
,,opus,"After the company's merger, [[it's a whole new ball game]] for the employees","Lẹyìn tí ilé iṣẹ náà bá ti ṣiṣẹ tán, ó jẹ eré ìdárayá tuntun fún àwọn òṣìṣẹ náà",l,1
,,opus,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","Tí wọn bá ti gbá bọọlù lọ sí baseball, ó jẹ eré bọọlù àfẹsẹgbá tuntun fún àwọn òṣèré náà",l,0
a whole new ball game,a significant change in circumstances.,gpt,it's a whole new ball game,O ti ni oyun tuntun to dara ju.,x,2
,,gpt,"After the company's merger, [[it's a whole new ball game]] for the employees","Lẹhin itọsọna ẹrọ ayẹyẹ, o jẹ lilo ọrọ ọlẹ awọn olumulo.",x,2
,,gpt,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","Nigba ti won fi oju olooto lati sokan si beisibolu, o jẹ ẹ̀rọ ayẹ̀wò ni oyunlẹ awọn olùkọ.",x,2
a whole new ball game,a significant change in circumstances.,palm,it's a whole new ball game,ó jẹ́ ìṣẹ́ ìṣeré ọkọ̀ ìṣeré tuntun,x,2
,,palm,"After the company's merger, [[it's a whole new ball game]] for the employees",Lẹ́yìn ìpọ̀pọ̀ ìṣẹ́ ọ̀hún ó jẹ́ ìṣẹ́ tuntun fún àwọn agbéṣẹ,x,2
,,palm,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",Nigbati wọ́n yi sẹ́ bọ́ọ̀lù-ẹlẹ́sẹ̀ sí bọ́ọ̀lù-ẹlẹ́sẹ̀ ó jẹ́ ìṣẹ́ bọ́ọ̀lù tuntun fún àwọn agbábọ́ọ̀lù,l,1
asked for the moon,ask for something that is very difficult or impossible to get,gpt,asked for the moon,o fẹ́ lọ́wọ́ ọ̀rọ̀ ayé.,x,2
,,gpt,He [[asked for the moon]] when he requested a million-dollar salary,O ti kọ iwọn ọ̀sàn lọ́wọ́ ti o fẹ́ ìwọ̀n ní ìdílé kan nairọ.,x,2
,,gpt,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift","Omo yii, ti o fẹsẹ̀ká bí ọ̀rọ̀ àárẹ̀, ti a fi ọ̀rọ̀ rẹ̀ ni ìbẹ̀rẹ̀ àrẹ̀wà bírídí.",x,2
asked for the moon,ask for something that is very difficult or impossible to get,opus,asked for the moon,béèrè fún òṣùpá,l,0
,,opus,He [[asked for the moon]] when he requested a million-dollar salary,Ó béèrè fún òṣùpá nígbà tó ní kí mílíònù kan owó dólà,l,0
,,opus,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift","Ọmọ náà nífèé sí ìmò ìjìnlè sánmà gan - an, ó sì béèrè fún òṣùpá gégé bí èbùn ọjó ìbí",l,0
asked for the moon,ask for something that is very difficult or impossible to get,palm,asked for the moon,nífẹ́ ọ̀run,x,2
,,palm,He [[asked for the moon]] when he requested a million-dollar salary,Ó ní ó fẹ́ ọ̀pọ̀lọpọ̀ owó nígbà tí ó ń bẹ̀rẹ̀ sí ní sọ pé ó fẹ́ owó ọ̀gọ́rùn-ún ẹgbẹ̀rún dollar,x,2
,,palm,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift",Ọmọ náà tí ó nífẹ̀ẹ́ sí ìmọ̀ ìṣọ̀kan ọ̀run ní ìṣẹ́ṣẹ́ ní ó ní kí wọ́n fún un ní oṣù ṣe ẹ̀bọ ọjọ́ ìbí rẹ̀,x,2
asked for the moon,ask for something that is very difficult or impossible to get,nllb,asked for the moon,ó béèrè fún òṣùpá,l,0
,,nllb,He [[asked for the moon]] when he requested a million-dollar salary,O béèrè fún òṣùpá nígbà tó béèrè fún owó oṣù mílíọ̀nù dólà,l,0
,,nllb,"The child, fascinated by astronomy, playfully [[asked for the moon]] as a birthday gift","Ọmọ náà fẹ́ràn ìmọ̀ ìjìnlẹ̀ sánmà gan-an, ó sì fi eré béèrè fún òṣùpá gẹ́gẹ́ bí ẹ̀bùn ọjọ́ ìbí",l,0
asleep at the switch,failing to attend to one's responsibilities or duties,gpt,asleep at the switch,ni ẹnu ọkọ.,x,2
,,gpt,The manager was [[asleep at the switch]] when the crisis occurred,Oga alagbada ko gbe sori oju ewe ni ojojumo ti aisan ba gbodo jeun.,x,2
,,gpt,The train operator fell [[asleep at the switch]] during his break,Oluwagbemiga ti fẹ̀ẹ́ sínú ìtẹ́lẹ̀ lórí ìtọ́kọ́ rẹ̀ ní ìdí tí ó kò.,x,2
asleep at the switch,failing to attend to one's responsibilities or duties,palm,asleep at the switch,sùn nípa ìsọfúnfún,x,2
,,palm,The manager was [[asleep at the switch]] when the crisis occurred,Ọ̀gá náà ń sùn níbi tí ìṣẹ́lẹ̀ náà ṣẹlẹ̀,l,0
,,palm,The train operator fell [[asleep at the switch]] during his break,Ọ̀nà-ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀ ọ̀kọ̀,x,2
asleep at the switch,failing to attend to one's responsibilities or duties,nllb,asleep at the switch,tó sùn nígbà tí wọ́n bá yí i padà,l,0
,,nllb,The manager was [[asleep at the switch]] when the crisis occurred,Olùdarí ilé iṣẹ́ náà ń sùn lọ́wọ́ ìyípadà nígbà tí ìṣẹ̀lẹ̀ náà wáyé,l,0
,,nllb,The train operator fell [[asleep at the switch]] during his break,Ọkùnrin tó ń ṣiṣẹ́ nídìí ọkọ̀ ojú irin náà sùn lọ níbi tó ti ń yí ọkọ̀ ojú irin pa dà nígbà tó ń sinmi,l,0
asleep at the switch,failing to attend to one's responsibilities or duties,opus,asleep at the switch,sùn lọ ní ojú kọǹpútà,l,1
,,opus,The manager was [[asleep at the switch]] when the crisis occurred,Ògá náà sùn lọ nígbà tí wàhálà náà ṣẹlè,l,0
,,opus,The train operator fell [[asleep at the switch]] during his break,Ọkò ojú irin náà sùn lọ lójú oorun nígbà tó ń sinmi,x,2
big cheese,to be an important and successful individual,gpt,the big cheese,owo oju-oloju,x,2
,,gpt,"In the company, he's [[the big cheese]] and everyone respects him","Ni ọna ẹ, o jẹ ọmọ bíbírẹ ati gbogbo eniyan nikan ni o fẹran.",x,2
,,gpt,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","Ni ọjọ́ ọ̀pọ̀lọpọ̀ ti oúnjẹ àwọn èràn kẹ́kẹ́ẹ̀sì, wọ́n fi ẹ̀rọ̀ àgbà ńlá tí ó wà ní 100 pọ́n tẹ̀.",x,2
big cheese,to be an important and successful individual,palm,the big cheese,ọ̀gá tó tóbi,f,1
,,palm,"In the company, he's [[the big cheese]] and everyone respects him",Nínú ilé-iṣẹ́ ó jẹ́ ọ̀kan lára àwọn tó tóbi jùlọ gbogbo èèyàn sì ń bọ́ ọ,f,1
,,palm,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds",Níbi ìpàdé ẹ̀yẹ wọ́n ṣe afihan ẹ̀yẹ tó tó 100 owó ọ̀nà,x,2
big cheese,to be an important and successful individual,nllb,the big cheese,wàràkàṣì ńlá,l,0
,,nllb,"In the company, he's [[the big cheese]] and everyone respects him","Nínú ilé-iṣẹ́, òun ni olórí, gbogbo èèyàn sì bọ̀wọ̀ fún un",l,1
,,nllb,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","Ní àjọ̀dún wàràkàṣì, wọ́n gbé wàràkàṣì ńlá kan tó wúwo tó àádọ́rùn-ún kìlógíráàmù (ìyẹn nǹkan bí àádọ́ta kìlógíráàmù) lọ sójú òpó",l,0
big cheese,to be an important and successful individual,opus,the big cheese,wàràkàṣì ńlá,l,0
,,opus,"In the company, he's [[the big cheese]] and everyone respects him","Ní ilé-ẹkọ náà, òun ni ó ma ń jẹ ọwọ ńlá tí gbogbo ènìyàn sì ń bòwò fún un",x,2
,,opus,"At the cheese festival, they displayed [[the big cheese]] weighing over 100 pounds","Nígbà àjọyò tí wón máa ń ṣe lóṣòó, wón máa ń fi wàràkàṣì ńlá tó wúwo tó ọgórùn - ún àpò sìméǹtì",l,1
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",palm,he bit off more than he could chew,ó gbọ́n tó tó ìgbà tí ó ń gbọ́n,x,2
,,palm,"By accepting too many projects at once, [[he bit off more than he could chew]]",Nípa ìgbàgbọ́ ọ̀pọ̀lọpọ̀ iṣẹ́ nígbà kan náà ó gbọ́n ìyẹ̀wò tí ó kọ́kọ́ gbọ́,x,2
,,palm,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,Ó gbọ́n ìyẹ̀ tó kọ́kọ́ gbọ́n nígbà tó ń gbọ́n ìyẹ̀ tó tó ọ̀pọ̀ nínú ìyẹ̀ tó gbọ́n,x,2
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",gpt,he bit off more than he could chew,O ti gbe'nu sori ẹ̀ran tó kò le jẹun.,l,2
,,gpt,"By accepting too many projects at once, [[he bit off more than he could chew]]",Nitori o ṣe ẹrọ pupọ lẹhin ni o jẹ ohun ti o le ṣe.,l,2
,,gpt,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,O ti mu ẹ̀ni tó lè mú ìwé àgbẹ̀lẹ̀ ní ìgbà kan lọ́jọ́.,x,2
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",nllb,he bit off more than he could chew,ó jẹ́ kí ọ̀pọ̀ nǹkan kọjá agbára rẹ̀,l,2
,,nllb,"By accepting too many projects at once, [[he bit off more than he could chew]]","Ó gba iṣẹ́ tó pọ̀ jù lẹ́ẹ̀kan náà, èyí tó jẹ́ pé ó ti pọ̀ jù fún un láti ṣe",f,0
,,nllb,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,Ó jẹ́ kó pọ̀ ju bó ṣe lè jẹ lọ nígbà tó gbìyànjú láti jẹ gbogbo búrẹ́dì náà ní ìjẹ́kan,l,1
bite off more than one can chew,"to try to do something that is too difficult for you, or more than you can manage",opus,he bit off more than he could chew,Ó gé e ju bó ṣe yẹ lọ,l,0
,,opus,"By accepting too many projects at once, [[he bit off more than he could chew]]","Bó ṣe téwó gba òpò iṣé tó pò léèkan náà, ńṣe ló rọra yó lọ ju bó ṣe yẹ lọ",x,2
,,opus,[[He bit off more than he could chew]] when he tried to eat the whole sandwich in one bite,Ó rọra yó kélékélé kúrò lénu rè nígbà tó gbìyànjú láti jẹ gbogbo àpò ìdòtí tó wà nínú àpòró kan,x,2
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,opus,blow his own horn,fun ìwo ara rè,x,2
,,opus,He never hesitates to [[blow his own horn]] about his accomplishments,Kò ló tìkò láti fun ìwo ara rè nípa àwọn ohun tó gbé ṣe,l,1
,,opus,"As a trumpet player, he would [[blow his own horn]] during practice","Gégé bí ẹni tó ń fun kàkàkí, yóò fun ìwo ara rè nígbà tó bá ń ṣe ìdánrawò",l,1
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,palm,blow his own horn,gbọ́n ara rẹ̀,x,2
,,palm,He never hesitates to [[blow his own horn]] about his accomplishments,Ọ kò ṣe ìṣọwọ́ láti sọ nípa àṣeyọrí rẹ,x,2
,,palm,"As a trumpet player, he would [[blow his own horn]] during practice",Gẹ́gẹ́ bí ọmọ ẹ̀yẹ ìfẹ́fẹ́ ó máa ń fẹ́fẹ́ ìfẹ́fẹ́ rẹ̀ nígbà tí ó ń ṣe ìdánilẹ́kọ̀,l,2
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,nllb,blow his own horn,ó máa ń fun ìwo ara rẹ̀,x,2
,,nllb,He never hesitates to [[blow his own horn]] about his accomplishments,Kò sígbà kan tó máa ń ṣiyèméjì láti máa fi àwọn àṣeyọrí tó ti ṣe ṣe fọ́rífọ́rí,f,1
,,nllb,"As a trumpet player, he would [[blow his own horn]] during practice",Ó máa ń fun kàkàkí tirẹ̀ nígbà tó bá ń fi kàkàkí kọrin,l,2
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,gpt,blow his own horn,fi ipele re han ju owo re.,x,2
