idiom,meaning,intended_ambiguous,intended_figurative,intended_literal,is_literal,justification,converted,iter,bad_idiom,error,intended_ambiguous_old,intended_figurative_old,intended_literal_old,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,well_formed,annotations_ambiguous,annotations_figurative,annotations_literal
a bed of roses,easy option,like a bed of roses,her new job was like a bed of roses compared to her previous one,the garden was designed like a bed of roses with various colors and fragrances,True,"In this context, the phrase 'a bed of roses' is used to describe the garden's design, which is a literal interpretation of the idiom as it refers to an actual bed of roses with various colors and fragrances.",False,0,False,False,It's not a bed of roses,It's not a bed of roses trying to rebuild our relationship,It's not a bed of roses because we used cotton sheets instead,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
a bird in the hand,a possession that is worthy,a bird in the hand,"he decided to accept the job offer, believing that a bird in the hand is worth two in the bush","holding a bird in the hand, she carefully examined its feathers",True,"The hypothesis describes a situation where someone is literally holding a bird in their hand and examining its feathers, which is a literal interpretation of the idiom 'a bird in the hand'.",False,0,False,False,There's a bird in his hand,There's a bird in his hand because he's considering the potential he might have if he holds on,There's a bird in his hand because he caught it,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
a cuckoo in the nest,an unwelcome intruder in a place or situation.,found a cuckoo in the nest,"when the new employee started causing problems, they realized they had found a cuckoo in the nest","while observing the bird's nest, the ornithologist found a cuckoo in the nest",True,"The hypothesis is a literal interpretation of the idiom, as it describes an actual cuckoo bird being found in a nest, rather than the figurative meaning of an unwelcome intruder or a problem within a group or family.",False,0,False,False,He was a cuckoo in the nest,He was a cuckoo in the nest because he had different views from the team,He was a cuckoo in the nest as he sneaked his way in,ambiguous : figurative : figurative,ambiguous,figurative,figurative,False,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']"
a damp squib,an event which people think will be exciting but which is disappointing when it happens.,<turned out to be a damp squib>,the highly anticipated party <turned out to be a damp squib> due to poor planning,"the firework, soaked in water, <turned out to be a damp squib> and didn't ignite",False,"The idiom 'a damp squib' is used figuratively to describe something that is disappointing or fails to meet expectations. In this case, the firework failing to ignite is a metaphor for disappointment, not a literal damp squib.",False,0,False,False,The event was a damp squib,The event was a damp squib as it failed to live up to expectations,The event was a damp squib because it was constantly disrupted by rain,figurative : figurative : ambiguous,figurative,figurative,ambiguous,False,"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'ambiguous']"
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,a good man is hard to find,"in today's world, a good man is hard to find for a long-lasting relationship","in the crowded shopping mall, a good man is hard to find when you're looking for your friend",True,"In this context, the idiom is used literally as it refers to the difficulty of finding a specific person (a good man) in a crowded shopping mall.",False,0,False,False,It's a good man that's hard to find.,It's a good man that's hard to find nowadays since trust and kindness seem to be lacking,It's a good man that's hard to find since he's been missing for many days,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']"
a hard nut to crack,a problem that is difficult to solve,a hard nut to crack,the mysterious case was a hard nut to crack for the detective,the thick shell made the walnut a hard nut to crack with bare hands,True,"In this case, the idiom 'a hard nut to crack' is used literally, as it refers to the physical difficulty of cracking a walnut with a thick shell using bare hands.",False,0,False,False,He's a hard nut to crack,He's a hard nut to crack and no one has been able to bring him out of his shell,He's a hard nut to crack and a hammer couldn't break it open,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,the new policy was a litmus test,"for the government, the new policy was a litmus test of public opinion","in the chemistry lab, the new policy was a litmus test to determine the acidity of a solution",True,"In this case, the hypothesis is using the term 'litmus test' in its literal sense, as it refers to an actual test in a chemistry lab to determine the acidity of a solution.",False,0,False,False,I used the test as a litmus test,I used the test as a litmus test to determine whether I should invest in this business scheme,I used the test as a litmus test to check the acidity of the soil,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']"
a lot on my plate,to have so many things to do at one time,having a lot on the plate,"juggling multiple projects at work, she was having a lot on the plate these days","at the potluck dinner, he was having a lot on the plate after trying a bit of everything",True,"In this context, the phrase 'a lot on my plate' is used to describe the amount of food on the person's plate at a potluck dinner, which is a literal interpretation of the idiom.",False,1,False,False,I have a lot on my plate,I have a lot on my plate with all the tasks I have to do for work,I have a lot on my plate because I loaded it up,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
a needle in a haystack,something very small amidst something very big,finding a needle in a haystack,locating the right document in the archive was like finding a needle in a haystack,"the farmer accidentally dropped his sewing needle, and it became a challenge of finding a needle in a haystack",True,"The hypothesis describes a situation where a needle is literally lost in a haystack, which is a direct interpretation of the idiom without any figurative meaning.",False,0,False,False,"It's like a needle in a haystack"" ",It's like a needle in a haystack trying to find a way to resolve this issue,It's like a needle in a haystack since I'm looking for a physical needle among the hay bales,figurative : figurative : literal,figurative,figurative,literal,False,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']"
a piece of cake,very easy task,she found it a piece of cake,she found it a piece of cake to solve the complex math problem,"searching through the bakery, she found it a piece of cake on the shelf",True,"In this context, 'a piece of cake' is used to describe an actual piece of cake found in a bakery, which is a literal interpretation of the phrase.",False,0,False,False,It's a piece of cake,It's a piece of cake for me to get the job done,I'm going to have a piece of cake for dessert,ambiguous : figurative : literal,ambiguous,figurative,literal,True,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']"
