model,language_pair,score
gpt,en-de,0.1409006212488748
gpt,en-he,0.1231923948507756
gpt,en-hi,0.11348620348144323
gpt,en-hu,0.12800712086027488
gpt,en-ko,0.13252590131014585
gpt,en-es,0.13708680000854656
gpt,en-yo,0.09840753764729016
gpt,en-zh,0.13918309571454301
palm,en-de,0.11111116347783202
palm,en-he,0.11345059607163012
palm,en-hi,0.11309892026645563
palm,en-hu,0.11677228608523986
palm,en-ko,0.1292183136461149
palm,en-es,0.11822380718496657
palm,en-yo,0.15075645918841474
palm,en-zh,0.14426805249370805
google,en-de,0.13344140973640606
google,en-he,0.10565338609740138
google,en-hi,0.11486052727559581
google,en-hu,0.12789172207703814
google,en-ko,0.11845662229461595
google,en-es,0.12100435607135296
google,en-yo,0.1132239964499604
google,en-zh,0.1436138111166656
opus,en-de,0.09042870515258983
opus,en-he,0.09801481966860592
opus,en-hi,0.0935576245537959
opus,en-hu,0.11136448523029685
opus,en-ko,
opus,en-es,0.09016608411911875
opus,en-yo,0.08396263234317303
opus,en-zh,0.09873341309139505
nllb,en-de,0.11403100285679102
nllb,en-he,0.11659916862845421
nllb,en-hi,0.11708982678828761
nllb,en-hu,0.125310548231937
nllb,en-ko,0.12932493665721267
nllb,en-es,0.11757369356928393
nllb,en-yo,0.08642469538608566
nllb,en-zh,0.11763880593935028
