idiom,meaning
가락이 나다,hit one's stride
가랑이가 찢어지게 가난하다,to suffer from extreme poverty
가로 지나 세로 지나,this way or that way
가면을 벗다,to show one's true self
가면을 쓰다,to lie or pretend
가슴에 맺히다,to have fear knotting up inside you
가슴에 못을 박다,to be hurt emotionally
가슴을 치다,feel frustration
가슴을 태우다,be very anxious
가슴이 내려앉다,be startled
가슴이 덜컹하다,be suddenly surprised
가슴이 미어지다,be stricken with grief or emotion
가슴이 부풀다,be buoyant with
가슴이 뿌듯하다,be full of excitement and emotion
가슴이 아프다,be hearted-broken
가슴이 찢어지다,be heart-broken
가슴이 철렁하다,be suddenly surprised
가슴이 후련하다,feel relieved inside
가시가 돋치다,stinging words
가시 먹은 것 같다,feel a prick of conscience
가위다리를 치다,cross two lengths to make the shape of an X
가재를 치다,return a purchased item
가재걸음,walking or crawling backward
가재걸음을 치다,go backward instead of advance
간에 기별도 안가다,barely begin to satisfy one's hunger
간에 붙었다 쓸개에 붙었다 하다,be fickle
간을 녹이다,charm; fascinate
간을 졸이다,to worry oneself
간이 뒤집히다,to rebuke someone for laughing without reason
간이 떨어지다,to be suddenly surprised
간이 붓다,to be uppity
간이 작은,timid
간이 철렁하다,be shocked
간이 콩알만해지다,to be frightened out
간이 크다,be plucky
간이 타다,be anxious for / pine
간도 모르다,don't even know
간을 보다,taste food to check if it is salted correctly
간담이 떨어지다,very surprised
간담이 서늘하다,be suddenly frightened
값을 놓다,set a price
값을 보다,offer a price
값을 부르다,ask a price
값을 치다,fix the price of a thing
값을 치르다,pay for
값을 하다,be worthy of; deserve
값이 닿다,be reasonable priced
값이 없다,be worthless
값이 있다,valuable; worth its value
거미줄을 늘이다,cast a dragnet around a district
거짓말을 보태다,exaggerate the truth
걱정이 태산이다,have a mountain of worries
교편을 놓다,retire from teaching
교편을 잡다,work as a teacher
군눈을 뜨다,become curious about unsavory things
군물이 돌다,water forms on top of paste starch
군침을 돌다,mouth waters from the desire to eat something
군침을 삼키다,one smacks one's lips from the desire to eat something
군침을 흘리다,one smacks one's lips from the desire to eat something
귀가 가렵다,have a feeling someone is talking about you
귀가 따갑다,be sick of hearing something
귀가 먹다,to lose one's hearing
귀가 밝다,to be sharp eared
귀가 번쩍 뜨이다,to come to one's attention
귀가 설다,be unfamiliar to one's ears
귀가 솔깃한,tempting to the ears
귀가 어둡다,to not be catch up on the news
귀가 여리다,be easily fooled by other's words
귀가 울다,to have a ringing in one's ears
귀가 절벽이다,to be stone deaf
귀가 질기다,have a hard time understanding people
귀를 기울이다,strain one's ears to hear
귀를 뜨다,to begin to discern sound as with a baby
귀를 의심하다,to not believe your ears
귀를 주다,to overhear someone
귀에 거슬리다,to be harsh on the ears
귀에 거칠다,to be disagreeable to hear
귀에 들어가다,to hear about something
귀에 못이 박히다,to be tired of hearing something
귀에 설다,to be unfamiliar to one's ears
귀에 익다,to be used to hearing
귀청이 떨어지다,to be so loud that it hurts the ears
귓가로 듣다,to listen without paying attention
귓등으로 듣다,to pretend to be listening
귓구멍이 넓다,to readily believe what people say
귓문이 넓다,to readily believe what people say
