idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_f_de_google,p_l_de_google,p_a_de_google,p_f_he_google,p_l_he_google,p_a_he_google,p_f_hi_google,p_l_hi_google,p_a_hi_google,p_f_hu_google,p_l_hu_google,p_a_hu_google,p_f_ko_google,p_l_ko_google,p_a_ko_google,p_f_es_google,p_l_es_google,p_a_es_google,p_f_yo_google,p_l_yo_google,p_a_yo_google,p_f_zh_google,p_l_zh_google,p_a_zh_google
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,Trotz seiner Intelligenz war das Aufschieben seine Achillesferse,Während des Anatomieunterrichts untersuchten wir seine Achillesferse und ihre Funktion,seine Achillesferse,"למרות האינטליגנציה שלו, דחיינות הייתה עקב אכילס שלו","במהלך שיעור האנטומיה, למדנו את עקב האכילס שלו ואת תפקידו",עקב אכילס שלו,"उनकी बुद्धिमत्ता के बावजूद, शिथिलता उनकी दुखती रग थी","शरीर रचना विज्ञान वर्ग के दौरान, हमने उसकी एड़ी और उसके कार्य का अध्ययन किया",उसकी एच्लीस हील,Intelligenciája ellenére a halogatás volt az Achilles-sarka,Az anatómia órán az Achilles-sarkát és annak működését tanulmányoztuk,az Achilles-sarkát,그의 지능에도 불구하고 미루는 습관은 그의 아킬레스 건이었습니다.,해부학 수업 시간에 우리는 그의 아킬레스건과 그 기능에 대해 공부했습니다.,그의 아킬레스 건,"A pesar de su inteligencia, la procrastinación era su talón de Aquiles.",Durante la clase de anatomía estudiamos su talón de Aquiles y su función.,su talón de Aquiles,"Pelu oye rẹ, idaduro jẹ igigirisẹ Achilles rẹ","Lakoko kilasi anatomi, a ṣe iwadi igigirisẹ Achilles rẹ ati iṣẹ rẹ",igigirisẹ Achilles rẹ,尽管他很聪明，但拖延是他的致命弱点,在解剖课上，我们研究了他的跟腱及其功能,他的致命弱点
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,Nach jahrelanger Suche fanden sie endlich ihren richtigen Herrn und ihre richtige Frau und ließen sich nieder,Auf der Kostümparty fanden sie ihre Mr. Right- und Ms. Right-Outfits im Laden,haben ihren richtigen Herrn und ihre richtige Frau gefunden,"אחרי שנים של חיפושים, הם סוף סוף מצאו את מר ימין וגברת ימין שלהם והתיישבו","במסיבת התחפושות, הם מצאו את התלבושות של Mr Right ו-Ms Right בחנות",מצאו את Mr Right ו-Ms Right שלהם,"वर्षों की खोज के बाद, उन्होंने आखिरकार अपना मिस्टर राइट और मिस राइट पाया और घर बसा लिया","कॉस्ट्यूम पार्टी में, उन्हें स्टोर में मिस्टर राइट और मिस राइट के आउटफिट मिले",अपना मिस्टर राइट और मिस राइट पाया,"Évekig tartó keresgélés után végre megtalálták Mr Right-ot és Ms Right-ot, és letelepedtek",A jelmezes bulin megtalálták a Mr Right és Ms Right ruhájukat az üzletben,megtalálták a Mr Right-ot és a Ms Right-ot,수년간의 검색 끝에 마침내 Mr Right와 Ms Right를 찾아 정착했습니다.,의상 파티에서 그들은 매장에서 Mr Right와 Ms Right 의상을 발견했습니다.,Mr Right와 Ms Right를 찾았습니다.,"Después de años de búsqueda, finalmente encontraron a su Sr. Correcto y Sra. Correcta y se establecieron","En la fiesta de disfraces, encontraron sus trajes de Sr. Correcto y Sra. Correcta en la tienda.",encontraron a su Sr. Correcto y Sra. Correcta,"Lẹhin ọdun ti wiwa, nwọn nipari ri wọn Mr Right ati Ms Right ati nibẹ si isalẹ","Ni ibi ayẹyẹ aṣọ, wọn rii Ọgbẹni Right ati Ms Right aṣọ ni ile itaja",ri wọn Mr Right ati Ms Right,经过多年的寻找，他们终于找到了自己的Mr Right和Ms Right并定居下来,在化装舞会上，他们在店里找到了他们的 Mr Right 和 Ms Right 服装,找到了他们的 Mr Right 和 Ms Right
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,Aufgrund seiner innovativen Ideen wurde er schnell zum Jungtürken im Unternehmen,"Der neue Mitarbeiter war ein junger Türke im Unternehmen, der kürzlich aus der Türkei umgezogen war",ein junger Türke im Unternehmen,הוא הפך במהירות לטורקי צעיר בחברה בשל הרעיונות החדשניים שלו,"העובד החדש היה טורקי צעיר בחברה, לאחר שעבר לאחרונה מטורקיה",טורקי צעיר בחברה,वह अपने नवीन विचारों के कारण जल्दी ही कंपनी में यंग तुर्क बन गया,"नया कर्मचारी कंपनी में यंग तुर्क था, जो हाल ही में तुर्की से आया था",कंपनी में एक युवा तुर्क,Innovatív ötletei révén gyorsan ifjútörökké vált a cégben,"Az új alkalmazott fiatal török ​​volt a cégnél, aki nemrég költözött Törökországból",egy fiatal török ​​a társaságban,그는 참신한 아이디어로 회사에서 금새 Young Turk가 되었습니다.,신입사원은 최근에 터키에서 이사 온 회사의 Young Turk였습니다.,회사의 젊은 터크,Rápidamente se convirtió en un joven turco en la empresa debido a sus ideas innovadoras.,El nuevo empleado era un joven turco de la empresa que se había mudado recientemente de Turquía.,un joven turco en compañía,O yarayara di Ọmọde Tọki ni ile-iṣẹ nitori awọn imọran tuntun rẹ,"Oṣiṣẹ tuntun jẹ Ọdọmọde Tọki ni ile-iṣẹ naa, ti o ti lọ laipe lati Tọki",Ọmọde Turki kan ni ile-iṣẹ naa,由于他的创新理念，他很快成为公司的一名年轻的土耳其人,新员工是公司的青年土耳其人，最近从土耳其搬来,公司里的一个青年土耳其人
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,"Er beschloss, das Stellenangebot anzunehmen, da er davon überzeugt war, dass ein Vogel in der Hand mehr wert ist als zwei im Busch",Sie hielt einen Vogel in der Hand und untersuchte sorgfältig seine Federn,ein Vogel in der Hand,"הוא החליט לקבל את הצעת העבודה, מתוך אמונה שציפור ביד שווה שניים בשיח","כשהיא מחזיקה ציפור ביד, היא בחנה בקפידה את נוצותיה",ציפור ביד,"उसने नौकरी की पेशकश को स्वीकार करने का फैसला किया, यह विश्वास करते हुए कि हाथ में एक पक्षी झाड़ी में दो के लायक है","एक पक्षी को हाथ में पकड़कर, उसने ध्यान से उसके पंखों की जाँच की",हाथ में एक पक्षी,"Úgy döntött, elfogadja az állásajánlatot, mert úgy gondolta, hogy egy madár a kezében kettőt ér a bokorban","Egy madarat tartott a kezében, és alaposan megvizsgálta a tollait",egy madár a kezében,그는 손에 든 새 한 마리가 덤불 속에 있는 두 마리의 가치가 있다고 믿고 일자리 제안을 수락하기로 결정했습니다.,그녀는 새를 손에 들고 조심스럽게 깃털을 조사했습니다.,손안의 새,"Decidió aceptar la oferta de trabajo, creyendo que más vale pájaro en mano que ciento volando.","Sosteniendo un pájaro en la mano, examinó cuidadosamente sus plumas.",un pajaro en la mano,"O pinnu lati gba iṣẹ iṣẹ naa, ni igbagbọ pe ẹiyẹ kan ni ọwọ jẹ tọ meji ninu igbo","Bí ó ti di ẹyẹ kan lọ́wọ́, ó fara balẹ̀ yẹ ìyẹ́ rẹ̀ wò",eye ni ọwọ,他决定接受这份工作，相信一鸟在手胜过二鸟在林,手里拿着一只小鸟，仔细端详着它的羽毛,一只鸟在手
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,"Als der neue Mitarbeiter anfing, Probleme zu machen, stellten sie fest, dass sie im Nest einen Kuckuck gefunden hatten",Bei der Beobachtung des Vogelnestes entdeckte der Ornithologe einen Kuckuck im Nest,Ich habe einen Kuckuck im Nest gefunden,"כשהעובד החדש התחיל לעשות בעיות, הם הבינו שמצאו קוקיה בקן","תוך כדי התבוננות בקן הציפור, מצא חוקר הצפרות קוקיה בקן",מצא קוקיה בקן,"जब नए कर्मचारी ने समस्याएँ खड़ी करनी शुरू कीं, तो उन्हें एहसास हुआ कि उन्हें घोंसले में एक कोयल मिल गई है",चिड़िया के घोंसले का अवलोकन करते हुए पक्षी विज्ञानी को घोंसले में एक कोयल मिली,घोंसले में एक कोयल मिली,"Amikor az új alkalmazott elkezdett problémákat okozni, rájöttek, hogy egy kakukkot találtak a fészekben",Az ornitológus a madárfészek megfigyelése közben egy kakukkot talált a fészekben,kakukkot talált a fészekben,신입 사원이 문제를 일으키기 시작했을 때 그들은 둥지에서 뻐꾸기를 발견했다는 것을 깨달았습니다.,새 둥지를 관찰하던 중 조류학자는 둥지에서 뻐꾸기를 발견했습니다.,둥지에서 뻐꾸기 발견,"Cuando el nuevo empleado comenzó a causar problemas, se dio cuenta de que había encontrado un cuco en el nido.","Mientras observaba el nido del pájaro, el ornitólogo encontró un cuco en el nido.",encontré un cuco en el nido,"Nigbati oṣiṣẹ tuntun bẹrẹ nfa awọn iṣoro, wọn rii pe wọn ti rii cuckoo kan ninu itẹ-ẹiyẹ naa","Lakoko ti o n ṣakiyesi itẹ ẹiyẹ naa, onimọ-jinlẹ ri cuckoo kan ninu itẹ-ẹiyẹ naa",ri cuckoo ninu itẹ-ẹiyẹ,当新员工开始惹麻烦时，他们意识到他们在巢中发现了杜鹃,鸟类学家在观察鸟巢时，在鸟巢中发现了一只布谷鸟,在巢中发现了一只布谷鸟
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,Der mysteriöse Fall war für den Detektiv eine harte Nuss,"Die dicke Schale machte die Walnuss zu einer harten Nuss, die man mit bloßen Händen knacken konnte",Eine harte Nuss,המקרה המסתורי היה אגוז קשה לפיצוח עבור הבלש,הקליפה העבה הפכה את האגוז לאגוז קשה לפיצוח בידיים חשופות,אגוז קשה לפיצוח,रहस्यमय मामला जासूस के लिए एक कठिन नट था,मोटे खोल ने अखरोट को नंगे हाथों से चटकाने के लिए कठोर अखरोट बना दिया,लोहे के चने चबाना,A titokzatos eset kemény dió volt a nyomozó számára,A vastag héj puszta kézzel kemény dióvá tette a diót,kemény dió,미스터리한 사건은 탐정에게 풀기 힘든 견과였습니다.,두꺼운 껍질은 호두를 맨손으로 깨기 힘든 단단한 견과로 만들었습니다.,딱딱한 너트,El misterioso caso fue un hueso duro de roer para el detective.,La cáscara gruesa hizo que la nuez fuera una nuez dura de romper con las manos desnudas.,un hueso duro de roer,Ẹran aramada naa jẹ eso lile lati kiraki fun aṣawari naa,Ikarahun ti o nipọn ṣe Wolinoti di eso lile lati ya pẹlu ọwọ asan,a lile nut lati kiraki,神秘案件让侦探头疼不已,厚厚的外壳使核桃成为徒手掰开的坚硬坚果,难啃的骨头
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,Sie jonglierte bei der Arbeit mit mehreren Projekten und hatte heutzutage viel zu tun,"Beim Potluck-Dinner hatte er eine Menge auf dem Teller, nachdem er von allem etwas probiert hatte",hatte viel auf dem Teller,"כשהיא מלהטטת בפרויקטים מרובים בעבודה, היה לה הרבה על הצלחת בימים אלה","בארוחת הערב, הוא אכל הרבה על הצלחת לאחר שניסה קצת מכל דבר",היה הרבה על הצלחת,"काम के दौरान कई प्रोजेक्ट्स के साथ काम करते हुए, वह इन दिनों प्लेट पर बहुत कुछ कर रही थी","पोट्लक डिनर में, सब कुछ आजमाने के बाद वह थाली में बहुत कुछ खा रहा था",थाली में बहुत कुछ था,"Munka közben több projekttel zsonglőrködött, és mostanában sok minden volt a tányéron","A bográcsos vacsorán sokat evett a tányéron, miután mindent kipróbált",sok volt a tányéron,직장에서 여러 프로젝트를 저글링하면서 그녀는 요즘 많은 일을 하고 있었습니다.,포틀럭 저녁 식사에서 그는 모든 것을 조금 시도한 후 접시에 많이 먹었습니다.,접시에 많이 담았다,"Haciendo malabarismos con múltiples proyectos en el trabajo, tenía mucho en el plato en estos días.","En la cena compartida, tenía mucho en el plato después de probar un poco de todo.",estaba teniendo mucho en el plato,"Juggling ọpọ awọn iṣẹ akanṣe ni iṣẹ, o ni pupọ lori awo ni awọn ọjọ wọnyi","Ni ounjẹ ounjẹ potluck, o ni ọpọlọpọ lori awo lẹhin igbiyanju diẹ ninu ohun gbogbo",a nini pupo lori awo,在工作中兼顾多个项目，这些天她忙得不可开交,在家常便饭上，他尝试了所有的东西后，盘子里有很多东西,盘子里有很多东西
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,"Um ein Dach über dem Kopf zu haben, ist es wichtig, einen Job zu finden","Während des Regensturms blieb man trocken, wenn man ein Dach über dem Kopf hatte",ein Dach über dem Kopf haben,מציאת עבודה חיונית לקיום קורת גג מעל הראש,"במהלך סופת הגשם, גג מעל הראש השאיר אותך יבש",עם קורת גג מעל הראש,आपके सिर पर छत होने के लिए नौकरी खोजना आवश्यक है,"बरसात के दौरान, आपके सिर पर छत होने से आपको सूखा रखा जाता है",आपके सिर पर छत होना,"Az álláskeresés elengedhetetlen ahhoz, hogy tető legyen a fejed felett","Az esőben, ha tető volt a fejed felett, szárazon tartott",tető van a fejed felett,머리 위로 지붕을 갖기 위해서는 일자리를 찾는 것이 필수적입니다.,폭풍우가 치는 동안 머리 위에 지붕이 있어 건조함을 유지했습니다.,머리 위에 지붕이 있다,Encontrar trabajo es fundamental para tener un techo sobre la cabeza,"Durante la tormenta, tener un techo sobre tu cabeza te mantuvo seco",tener un techo sobre tu cabeza,Wiwa iṣẹ jẹ pataki fun nini orule lori ori rẹ,"Ni akoko iji ojo, nini orule lori ori rẹ jẹ ki o gbẹ",nini orule lori ori rẹ,找到一份工作对于有一个栖身之所至关重要,在暴风雨中，有一个屋顶可以让你保持干爽,在你的头上有一个屋顶
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,"Wenn er glaubt, seinen Job ohne Konsequenzen kündigen zu können, ist ihm die Schraube locker",Bei dem wackeligen Tisch ist eine Schraube locker und muss repariert werden,hat eine Schraube locker,יש לו בורג רופף אם הוא חושב שהוא יכול לעזוב את עבודתו ללא השלכות,לשולחן המתנדנד יש בורג רופף ויש לתקן אותו,יש בורג רופף,यदि उसे लगता है कि वह परिणाम के बिना अपनी नौकरी छोड़ सकता है तो उसका पेंच ढीला हो गया है,लड़खड़ाती टेबल में एक पेंच ढीला है और उसे ठीक करने की जरूरत है,एक पेंच ढीला है,"Meglazult a csavar, ha úgy gondolja, hogy következmények nélkül felmondhat a munkahelyén","A billegő asztalon meglazult a csavar, és rögzíteni kell",meglazult a csavar,결과 없이 직장을 그만둘 수 있다고 생각한다면 나사가 풀린 ​​것입니다.,흔들리는 테이블에 나사가 풀려서 고정해야 합니다.,나사가 풀려있다,Tiene un tornillo suelto si cree que puede dejar su trabajo sin consecuencias,La mesa tambaleante tiene un tornillo suelto y necesita ser arreglado,tiene un tornillo suelto,O ni a dabaru loose ti o ba ti o bar o le olodun-iṣẹ rẹ lai gaju,Awọn wobbly tabili ni o ni a dabaru alaimuṣinṣin ati ki o nilo lati wa ni titunse,ni o ni a dabaru loose,如果他认为自己可以辞职而不会有任何后果，那他就大错特错了,摇摇晃晃的桌子有一个螺丝松了，需要固定,螺丝松了
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,"Nachdem sie die Prüfung nicht bestanden hatte, erhielt sie einen Weckruf, um härter zu lernen",Um 6 Uhr morgens erhielt sie einen Weckruf von der Rezeption des Hotels.,Sie erhielt einen Weckruf,"לאחר שנכשלה בבחינה, היא קיבלה קריאת השכמה ללמוד קשה יותר",היא קיבלה שיחת השכמה מדלפק הקבלה של המלון ב-6 בבוקר.,היא קיבלה שיחת השכמה,"परीक्षा में असफल होने के बाद, उसे और अधिक अध्ययन करने के लिए एक वेकअप कॉल मिला",उन्हें सुबह 6 बजे होटल के फ्रंट डेस्क से जगाने का कॉल आया।,उसे एक वेकअप कॉल मिला,"Miután megbukott a vizsgán, ébresztőt kapott, hogy keményebben tanuljon",Reggel 6 órakor ébresztőt kapott a szálloda recepciójáról.,ébresztőt kapott,"시험에 떨어진 후, 그녀는 더 열심히 공부하라는 모닝콜을 받았습니다.",그녀는 오전 6시에 호텔 프론트 데스크에서 모닝콜을 받았습니다.,그녀는 모닝콜을 받았다,"Después de reprobar el examen, recibió una llamada de atención para estudiar más",Recibió una llamada de atención de la recepción del hotel a las 6 a.m.,ella recibió una llamada de atención,"Lẹ́yìn tó kùnà nínú ìdánwò náà, ó gba ìpè láti kẹ́kọ̀ọ́ sí i",O gba ipe ji lati iwaju tabili hotẹẹli ni aago mẹfa owurọ.,o gba ipe ji,考试失败后，她接到了要更加努力学习的警钟,早上6点，她接到了酒店前台的叫醒电话。,她接到了一个叫醒电话
