idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
get out of bed on the wrong side,"he was so grumpy today, it seemed like he got out of bed on the wrong side",0,be very irritable and grouchy,out of hand,the ball got out of hand when he accidentally dropped it,1,out of control,two peas in a pod,"the twins were dressed identically, looking like two peas in a pod",1,practically identical in appearance,the ball is in your court,"after I hit the tennis ball over the net, the ball is in your court now",1,the initiative for taking action lies with somebody,acid test,moving in together was the acid test for their relationship to see if they could handle living with each other,0,a test that proves a hypothesis or validity of a product or idea
have a big mouth,the hippopotamus has a big mouth that can open up to 150 degrees,1,one who gossips more or says things that are meant to be kept secret,card up sleeve,"during the negotiation, he had a card up his sleeve that gave him an advantage",0,to have a secret advantage that is suddenly revealed to change the game,camp follower,"as a camp follower, she provided food and supplies to the soldiers during their journey",1,"a person who is supportive of the cause, person or organisation",you can't teach an old dog new tricks,trying to convince my grandfather to use a smartphone was like teaching an old dog new tricks,0,you cannot make others change their habits,will never fly,"he proposed a risky investment, but we knew that idea will never fly with the board",0,there's no chance that something will work; to be unsuccessful
dance to tune,he always danced to the tune of his boss's demands,0,to do what someone else forces you to do,when the chips are down,he always comes through when the chips are down and we need him the most,0,when a situation is urgent or desperate.,"blood, sweat, and tears","he put in blood, sweat, and tears to build his business from the ground up",0,putting a lot of effort to get a task done.,rip off,the plagiarized book seemed to rip off the cover of the original work,0,the act of stealing,lose your marbles,"after working non-stop for days, he finally lost his marbles and started talking nonsense",0,strange behaviors.
make ends meet,the tailor was struggling to make ends meet when sewing the two pieces of fabric together,1,make sufficient money to survive on,choke up,"hearing the sad news, he started to choke up and could n't speak",0,make a person become overemotional and speechless,under fire,the politician was under fire from the crowd for his controversial statements,0,being shot at,feel the pinch,"when the crab grabbed his finger, he started to feel the pinch",1,experience financial hardship,bats in the belfry,his wild theories and peculiar behavior made others think he had bats in the belfry,0,to be silly and slightly crazy and behave in a confused way
wipe the slate clean,the teacher and student wiped the slate clean together after the lesson,1,"to make a fresh start and forget all past offences, disagreements or mistakes",being bouncing off the walls,the rubber ball kept bouncing off the walls in the small room,1,excited and full of nervous energy,know which side one's bread is buttered,he carefully observed the sandwich and knows which side his bread is buttered to avoid getting his hands greasy,1,to be cognizant of where one's interests lie in a given situation.,knowing which way the wind blows,he made a wise decision by knowing which way the wind blows in the company,0,this means that you should know how things are developing and be prepared for the future,just what the doctor ordered,a relaxing vacation was just what the doctor ordered after a stressful year,0,exactly what was wanted or needed
come out swinging,"as soon as the boxing match started, he came out swinging at his opponent",1,be confrontational,roll the dice,she rolled the dice on that decision and hoped for the best,0,to gamble or take a chance on something or someone,take the edge off,"using a file, he took the edge off the situation by smoothing the sharp corners of the metal",1,blunt the effect of,give the slip,"she accidentally gave him the slip when she handed him a wet, slippery object",1,to get away,ring fencing,the accountant was ring fencing the funds by placing them in a separate account with a unique password,1,to create a separate legal entity through the way of off-shore accounting in order to protect some assets in a corporation
break the mould,the sculptor was breaking the mould to reveal the finished statue,1,to do something different from what is expected,arm in arm,the two companies walked arm in arm in their joint venture,0,to be closely allied,cross paths,I never thought I would cross paths with her again after high school,0,encounter or meet someone by chance.,bull in a china shop,"he was clumsy and careless, acting like a bull in a china shop during the meeting",0,"extremely awkward, clumsy person",the other side of the coin,"before making a decision, it's important to consider the other side of the coin and weigh the pros and cons",0,"the opposite aspect, contrasting arguments."
bitter pill,he had to swallow a bitter pill when he realized he couldn't afford his dream car,0,something unpleasant to be endured,get to the bottom,the detective was determined to get to the bottom of the issue and solve the case,0,to find out the truth relating to a situation,a hard nut to crack,the mysterious case was a hard nut to crack for the detective,0,a problem that is difficult to solve,"blood, sweat, and tears","after the intense workout, he put in blood, sweat, and tears on the gym floor",1,putting a lot of effort to get a task done.,fall on our feet,"during the dance routine, we tripped and managed to fall on our feet",1,to succeed in doing something where there was a risk of failure
happy camper,"after the long meeting, she was not a happy camper",0,to be content or satisfied with what is happening in your lifes and have no complaints,apples and oranges,"at the grocery store, they were comparing apples and oranges to decide which fruit to buy",1,two things that are fundamentally different and therefore not suited to comparison,hold all the aces,"during the negotiation, he held all the aces and had the upper hand",0,be in a winning position.,come full circle,the hiker came full circle after walking around the entire circumference of the lake,1,return to an earlier position or decision.,call bluff,"during the poker game, she called his bluff and revealed his cards",1,"to challenge to prove one's claim, when they are likely attempting to deceive"
apples and oranges,arguing about their preferences in music was like comparing apples and oranges,0,two things that are fundamentally different and therefore not suited to comparison,ball and chain,the prisoner was carrying a ball and chain as a part of his punishment,1,a burden or problem that ties you down and prevents you from doing what you want,wouldn't be seen dead,"she wouldn't be seen dead in that outfit, as it was completely out of style",0,to be too ashamed or embarrassed of something,bad blood,"after the transfusion, the doctor discovered that there's bad blood between them",1,to have ill feelings towards someone,cross paths,"while walking in the park, we happened to cross paths with her at the intersection",1,encounter or meet someone by chance.
