idiom,meaning,instance,label,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe
Achilles heel,a vulnerable spot or weakness,"despite his intelligence, procrastination was his Achilles heel",figurative,figurative,figurative,figurative,"['3GS6S824S6DCIS6I4S3V348J5FHNWJ', '3LWJHTCVCS2VA3XFUVLC3AHOFNEFQ0']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[90.898, 24.979]"
Achilles heel,a vulnerable spot or weakness,"during the anatomy class, we studied his Achilles heel and its function",literal,literal,literal,literal,"['3FK0YFF9PFWCB8FMG9KQRJJIK9HVVY', '3SEPORI8W3F9S4HY6BIXG2I1NANAZD']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.455, 146.45]"
Dutch uncle,"criticize, scold or lecture someone","he gave me advice like a Dutch uncle, always straightforward and honest",figurative,figurative,figurative,figurative,"['3U0SRXB7CTL7AWPW5YTPG502D02NRG', '3P529IW9KE1KJ6H22QDGMOIU5HRLFH']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[116.593, 53.127]"
Easter egg,a decorated or dyed egg usually given to children at Easter,"while playing the video game, he found an Easter egg hidden by the developers",figurative,figurative,figurative,figurative,"['3JCG6DTRVJ6S1SNO8BW6F9L2MPNQQ5', '3E1QT0TDF5P9EQZ999AXKG9G19KI8J']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[117.365, 56.789]"
a bird in the hand,a possession that is worthy,"he decided to accept the job offer, believing that a bird in the hand is worth two in the bush",figurative,figurative,figurative,figurative,"['3DOCMVPBT3UMVYX4CRC87LVSC3DNNS', '33CKWXB73Z0G3KJQ2HGCD75M61411R']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[133.386, 133.059]"
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"when the new employee started causing problems, they realized they had found a cuckoo in the nest",figurative,figurative,figurative,figurative,"['3X31TUMD7D2TTRNUVRYVXME0478L1G', '3OS46CRSLVFRWI0LF1CIFR3J3GQV67']","['AURYD2FH3FUOQ', 'AX8NXTT8QMGHC']","[69.712, 73.805]"
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"while observing the bird's nest, the ornithologist found a cuckoo in the nest",literal,literal,literal,literal,"['3634BBTX04AIT59WHNG3U8Q2ODXFIX', '36U2A8VAGHFFZRGFMGT3W9CVMSCKYA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.679, 45.876]"
a damp squib,an event which people think will be exciting but which is disappointing when it happens.,the firework turned out to be a damp squib when it failed to ignite in the rain,literal,figurative,figurative,figurative,"['3QHK8ZVMI2YU6P5MXORK3YR9QJZLBZ', '3X3OR7WPZFGB4R7FUC7ACW18IDF8LO']","['A290OV59Q76QC8', 'AKQAI78JTXXC9']","[45.864, 79.556]"
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,"in the crowded shopping mall, a good man is hard to find when you're looking for your friend",literal,tie,literal,ambiguous,"['3UWN2HHPUELJBBP9KNTU6F5YZ2LSN9', '3570Y55XZ5ZAX5KWWP8OYHK2FBVYGL']","['A290OV59Q76QC8', 'APRZ7BR8C0ZMQ']","[41.261, 126.539]"
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,"in today's world, a good man is hard to find for a long-lasting relationship",figurative,literal,literal,literal,"['3VHHR074HJX74D2WK7F4YW5D7T8L7D', '39ASUFLU6DNNDMYVLYWYF0SH0PMXEX']","['A110KENBXU7SUJ', 'A290OV59Q76QC8']","[80.386, 62.228]"
a lot on my plate,to have so many things to do at one time,"juggling multiple projects at work, she was having a lot on the plate these days",figurative,figurative,figurative,figurative,"['3IKZ72A5BKWA76KNE3TVZGMJACSFNE', '3FTYUGLFSA19JX0LJX2JHZJC7EBD5A']","['A1HKYY6XI2OHO1', 'AX8NXTT8QMGHC']","[123.495, 50.497]"
a needle in a haystack,something very small amidst something very big,locating the right document in the archive was like finding a needle in a haystack,figurative,figurative,figurative,figurative,"['3634BBTX04AIT59WHNG3U8Q2ODXFIX', '36U2A8VAGHFFZRGFMGT3W9CVMSCKYA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.679, 45.876]"
a needle in a haystack,something very small amidst something very big,"the farmer accidentally dropped his sewing needle, and it became a challenge of finding a needle in a haystack",literal,literal,literal,literal,"['37FMASSAYS7SGOXGCLU7BIZH9F5IBI', '3SUWZRL0METAU7EZKBN8FNFX3LP6EE']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[51.696, 71.372]"
a piece of cake,very easy task,"searching through the bakery, she found it a piece of cake on the shelf",literal,tie,figurative,literal,"['3PW9OPU9P60NS51MLLGQIQFRY7I128', '3V5Q80FXID7J28F18PU96JUOWRX323']","['A290OV59Q76QC8', 'AX8NXTT8QMGHC']","[129.751, 36.688]"
a piece of cake,very easy task,she found it a piece of cake to solve the complex math problem,figurative,figurative,figurative,figurative,"['32N49TQG3WYSJKCO5ETUVW55ZZGVAX', '3VZLGYJEY1QLOHPRHLAB0ATZOVVZX5']","['A38DXFI1TZA295', 'AURYD2FH3FUOQ']","[30.81, 63.801]"
a roof over your head,a place to live,finding a job is essential for having a roof over your head,figurative,figurative,figurative,figurative,"['3U0SRXB7CTL7AWPW5YTPG502D02NRG', '3P529IW9KE1KJ6H22QDGMOIU5HRLFH']","['A1HKYY6XI2OHO1', 'AURYD2FH3FUOQ']","[116.593, 53.127]"
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,he has a screw loose if he thinks he can quit his job without consequences,figurative,figurative,figurative,figurative,"['3GFK2QRXXPX8S30C0S799N8XEUHW52', '3JNQLM5FTK20IC5QEVY925O5WDN2LF']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[146.954, 34.745]"
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion","with the tension between the two groups, a storm is brewing in the distance",figurative,figurative,figurative,figurative,"['336YQZE83BUCNR6YWQ1M0P66GS4M52', '3P529IW9KE1KJ6H22QDGMOIU5HRFLB']","['A38DXFI1TZA295', 'APRZ7BR8C0ZMQ']","[92.734, 36.238]"
a voice crying in the wilderness,to say something that is not popular,"while hiking, they heard a voice crying in the wilderness and went to investigate",literal,literal,literal,literal,"['31UV0MXWN6SQR8G7BB3U8WZPZJJI5H', '3IKZ72A5BKWA76KNE3TVZGMJACRFND']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[55.676, 149.223]"
a wet blanket,a person who spoils other people's fun.,"he was always being a wet blanket at parties, constantly complaining",figurative,figurative,figurative,figurative,"['3WEV0KO0O28APZYWVTFRAAT4LYKDSD', '32RIADZIS8KXP3F32IEY76ZY8LQS4E']","['A1I7H6RDJS4EKN', 'A290OV59Q76QC8']","[399.737, 49.089]"
