idiom,meaning,subsentence,sentence,label,reason
24/7 (twenty-four-seven),constantly,We're open 24/7,We're open 24/7 to accommodate all of our customers' needs.,0,"Here, ""24/7"" means to be always available or operating all the time."
24/7 (twenty-four-seven),constantly,We're open 24/7,We're open 24/7 so that you can shop at our store whenever you like.,1,"Here, ""24/7"" means to be open during all hours of the day, 7 days a week."
a bed of roses,easy option,It's not a bed of roses,It's not a bed of roses trying to rebuild our relationship.,0,"Here, ""a bed of roses"" means an easy or enjoyable situation."
a bed of roses,easy option,It's not a bed of roses,It's not a bed of roses because we used cotton sheets instead.,1,"Here, ""a bed of roses"" means an actual bed made of roses."
a bird in the hand,a possession that is worthy,There's a bird in his hand,There's a bird in his hand because he's considering the potential he might have if he holds on.,0,"Here, ""a bird in the hand"" means to have something for certain, even if it is not as good as a potential offer."
a bird in the hand,a possession that is worthy,There's a bird in his hand,There's a bird in his hand because he caught it.,1,"Here, ""a bird in the hand"" means to have something in one's possession, such as an object or animal."
a cuckoo in the nest,an unwelcome intruder in a place or situation.,He was a cuckoo in the nest,He was a cuckoo in the nest because he had different views from the team.,0,"Here, ""a cuckoo in the nest"" means to refer to someone who does not belong to a particular group because of his or her attitudes and outlook."
a cuckoo in the nest,an unwelcome intruder in a place or situation.,He was a cuckoo in the nest,He was a cuckoo in the nest as he sneaked his way in.,1,"Here, ""a cuckoo in the nest"" means to refer to an intruder who is not part of the family."
a cut above,noticeably greater to,This project is a cut above,This project is a cut above the rest and stands out from all the others.,0,"Here, ""a cut above"" means to exceed expectations and perform better than others."
a cut above,noticeably greater to,This project is a cut above,This project is a cut above the previous projects as it used more advanced techniques.,1,"Here, ""a cut above"" means to be of a higher quality or level than the other projects."
a damp squib,an event which people think will be exciting but which is disappointing when it happens.,The event was a damp squib,The event was a damp squib as it failed to live up to expectations.,0,"Here, ""a damp squib"" means a disappointment or a feeble outcome. "
a damp squib,an event which people think will be exciting but which is disappointing when it happens.,The event was a damp squib,The event was a damp squib because it was constantly disrupted by rain.,1,"Here, ""a damp squib"" means a literal dampening or suppressing of the experience."
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,It's a good man that's hard to find.,It's a good man that's hard to find nowadays since trust and kindness seem to be lacking.,0,"Here, ""a good man is hard to find"" means that it's difficult to find a person with qualities such as trustworthiness, kindness, and honesty."
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,It's a good man that's hard to find.,It's a good man that's hard to find since he's been missing for many days.,1,"Here, ""a good man is hard to find"" means to have difficulty with locating a specific person."
a hard nut to crack,a problem that is difficult to solve,He's a hard nut to crack,He's a hard nut to crack and no one has been able to bring him out of his shell.,0,"Here, ""a hard nut to crack"" means to be difficult to deal with or get to know."
a hard nut to crack,a problem that is difficult to solve,He's a hard nut to crack,He's a hard nut to crack and a hammer couldn't break it open.,1,"Here, ""a hard nut to crack"" means to be resistant to breaking or opening."
a house of cards,something that can easily be broken or crumble by itself,This business is a house of cards,"This business is a house of cards, which can easily fall apart if one element doesn't hold up.",0,"Here, ""a house of cards"" means a fragile structure that can collapse at any time due to its lack of a secure foundation."
a house of cards,something that can easily be broken or crumble by itself,This business is a house of cards,"This business is a house of cards, which was constructed using playing cards.",1,"Here, ""a house of cards"" means a building constructed of playing cards."
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,I used the test as a litmus test,I used the test as a litmus test to determine whether I should invest in this business scheme.,0,"Here, ""a litmus test"" means to use something to measure or evaluate the success or failure of an event or situation. "
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,I used the test as a litmus test,I used the test as a litmus test to check the acidity of the soil.,1,"Here, ""a litmus test"" means to use the litmus paper to check the acidity of the given substance."
a little bird told me,it is used when a person is trying to hide the source of his information,A little bird told me,A little bird told me that you were going to the party tonight.,0,"Here, ""a little bird told me"" means to be told some information by an unknown source."
a little bird told me,it is used when a person is trying to hide the source of his information,A little bird told me,A little bird told me that it was nesting in the tree.,1,"Here, ""a little bird told me"" means that an actual bird voiced its presence."
a lot on my plate,to have so many things to do at one time,I have a lot on my plate,I have a lot on my plate with all the tasks I have to do for work.,0,"Here, ""a lot on my plate"" means I have a lot of responsibilities to manage."
a lot on my plate,to have so many things to do at one time,I have a lot on my plate,I have a lot on my plate because I loaded it up.,1,"Here, ""a lot on my plate"" means I put a high quantity of food on my plate to eat."
a needle in a haystack,something very small amidst something very big,"It's like a needle in a haystack"" ",It's like a needle in a haystack trying to find a way to resolve this issue.,0,"Here, to ""needle in a haystack"" means to be like finding a tiny speck in a massive large space."
a needle in a haystack,something very small amidst something very big,"It's like a needle in a haystack"" ",It's like a needle in a haystack since I'm looking for a physical needle among the hay bales.,1,"Here, to ""needle in a haystack"" means to be physically looking for a needle in a haystack."
a nine days wonder,a cause of great excitement or interest for a short time but then quickly forgotten,This debate was a nine days wonder,This debate was a nine days wonder as it quickly became forgotten by everyone.,0,"Here, ""a nine days wonder"" means something that is popular for a short time and soon forgotten."
a nine days wonder,a cause of great excitement or interest for a short time but then quickly forgotten,This debate was a nine days wonder,This debate was a nine days wonder as it lasted for exactly nine days.,1,"Here, ""a nine days wonder"" means something that lasts for a specified but short length of time."
a piece of cake,very easy task,It's a piece of cake,It's a piece of cake for me to get the job done.,0,"Here, ""a piece of cake"" means that the task is easy and effortless."
a piece of cake,very easy task,It's a piece of cake,I'm going to have a piece of cake for dessert.,1,"Here, ""a piece of cake"" means to enjoy a slice of cake as a dessert."
a quick buck,to make money quickly.,He wanted to make a quick buck,He wanted to make a quick buck so he could pay off his debts.,0,"Here, ""a quick buck"" means to make money quickly or without much effort."
a quick buck,to make money quickly.,He wanted to make a quick buck,He wanted to make a quick buck by selling his old furniture.,1,"Here, ""a quick buck"" means to physically make a sudden amount of money."
a roof over your head,a place to live,He has a roof over his head,"He has a roof over his head, meaning he has a place to stay and someone to rely on.",0,"Here, ""a roof over your head"" means to have a secure and safe shelter."
a roof over your head,a place to live,He has a roof over his head,"He has a roof over his head, literally providing a cover from the rain.",1,"Here, ""a roof over your head"" means to have an actual roof structure to keep out weather elements."
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,I think he has a screw loose,I think he has a screw loose because of the outrageous things he does.,0,"Here, ""a screw loose"" means to be crazy or to have odd behavior."
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,I think he has a screw loose,I think he has a screw loose because the machine is malfunctioning.,1,"Here, ""a screw loose"" means to have a physical screw that is detached from the machine which is causing the malfunction."
a sight for sore eyes,a way of saying that you are happy to see someone,She was a sight for sore eyes,She was a sight for sore eyes after she came to my rescue.,0,"Here, to ""be a sight for sore eyes"" means to be a relief from a difficult situation. "
a sight for sore eyes,a way of saying that you are happy to see someone,She was a sight for sore eyes,She was a sight for sore eyes because of her beautiful appearance.,1,"Here, to ""be a sight for sore eyes"" means to be something visually appealing."
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",A storm is brewing,A storm is brewing; it's only a matter of time before everything starts to fall apart.,0,"Here, to ""a storm is brewing"" means to indicate that big changes or an event with difficult consequences is about to happen. "
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",A storm is brewing,A storm is brewing; rain clouds have been gathering in the sky.,1,"Here, to ""a storm is brewing"" means to indicate that a storm is developing with strong winds, rain and/or snow."
a trip to the sun,something which is very unlikely,He took a trip to the sun,He took a trip to the sun in order to find new inspiration for his art work.,0,"Here, ""a trip to the sun"" means to explore a place or situation outside of one's comfort zone in order to gain insight."
a trip to the sun,something which is very unlikely,He took a trip to the sun,He took a trip to the sun by building a space shuttle.,1,"Here, ""a trip to the sun"" means to physically travel to the sun by some means."
a voice crying in the wilderness,to say something that is not popular,She's a voice crying in the wilderness,She's a voice crying in the wilderness as she protests against the injustice in the society.,0,"Here, ""a voice crying in the wilderness"" means to be the voice of a single individual calling for action, which is not generally heard. "
a voice crying in the wilderness,to say something that is not popular,She's a voice crying in the wilderness,She's a voice crying in the wilderness as she screams for help from the remote location.,1,"Here, ""a voice crying in the wilderness"" means to be heard from a distant and desolate place."
a wakeup call,something that makes you realize that you need to take action to change a situation,It's a wakeup call,It's a wakeup call for me to start being more responsible with my time.,0,"Here, ""a wakeup call"" means to receive an eye-opening message or experience."
a wakeup call,something that makes you realize that you need to take action to change a situation,It's a wakeup call,It's a wakeup call because the alarm just went off.,1,"Here, ""a wakeup call"" means to be alerted and woken up."
a wet blanket,a person who spoils other people's fun.,He's a wet blanket,"He's a wet blanket, extinguishing any enthusiasm in the room.",0,"Here, ""a wet blanket"" means someone who spoils the atmosphere by being overly negative or pessimistic."
a wet blanket,a person who spoils other people's fun.,He's a wet blanket,"He's a wet blanket, literally drenching the atmosphere with water.",1,"Here, ""a wet blanket"" means someone who has somehow managed to bring physical water into the atmosphere."
a whale of,very big (piece) of something,She had a whale of a time,She had a whale of a time at the amusement park.,0,"Here, to ""have a whale of a time"" means to enjoy oneself a lot."
a whale of,very big (piece) of something,She had a whale of a time,She had a whale of a time cutting up the whale.,1,"Here, to ""have a whale of a time"" means to have a large amount of something."
