model,language_pair,score
gpt,en-zh,0.4456086453795433
gpt,en-ko,0.3871435154974461
gpt,en-he,0.25511202961206436
gpt,en-yo,0.06974299550056458
palm,en-zh,0.4416469743847847
palm,en-ko,0.37667937397956847
palm,en-he,0.3281294384598732
palm,en-yo,0.10625730752944947
google,en-zh,0.29680072128772733
google,en-ko,0.2612734517455101
google,en-he,0.21974859595298768
google,en-yo,0.07965335488319397
opus,en-zh,0.23169970601797105
opus,en-ko,0.0
opus,en-he,0.23602777630090713
opus,en-yo,0.06275780469179154
nllb,en-zh,0.30215364307165143
nllb,en-ko,0.25385123819112776
nllb,en-he,0.24949683159589767
nllb,en-yo,0.07673433005809784
