idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
off the hook,free of a difficult situation,She's off the hook now that she has unhooked her coat from the nail in the wall,1,tar with the same brush,to think that somebody has the same bad qualities as others in a similar surrounding,They tarred him with the same brush and painted the wooden fence together,1,in light of,because of,We're changing plans in light of the intense sunlight,1,all Greek to me,used to convey that you cannot understand what is being said or written,This seems all Greek to me,2,rip off,the act of stealing,"That was a rip off, as my shirt got ripped off when I caught it in the door",1
raise the bar,to be better than what went before,He raised the bar by giving his best performance in the competition,0,not have a clue,to not know something.,He did not have a clue what to do next,0,fan the flames,make a bad situation even worse,He fanned the flames by exciting the argument further,0,acid test,a test that proves a hypothesis or validity of a product or idea,It was an acid test since we used pH paper to measure acidity levels,1,look on the bright side,always try to see the good things even in bad situations,Let's look on the bright side and try to keep positive during this difficult time,0
rub shoulders,"to meet and spend time with people, especially when they are powerful or famous","He rubbed shoulders with the celebrities"" ",2,card up sleeve,to have a secret advantage that is suddenly revealed to change the game,He had a card up his sleeve,2,pound of flesh,an unreasonable demand but something that is one's legal right.,She asked for a pound of flesh from the other person,1,bite the hand that feed,to turn against someone who has been a benefactor in the past,It was biting the hand that fed him,2,lose it,go insane or crazy,,1
put a sock in it,to ask someone to stop talking,He put a sock in it so his roommate in the next room wouldn't hear his mumbling,1,voice in the wilderness,"someone who expresses an opinion that no one believes or listens to, especially if proved right later","She was a voice in the wilderness, standing for what she believed in despite not being understood or appreciated",0,paddle own canoe,To be able to act without having to depend on anyone.,He's paddling his own canoe to achieve his career goals,0,in hot water,in trouble or state of shame,He's in hot water because he's been getting complaints from his customers lately,0,last resort,the last thing you would do if you were desperate and all other courses of action had failed,As a last resort,2
concern with,to be busy with something,They have concerns with it,2,fight a losing battle,trying to do something even when there is little chance of succeeding,He's fighting a losing battle since none of his punches are landing,1,shades of grey,refers to a situation where things are not really clear,The situation was shades of grey,2,shades of grey,refers to a situation where things are not really clear,"The situation was shades of grey, which made it difficult to decide between the two options",0,drive up the wall,to make someone angry or irritated,He drove me up the wall when he took me for a car ride,1
bite the bullet,to endure a painful experience that you cannot avoid,You have to bite the bullet,2,tighten belt,to save your money,I need to tighten my belt as it is too loose,1,wash hands of,abandon taking responsibility for someone or something,I washed my hands of it by refusing to be responsible for the outcome,0,jury's out,when there is no general agreement or consensus on something,The jury's out on that decision and nothing is certain yet,0,rub shoulders,"to meet and spend time with people, especially when they are powerful or famous","He rubbed shoulders with the celebrities, making an impression in the industry",0
asleep at the switch,failing to attend to one's responsibilities or duties,He was asleep at the switch and woke up late for the train,1,keep on top,to stay informed,I'm trying to keep on top of the pile of documents so none get lost,1,back to the wall,to be in a difficult situation,I'm up against the wall,2,at stake,"It means to be on wager or bet, when there is some sort of uncertainty.",Everything is at stake,2,pass on the baton,give responsibility for something important to another person.,She passed on the baton to keep the race going,1
give me five,when you want someone to open a hand so you can hit it with your open hand in greeting or celebration,Can you give me five to high-five me?,1,ahead of the pack,more successful than other people who are trying to achieve the same things,He is ahead of the pack because of his hard work and dedication to his goals,0,die hard,"disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",She is a die hard fan,2,bite the hand that feed,to turn against someone who has been a benefactor in the past,It was biting the hand that fed him when it caused damage to the company that employed him,0,close shave,a narrow escape,That was a close shave when I narrowly avoided an accident on the highway,0
dodge a bullet,to narrowly avoid a very serious problem or a disaster,I dodged a bullet,2,cold feet,loss of courage,He got cold feet and decided to back out of the wedding at the last minute,0,up to the neck,"when people are very involved in something, especially when it's something wrong",He is up to the neck with his daily commitments,0,cards are stacked against,"someone is not likely to succeed, especially because the person is not being given a fair chance",The cards are stacked against him,2,cold feet,loss of courage,He got cold feet when he put on his socks,1
carry coals to new castle,to take something to a place or a person that has a lot of that thing already,He's already carrying coals to Newcastle,2,round the clock,continuously or interrupted,We worked round the clock,2,rat race,"to be following a routine that is both, exhaustive as well as competitive","I'm in the rat race, competing for the same promotions and achievements like everyone else",0,fight a losing battle,trying to do something even when there is little chance of succeeding,He's fighting a losing battle,2,rip off,the act of stealing,That was a rip off,2
