idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
a cuckoo in the nest,an unwelcome intruder in a place or situation.,He was a cuckoo in the nest because he had different views from the team,0,uncharted waters,"when you are in a situation that is unfamiliar to you, that you have no experience of and don't know what might happen",We are in uncharted waters,2,paddle own canoe,To be able to act without having to depend on anyone.,She was paddling her own canoe as she found success all on her own,0,rock the boat,to make trouble.,He decided to rock the boat by literally rocking it back and forth in the water,1,those three little words,"the three words ""I love you""",He said those three little words when he admitted his guilt in court,1
a sight for sore eyes,a way of saying that you are happy to see someone,She was a sight for sore eyes,2,bull in a china shop,"extremely awkward, clumsy person","He acted like a bull in a china shop when making decisions, breaking many fragile objects as he went",0,up a blind alley,to be doing something that will definitely have a negative outcome,We went up a blind alley,2,in the dark,"uninformed, a state of ignorance.",They were in the dark when the power went out,1,top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.",He's the top dog as he always walks ahead of the other three dogs,1
a whole raft of,a large collection of something,I got a whole raft of information,2,jury's out,when there is no general agreement or consensus on something,The jury's out on what to do next,0,take the biscuit,be the most remarkable or foolish of its kind,That took the biscuit,2,jobs for the boys,work that someone in an important position gives to their friends or relations,They got jobs for the boys,2,black hole,a place in which things are lost never to be seen again,He fell into a black hole,2
above board,"straight; without concealment, legitimate; open","Everything was above board, which was a relief, especially in this difficult political climate",0,batten down the hatches,to get ready for trouble,We battened down the hatches,2,to see the back of,to be glad that you no longer have to deal with someone,I'm glad to see the back of them since I can now see the other side,1,go steady,have a romantic relationship with someone,They've been going steady by walking together to the park every day,1,man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",He is a man's best friend because he always helps him out when he is in need,0
back against the wall,to be in a tough situation with limited options,They had their back against the wall,2,rat race,"to be following a routine that is both, exhaustive as well as competitive","He's in the rat race, pushing for unpaid overtime to keep up with the competition",0,worm in the apple,the presence of something very bad in the best,There's a worm in the apple,2,in cold blood,in a cruel way and without pity or other emotion,He killed him in cold blood because the temperature outside was low,1,have no truck with,avoid dealing or being associated with,I have no truck with them because I don't need their help,1
back to the wall,to be in a difficult situation,They were backed up against the wall as the crowd slowly started closing in on them,1,happy camper,to be content or satisfied with what is happening in your lifes and have no complaints,I'm a happy camper with the job offers I've been receiving,0,walk on eggshell,to be careful about one's words or actions around another person,She's walking on eggshells around them as every little thing can start an argument,0,yellow streak,people who  have an inclination towards being fainthearted.,"You have a yellow streak down your back, from your neck to your tailbone",1,back the wrong horse,to make the wrong decision and support a person or action that is later unsuccessful,He's backed the wrong horse by not taking the advice of his experienced colleagues,0
blow cover,to reveal the true identity,He blew his cover when he revealed his true identity to the enemy,0,lose your marbles,strange behaviors.,He has lost his marbles,2,zero tolerance,"denial to allow rebellious activities, usually by rigid and strict application of the rules;",She had a zero tolerance policy,2,whole nine yards,"everything, all of something",He went the whole nine yards,2,whatever floats my boat,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy","I'm going with whatever floats my boat, even if it is unconventional",0
blow his own horn,to talk about oneself or one's achievements especially in a way that shows pride or too much pride,He was blowing his own horn,2,top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","He's the top dog of the business world, making the most influential decisions",0,slap on the wrist,to show disapproval.,He got slapped on the wrist,2,miles away,unaware of the current situation,I feel miles away,2,clean slate,to wipe the past out and begin afresh,"She started with a clean slate, enabling her to achieve her desired goals without any setbacks",0
blue-collar,"of or relating to industrial work, especially the semiskilled and unskilled",He is a blue-collar worker because he wears a blue-colored shirt while at work,1,on the line,to be at serious risk.,"Everything was on the line when I was washing my clothes, so I didn't make any mistakes",1,begun to see the light,to suddenly begin to understand,I have begun to see the light,2,red carpet,to give people a special welcome to show that you think they are important,They rolled out the red carpet for him as a sign of honor and respect,0,bang on,to be exact; to be correct; to be proper,She was bang on the door trying to get inside,1
bull's eye,the center of a target,I hit the bull's eye with the arrow during target practice,1,sitting duck,to be an easy target,He's a sitting duck,2,let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,We should let sleeping dogs lie,2,rabbit hole,mentally go somewhere surreal or strange,He went down the rabbit hole,2,rain check,declining an offer that might be taken up later.,Let's take a rain check,2
call bluff,"to challenge to prove one's claim, when they are likely attempting to deceive",You can call his bluff,2,big mouth,someone who talks too much,He's got a big mouth and he won't stop gossiping about everyone,0,open old wounds,"to revive memories of an unpleasant event, situation or dispute that took place in the past",He opened old wounds when he used a scalpel to access scar tissue from a previous injury,1,draw a blank,to get no response from someone,I drew a blank when I was asked to remember her name,0,learn to walk before you run,to take smaller steps initially,He learned to walk before he ran by taking practice steps until he could run,1
cold shoulder,to treat somebody with coldness and contempt,He gave me the cold shoulder,2,bite tongue,to keep yourself from saying something that you really want to say,I had to bite my tongue,2,not getting anywhere,to make no progress at all; not improving or advancing a particular situation,I'm not getting anywhere because I'm not driving anywhere,1,on the cards,"Something very likely to happen, occur or take place.",It's on the cards,2,off on the wrong foot,off to a bad start,We got off on the wrong foot when we started talking yesterday,0
cut both ways,"have two different effects at the same time, usually one good and one bad.","His decision cut both ways, as it impacted people coming from different directions",1,carry coals to new castle,to take something to a place or a person that has a lot of that thing already,She carried coals to Newcastle,2,got somebody's goat,to annoy or irritate someone,They got my goat when they teased me publicly,0,heart and soul,with all the effort you can put into it,"She committed with her heart and soul, literally using each muscle and organ of her body",1,too many cooks spoil the broth,to mean that something does not go well when there are too many ways to do it,There were too many cooks,2
