idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
24/7 (twenty-four-seven),constantly,We're open 24/7 to accommodate all of our customers' needs,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 37.731, 'AssignmentId': '3R9WASFE2FW4OVY6HR4PU3TSC16FZF', 'HITId': '3VGET1QS0FFKSNG1XJH5INQ3IH77WB', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 44.943, 'AssignmentId': '3YGXWBAF7GXHIMQ75WOYS1VGETC4CI', 'HITId': '3VGET1QS0FFKSNG1XJH5INQ3IH77WB', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 154.914, 'AssignmentId': '33ISQZVXP52KDQ3MYBUGBZ7466SCC2', 'HITId': '3VGET1QS0FFKSNG1XJH5INQ3IH77WB', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}",0,1,2,0,True,False
24/7 (twenty-four-seven),constantly,We're open 24/7 so that you can shop at our store whenever you like,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 168, 'AssignmentId': '3XIQGXAUMSO247JLYQIS9Q0051G7X8', 'HITId': '3NSCTNUR3E38Y6ZF8L6G2EFGZRTA56', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 248, 'AssignmentId': '3KIBXJ1WDLA35DCDGTK5UIETZHAKOL', 'HITId': '3NSCTNUR3E38Y6ZF8L6G2EFGZRTA56', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 95, 'AssignmentId': '39O5D9O8798W0Q735IJFIW3AZH63CX', 'HITId': '3NSCTNUR3E38Y6ZF8L6G2EFGZRTA56', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
24/7 (twenty-four-seven),constantly,We're open 24/7,2,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 323, 'AssignmentId': '374TNBHA8RB1AUEAZLD0SVO4C1OYQX', 'HITId': '304QEQWK040Y537FLY5MME3U70Z0ON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 332, 'AssignmentId': '3PXX5PX6LDEDA6EI0X2UUKBYNALBAP', 'HITId': '304QEQWK040Y537FLY5MME3U70Z0ON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 120, 'AssignmentId': '374TNBHA8RB1AUEAZLD0SVO4C1OQYP', 'HITId': '304QEQWK040Y537FLY5MME3U70Z0ON', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",2,1,0,0,True,True
Achilles heel,a vulnerable spot or weakness,"This is his Achilles heel, as he always has difficulty containing his emotions",0,"{'WorkerId': 'A1P3Z24Y6GRNVA', 'WorkTimeInSeconds': 48.159, 'AssignmentId': '3H0W84IWB0I3GQCJCZQ6QI6TRJ7ER2', 'HITId': '3ZQX1VYFUSLGNSCIG2I1FT9CQZDO82', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 27.534, 'AssignmentId': '3A1PQ49WVXXR7V4446JX5ULTF171HB', 'HITId': '3ZQX1VYFUSLGNSCIG2I1FT9CQZDO82', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 45.569, 'AssignmentId': '320DUZ38GN2K2GPXAP7LOU5EUISGJT', 'HITId': '3ZQX1VYFUSLGNSCIG2I1FT9CQZDO82', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}",0,0,0,0,False,False
Achilles heel,a vulnerable spot or weakness,"This is his Achilles heel, as he has a weak spot on the back of his heel where he gets injured easily",1,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 261, 'AssignmentId': '31IBVUNM98FNFBTWGUFM9XGWNIEFVC', 'HITId': '3J94SKDELX56WD2RSVXISFNMKU35DG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 587, 'AssignmentId': '3IGI0VL64N04DJXGD6CLMAVXTG2ONP', 'HITId': '3J94SKDELX56WD2RSVXISFNMKU35DG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'AKQAI78JTXXC9', 'WorkTimeInSeconds': 438, 'AssignmentId': '3LKC68YZ3QJU0D6U5738IT8OMS5OWF', 'HITId': '3J94SKDELX56WD2RSVXISFNMKU35DG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
Achilles heel,a vulnerable spot or weakness,This is his Achilles heel,2,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 495, 'AssignmentId': '3QXNC7EIPYBYL013ABR5E84VQO609D', 'HITId': '3OWZNK3RZ050EIUQW7L948OYMK72UM', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 129, 'AssignmentId': '33PPO7FECBVLVLV0QHLD68NH331DI1', 'HITId': '3OWZNK3RZ050EIUQW7L948OYMK72UM', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 511, 'AssignmentId': '3JJVG1YBERDG402151BDM9VCVWI5BB', 'HITId': '3OWZNK3RZ050EIUQW7L948OYMK72UM', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",2,2,2,2,False,False
Dutch uncle,"criticize, scold or lecture someone",He talked to me like a Dutch uncle when he scolded me for not making the right decisions,0,"{'WorkerId': 'A290OV59Q76QC8', 'WorkTimeInSeconds': 215, 'AssignmentId': '3KRVW3HTZ31DTT498MEUT0GYLFVMSK', 'HITId': '3MJ9GGZYPIMGZ9GSQ24I47C4FHFA2I', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 164, 'AssignmentId': '3PZDLQMM0917F8BK1I5AZMYIT7R2CE', 'HITId': '3MJ9GGZYPIMGZ9GSQ24I47C4FHFA2I', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 206, 'AssignmentId': '37WLF8U1W56DG769GXYBDIS2EL36KD', 'HITId': '3MJ9GGZYPIMGZ9GSQ24I47C4FHFA2I', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
Dutch uncle,"criticize, scold or lecture someone",He talked to me like a Dutch uncle as he was born in The Netherlands,1,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 79, 'AssignmentId': '3STRJBFXOC7JI5HLCA64OSKGYPRTKG', 'HITId': '3RSBJ6YZFR6P27M5OGO7PLQYD2BFOT', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 263, 'AssignmentId': '3X4JMASXC2PH9TG08V515EZLEKM0BS', 'HITId': '3RSBJ6YZFR6P27M5OGO7PLQYD2BFOT', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 376, 'AssignmentId': '31JLPPHS2AAX9F46VNS6DWXROVP3OU', 'HITId': '3RSBJ6YZFR6P27M5OGO7PLQYD2BFOT', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
Dutch uncle,"criticize, scold or lecture someone",He talked to me like a Dutch uncle,2,"{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 64, 'AssignmentId': '3HPZF4IVN29XGT4RU3C58QZN8MNYCS', 'HITId': '3JHB4BPSGZPJM98807GJ4UZNP5B9QG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 38, 'AssignmentId': '3PB5A5BD0BMRILOV9GIOL4052F67GA', 'HITId': '3JHB4BPSGZPJM98807GJ4UZNP5B9QG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 457, 'AssignmentId': '3K5TEWLKGBR7P2VMH2L7CUTO3A5IV5', 'HITId': '3JHB4BPSGZPJM98807GJ4UZNP5B9QG', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",2,0,0,0,False,True
Easter egg,a decorated or dyed egg usually given to children at Easter,She found the Easter egg which was the key to her success,0,"{'WorkerId': 'A1AXQM54WTRGA5', 'WorkTimeInSeconds': 142, 'AssignmentId': '3X4JMASXC2PH9TG08V515EZLEO8B0X', 'HITId': '3XBXDSS89NZYW8ATBIE13BMBM2EXLX', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 522, 'AssignmentId': '32AT8R96G1PW619IHO5GKAXSY1XSUH', 'HITId': '3XBXDSS89NZYW8ATBIE13BMBM2EXLX', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 195, 'AssignmentId': '3O6CYIULETHPDIQR1TFHHZ0D4ETWU0', 'HITId': '3XBXDSS89NZYW8ATBIE13BMBM2EXLX', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,0,2,0,False,False
