idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_l_hu_gpt,p_a_ko_gpt,p_f_ko_gpt,p_l_ko_gpt,p_f_es_gpt,p_l_es_gpt,p_a_yo_gpt,p_f_yo_gpt
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,Az anatómia órán tanulmányoztuk az Achilles-ínét és annak funkcióját.,그의 아킬레스건.,"그의 지능에도 불구하고, 미루기가 그의 아킬레스건이었다.","해부학 수업 중에, 우리는 그의 아킬레스건과 그 기능을 공부했습니다.","A pesar de su inteligencia, la procrastinación era su talón de Aquiles.","Durante la clase de anatomía, estudiamos su talón de Aquiles y su función.",ori ẹ̀sẹ̀ rẹ ni Achilles.,"Nitorina oye re, oju ija ni omo iya re."
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,A jelmezbálon megtalálták Mr Right és Ms Right ruháikat az üzletben.,그들의 Mr. Right와 Ms. Right를 찾았습니다.,"수년간의 탐색 끝에, 그들은 드디어 그들의 Mr Right와 Ms Right를 찾아 결혼했다.",코스튬 파티에서 그들은 상점에서 그들의 Mr Right와 Ms Right 의상을 찾았습니다.,"Después de años de búsqueda, finalmente encontraron a su Sr. Correcto y Sra. Correcta y se establecieron.","En la fiesta de disfraces, encontraron sus trajes de Sr. Correcto y Sra. Correcta en la tienda.",wa ni won fi oju Mr Right ati Ms Right won.,"Ni ipo ti won ti oju ojo ko, won ni o wa ni Mr Right ati Ms Right wonyi ni won fi owo si."
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,"Az új alkalmazott egy fiatal török volt a cégnél, aki nemrég költözött Törökországból.",회사에서의 젊은 터크,그는 그의 혁신적인 아이디어 덕분에 회사에서 빠르게 어린 터크인이 되었습니다.,새로운 직원은 최근 터키에서 이사해온 어린 터크였다.,Rápidamente se convirtió en un Joven Turco en la empresa debido a sus ideas innovadoras.,"El nuevo empleado era un Joven Turco en la empresa, habiendo recientemente mudado desde Turquía.",Omo Turk ni odo.,O ti da lori owo re ni ojojumo ni omo Turk pupo ni odo yii ni ibi ti o fi ideja titun se.
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,A madarat a kezében tartva óvatosan megvizsgálta a tollait.,손에 있는 새,그는 손에 있는 새가 두 마리의 나무에서 얻을 수 있는 새보다 가치가 있다고 믿어서 일자리 제안을 받아들이기로 결정했다.,그녀는 손에 새를 잡고 깃털을 조심스럽게 살펴보았다.,"Él decidió aceptar la oferta de trabajo, creyendo que más vale pájaro en mano que ciento volando.","Sosteniendo un pájaro en la mano, ella examinó cuidadosamente sus plumas.",ọkùnrin kan ni òkèlè àtàwọn.,"O ti yan awọn iṣẹ ofa, nitori o nilo wipe ẹyin ni oju kan ni o ni oju meji ni igi."
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,"Miközben megfigyelte a madárfészket, az ornitológus egy kakukkot talált a fészekben.",둥지에서 뻐꾸기를 발견했다.,"새로운 직원이 문제를 일으키기 시작하자, 그들은 둥지에 뻐꾸기를 찾았다는 것을 깨달았다.",조류학자는 새의 둥지를 관찰하던 중 그 둥지에 뻐꾸기가 있다는 것을 발견했다.,"Cuando el nuevo empleado comenzó a causar problemas, se dieron cuenta de que habían encontrado un cuco en el nido.","Mientras observaba el nido del pájaro, el ornitólogo encontró un cuco en el nido.",Mo ri ẹyẹ ọpọlọ ni ibe.,"Lẹhin ti omo-iṣẹ tuntun bẹrẹ awọn alabọde, wọn mọ pe wọn ti wa ni ẹyẹlẹ ninu igbẹ."
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,"A vastag héj miatt a dió kemény diónak bizonyult, hogy kézzel nehezen lehet feltörni.",풀기 어려운 문제 (pulgi eoryeoun munje),형사에게는 난제였던 신비한 사건이었다.,두꺼운 껍질로 인해 호두는 맨손으로 깨기 어려운 딱딱한 견과류가 되었다.,El caso misterioso fue un hueso duro de roer para el detective.,La cáscara gruesa hizo que la nuez fuera difícil de abrir con las manos desnudas.,ọrọ ayẹwònpẹlẹ lati jẹ agbára.,Ile-iṣẹ ẹni ti o ni ẹ̀rọ ẹ̀rọ jẹ ọpọlọpọ ti o kọjá lati ṣe iṣẹ rẹ.
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,"Az összejövetelen sok mindent kipróbált, ezért nagyon sok étel volt a tányérján.",많은 일이 있었다.,"일에서 여러 프로젝트를 동시에 처리하면서, 그녀는 요즘에는 많은 일을 하고 있었다.",포트럭 저녁 식사에서 그는 모든 것을 좀씩 맛보고 나서 접시에 많이 담았다.,"Malabareando múltiples proyectos en el trabajo, ella tenía mucho en su plato estos días.","En la cena de comida compartida, él tenía mucho en el plato después de probar un poco de todo.",Kò sí ìsẹ́ rẹ̀ tó bá ṣe lórí àkókò.,"Ni ojojumo yii, o ti nṣe awọn iṣẹ mejila ni ojúewé, o ni ẹni ti o ni ọkan ninu awọn ọkan."
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,Az esőzés alatt a fejed fölötti tető szárazon tartott.,당신의 머리 위에 지붕이 있는 것,집을 가질 수 있는 것은 일자리를 찾는 것이 필수적입니다.,"비바람이 내릴 때, 머리 위에 지붕이 있으면 건조하게 지낼 수 있었습니다.",Encontrar un trabajo es esencial para tener un techo sobre tu cabeza.,"Durante la tormenta, tener un techo sobre tu cabeza te mantuvo seco.",ni ilẹkun rẹ.,Iṣẹlẹ ti o ni ọkan ninu awọn ohun ti o nilo ni ibi kan ni ibi rẹ.
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,"A bizonytalan asztalnak egy laza csavarja van, és meg kell javítani.",나사가 빠져 있습니다.,그가 그의 일을 그냥 그냥 그만둬도 어떤 결과도 없을 거라고 생각한다면 그는 무슨 이상이 있는 것이다.,흔들리는 테이블에 나사가 빠져서 수리가 필요합니다.,Tiene un tornillo suelto si piensa que puede renunciar a su trabajo sin consecuencias.,La mesa tambaleante tiene un tornillo suelto y necesita ser arreglada.,ko si igbin ti o ní ìfàjìkan,O ni òkàn tó kó bá ṣe iṣẹ rẹ ló lè ṣe àwọn ìṣẹ́ rẹ kò ní gbàgbé.
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Ő egy ébresztő hívást kapott a szálloda recepciójától reggel 6-kor.,그녀는 깨움 전화를 받았습니다.,"시험에 실패한 후, 그녀는 더 열심히 공부해야 한다는 깨달음을 받았습니다.",그녀는 호텔 프론트 데스크에서 6시에 웨이크업 콜을 받았습니다.,"Después de reprobar el examen, recibió una llamada de atención para estudiar más duro.",Ella recibió una llamada de despertador de la recepción del hotel a las 6 a.m.,O ti gba ohun alaabo iyara.,"Lẹhin ti o kọ ile-iwe, o gba ohun ti o jẹ ọrọ ọmọlẹra lati pada sọnu lati kọ awọn iwe to dara ju."
