idiom,phrase,sentence,label,reason
get to [pron] point,I'm getting to my point,I'm getting to my point that we need to work harder.,0,"Here, ""get to [pron] point"" means to reach a conclusion or a solution."
get to [pron] point,I'm getting to my point,I'm getting to my point that I was making on the map.,1,"Here, ""get to [pron] point"" means to physically move to a specific point on the map."
get to [pron] point,Let's get to my point,Let's get to my point and talk about the bigger picture.,0,"Here, ""get to [pron] point"" means to come to the ultimate conclusion or to the crux of the matter."
get to [pron] point,Let's get to my point,Let's get to my point on the map to guide you to the destination.,1,"Here, ""get to [pron] point"" means to arrive at a specific spot or to navigate to a particular location."
bring (somebody) to ([pron]) knees,The accident brought her to her knees,The accident brought her to her knees as her faith was tested.,0,"Here, to ""bring (somebody) to ([pron]) knees"" means to make somebody feel powerless and helpless."
bring (somebody) to ([pron]) knees,The accident brought her to her knees,The accident brought her to her knees as she twisted her ankle.,1,"Here, to ""bring (somebody) to ([pron]) knees"" means to physically force somebody to get down on their knees due to physical injury."
bring (somebody) to ([pron]) knees,The pressure brought him to his knees,The pressure brought him to his knees and he had no choice but to accept defeat.,0,"Here, ""bring (somebody) to ([pron]) knees"" means to overpower or force to submit."
bring (somebody) to ([pron]) knees,The pressure brought him to his knees,The pressure brought him to his knees and he had to physically kneel down.,1,"Here, ""bring (somebody) to ([pron]) knees"" means to physically force somebody to kneel down."
make up [pron] mind,I still haven't made up my mind,I still haven't made up my mind about which career I should follow.,0,"Here, ""make up [pron] mind"" means to reach a decision."
make up [pron] mind,I still haven't made up my mind,I still haven't made up my mind about which eyeshadow shade looks best on me.,1,"Here, ""make up [pron] mind"" means to decide between a set of options."
make up [pron] mind,I'm trying to make my mind up,I'm trying to make my mind up and decide what I want to do.,0,"Here, to ""make [pron] up mind"" means to make a decision. "
make up [pron] mind,I'm trying to make my mind up,I'm trying to make my mind up by gathering all the facts.,1,"Here, to ""make [pron] up mind"" means to gather all the information needed to make a decision."
build bridges,We need to build bridges,We need to build bridges and establish a stronger bond between our two companies.,0,"Here, to ""build bridges"" means to construct connections and form relationships."
build bridges,We need to build bridges,We need to build bridges to help our vehicles cross the river.,1,"Here, to ""build bridges"" means to physically construct a bridge."
build bridges,We can build bridges,We can build bridges to connect us and bring us closer together.,0,"Here, ""build bridges"" means to form a positive relationship with someone."
build bridges,We can build bridges,We can build bridges to cross the river.,1,"Here, ""build bridges"" means to construct a physical bridge to facilitate transportation."
raise eyebrows,The news raised a few eyebrows,The news raised a few eyebrows as people were shocked by the unexpected turn of events.,0,"Here, to ""raise eyebrows"" means to surprise or shock someone."
raise eyebrows,The news raised a few eyebrows,The news raised a few eyebrows as people furrowed their brows in puzzlement.,1,"Here, to ""raise eyebrows"" means to lift the brows in an expression of amazement."
raise eyebrows,His words raised eyebrows,His words raised eyebrows among his colleagues as they were surprised by his outlandish ideas.,0,"Here, ""raise eyebrows"" means to elicit surprise or incredulity."
