idiom,meaning,example,source,dupl,idiom_set,idiom_dict,meaning_dict,example_dict,idiom_pfbt,meaning_pfbt
by all means,in every way possible.,"""Do you mind if I go to the party?"" ""By all means.""",dict,0,"frozenset({'all', 'mean'})",by all means,in every way possible.,"""Do you mind if I go to the party?"" ""By all means.""",,
banker's hours,short working hours,"With our boss on leave, most of us worked banker's hours for the whole week.",dict,0,"frozenset({'hour', 'banker'})",banker's hours,short working hours,"With our boss on leave, most of us worked banker's hours for the whole week.",,
hot potato,any subject which several folks are talking about and which is frequently argued,The issue of gun control is a political hot potato in the United States.,dict,0,"frozenset({'hot', 'potato'})",hot potato,any subject which several folks are talking about and which is frequently argued,The issue of gun control is a political hot potato in the United States.,,
penny for your thoughts,a way of asking what someone else is thinking,"""You have been quiet for a while, a penny for your thoughts.""",dict,0,"frozenset({'penni', 'thought'})",penny for your thoughts,a way of asking what someone else is thinking,"""You have been quiet for a while, a penny for your thoughts.""",,
add insult to injury,to make a bad situation worse,"The company rejected his application for a job, and to add insult to injury, refused to pay his expenses.",dict,0,"frozenset({'injuri', 'insult', 'add'})",add insult to injury,to make a bad situation worse,"The company rejected his application for a job, and to add insult to injury, refused to pay his expenses.",,
actions speak louder than words,what you do carries more weight than what you say,"""You always speak of the importance of charity, but never do anything. Actions speak louder than words!""",dict,0,"frozenset({'action', 'speak', 'word', 'louder'})",actions speak louder than words,what you do carries more weight than what you say,"""You always speak of the importance of charity, but never do anything. Actions speak louder than words!""",,
the best of both worlds,a win-win situation,"""If you decide to live here you get the greenery of the countryside and the amenities of urban life. Its the best of both worlds, really.""",dict,0,"frozenset({'both', 'world', 'best'})",the best of both worlds,a win-win situation,"""If you decide to live here you get the greenery of the countryside and the amenities of urban life. Its the best of both worlds, really.""",,
best thing since sliced bread,something that is too fine,The invention of internet has changed the way we live; it is the best thing since sliced bread.,dict,0,"frozenset({'thing', 'best', 'bread', 'sinc', 'slice'})",best thing since sliced bread,something that is too fine,The invention of internet has changed the way we live; it is the best thing since sliced bread.,,
have no truck with,avoid dealing or being associated with,You should have no truck with those few in your class. They are just trying to misuse your trait of helping others.,dict,1,"frozenset({'have', 'truck'})",have no truck with,avoid dealing or being associated with,You should have no truck with those few in your class. They are just trying to misuse your trait of helping others.,have no truck with,when you refuse to get involved with something or someone
save your breath,to not waste effort on something that has no outcome,You must save your breath by not asking this generation to keep their cell phones at rest.,dict,0,"frozenset({'breath', 'save'})",save your breath,to not waste effort on something that has no outcome,You must save your breath by not asking this generation to keep their cell phones at rest.,,
belly up,to die,Many companies went belly up during the great inflation.,dict,0,"frozenset({'belli', 'up'})",belly up,to die,Many companies went belly up during the great inflation.,,
spin a yarn,to tell a tale,Kids like to have their grandparents spin a yarn for them.,dict,0,"frozenset({'spin', 'yarn'})",spin a yarn,to tell a tale,Kids like to have their grandparents spin a yarn for them.,,
vale of years,the decreasing time of a individual's life.,I shall not leave my parents during their vale of years.,dict,0,"frozenset({'year', 'vale'})",vale of years,the decreasing time of a individual's life.,I shall not leave my parents during their vale of years.,,
variety is the spice of life,new and exciting practices make life more attractive,I started learning tennis after having tried swimming because variety is the spice of life.,dict,0,"frozenset({'varieti', 'spice', 'life'})",variety is the spice of life,new and exciting practices make life more attractive,I started learning tennis after having tried swimming because variety is the spice of life.,,
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.","In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",dict,0,"frozenset({'beyond', 'veil'})",beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.","In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",,
ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Some people think they've turned into an ugly duckling whereas the truth is they are & look the same as they used to in their childhood.,dict,0,"frozenset({'ugli', 'duckl'})",ugly duckling,a young person who turns out to be beautiful or talented against all expectations.,Some people think they've turned into an ugly duckling whereas the truth is they are & look the same as they used to in their childhood.,,
late unpleasantness,the war that took place recently,"No sooner had Japanese recovered from the late unpleasantness, a massive volcanic eruption took place destroying huge no. of lives & property.",dict,0,"frozenset({'unpleas', 'late'})",late unpleasantness,the war that took place recently,"No sooner had Japanese recovered from the late unpleasantness, a massive volcanic eruption took place destroying huge no. of lives & property.",,
uncle Tom Cobley and all,used to denote a long list of people (in British English),"Businessman, entrepreneurs, Uncle Tom Cobley and all had been invited to the Real Estate Awards function in the city last month.3",dict,0,"frozenset({'all', 'tom', 'cobley', 'uncl'})",uncle Tom Cobley and all,used to denote a long list of people (in British English),"Businessman, entrepreneurs, Uncle Tom Cobley and all had been invited to the Real Estate Awards function in the city last month.3",,
upper crust,"the aristocracy and upper classes, informal",Reservation system was developed to help the needy. Now it has become privilege for the society therefore even the upper crust are demanding reservation these days.,dict,0,"frozenset({'upper', 'crust'})",upper crust,"the aristocracy and upper classes, informal",Reservation system was developed to help the needy. Now it has become privilege for the society therefore even the upper crust are demanding reservation these days.,,
cry over spilt milk,to be upset about things that have already been done,"While its sad that the results have not been as good as you expected, you should now focus on moving ahead and achieving better results next time; there is no use crying over spilt milk.",dict,1,"frozenset({'milk', 'cri', 'spilt', 'over'})",cry over spilt milk,to be upset about things that have already been done,"While its sad that the results have not been as good as you expected, you should now focus on moving ahead and achieving better results next time; there is no use crying over spilt milk.",don't cry over spilt milk,when something bad happens and nothing can be done to help it
fit as a fiddle,A very healthy person,"My grandfather is 90 years old, but he is as fit as a fiddle.",dict,0,"frozenset({'fiddl', 'fit'})",fit as a fiddle,A very healthy person,"My grandfather is 90 years old, but he is as fit as a fiddle.",,
throw in the towel,to quit,His trainer told Rocky that he would throw in the towel if he did not start throwing punches.,dict,0,"frozenset({'towel', 'throw'})",throw in the towel,to quit,His trainer told Rocky that he would throw in the towel if he did not start throwing punches.,,
every cloud has a silver lining,there is something good in everything that's bad,"Reena was depressed to be confined to bed after her surgery, but over time, when she could spend a lot of time with her family and catch up with old friends, who came to visit her, she realized that every cloud has a silver lining.",dict,0,"frozenset({'line', 'everi', 'cloud', 'silver'})",every cloud has a silver lining,there is something good in everything that's bad,"Reena was depressed to be confined to bed after her surgery, but over time, when she could spend a lot of time with her family and catch up with old friends, who came to visit her, she realized that every cloud has a silver lining.",,
third wheel or fifth wheel,a person who is in a situation where they are not needed,I was the only person at the dinner party without a date. I felt like a third wheel.,dict,0,"frozenset({'wheel', 'fifth', 'third'})",third wheel or fifth wheel,a person who is in a situation where they are not needed,I was the only person at the dinner party without a date. I felt like a third wheel.,,
give the devil his due,"give credit to an opponent's merits, grudgingly or not.","I don't like what the new management has done, but give the devil his due, sales have improved.",dict,0,"frozenset({'give', 'due', 'devil'})",give the devil his due,"give credit to an opponent's merits, grudgingly or not.","I don't like what the new management has done, but give the devil his due, sales have improved.",,
die hard,"disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro","ing: disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",dict,0,"frozenset({'hard', 'die'})",die hard,"disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro","ing: disappear or change very slowly, take a long time to cease to exist or be dropped from consideration. Noun: a person who displays such resistance or loyalty. Example 1: Die hard boarders are snatching up second homes here, but so far it has managed to stay affordable. Example 2: Die-hard football enthusiasts were planning the rebirth of a town team. Example 3: On the morning of my visit, a few die-hards were setting up a small fund-raising event at the gro",,
die in harness,to expire while working,She doesn't want to retire - she'd rather die in harness.,dict,0,"frozenset({'die', 'har'})",die in harness,to expire while working,She doesn't want to retire - she'd rather die in harness.,,
the die is cast,"an unalterable decision has been reached, or step taken.","an unalterable decision has been reached, or step taken.",dict,0,"frozenset({'cast', 'die'})",the die is cast,"an unalterable decision has been reached, or step taken.","an unalterable decision has been reached, or step taken.",,
wash dirty linen in public,discuss publicly matters that one should keep private,She decided not to take the family dispute to court as she feared it would only lead to a lot of washing of dirty linen in public.,dict,0,"frozenset({'linen', 'public', 'dirti', 'wash'})",wash dirty linen in public,discuss publicly matters that one should keep private,She decided not to take the family dispute to court as she feared it would only lead to a lot of washing of dirty linen in public.,,
doldrums,be inactive,A cut in interest rates on housing loans can lift the property market out of the doldrums.,dict,0,frozenset({'doldrum'}),doldrums,be inactive,A cut in interest rates on housing loans can lift the property market out of the doldrums.,,
deja vu,already seen (Literal meaning in French),She suddenly had a strong sense of déjà vu.,dict,0,"frozenset({'deja', 'vu'})",deja vu,already seen (Literal meaning in French),She suddenly had a strong sense of déjà vu.,,
dead end,"a street, corridor, road, pipe etc., that has no exit",The interlocutors have reached a dead end in their efforts to discover a peaceful solution to the imbroglio.,dict,0,"frozenset({'end', 'dead'})",dead end,"a street, corridor, road, pipe etc., that has no exit",The interlocutors have reached a dead end in their efforts to discover a peaceful solution to the imbroglio.,,
on the dot,exactly on time,We were asked to be there at five on the dot.,dict,0,frozenset({'dot'}),on the dot,exactly on time,We were asked to be there at five on the dot.,,
double whammy,situation where two bad things happen at the same time,"Boss fired me from the job and I lost my wallet too, what a double whammy?",dict,0,"frozenset({'whammi', 'doubl'})",double whammy,situation where two bad things happen at the same time,"Boss fired me from the job and I lost my wallet too, what a double whammy?",,
drop a bombshell,"make an unexpected, startling or disturbing announcement",My sister dropped a bombshell by announcing she was discontinuing her study for a job.,dict,1,"frozenset({'drop', 'bombshel'})",drop a bombshell,"make an unexpected, startling or disturbing announcement",My sister dropped a bombshell by announcing she was discontinuing her study for a job.,drop a bombshell,to make an unexpected announcement which will greatly change a situation
dribs and drabs,in small irregular quantities,The checks for the charity are coming in dribs and drabs.,dict,0,"frozenset({'drab', 'drib'})",dribs and drabs,in small irregular quantities,The checks for the charity are coming in dribs and drabs.,,
in high dudgeon,feeling or exhibiting great resentment,"After the scuffle, the man who was affronted left in high dudgeon.",dict,0,"frozenset({'dudgeon', 'high'})",in high dudgeon,feeling or exhibiting great resentment,"After the scuffle, the man who was affronted left in high dudgeon.",,
just deserts,get what one deserves,"After the supervisor was suspended, many workers felt that he got his just deserts.",dict,1,"frozenset({'just', 'desert'})",just deserts,get what one deserves,"After the supervisor was suspended, many workers felt that he got his just deserts.",just deserts,people that get the punishment or suffer the misfortune that they may deserve
deals with,be concerned with something,We will have to plan our strategy to deal with the rising incident of theft.,dict,0,frozenset({'deal'}),deals with,be concerned with something,We will have to plan our strategy to deal with the rising incident of theft.,,
do the trick,successfully achieve a result,"If nothing seems to be working, just pray to the God, sometimes that does the trick.",dict,0,frozenset({'trick'}),do the trick,successfully achieve a result,"If nothing seems to be working, just pray to the God, sometimes that does the trick.",,
play by ear,learn music by ear,My sister learned to play the piano by ear when she was a child.,dict,0,"frozenset({'play', 'ear'})",play by ear,learn music by ear,My sister learned to play the piano by ear when she was a child.,,
early days,it is too soon to make a judgment about something,"The new measures seem to have worked, but it's early days yet and the Reserve Bank of India Governor would rather not make any comment about the country's economy.",dict,0,"frozenset({'day', 'earli'})",early days,it is too soon to make a judgment about something,"The new measures seem to have worked, but it's early days yet and the Reserve Bank of India Governor would rather not make any comment about the country's economy.",,
take the edge off,blunt the effect of,Have a painkiller - it'll take the edge off the pain your in hand.,dict,0,"frozenset({'edg', 'take', 'off'})",take the edge off,blunt the effect of,Have a painkiller - it'll take the edge off the pain your in hand.,,
liquor up,get someone drunk,"When their friends came for a visit, they took them to the bar and liquored them up.",dict,0,"frozenset({'liquor', 'up'})",liquor up,get someone drunk,"When their friends came for a visit, they took them to the bar and liquored them up.",,
