idiom,meaning,intended_figurative,intended_literal,maxVote_figurative,maxVote_literal,gold_figurative,gold_literal,well_formed
a voice crying in the wilderness,to say something that is not popular,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention","while hiking, they heard a voice crying in the wilderness and went to investigate",tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
against the clock,in a great hurry to finish something before a particular time,"with the deadline approaching, we were racing against the clock to finish the project","in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
apples to apples,having a fair comparison between the two things,"to make a fair judgment, we need to compare apples to apples in this situation","in the fruit market, we had to compare apples to apples to find the best quality",tie,literal,"['ambiguous', 'figurative']","['literal', 'literal']",FALSE
asleep at the wheel,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",the manager was asleep at the wheel when the company lost a major client,he was so exhausted that he fell asleep at the wheel while driving,tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",FALSE
at an arm's length,as far away from your body as possible,she kept it at an arm's length to avoid getting too involved in the situation,he kept it at an arm's length to prevent the paint from smudging his clothes,tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",FALSE
backroom boy(s),people who work in anonymity,the company's success was largely due to the backroom boys who worked tirelessly behind the scenes,"in the storage area, the backroom boys were busy organizing and restocking shelves",tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
behind closed doors,in clandestine,the board members discussed the matter behind closed doors to maintain confidentiality,"they stood behind closed doors while discussing the matter, as the room was too noisy",tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
beyond the veil,"In an inexplicable or concealed place or condition, especially the mysterious state of existence after death.",the psychic claimed she looked beyond the veil and communicated with spirits,"standing in front of the window, she looked beyond the veil and saw the beautiful garden",tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",FALSE
chapter and verse,verbatim; word for word details.,"when asked about the new policy, she gave them chapter and verse on the company's regulations",the priest gave them chapter and verse from the Bible during the sermon,tie,literal,"['ambiguous', 'figurative']","['literal', 'literal']",FALSE
choke up,make a person become overemotional and speechless,"hearing the sad news, he started to choke up and could n't speak","while eating too quickly, he started to choke up on a piece of food",tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
clear the air,get rid of all doubts and negative feelings,"after the argument, we cleared the air with her by discussing our feelings",we cleared the air with her by opening the windows to let the smoke out,tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
coin money,make a great deal of money easily or very quickly.,their successful business venture had them coining money together in no time,"as mint workers, they were coining money together at the factory",tie,literal,"['ambiguous', 'figurative']","['literal', 'literal']",FALSE
come across,to meet someone,"while researching, I came across the old book that provided valuable information","walking through the library, I accidentally stepped on and came across the old book lying on the floor",tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
deliver the goods,do what is required,the new employee delivered the goods on time by meeting all the project deadlines,the courier delivered the goods on time to the customer's doorstep,tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
die in harness,to expire while working,"the dedicated employee died in harness, working tirelessly until the end",the poor horse died in harness while pulling the heavy load,tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
does exactly what it says on the tin,someone or something is exactly as they seem,the new software does exactly what it says on the tin and is very user-friendly,the paint does exactly what it says on the tin and dries in just 30 minutes,tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
get one's feet wet,to begin taking part in a new activity,they got their feet wet by starting with a small project before tackling the big one,they got their feet wet when they accidentally stepped into a puddle,tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",FALSE
hold all the aces,be in a winning position.,"during the negotiation, he held all the aces and had the upper hand","during the poker game, he held all the aces in his hand",tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",FALSE
in black and white,printed form of a document,"to avoid any confusion, we decided to put it in black and white in the contract",the artist chose to put it in black and white for a more dramatic effect,tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
in one's blood,a natural or inherited characteristic.,"she's a natural athlete, it's in her blood","the medication she took is now circulating, it's in her blood",tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
knight in shining armour,used to describe someone who saves you from a difficult situation,he came to her rescue like a knight in shining armour when she needed help,"at the medieval festival, there was a knight in shining armour on horseback",tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
knock on wood,tap knuckle on wood in order to avoid bad luck,"hoping for good luck, she knocked on wood before the big presentation","to test the sturdiness of the table, she knocked on wood",tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
lead astray,make someone act or think in a wrong or foolish manner.,the false information led them astray in their investigation,the broken compass led them astray in the dense forest,tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
leave at the altar,decide not to marry someone at the very last moment,he left her at the altar when he decided not to show up for their wedding,he left her at the altar to fetch the forgotten wedding rings from their car,tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
lick your lips,to show that you're excited about something and are eager for it to happen,they licked their lips in anticipation of the delicious meal,"after eating the ice cream, they licked their lips to clean off the remaining traces",tie,literal,"['figurative', 'literal']","['literal', 'literal']",FALSE
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,"when making a big decision, always remember to look before you leap","while standing on the edge of the diving board, he was reminded to look before you leap",tie,literal,"['figurative', 'ambiguous']","['literal', 'literal']",FALSE
lump in my throat,to have a tight feeling in your throat because of a strong emotion such as sadness or gratitude,"when I heard the sad news, I had a lump in my throat and couldn't speak","after swallowing a large piece of food, I had a lump in my throat and needed water",tie,literal,"['literal', 'figurative']","['literal', 'literal']",FALSE
