idiom_0,instance_0,label_0,meaning_0,idiom_1,instance_1,label_1,meaning_1,idiom_2,instance_2,label_2,meaning_2,idiom_3,instance_3,label_3,meaning_3,idiom_4,instance_4,label_4,meaning_4
icing on the cake,getting a promotion was the icing on the cake after a successful year,0,when something good is added to another good thing that you already have,outside the lines,his innovative approach to the project was like coloring outside the lines,0,not sticking to the rules,ball and chain,was carrying a ball and chain,2,a burden or problem that ties you down and prevents you from doing what you want,tip of the iceberg,the problems we discovered were just the tip of the iceberg in this company,0,to only know a very small part of the problem,up a river without a paddle,found ourselves up a river without a paddle,2,"when you are in an unfortunate situation, unprepared and with none of the resources to remedy the matter"
on the pig's back,"at the farm, the child was riding on the pig's back for fun",1,a successful situation and everything is going well for that person,give a shot,"even though he was nervous, he gave it a shot and presented his idea to the team",0,to have a try at something,shake a leg,shaking a leg,2,"to go fast, hurry",against the grain,"when sanding wood, going against the grain can cause scratches and damage",1,a difficult path to be followed,flesh and blood,the horror movie showed a scene where my own flesh and blood was exposed after a terrible accident,1,"This phrase refers to direct family members, people that share a DNA, that is, flesh and blood."
choke up,"while eating too quickly, he started to choke up on a piece of food",1,make a person become overemotional and speechless,the die is cast,"once the decision was made, there was no turning back; the die is cast",0,"an unalterable decision has been reached, or step taken.",plays with fire,she plays with fire,2,people who take unnecessary risks or behave in a dangerous way,stand out,he had to stand out in the crowd to get a better view of the stage,1,extend beyond or above a surface,in touch,"during the team-building exercise, we had to stay in touch by holding hands",1,"to remain in contact with someone, especially when separated by time or distance"
catch up,I need to catch up with her to discuss the latest news,0,"to get to the same level, standard, or status as something or someone",rise and shine,rise and shine,2,to ask someone to wake up and become active in the daily chores,bite off more than one can chew,he bit off more than he could chew when he tried to eat the whole sandwich in one bite,1,"to try to do something that is too difficult for you, or more than you can manage",bare bones,presented the bare bones,2,most basic and important elements or facts,not have a clue,she searched her bag for the crossword puzzle but didn't have a clue inside,1,to not know something.
asleep at the wheel,he was so exhausted that he fell asleep at the wheel while driving,1,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",snake in the shoes,he found a snake in the shoes,2,to be in a state of fear,make ends meet,was struggling to make ends meet,2,make sufficient money to survive on,fall flat,"he tried to make everyone laugh, but the joke fell flat and no one reacted",0,"fails to amuse people, or fails to have the effect that was intended",Achilles heel,"during the anatomy class, we studied his Achilles heel and its function",1,a vulnerable spot or weakness
taste of own medicine,she gave him a taste of his own medicine by making him try the bitter concoction he had prepared for her,1,when someone gets the same bad treatment that he has been giving others,playing second fiddle,he didn't like playing second fiddle to her in the company hierarchy,0,to play a secondary or minor role with regards to someone else,chill wind,"as we walked through the forest, a chill wind blew and made us shiver",1,to encounter the problems or trouble,play cat and mouse,the detective played cat and mouse with the suspect to get a confession,0,to play with or tease someone,stop by,stop by the store,2,to meet someone or go somewhere in a brief and informal manner
at the bottom of the ladder,she started at the bottom of the ladder,2,"occupying the lowest, most basic position in a given group",as far as,the vast desert stretched out as far as the eye can see,1,to the extent of something,straighten up and fly right,"after a stern warning from his boss, he decided to straighten up and fly right at work",0,to get serious and stop acting absurd anymore.,makes my ears burn,hearing people gossip about me makes my ears burn,0,"to be embarrassed by what you hear, especially if the conversation is about you",ahead of the curve,was staying ahead of the curve,2,better than others
recharge one's batteries,they went on a vacation to recharge their batteries and regain their energy,0,take a break or holiday to relax and regain one's vim and vigour,paddle own canoe,to paddle their own canoe,2,To be able to act without having to depend on anyone.,whatever floats my boat,"when it comes to choosing a hobby, I believe in whatever floats my boat",0,"although you don't quite agree with someone, it's their choice and you think they should so whatever makes them happy",know the ropes,"having worked there for years, he knew the ropes well and could handle any task",0,to know all the ways and means to get something done,down to earth,a down-to-earth person,2,"decent, simple, realistic"
sink or swim,starting a new job without any training was a sink or swim situation for her,0,"having to do something alone, and their success or failure depends entirely on their own efforts",cut the cord,cut the cord with her,2,to end a connection with someone,hammer and tongs,went at it hammer and tongs,2,"to argue fiercely, with a lot of energy and noise",against the grain,his decision to quit his job was going against the grain of his family's expectations,0,a difficult path to be followed,walking on broken glass,dealing with her sensitive feelings was like walking on broken glass,0,when a person is punished for something
not getting anywhere,not getting anywhere with this,2,to make no progress at all; not improving or advancing a particular situation,kick yourself,kicked themselves,2,to be angry with yourself for something you have or have not done,treasure trove,"when they found the old library, they discovered a treasure trove of knowledge",0,a priceless or valuable discovery,you can't have your cake and eat it,can't have the cake and eat it,2,you can't have things both ways,smell something fishy,I smelled something fishy,2,to have a suspicion that something is wrong
