idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff,num_discard
a little bird told me,it is used when a person is trying to hide the source of his information,A little bird told me that it was nesting in the tree,1,"{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 473, 'AssignmentId': '3B4YI393VPCGROHESJAG59F4D4DSS2', 'HITId': '36818Z1KWIT5KRCBU2INNHHWLVFA3T', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 478, 'AssignmentId': '3OVR4I9US5ZLCN0QAEPTC6KXH0OQ43', 'HITId': '36818Z1KWIT5KRCBU2INNHHWLVFA3T', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'APGX2WZ59OWDN', 'WorkTimeInSeconds': 120, 'AssignmentId': '3CFVK00FW11O0DOR1XACSI5H3L9L6W', 'HITId': '36818Z1KWIT5KRCBU2INNHHWLVFA3T', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,3,1,1,False,False,1
not the sharpest tool in the shed,"someone who is not very clever, according to others",He's not the sharpest tool in the shed and often dulls his tools,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 30.738, 'AssignmentId': '3PXX5PX6LDEDA6EI0X2UUKBYNBDBAJ', 'HITId': '34YWR3PJ3NQLZCL7MPSI5RUNJ4A0XY', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 29.541, 'AssignmentId': '3ZDAD0O1THTP25GSBTLTEMSIU3MTXV', 'HITId': '34YWR3PJ3NQLZCL7MPSI5RUNJ4A0XY', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 60.747, 'AssignmentId': '3TUI152ZZR34KO37NW6RE8DU5H91QY', 'HITId': '34YWR3PJ3NQLZCL7MPSI5RUNJ4A0XY', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",0,2,3,0,True,True,1
no dice,not agree for something,It was no dice when I rolled that pair of dice,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 504, 'AssignmentId': '3LEIZ60CDZFVNL7TE54XK77H8VOZ93', 'HITId': '3R5LWXWHSFOIAGWS0RHLQJH3QLSXGR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 247, 'AssignmentId': '3P59JYT7610O1PDVN400OWYMHTRT2O', 'HITId': '3R5LWXWHSFOIAGWS0RHLQJH3QLSXGR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 438, 'AssignmentId': '38F5OAUN53S5IHJ6TM0664C6HFK7HA', 'HITId': '3R5LWXWHSFOIAGWS0RHLQJH3QLSXGR', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
new brush sweeps clean,someone with a new perspective can make great changes,He started with a new brush,2,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 148, 'AssignmentId': '3MD9PLUKKYUGCNBNFFN22821DGINZV', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR0R9M', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2OVOVZBJYUO', 'WorkTimeInSeconds': 176, 'AssignmentId': '3P4RDNWNDLMYY7VS0D7O96IU8J9IJN', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR0R9M', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 48, 'AssignmentId': '3KGTPGBS6D1312SKN9QATSKO03D2UV', 'HITId': '3XH7ZM9YYHAJYAN8DM5J9K9SLR0R9M', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",2,2,3,2,False,False,1
new brush sweeps clean,someone with a new perspective can make great changes,He started with a new brush so he could clean the dirt off the floor,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 27.986, 'AssignmentId': '3LWJHTCVCS2VA3XFUVLC3AHO6RRFQC', 'HITId': '3U74KRR6811H3R4UILTJR05UE1XNTD', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 24.82, 'AssignmentId': '3YOH7BII0PNYVXLAH56JPA81VFMVKN', 'HITId': '3U74KRR6811H3R4UILTJR05UE1XNTD', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}","{'WorkerId': 'AX8NXTT8QMGHC', 'WorkTimeInSeconds': 49.778, 'AssignmentId': '31HQ4X3T38QTNBMO8ADFTN19LBYSLJ', 'HITId': '3U74KRR6811H3R4UILTJR05UE1XNTD', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",1,1,3,1,False,False,1
new brush sweeps clean,someone with a new perspective can make great changes,He started with a new brush so he could begin with a clean slate,0,"{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 163.772, 'AssignmentId': '3QXNC7EIPYBYL013ABR5E84VQPY90G', 'HITId': '3FI30CQHWZZ90K4LJIGHPVDMD48B61', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A3CGQOJC28OVGN', 'WorkTimeInSeconds': 39.27, 'AssignmentId': '392CY0QWGH78VPC7X6KK34TBQR1I4O', 'HITId': '3FI30CQHWZZ90K4LJIGHPVDMD48B61', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 41.578, 'AssignmentId': '32SVAV9L3VP87BA5L4NOC1DMZJ03AK', 'HITId': '3FI30CQHWZZ90K4LJIGHPVDMD48B61', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",0,3,1,0,True,False,1
love of life,the person who is loved most by someone in all their life,John has a love of life,2,"{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 468, 'AssignmentId': '3B837J3LD4C4Q9H1DUABFZA8R2TSRD', 'HITId': '3YKP7CX6HHVS4KIQ2SL9V9DI8FM7BQ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 130, 'AssignmentId': '3L0KT67Y8UWDNATNRP25NV35UP8SYF', 'HITId': '3YKP7CX6HHVS4KIQ2SL9V9DI8FM7BQ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 354, 'AssignmentId': '3MRNMEIQWLMNLM36BKIQYOF9K7VDLF', 'HITId': '3YKP7CX6HHVS4KIQ2SL9V9DI8FM7BQ', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}",1,2,3,1,True,True,1
olive branch,to show that someone wants to end a disagreement and make peace,She extended an olive branch in the hope of being deciphered,1,"{'WorkerId': 'APRZ7BR8C0ZMQ', 'WorkTimeInSeconds': 39.215, 'AssignmentId': '32SVAV9L3VP87BA5L4NOC1DM0RPA3X', 'HITId': '3ZLW647WB0BGFOH7HNP8HZYY98Q23J', 'HITTypeId': '3VU3J1KUFRFVJRVRP9M4MWPPXMFGTQ', 'gold': 2, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 28.345, 'AssignmentId': '3NPFYT4IZSKLX0UMRTMMF3DT49EGX9', 'HITId': '3APP19WN8GU5R1CWZ48VQ64JTH06GD', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 0, 'bad': False}","{'WorkerId': 'A38DXFI1TZA295', 'WorkTimeInSeconds': 57.136, 'AssignmentId': '38YMOXR4MAF4B70Q5BHE1TMX1T56W4', 'HITId': '3APP19WN8GU5R1CWZ48VQ64JTH06GD', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}",2,0,3,0,True,True,1
love of life,the person who is loved most by someone in all their life,"John has a love of life, as evidenced by how much he loves taking risks and trying new things",0,"{'WorkerId': 'A26UIS59SY4NM6', 'WorkTimeInSeconds': 182.654, 'AssignmentId': '37WLF8U1W56DG769GXYBDIS2FTR6KI', 'HITId': '3J9UN9O9KI8K4SGI5LDHEIM887S0J9', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 3, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 155.937, 'AssignmentId': '3137ONMDKWLCR035WOWURESMPAXGE9', 'HITId': '3J9UN9O9KI8K4SGI5LDHEIM887S0J9', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 2, 'bad': False}","{'WorkerId': 'AURYD2FH3FUOQ', 'WorkTimeInSeconds': 29.849, 'AssignmentId': '3Y4W8Q93LF0QHRF0POKWLXDBCDKDV2', 'HITId': '3J9UN9O9KI8K4SGI5LDHEIM887S0J9', 'HITTypeId': '31OVKNPS18SQ1D8CFELWYUFRPRPSWA', 'gold': 1, 'bad': False}",3,2,1,1,True,True,1
lose head,not have control over your emotions,The situation made him lose his head and he had to look for it everywhere,1,"{'WorkerId': 'A1QUQ0TV9KVD4C', 'WorkTimeInSeconds': 31, 'AssignmentId': '32KTQ2V7RTVVOE8AZGE3C5B8TR6M99', 'HITId': '3XQ4XW3OEOSKZ52M72Q9P76A1NM2S6', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2A6FH0F7LD9ND', 'WorkTimeInSeconds': 397, 'AssignmentId': '3F1567XTNCLM9T62R9LKTEVD3S2Q9Z', 'HITId': '3XQ4XW3OEOSKZ52M72Q9P76A1NM2S6', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 3, 'bad': False}","{'WorkerId': 'A2LMQ4497NMK3S', 'WorkTimeInSeconds': 252, 'AssignmentId': '3483FV8BEUZIZR2JRRS7DM68XLH26N', 'HITId': '3XQ4XW3OEOSKZ52M72Q9P76A1NM2S6', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,3,0,0,False,True,1
