idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_f_de_nllb,p_f_he_nllb,p_f_hi_nllb,p_f_hu_nllb,p_f_ko_nllb,p_f_es_nllb,p_f_yo_nllb,p_f_zh_nllb,p_l_de_nllb,p_l_he_nllb,p_l_hi_nllb,p_l_hu_nllb,p_l_ko_nllb,p_l_es_nllb,p_l_yo_nllb,p_l_zh_nllb,p_a_de_nllb,p_a_he_nllb,p_a_hi_nllb,p_a_hu_nllb,p_a_ko_nllb,p_a_es_nllb,p_a_yo_nllb,p_a_zh_nllb
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,Trotz seiner Intelligenz war das Aufschieben seine Achillesferse.,"למרות חוכמתו, ההדחייה הייתה עקבת אכילס שלו.","अपनी बुद्धि के बावजूद, ढिलाई उसकी अकिलीस की एड़ी थी",Az intelligenciája ellenére a halogatás volt az akillés sarka,"그의 지성에도 불구하고, 미루는 것이 그의 아킬레스건 발꿈치였습니다.","A pesar de su inteligencia, la postergación era su talón de Aquiles","Bó tilẹ̀ jẹ́ pé ọ̀jáfáfá ni, síbẹ̀ kò lè ṣe nǹkan ní kíákíá","尽管他很聪明,但拖延是他的阿基里斯后跟",Im Anatomieunterricht haben wir seine Achillesferse und ihre Funktion studiert.,"במהלך שיעור האנטומיה, למדנו את עקב אכילס שלו ואת תפקידו","शरीर रचना विज्ञान की कक्षा के दौरान, हमने उसकी अकिलीस की एड़ी और उसके कार्य का अध्ययन किया",Az anatómiai órák alatt az Achilles-sarkát és annak működését tanulmányoztuk.,"해부학 수업 중 에, 우리 는 아킬레스건 의 발 뒤꿈치 와 그 기능 을 연구 하였습니다","Durante la clase de anatomía, estudiamos su talón de Aquiles y su función","Nígbà tá a wà ní kíláàsì ìṣègùn, a kẹ́kọ̀ọ́ nípa ìṣẹ́gun rẹ̀ àti bí ó ṣe ń ṣiṣẹ́","在解剖课上,我们研究了他的和它的功能",seine Achillesferse,עקב אכילס שלו.,उसकी अकिलीस की एड़ी,a patkája,아킬레스건,su talón de Aquiles,èékánná rẹ̀,他的阿基里斯跟
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,Nach Jahren der Suche fanden sie endlich ihre Mr. und Ms. Right und ließen sich nieder.,"אחרי שנים של חיפוש, הם סוף סוף מצאו את מר ומרת הנכון שלהם והתיישבו","वर्षों की खोज के बाद, उन्होंने अंततः अपने श्री और सुश्री सही पाया और बस गए","Évekig keresgéltek, de végül megtalálták a megfelelő férfit és nőt, és letelepedtek.",수년간의 수색 끝에 마침내 그들은 그들의 '정당한' '정당한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한'을 찾았습니다.,"Después de años de búsqueda, finalmente encontraron a su Sr. y la Sra. Justo y se establecieron.","Lẹ́yìn ọ̀pọ̀ ọdún tí wọ́n ti ń wá a kiri, wọ́n rí Ọ̀gbẹ́ni àti Ìyáàfin tó wù wọ́n, wọ́n sì bẹ̀rẹ̀ sí í gbé pa pọ̀","经过多年的寻找, 他们终于找到了他们合适的先生和女士, 并安顿下来.",Bei der Kostümparty fanden sie ihre Mr. und Ms. Right Outfits im Laden.,"במסיבת התחפושות, הם מצאו את התלבושות של מר ושל גברת הנכון בחנות.","वेस्ट पार्टी में, उन्होंने अपने मिस्टर राइट और मिसेज राइट आउटफिट्स को स्टोर में पाया",A jelmezbulijon a Mr. és Ms. Right ruháikat találták meg a boltban.,복장 파티에서 그들은 가게에서 그들의 Mr. Right과 Ms. Right 의상을 찾았습니다.,"En la fiesta de disfraces, encontraron sus trajes de Sr. y Sra. Perfecto en la tienda.","Níbi ayẹyẹ aṣọ náà, wọ́n rí aṣọ tí wọ́n fi ń ṣe Ọ̀gá àti Obìnrin Tó Tóbi jù lọ nínú ilé ìtajà náà","在服装派对上,他们发现了他们的""Mr.",Ich habe den richtigen Mann und die richtige Frau gefunden.,מצא את מר הנכון שלהם וגברת הנכונה,अपने श्रीमान और श्रीमती सही पाया,Megtalálták a Mr. és Ms.,'그들의 '정답한 남자'와 '정답한 여자'를 찾았다,Encontraron a su Sr. y Sra. Justo,wọ́n rí ọkùnrin àti obìnrin tó wù wọ́n,发现了他们对的先生和女士
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,Er wurde schnell ein junger Türke in der Firma aufgrund seiner innovativen Ideen,הוא הפך במהירות לטורקי צעיר בחברה בשל הרעיונות החדשניים שלו,अपने अभिनव विचारों के कारण वह जल्दी ही कंपनी में एक युवा तुर्क बन गया।,Gyorsan fiatal török lett a cégben az innovatív ötletei miatt.,그는 그의 혁신적인 아이디어로 인해 회사에서 젊은 터키인이되었습니다.,Rápidamente se convirtió en un joven turco en la compañía debido a sus ideas innovadoras.,O di ọdọ ọdọ ọdọ Turk ni ile-iṣẹ nitori awọn imọran imọran rẹ,"他很快成为公司的年轻土耳其人,","Der neue Angestellte war ein junger Türke im Unternehmen, der vor kurzem aus der Türkei gezogen war.","העובד החדש היה טורקי צעיר בחברה, שעבר לאחרונה מטורקיה","नया कर्मचारी कंपनी में एक युवा तुर्क था, जो हाल ही में तुर्की से आया था।","Az új alkalmazott egy fiatal török volt a cégben, aki nemrég költözött Törökországból.",새로운 직원은 최근에 터키에서 이사한 회사에서 젊은 터키인이었습니다.,"El nuevo empleado era un joven turco en la empresa, que se había mudado recientemente de Turquía","Òṣìṣẹ́ tuntun náà jẹ́ ọ̀dọ́mọkùnrin ará Turkey tó ń ṣiṣẹ́ ní ilé iṣẹ́ náà, tó sì ṣẹ̀ṣẹ̀ ṣí kúrò ní Turkey","这位新员工是公司的年轻土耳其人,",Ein junger Türke in der Gesellschaft.,טורקי צעיר בחברה.,कंपनी में एक युवा तुर्क,Egy fiatal török a társaságban.,회사에서 젊은 터키인,Un joven turco en la compañía.,ọ̀dọ́ ará Turkey kan wà nínú ẹgbẹ́ wa,公司中的一个年轻土耳其人
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,"Er beschloss, das Angebot anzunehmen, weil er glaubte, dass ein Vogel in der Hand mehr wert ist als zwei im Busch","הוא החליט לקבל את ההצעה לעבודה, מאמין שציפור ביד שווה שניים ביער",उसने यह मानकर नौकरी स्वीकार करने का फैसला किया कि हाथ में एक चिड़िया जंगल में दो चिड़ियों से बेहतर है,"Elhatározta, hogy elfogadja az állást, mivel úgy gondolja, hogy a kézben lévő madár többet ér, mint a bokorban lévő két madár",그는 손에 든 새가 숲 속의 새 두 마리 보다 낫다고 생각 해서 그 직업 제안 을 받아들이기로 결심 했습니다,"Decidió aceptar la oferta de trabajo, creyendo que un pájaro en la mano vale más que dos en el bosque","Ó gbà láti ṣe iṣẹ́ náà, nítorí ó gbà gbọ́ pé ẹyẹ tó wà lọ́wọ́ sàn ju méjì tó wà nínú igbó lọ","他决定接受这份工作,因为他相信,一只手中的鸟比两只在树林里的鸟更值得",Sie hielt einen Vogel in der Hand und untersuchte sorgfältig seine Federn,היא החזיקה ציפור ביד ובקרה בזהירות את נוצותיה,"हाथ में एक पक्षी को पकड़े हुए, उसने उसके पंखों की सावधानीपूर्वक जांच की",Egy madarat kézbe fogva gondosan megvizsgálta a tollait,그 는 새 를 손에 들고 그 깃털 을 주의 깊게 조사 하였다,"Con un pájaro en la mano, examinó cuidadosamente sus plumas","Ó di ẹyẹ kan mú lọ́wọ́, ó sì fara balẹ̀ yẹ ìyẹ́ rẹ̀ wò",她手里拿着一只鸟仔细检查它的羽毛,Ein Vogel in der Hand,ציפור ביד.,हाथ में पक्षी,Egy madár a kezében.,손에 새,Un pájaro en la mano,ẹyẹ ní ọwọ́,一只手中的鸟
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,"Als der neue Angestellte Probleme verursachte, wurde ihnen klar, dass sie einen Kuckuck im Nest gefunden hatten.","כשהעובד החדש החל לגרום לבעיות, הם הבינו שהם מצאו קוקו בקן.","जब नए कर्मचारी ने समस्याएं पैदा करना शुरू किया, तो उन्हें एहसास हुआ कि उन्होंने घोंसले में एक कुक्कू पाया था","Amikor az új alkalmazott elkezdett problémákat okozni, rájöttek, hogy egy kakukkot találtak a fészkében.","새로운 직원이 문제를 일으키기 시작했을 때, 그들은 둥지에서 뻐꾸기를 발견했다는 것을 깨달았습니다.","Cuando el nuevo empleado empezó a causar problemas, se dieron cuenta de que habían encontrado un cuco en el nido.","Nígbà tí òṣìṣẹ́ tuntun náà bẹ̀rẹ̀ sí dá wàhálà sílẹ̀, wọ́n rí i pé àwọn ti rí ẹyẹ kan nínú ìtẹ́ náà","由于新员工开始给他们带来麻烦, 他们意识到在巢里发现了一只.",Während der Beobachtung des Vogelnestes fand der Vogelforscher einen Kuckuck im Nest,"בזמן שצפה בקן הציפורים, מצא האורגניטולוג בקן את קוקו","पक्षी के घोंसले का निरीक्षण करते हुए, पक्षी विज्ञानी ने घोंसले में एक कुक्कू पाया",A madárfészket megfigyelve a madártudós egy kakukkot talált a fészken,"새 둥지를 관찰 하는 동안, 조류학자 는 둥지 에서 뻐꾸기 를 발견 하였다","Mientras observaba el nido de las aves, el ornitólogo encontró un cuco en el nido","Nígbà tí onímọ̀ nípa àwọn ẹyẹ ń wo ìtẹ́ ẹyẹ náà, ó rí ẹyẹ kan tó ń jẹ́ cuckoo nínú ìtẹ́ náà","鸟类学家在观察鸟巢时,发现鸟巢里有一只",Ich habe einen Kuckuck im Nest gefunden.,מצאנו קוקו בקן.,घोंसले में एक कुक्कूर पाया,Talált egy kakukkot a fészkében.,둥지 안에서 뻐꾸기 한 마리를 발견,Encontré un cuco en el nido.,mo rí ẹyẹ kan nínú ìtẹ́,在巢中发现了一只
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,Der mysteriöse Fall war eine harte Nuss für den Detektiv.,המקרה המסתורי היה אגוז קשה לפצח עבור הבלש,रहस्यमय मामला जासूस के लिए एक कठिन पागल था,A titokzatos ügy nehéz volt a nyomozónak.,이 미스터리한 사건은 형사가 해결하기 어려운 문제였습니다.,El misterioso caso era un problema para el detective.,Ìtàn náà kò rọrùn fún olùwádìí náà láti lóye.,这起神秘案件对侦探来说是个难以破解的难题.,"Die dicke Schale machte die Walnuss zu einer Nuss, die man mit bloßen Händen nicht knacken konnte",הקליפה העבה עשתה מהאגוז אגוז קשה לפצח ביד,घने गोले के कारण अखरोट को नंगे हाथों से तोड़ना मुश्किल हो जाता था,"A vastag héja miatt a dió olyan kemény volt, hogy puszta kézzel is nehéz eltörni",두꺼운 껍질 으로 인해 호두 는 맨 손으로 쪼개기 어려운 견과류 였습니다,La gruesa cáscara hacía que la nuez fuera difícil de romper con las manos,Ìkùdu ẹ̀ tó wúwo yìí mú kó ṣòro láti fi ọwọ́ lásán gé ẹ̀pà,厚厚的外使得核桃难以用手破碎,Eine harte Nuss zu knacken,אגוז קשה לפצח,एक कठिन नट,Egy kemény dió.,쪼개기 힘든 견과류,Una nuez difícil de romper,àpò tí kò rọrùn láti fọ́,一个难以破裂的坚果
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,Sie hatte viele Projekte in der Arbeit und hatte viel zu tun.,היא הייתה עסוקה במספר פרויקטים בעבודה.,"काम पर कई परियोजनाओं के साथ जुगलबंदी, वह इन दिनों थाली पर बहुत कुछ था","Több projektben is zsonglőrködött a munkahelyén, és sok minden volt a fejében.",직장에서의 여러 프로젝트들을 조들링하면서 요즘은 많은 일을 하고 있어요,"Hacía malabares con varios proyectos en el trabajo, tenía mucho en el plato estos días","Ó máa ń ṣe ọ̀pọ̀ iṣẹ́ nídìí iṣẹ́, ó sì ní ọ̀pọ̀ nǹkan tó ń jẹ ẹ́ lọ́kàn.","她在工作中杂多个项目,","Bei dem Essen hatte er viel auf dem Teller, nachdem er alles ausprobiert hatte.","בארוחת הערב, היה לו הרבה על הצלחת אחרי שניסה קצת מכל דבר","पोट्लैक डिनर में, वह सब कुछ की कोशिश के बाद थाली पर बहुत कुछ था","A vacsoránál, sok mindent kipróbált, és a tányérján is sok volt.",저녁식사에서 그는 모든 것을 시도한 후 접시에 많은 것을 가지고있었습니다.,"En la cena, tenía mucho en el plato después de probar un poco de todo.","Nígbà oúnjẹ alẹ́, ó ti jẹ gbogbo nǹkan tán, ó sì ti jẹ gbogbo nǹkan tán","在晚餐,他吃了很多在盘子里尝试了一切",hatte viel auf dem Teller,היה לי הרבה על הצלחת,बहुत कुछ था,Sok minden volt a fejemben.,많은 고민이 있었습니다.,Tenía mucho en el plato,ọ̀pọ̀ nǹkan ló ń jẹ mí lọ́kàn,现在我有很多事情要做
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,"Arbeit ist unerlässlich, um ein Dach über dem Kopf zu haben",מציאת עבודה היא חיוניות כדי שיהיה לך קורת גג מעל הראש,काम ढूंढना आपके सिर पर छत रखने के लिए आवश्यक है,"Ahhoz, hogy tető legyen a fejed felett, elengedhetetlen, hogy munkát találj",일 을 찾는 것 은 머리 위 에 지붕 을 갖기 위해 필수적 인 것 이다,Encontrar un trabajo es esencial para tener un techo sobre la cabeza,Ó ṣe pàtàkì pé kó o ríṣẹ́ ṣe kó o lè ní ilé tó o máa gbé,找到工作是有屋顶的必要条件,"Bei Regen blieb man trocken, wenn man ein Dach über dem Kopf hatte","במהלך סופת גשם, הגג מעל הראש שומר על היובש","तूफान के दौरान, छत के ऊपर रहने से आप सूखे रहते हैं",A vihar idején a tető a fejed fölött szárazra tart,폭풍우 가 닥치면 머리 위 에 지붕 을 두면 건조 하게 지낼 수 있다,"Durante la tormenta, tener un techo sobre la cabeza te mantiene seco","Nígbà tí òjò bá ń rọ̀, ilé tó wà lókè máa ń jẹ́ kí omi má gbé ẹ","在暴雨期间,屋顶可以让你保持干燥",ein Dach über dem Kopf zu haben,יש גג מעל הראש שלך,घर पर रहने का,tető a fejed felett,머리 위 에 지붕 을 지을 수 있는 것,tener un techo sobre la cabeza,gbígbé níbi tó o bá ti lè ráyè gbọ́ bùkátà ara rẹ,拥有自己的家
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,"Er hat eine Schraube los, wenn er denkt, er kann seinen Job ohne Konsequenzen beenden",הוא משוגע אם הוא חושב שהוא יכול לפרוש מהעבודה שלו בלי השלכות.,वह एक पेंच ढीला है अगर वह सोचता है कि वह परिणाम के बिना अपनी नौकरी छोड़ सकते हैं,"Eléggé megőrült, ha azt hiszi, hogy következmények nélkül leléphet a munkájáról.",그가 일을 그만두고 결과를 겪지 않을 것이라고 생각한다면 그는 엉망인 셈이다,Tiene un tornillo suelto si cree que puede dejar su trabajo sin consecuencias,Ó ti di ẹni tí kò mọ nǹkan kan tó bá rò pé òun lè fi iṣẹ́ náà sílẹ̀ láìní jìyà kankan.,"如果他认为自己可以在没有后果的情况下辞职,",Der Schaukeltisch hat eine Schraube los und muss repariert werden,לשולחן המנודד יש ברגים רופפים וצריך לתקן,झूलती हुई मेज में एक पेंच ढीली है और इसे ठीक करने की आवश्यकता है,"A remegő asztalnak van egy csavar, amit meg kell javítani.",흔들리는 테이블은 스크류가 느슨하고 고쳐져야합니다,La mesa vacilante tiene un tornillo suelto y necesita ser arreglado,"Àpótí tí ń mì ní ìrẹ̀kẹ̀ kan tí ó tú ká, ó sì nílò àtúnṣe","摇摆的桌子有一个螺丝松动,需要修复",eine Schraube los ist,יש לו ברגים רופפים.,एक पेंच ढीला है,egy csavar van laza,나사 이,tiene un tornillo suelto,ó ní ìsúná kan tí ó tú,有一个松
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,"Nachdem sie bei der Prüfung scheiterte, wurde sie aufgeweckt, um mehr zu lernen","לאחר שנכשל בבחינה, היא קיבלה קריאה להתעורר ללמוד יותר קשה","परीक्षा में असफल होने के बाद, उसे कड़ी मेहनत करने के लिए एक जागृत कॉल मिला","Miután nem sikerült a vizsgán, felhívták a figyelmét, hogy tanuljon jobban","시험 에 실패 한 후, 더 열심히 공부 하도록 깨우쳐진 것","Después de fracasar en el examen, recibió una llamada de atención para estudiar más duro","Lẹ́yìn tó kùnà nínú ìdánwò náà, wọ́n ní kó túbọ̀ máa kẹ́kọ̀ọ́","在考试中失败后,她收到了一个叫醒电话,要求她更努力地学习",Sie wurde um 6 Uhr morgens von der Rezeption des Hotels geweckt.,היא קיבלה שיחת התעוררות מהדלפק של המלון בשש בבוקר.,उसे सुबह 6 बजे होटल के रिसेप्शन से एक वेकअप कॉल मिला।,Reggel hatkor ébresztőhívást kapott a szálloda recepciójától.,그녀는 오전 6시에 호텔의 프론트 데스크에서 깨우기 전화를 받았습니다.,Recibió una llamada de despertador de la recepción del hotel a las 6 a.m.,Wọ́n jí i lójú oorun láti ibi ìgbọ́rọ̀kalẹ̀ òtẹ́ẹ̀lì náà ní aago mẹ́fà òwúrọ̀.,她在早上6点接到酒店前台的唤醒电话.,Sie hat einen Weckruf bekommen.,היא קיבלה שיחת התעוררות.,उसे एक वेकअप कॉल मिला,Ébresszólás érte.,그녀는 깨우기 전화를 받았습니다.,Ella recibió una llamada de atención.,ó gba ìpè láti jí,她接到了一个唤醒电话
