idiom,meaning,example
by all means,in every way possible.,"""Do you mind if I go to the party?"" ""By all means."""
piss and vinegar,to self-reference someone who is in a bad mood and ready to fight.,"During the invasion, the soldiers were full of piss and vinegar, and therefore they went straight into the front lines."
24/7 (twenty-four-seven),constantly,Kincaid said the center will be open 24/7 and will employ 30 people.
good account of,"performed well, even if one was not completely successful.",The team played excellently and gave a good account of itself.
hold all the aces,be in a winning position.,"Agriculture-wise, the Green Revolution holds all the aces."
a bit much,to be excessive,The concept and story was a bit much for me to understand everything clearly. That is why I did not invest with this company.
sleep on,postpone making a choice until the following day.,Please don't sleep on that talent. It will take you places!
alter ego,"a second self, a deputy.",Jack was the alter ego of Rose in the Titanic movie.
a bit too much,behave in an unfair manner.,"I need the money, but working 10 hours daily in the kitchen is a bit too much."
cast aspersions,to criticize somebody or somebody's character.,His opponents never missed an opportunity to cast aspersions on his professionalism.
lead astray,make someone act or think in a wrong or foolish manner.,The interrogators in the case were led astray by false information from one of the witnesses.
you rock,explaining how awesome and cool a person is.,You rocked the cast interview today.
up a creek without a paddle,being in trouble.,"With no savings, being fired will leave me up the creek without a paddle."
step up your game,"to improve the performance, quality, skill, or talents.","Matthew said to Sarah, ""Step up your game,"" to which she replied, ""I already have by memorizing every act in Shakespeare's The Tempest this week."""
plain as day,easy and clear to understand.,"If you are unsure about using the equipment, please read the instructions. Its manual is as plain as day."
lose your marbles,strange behaviors.,"When he made the decision to make his selecting passion a full-time endeavor, everyone said, ""James, you've lost your marbles."""
give it a whirl,to try something new.,"The ski instructor told Sally to ""give it a whirl"" on the beginner's ski slope by following his exact moves."
short fuse,to get angry quickly.,He has a short fuse. He loses his temper for things that don't provoke others to high levels of angry emotion.
a whole new ball game,a significant change in circumstances.,"For most young adults, moving out is a whole new ball game."
like a duck to water,to do something very quickly and enjoy doing it.,She's taken to her grandmother's house like a duck to water.
down for the count,"doomed, finished, or defeated.",I doubt she'll leave the hospital. Her illness has her down for the count.
"day in, day out","every day, without respite.","They had to endure the city's dirt and noise day in, day out. "
right as rain,to imply that everything is satisfactory.,He was right as rain after a few days in bed after getting injured.
keep your pants on,to tell someone to be calm.,I told him to keep his pants on after being punked.
wrap one's head around,to understand and appreciate.,It can be hard to wrap your head around what exactly happened.
bent out of shape,to become angry.,"John's flight was canceled, and he got bent out of shape."
cool your jets,to calm down and stop being so anxious or elated.,"Even though she wronged you, just cool your jets, and you will be fine."
make like a tree and leave,to tell someone to leave at once.,"""Why don't you make like a tree and leave?"" ""You are starting to get on my nerves,"" he said to him after the argument in the office."
my way or the highway,to order someone to do something in a specific way without providing an alternative.,"In my house, it is my way or the highway. He was told by his father after coming back home drunk."
willy-nilly,something that happens when the people involved do not want it to occur.,Each side was drawn willy-nilly into the battle.
"in for a penny, in for a pound","to complete a task, no matter what it may need.","In for a penny, in for a pound, we need to stay up all night and get the report done since we cannot turn it in half-finished."
food for thought,an idea or subject to think about.,The manager's meeting today has given me a lot of food for thought about whether I want to continue working for this company.
beat the air,fighting without any purpose.,You are just beating the air if you want to turn him into a good boy.
roll with the punches,to be positive and not let failures or criticism get you down.,His negotiating ability and willingness to roll with punches impressed all sides.
comb through,to look into something carefully.,The police combed through their house after the income tax authorities left the building.
nip in the bud,check something thoroughly.,The army arrested all the leaders and successfully nipped the rebellion in the bud.
beyond the pale,unacceptable.,Nobody will want to be friends with you if you are considered beyond the pale in your social circle.
on the money,being right about something.,What he predicted was right on the money.
bird's eye view,an overview.,You can get a bird's-eye view of the city by going to the topmost floor.
the rose that grew from concrete,a person who achieved greatness even though they came from a place not so great.,"Ken performed well despite his poor background, much like the rose that grew from concrete."
nail biter,"a situation like a close contest, which induces anxiety or tension.",Friday's nail-biter of a win over the Houston Texans was an excruciating contest.
like a cat on a hot tin roof,in a state of agitation.,The coach acted like a cat on a hot tin roof throughout the game.
tickle someone's fancy,to attract or interest someone.,Does the menu have anything that tickles your fancy? 
in short order,immediately and without difficulty.,The children got ready in short order to go to the park and play.
top dog,"The term ""top dog"" means a person, group, or thing in a position of power, particularly after struggling or winning a grueling competition.","Given the latest shakeups, she is hoping that her experience will make her the top dog in the accounting department."
pound of flesh,an unreasonable demand but something that is one's legal right.,"If you do not pay the amount of money, I have lent you by the agreed time, I will get a pound of flesh from you in return."
Great Scott,"""Great Scott!"" is an interjection of surprise, wonder, or consternation.","She took one look at the screen before crying out ""Great Scott!"" in celebration."
bigger fish to fry,"to have other, more important things to do.",You are not worth my time or energy; I have bigger fish to fry.
watchdog,"one who protects against loss, corruption, waste, or objectionable practices.",Professor Smith was doing a lot of watchdogging during the mid-term exams at Polk High.
turn down a glass,to decline something that someone has offered.,to decline something that someone has offered.
straighten up and fly right,to get serious and stop acting absurd anymore.,You haven't been staying on top of your homework. You better straighten up and fly right or you will get a bad grade.
turn the tables,change your position with respect to someone else.,"After flying back to town, I went to Jenna's place uninformed to surprise her & to my amaze she had already planned a party to welcome me. I should have known she is smart enough to turn the tables."
every man Jack,everyone without exceptions.,I'd bet every man Jack of them are spies.
take with a grain of salt,to understand that something is not completely true or right,"I have read the article, but I take it with a grain of salt."
