idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
dragging its feet,"delaying in decision, not showing enthusiasm",The project is dragging its feet,2,let your hair down,to suggest to someone to relax and enjoy themselves,I let my hair down - figuratively and physically - and allowed myself to have some fun,0,in the cahoots,to do something in hiding or secret because it is morally or socially not acceptable,They were in the cahoots to keep the secret a secret,0,have kittens,"to be very worried, upset, or angry about something",She had kittens,2,take a beating,to be defeated in doing something and be reprimanded for the same,He took a beating when he got into a bar fight,1
bull's eye,the center of a target,I hit the bull's eye with the arrow during target practice,1,sitting duck,to be an easy target,He's a sitting duck,2,let sleeping dogs lie,its best to leave a situation as it is if disturbing it might cause trouble,We should let sleeping dogs lie,2,rabbit hole,mentally go somewhere surreal or strange,He went down the rabbit hole,2,rain check,declining an offer that might be taken up later.,Let's take a rain check,2
red herring,something irrelevant that distracts you from something important,It was a red herring that distracted us from our goal,0,walking on broken glass,when a person is punished for something,They're walking on broken glass because they refused to wear the necessary protective gear,1,cross the line,behave in a way that is not acceptable,He crossed the line when it came to showing disrespect,0,straighten up and fly right,to get serious and stop acting absurd anymore.,He decided to straighten up and fly right,2,made it,used to indicated the completion of a task,She made it,2
when hell freezes over,"impolite way of saying ""it will never happen""",I will do it when hell freezes over,2,big brother,A large organization or government agency that tries to control all aspects of human life and society.,The big brother was watching,2,from A to Z,comprehensive,He knows it from A to Z; he is an expert,0,dead and buried,no longer in use.,It's dead and buried,2,down to earth,"decent, simple, realistic",He is down to earth because he jumped off the top of the building,1
treasure trove,a priceless or valuable discovery,The shed was a treasure trove of memories from long ago,0,cover one's tracks,"to keep one's location, activities, and intentions hidden.",He covered his tracks,2,"when it rains, it pours",to have a good or bad news enlarged by circumstances,"When it rains, it pours and so many bad things are happening to me right now",0,a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",A storm is brewing; it's only a matter of time before everything starts to fall apart,0,chill to the bone,to get frightened or scare somebody,The wind was chill to the bone; I felt so uncomfortable when I stepped outside today,0
straight shooter,someone who speaks the truth,He's a straight shooter when it comes to shooting hoops,1,head and shoulders above,significantly better than everybody else in the field,She's head and shoulders above the rest in terms of her physical height,1,ray of sunshine,someone or something that brings hope into the lives of others,She was a ray of sunshine,2,out of the frying pan into the fire,to go from a bad to worse situation,He went from the frying pan into the fire after changing jobs,0,cry over spilt milk,to be upset about things that have already been done,Don't cry over spilt milk; it's not worth wallowing in regret,0
rise and shine,to ask someone to wake up and become active in the daily chores,It's time to rise and shine,2,out on the town,go out and enjoy yourself at one or more places in the town,She was out on the town last night enjoying her time after a long day of work,0,just around the corner,somethig that is expected to happen very soon,My birthday is just around the corner,2,bang head against wall,to be frustrated in your efforts to change something or make something happen,He's been banging his head against the wall even though it's giving him a headache,1,long run,far away in the future,It will help in the long run,2
on the brink of,to be on the verge of doing something,The town was on the brink of disaster as the river water was only a few inches away from overflowing its banks,1,as well as,additionally,I visited the store as well as the museum to get the best of both worlds,0,have kittens,"to be very worried, upset, or angry about something",She had kittens when she heard about the terrible news,0,make ends meet,make sufficient money to survive on,He's been struggling to make ends meet,2,skating on thin ice,to do something considered quite dangerous or risky,He's skating on thin ice as he's balancing on the edge of disaster,0
go through channels,to follow the correct steps in order to get something done,"They went through the channels, as in the waterways, to get to their destination",1,in the red,more money going out than coming in,Her bank account was in the red,2,miss the boat,miss a chance,We missed the boat when it sailed away from the docks,1,cutting edge,to be among the latest and the best (often used for technological advancements),"They are on the cutting edge"" ",2,not playing with a full deck,not mentally sound,He's not playing with a full deck because he's making some really illogical decisions,0
the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She thinks the sun rises and sets on them because they are her world,0,bells and whistles,special features that are added to a product or system to attract more buyers,I wanted all the bells and whistles,2,in full swing,at a stage when the level of activity is at its highest,The party is in full swing as the DJ is playing all the latest songs,1,get the wrong end of the stick,to understand something in the wrong way,I think I got the wrong end of the stick,2,keep an eye on,keep a watch on something or someone closely,He keeps an eye on her to make sure she doesn't make any mistakes,0
pain in the neck,Mathematics is generally a real pain in the neck for most of the school and college students.,This project has been a pain in the neck because it's taking up too much of my time,0,out of the closet,go public about something private or hidden,They came out of the closet when they announced their sexual orientation,0,take up the cudgels,argue strongly in support or against somebody or something,She took up the cudgels to tackle the issue of poverty,0,hit the roof,experience sudden anger,He hit the roof when he heard the news,0,drop like flies,many people falling ill or dying around the same time,They dropped like flies as the crew worked harder and harder,0
let the cat out of the bag,to let a secret out in the open,She let the cat out of the bag,2,go round in circles,work at something but keep failing to make progress with it.,I keep going round in circles trying to find the solution to this problem,0,a voice crying in the wilderness,to say something that is not popular,She's a voice crying in the wilderness as she screams for help from the remote location,1,head above water,to succeed to survive in bad financial situations,She has kept her head above water,2,crocodile tears,fake cry,,0
cold shoulder,to treat somebody with coldness and contempt,He gave me the cold shoulder,2,bite tongue,to keep yourself from saying something that you really want to say,I had to bite my tongue,2,not getting anywhere,to make no progress at all; not improving or advancing a particular situation,I'm not getting anywhere because I'm not driving anywhere,1,on the cards,"Something very likely to happen, occur or take place.",It's on the cards,2,off on the wrong foot,off to a bad start,We got off on the wrong foot when we started talking yesterday,0
under your nose,"when something happens right in front of you, especially if it is surprising or audacious","It was right under your nose, it was hard to miss",1,in the doghouse,someone who is in disgrace and very unpopular at the moment,He's in the doghouse,2,bad-mouth,to say something bad about something,He bad-mouthed the teacher,2,under the auspices,"under the protection, sponsorship, or patronage",The project was created under the auspices of the building's roof,1,deep down,felt strongly and often hidden from other people,She knew deep down,2
