idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_gpt,p_f_de_gpt
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,seine Achillesferse,Trotz seiner Intelligenz war Prokrastination seine Achillesferse.
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,haben ihren Mr. Right und ihre Ms. Right gefunden.,Nach Jahren der Suche fanden sie endlich ihren Mr. Right und ihre Ms. Right und ließen sich nieder.
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,ein Jungtürke in der Firma,Er wurde aufgrund seiner innovativen Ideen schnell zum jungen Wilden in der Firma.
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,ein Vogel in der Hand,"Er entschied sich, das Jobangebot anzunehmen, in dem Glauben, dass ein Vogel in der Hand besser ist als zwei im Busch."
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,Ich habe eine Kuckucksuhr im Nest gefunden.,"Als der neue Mitarbeiter anfing, Probleme zu verursachen, erkannten sie, dass sie einen Kuckuck im Nest gefunden hatten."
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,ein hartes Stück Brot,Der mysteriöse Fall war für den Detektiv ein hartes Nuss zu knacken.
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,Ich hatte viel auf dem Teller.,"Mit mehreren Projekten bei der Arbeit jonglierend, hatte sie in diesen Tagen viel auf dem Teller."
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,Ein Dach über dem Kopf haben.,"Eine Arbeit zu finden ist unerlässlich, um ein Dach über dem Kopf zu haben."
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,hat eine Schraube locker.,"Er hat eine Schraube locker, wenn er denkt, dass er seinen Job ohne Konsequenzen kündigen kann."
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Sie hat einen Weckruf erhalten.,"Nachdem sie die Prüfung nicht bestanden hatte, erhielt sie einen Weckruf, um härter zu lernen."
