idiom,meaning,source_model,source_sentence,translation,afl,correctness
"Mr Right, Ms Right",the best future life partner for someone,nllb,found their Mr Right and Ms Right,그들의 '정답한 남자'와 '정답한 여자'를 찾았다,x,
,,nllb,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",수년간의 수색 끝에 마침내 그들은 그들의 '정당한' '정당한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한' '정답한'을 찾았습니다.,x,2
,,nllb,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store",복장 파티에서 그들은 가게에서 그들의 Mr. Right과 Ms. Right 의상을 찾았습니다.,l,0
"Mr Right, Ms Right",the best future life partner for someone,palm,found their Mr Right and Ms Right,짝을 찾았습니다,f,
,,palm,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",수년간의 수색 끝에 그들은 마침내 그들의 Mr Right와 Ms Right를 찾고 정착했습니다,l,1
,,palm,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store",의상 파티에서 그들은 가게에서 Mr Right와 Ms Right 의상을 찾았습니다,l,0
"Mr Right, Ms Right",the best future life partner for someone,opus,found their Mr Right and Ms Right,,x,
,,opus,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down",,x,2
,,opus,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store",,x,2
"Mr Right, Ms Right",the best future life partner for someone,gpt,found their Mr Right and Ms Right,그들의 Mr. Right와 Ms. Right를 찾았다.,l,
,,gpt,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","수년간의 탐색 끝에, 그들은 드디어 그들의 Mr. Right와 Ms. Right를 찾아 결혼했다.",l,1
,,gpt,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store",코스튬 파티에서 그들은 상점에서 Mr Right와 Ms Right 의상을 찾았다.,l,0
a whole new ball game,a significant change in circumstances.,gpt,it's a whole new ball game,이것은 완전히 새로운 게임이다.,l,
,,gpt,"After the company's merger, [[it's a whole new ball game]] for the employees","회사 합병 이후, 직원들에게는 완전히 새로운 상황이다.",f,0
,,gpt,"When they switched from soccer to baseball, [[it's a whole new ball game]] for the players",축구에서 야구로 전환하면 선수들에게는 완전히 새로운 경기가 됩니다.,l,0
a whole new ball game,a significant change in circumstances.,palm,it's a whole new ball game,완전히 새로운 게임입니다,l,
