model,language_pair,score
gpt,en-zh,0.2165707192607027
gpt,en-ko,0.2962664063551826
gpt,en-he,0.3577765186660981
gpt,en-yo,0.02017985135110345
palm,en-zh,0.23994613841475843
palm,en-ko,0.3021275576749264
palm,en-he,0.34124791866875714
palm,en-yo,0.017982302329553917
google,en-zh,0.22385005297726207
google,en-ko,0.5374908255749955
google,en-he,0.4248865363333993
google,en-yo,0.14776193479439284
opus,en-zh,0.1624464070688732
opus,en-ko,0.0
opus,en-he,0.40551326371266433
opus,en-yo,0.03973789275292211
nllb,en-zh,0.16200856391738994
nllb,en-ko,0.26244091278106646
nllb,en-he,0.386056173422728
nllb,en-yo,0.04346310014641619
