idiom,meaning,label,source
Achilles heel,a vulnerable spot or weakness,figurative,"Despite his intelligence, procrastination was [[his Achilles heel]]"
Achilles heel,a vulnerable spot or weakness,literal,"During the anatomy class, we studied [[his Achilles heel]] and its function"
Dutch uncle,"criticize, scold or lecture someone",literal,He dressed up [[like a Dutch uncle]] for the historical reenactment
Dutch uncle,"criticize, scold or lecture someone",figurative,"He gave me advice [[like a Dutch uncle]], always straightforward and honest"
"Mr Right, Ms Right",the best future life partner for someone,literal,"At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store"
"Mr Right, Ms Right",the best future life partner for someone,figurative,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down"
Young Turk,a young person who has many new ideas and wants a reform,figurative,He quickly became [[a Young Turk in the company]] due to his innovative ideas
Young Turk,a young person who has many new ideas and wants a reform,literal,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey"
a bird in the hand,a possession that is worthy,figurative,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush"
a bird in the hand,a possession that is worthy,literal,"Holding [[a bird in the hand]], she carefully examined its feathers"
a cuckoo in the nest,an unwelcome intruder in a place or situation.,figurative,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]"
a cuckoo in the nest,an unwelcome intruder in a place or situation.,literal,"While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]"
a hard nut to crack,a problem that is difficult to solve,literal,The thick shell made the walnut [[a hard nut to crack]] with bare hands
a hard nut to crack,a problem that is difficult to solve,figurative,The mysterious case was [[a hard nut to crack]] for the detective
a lot on my plate,to have so many things to do at one time,literal,"At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything"
a lot on my plate,to have so many things to do at one time,figurative,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days"
a needle in a haystack,something very small amidst something very big,figurative,Locating the right document in the archive was like [[finding a needle in a haystack]]
a needle in a haystack,something very small amidst something very big,literal,"The farmer accidentally dropped his sewing needle, and it became a challenge of [[finding a needle in a haystack]]"
a roof over your head,a place to live,literal,"During the rainstorm, [[having a roof over your head]] kept you dry"
a roof over your head,a place to live,figurative,Finding a job is essential for [[having a roof over your head]]
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,literal,The wobbly table [[has a screw loose]] and needs to be fixed
