model,language_pair,score
gpt,en-de,0.8968170748557895
gpt,en-he,0.8906736465869471
gpt,en-hi,0.9025900820270181
gpt,en-hu,0.884773014462553
gpt,en-ko,0.9058568956097588
gpt,en-es,0.9020920555340126
gpt,en-yo,0.8519661127356812
gpt,en-zh,0.8921294548781589
llama,en-de,0.6683025535894558
llama,en-he,0.8614943933207542
llama,en-hi,0.8367086411453784
llama,en-hu,0.34452814026735723
llama,en-ko,0.7928840150125325
llama,en-es,0.671804616576992
llama,en-yo,0.01294057082850486
llama,en-zh,0.8597688064910471
google,en-de,0.8915825400035828
google,en-he,0.9031410852912813
google,en-hi,0.9016003310680389
google,en-hu,0.899733187397942
google,en-ko,0.9032999635674059
google,en-es,0.8987948829308152
google,en-yo,0.8731840931577608
google,en-zh,0.8924543507164344
opus,en-de,0.8965858182637021
opus,en-he,0.9157424210570753
opus,en-hi,0.8950176371727139
opus,en-hu,0.8960303731728345
opus,en-ko,0.0
opus,en-es,0.8994179842993617
opus,en-yo,0.8681464494438842
opus,en-zh,0.8795097306137905
nllb,en-de,0.8989966501249
nllb,en-he,0.9080949720228091
nllb,en-hi,0.9029969280818477
nllb,en-hu,0.9018235156545416
nllb,en-ko,0.8853662105975673
nllb,en-es,0.9029518010793254
nllb,en-yo,0.8662180156679824
nllb,en-zh,0.8873404986225069
