idiom,meaning,freq
on the table,open for discussion or consideration.,50310
all the way,"completely, to the fullest extent.",47592
you bet,"absolutely, definitely, certainly.",17990
behind [pron] back,to do something without someone's knowledge or consent.,16340
big deal,used to express that something is not important or impressive.,15342
just in case,to be prepared for any eventuality.,14798
never mind,"forget about it, don't worry about it.",14722
out of sight,not visible or present.,14392
way around,a solution or workaround to a problem.,14077
get over [pron],stop worrying or dwelling on something; move on.,13737
at hand,close by or readily available.,11901
now and then,occasionally; from time to time.,10154
keep [pron] eye on,watch or monitor someone or something closely.,8361
over the top,excessive or extreme in nature.,8259
sleep on [pron],think about something for a while before making a decision.,7478
sooner or later,"eventually, in due time.",6820
all the more,even more so; to an even greater degree.,6640
how come,a question asking for an explanation or reason.,6546
god knows,used to express one's uncertainty or lack of knowledge about something.,5867
under the table,done secretly or illegally.,5589
stop by,visit someone or a place for a short period of time.,5515
break up,end a romantic relationship.,5361
come true,happen as expected or hoped for.,4489
all set,ready to go or begin something.,4290
fair enough,acknowledgement that something is reasonable or acceptable.,4232
up in the air,"uncertain, undecided, unresolved.",4202
hop in,get into a vehicle.,4022
on the run,being in a hurry or in a state of escape.,3931
per se,by or in itself; intrinsically.,3775
thank goodness,expressing relief or gratitude.,3607
bite [pron] lip,"refrain from speaking or expressing an opinion, usually in order to avoid conflict.",3162
to this day,until the present time.,2969
green light,give permission or approval to proceed with a plan.,2951
see [pron] point,understand and agree with someone's opinion.,2838
off the hook,no longer held responsible or accountable for something.,2827
in the bag,a situation that is certain to be successful.,2692
come to terms with,accept and adjust to a difficult situation.,2563
give [pron] [pron] hand,help someone out.,2516
out of the blue,unexpectedly or without warning.,2441
all in all,"overall, taking everything into consideration.",2430
rough time,a period of difficulty or hardship.,2274
back on [pron] feet,to have recovered from a difficult situation and be in a better place.,2149
to the hilt,to the maximum extent possible.,2139
ring [pron] bell,remind someone of something they should know.,2089
on the ball,"alert, attentive, and quick to act.",2082
flesh and blood,"used to refer to a person's family or close friends, implying that they are the most important people in one's life.",2074
make up [pron] mind,come to a decision or opinion.,2035
in the blink of an eye,"very quickly, almost instantaneously.",2013
on the rocks,in a state of decline or disrepair.,1965
get to [pron] point,get to the main point of a discussion or conversation.,1840
dirty work,"work that is unpleasant, unethical, or illegal.",1701
come clean,"to confess the truth, especially after having lied or kept something hidden.",1658
safe and sound,unharmed and in good condition.,1610
wishful thinking,hoping for something that is unlikely to happen.,1610
thumbs up,an expression of approval or agreement.,1605
along the lines,in a similar way; in a related manner.,1572
in the wake of,"as a result of, following.",1568
behind bars,in prison or jail.,1563
do [pron] trick,accomplish something difficult or impressive.,1542
red flag,a warning sign that something is wrong or potentially dangerous.,1508
on the same page,in agreement or understanding about something.,1504
middle of the road,"a moderate or non-committal approach to something, avoiding extremes.",1500
wear off,gradually decrease in intensity or effectiveness.,1494
new arrival,a person or thing that has recently arrived or been introduced.,1467
over the hill,past one's prime; no longer young or in one's best years.,1461
black out,"to forget or block out a period of time, usually due to drinking too much alcohol.",1455
at the wheel,in control of a situation.,1431
catch [pron] eye,attract someone's attention.,1426
god forbid,expressing a wish that something unpleasant or undesirable does not happen.,1424
washed up,no longer successful or relevant.,1421
hit [pron] road,leave a place quickly.,1404
swing by,to make a brief visit to a place.,1396
keep in touch,maintain communication with someone over a period of time.,1375
head over heels,completely and utterly in love with someone.,1323
cut [pron] throat,"to do something that will harm someone else, even if it means harming oneself in the process.",1307
now or never,a situation in which one must act immediately or miss the opportunity.,1297
easier said than done,something that is more difficult to do than it is to say.,1292
no rush,there is no need to hurry or be in a hurry.,1276
piece of cake,something that is very easy to do.,1267
sixth sense,the ability to understand or know something without any proof or evidence.,1246
bite [pron] tongue,refrain from saying something that one is tempted to say.,1181
close call,"a situation in which something almost happened, but did not.",1131
close to home,something that is personally relevant or meaningful.,1129
down to earth,having a practical and realistic attitude.,1118
dead serious,completely serious and not joking.,1111
lose [pron] head,become overwhelmed with emotion and act impulsively or irrationally.,1072
sit tight,wait patiently and do nothing.,1053
silver bullet,a simple solution to a complex problem.,1043
under pressure,in a difficult situation where one is expected to perform or produce results quickly.,1033
gut feeling,an instinctive feeling or intuition about something.,1022
round the clock,"continuously, without interruption, 24 hours a day.",1019
in cold blood,"in a deliberate and calculated manner, without emotion.",1007
track record,a record of past performance or success.,1004
rest up,take a break from activities to relax and recover energy.,984
under the sun,everything that exists or is possible.,982
make [pron] scene,draw attention to oneself in a negative way.,947
dream come true,a wish or desire that has been fulfilled.,942
behind closed doors,"in private, away from public view.",940
hang in there,persevere and remain strong in a difficult situation.,932
keep [pron] cool,remain calm and composed in a difficult situation.,886
pulling [pron] leg,teasing someone in a playful way.,879
next to nothing,very little or almost nothing.,879
beyond words,unable to be expressed in words; too great or intense to be described.,871
black and blue,bruised or injured from physical violence.,857
have [pron] guts,have the courage to do something difficult or dangerous.,845
watch [pron] mouth,"be careful what one says, as it could have unintended consequences.",822
to pull [pron] trigger,"to take action, usually in a decisive way.",822
beats me,I have no idea.,813
in bad shape,in a difficult or unfavorable situation.,808
on the fence,uncertain or undecided about something.,797
shiver down [pron] spine,experience a feeling of fear or dread.,785
do [pron] dirty work,do something unpleasant or unethical on someone else's behalf.,784
off the record,not to be taken as an official statement or to be shared with others.,780
the holy grail,something that is highly sought after but difficult to obtain.,750
big head,having an overly high opinion of oneself.,744
make yourself at home,"feel comfortable and relaxed in a place, as if it were your own home.",730
north and south,"completely different, opposite, or conflicting.",728
business as usual,"continue to operate as normal, despite any changes or disruptions.",709
bad blood,a feeling of animosity or hostility between two people or groups.,709
the last straw,the final event or action that causes a situation to become unbearable.,706
let [pron] off [pron] hook,forgive someone and not hold them accountable for something they did wrong.,705
silver lining,a hopeful or comforting aspect of a situation that is otherwise difficult or unpleasant.,702
quality time,time spent with someone that is focused on creating a strong bond and connection.,697
spitting image,exact likeness or replica of someone or something.,696
a steal,a very good deal or bargain.,687
keep tabs on,to monitor or keep track of someone or something.,679
shoot through,leave quickly or abruptly.,665
father figure,"a person who provides guidance and support, often in the absence of a biological father.",662
chicken out,to back out of something due to fear or lack of courage.,661
larger than life,having an impressive or grandiose presence.,658
dead right,completely correct.,657
rabbit hole,a situation or activity that is difficult to escape from or that leads to a complex and confusing situation.,618
