idiom,meaning
一波未平,suffer a string of reverses; one trouble follows another
一败涂地,suffer a crushing defeat; bite the dust
一般见识,lower oneself to the same level as somebody else; 
一板三眼,following a prescribed pattern in speech or action; rigid
一本正经,put on a solemn look; priggishly
一本万利,make big profits with a small capital; highly profitable
一笔抹杀,wipe out with one stroke of the pen; obliterate
一笔勾销,cancelled with one stroke of the pen; cancel
一鼻孔出气,be in tune with; gang up with
一臂之力,a helping hand; 
一步登天,have a meteoric rise; ascend to heaven at a single bound
一不做,"once it is started, go through with it; as well be hanged for a sheep as a lamb"
一拍即合,fit in readily; chime in easily
一抔黃土,mere dust heaps; something utterly insignificant
一盘散沙,lacking a spirit of cooperation; in a state of disunity
一贫如洗,penniless; poverty-stricken
一曝十寒,work hard for one day and do nothing for ten warm for one day and cold for ten days; work by fits and starts
一模一样,exactly alike; as two peas in a pod
一马当先,take the lead; be in the van
一马平川,a wide expanse of flat land; flat country
一脉相承,of the same school; a continuation of
一毛不拔,miserly; parsimonious
一面之词,one-sided statement; the statement of only one of the parties
一面之交,have met only once; be casually acquainted
一鸣惊人,rocket to fame; set the Thames on fire
一命呜呼,kick the bucket; die
一目了然,understand fully at a glance; leap to the eye
一目十行,take in ten lines at one glance; 
一发千钧,by the skin of one's teeth; the sword of Damocles
一帆风顺,plain sailing; good innings
一反常态,act out of character; depart from one's normal behavior
一得之功,"just an occasional, minor success; "
一得之愚,my humble opinion -; 
一刀两断,make a clean break; sever connections with somebody
一塌刮子,the sum total; a grand total
一塌糊涂,in a complete mess; a hell of a mess
一潭死水,"a stagnated, dull atmosphere; a pond of stagnant water"
一团和气,an easygoing atmosphere; harmony all around
一念之差,a momentary slip; a wrong decision made in a moment of weakness
一诺千金,a solemn promise; a bargain's a bargain
一劳永逸,put things right once and for ail; solutions that hold good for all time
一览无余,take in everything at a glance; 
一了百了,death ends all one's troubles; all troubles end when the main trouble ends
一鳞半爪,odd bits / fragments; just a few known details of a larger whole
一路平安,have a good trip; bon voyage!
一落千丈,suffer a sudden decline; rapid declension
一改故辙,rid oneself of an old habit; depart from the old rut and courageously set on a new way
一概而论,put in the same category; lump together
一干二净,spick-and-span; neat and tidy
一鼓作气,get something done in one vigorous effort; at a dash
一国三公,divided leadership; a state with three rulers
一棍子打死,finish off with a single blow; completely negate
一刻千金,every moment is precious; value every minute
一孔之见,a narrow view; 
一哄而散,disperse after making a noise; break up
一呼百诺,"have hundreds at one's beck and call; when one gives a call, a hundred respond"
一呼百应,an appeal meets with immediate response; ready to go into action in their hundreds
一挥而就,be done with one stroke of the pen; finish a piece of writing or a painting at one go
一技之长,speciality; a single skill
一见钟情,fall in love at first sight; love at first sight
一箭双雕,kill two birds with one stone; dual gain
一见如故,become fast friends at the first meeting; friendly at the first meeting
一举两得,achieve two things at one stroke; kill two birds with one stone
一举成名,achieve instant fame; become famous overnight
一蹶不振,fail utterly; be roundly defeated
一决雌雄,have a showdown with; fight it out
一气呵成,form a coherent whole; in a breath
一窍不通,not to know the first thing; a complete ignoramus
一丘之貉,jackals of the same lair; of the same batch
一钱不值,utterly worthless; mere trash
一清二楚,completely clear; as plain as daylight
一去不复返,gone forever; leave for good
一穷二白,backward both economically and culturally; poverty and blankness
一息尚存,as long as one lives; till one's last gasp
一蟹不如一蟹,from bad to worse; get worse and worse
一泻千里,forceful and flowing; flow down vigorously
一笑置之,laugh off; dispose it with a smile
一心一德,be at one; with united will
一心一意,wholeheartedly; with undivided attention
一厢情愿,wishful thinking; 
一知半解,superficial knowledge; sciolism
一纸空文,empty words on a sheet of paper; a bit of waste paper
一掷千金,spend money extravagantly; spend money like water
一朝被蛇咬,"once bitten, twice shy; the scalded cat fears cold water"
一朝一夕,overnight; a short duration of time
一枕黄粱,a brief dream of grandeur; Golden Millet Dream
一针见血,hit the nail on the head; straight from the shoulder
一张一弛,strike a proper balance between work and rest; alternate tension with relaxation
一着不慎,one careless move and the whole game is lost; a trip in one point would have spoiled all
一差二错,possible mistake or mishap; 
一筹莫展,be at one's wits' end; with one's finger in one's mouth
一尘不染,spotless; not to be stained with a particle of dust
一唱百和,"chime in with others; one sings, all follows"
一唱一和,sing the same tune; chime in with
一成不变,be set in one's ways; immutable
一触即发,touch-and-go; to an explosive point
一触即溃,collapse at the first encounter; be routed at the first encounter
一视同仁,treat all alike without discrimination; give the devil his due
一失足成千古恨,a single slip may cause lasting sorrow; a wrong step taken results in eternal regret
一事无成,get nowhere; nothing accomplished
一手包办,take everything on oneself; stage-manage
一手遮天,hoodwink the public; hide the truth from the masses
一身是胆,know no fear; be absolutely fearless
一日千里,by leaps and bounds; rapid advance
一日三秋,miss somebody very much; a day absent from you is like three seasons
一人得道,"when a man gets to the top, all his friends and relations get there with him.; when a man attains the Tao , even his pets ascend to heaven"
一人难如千人意,one man con hardly meet the wishes of everybody; 
一人传虚,one man tells an idle story and it becomes fact in the mouths of ten thousand; 
一如既往,as always; as before
一字千金,one character is worth a thousand ounces of gold; one character is worth much gold
一则以喜,feel both joy and fear; 
一蹴而就,succeed overnight; expect results overnight
一寸丹心,a loyal heart; a heart of pure loyalty
一寸光阴一寸金,"time is money; ""an inch of time is an inch of gold"""
一丝不苟,scrupulous about every detail; dot the i's and cross the t's
一丝不挂,be stark-naked; not have a stitch on
一丝一毫,the slightest; a trace of
一扫而空,swept clean at one attempt; 
一而再,again and again; repeatedly
一衣带水,a narrow strip of water; 
一意孤行,go one's own way; wheel and deal
一叶知秋,it is a straw in the wind; a small sign can indicate a great trend
一叶障目,have one's view of the important overshadowed by the trivial; a leaf before the eye shuts out Mount Taishan
一言难尽,mere words cannot fully express it; it is hard to explain in a few words
一言既出,what is said cannot be unsaid; a word once spoken cannot be overtaken even by a team of four horses
一言以蔽之,make a long story short; briefly
一言为定,a bargain is a bargain; it's a whack
一无可取,good-for-nothing; worthless
一物降一物,everything has its vanquisher; there is always one thing to conquer another
一无是处,without a single redeeming feature; can never get anything right
一误再误,make one error after another; make things worse by repeated delays
一无所知,know nothing about; a total stranger to
一无所长,be a Jack of all trades; superior in no respect
一无所有,not have a thing to one's name; destitute
一五一十,narrate systematically and in full detail; 
一文不值,not worth the paper on which it is written; not amount to a row of beans
一问三不知,"be entirely ignorant; say ""I don't know"" to every question - not know a thing"
一网打尽,round up the whole gang at one fell / swoop; all captured at once
一往情深,passionately devoted to; be far gone in love
一望而知,very obvious; manifest at a glance
一望无际,boundless; beyond the reach of a glance
一往无前,forge ahead; indomitable
一语破的,come to the point; hit the nail on the head
一语道破,get to the heart of the matter in a few words; hit the nail on the head
七拼八凑,rig up; scrape together
七颠八倒,in great confusion; topsy-turvy
七零八落,scattered here and there; 
七窍生烟,foam with rage; fume with anger
七长八短,of uneven size; 
七手八脚,too many cooks; all flurry and confusion
七上八下,be agitated; be perturbed
七嘴八舌,all talking at once; lively discussion with everybody trying to get a word in
三番五次,again and again; repeatedly
三头六臂,with three heads and six arms - superhuman; 
三天打鱼,lack of perseverance; go fishing for three days and dry the nets for two
三令五申,repeated orders and instructions; repeated injunctions
三个臭皮匠,two heads are better than one; the wisdom of the masses exceeds that of the wisest individual
三顾茅庐,repeated a whole-hearted invitation; repeatedly request somebody to take up a responsible post
三句话不离本行,talk shop a the time; always the trade talk
三心二意,undecided; half-hearted
三长两短,"something unfortunate, especially death; unhappy events"
三十六计,the best thing to do now is to quit; decamping is the best of the thirty-six stratagems
三生有幸,consider oneself most fortunate; a fortunate meeting
三人行必有我师,"if three of us are walking together, there will certainly be a teacher for me; "
三足鼎立,divided into three opposing parts; 
三寸不烂之舌,a silver tongue; somebody's eloquence
三思而行,look before you leap; score twice before you cut once
三三两两,in twos end threes; in small crowds
三言两语,in a few words; in short
三五成群,in threes and fours; in knots
三位一体,three in one; three welded into one
上不着天,be suspended in mid-air; 
上天无路,"helpless, nowhere to turn; in desperate straits"
上梁不正下梁歪,people follow the example of those in high positions; a crooked stick throws a crooked shadow
上下其手,practise fraud; league together for some evil end
上行下效,"if a leader sets up a bad example, it will be followed by his subordinates; the inferiors imitate the superiors"
上谄下骄,snobbish; flatter those in high positions and despise those of lower ranks
上蹿下跳,run clandestine errands up and down the line; run around on sinister errands
上无片瓦,as poor as a church mouse; have neither a tile over one's head nor a speck of land under one's feet to stick a needle
下笔千言,"write quickly but stray from the theme; a thousand words from the pen in a stream, but ten thousand li away from the theme"
下不为例,not to be repeated; not to be taken as a precedent
下马看花,on-the-spot investigation; get off one's horse and look at the flowers
下里巴人,popular literature or art; Song of the Rustic Poor
下车伊始,the moment one takes up one's official post; as soon as one alights from the official carriage - on arrival at a new post
不败之地,invincible position; 
不白之冤,unrighted wrong; a case of being wrongly accused
不辨菽麦,have no knowledge of practical matters; not know chalk from cheese
不破不立,"without destroying the old, one cannot build the new; there can be no construction without destruction"
不偏不倚,even-handed; impartial
不平则鸣,"where there is injustice, there will be an outcry; man will cry out against injustice"
不毛之地,barren land; unfruitful ground
不谋而合,happen to hold the same view; be a coincidence
不明不白,inexplicable; unexplainable
不名一文,penniless; stony broke
不乏其人,no lack of such people; such people are not rare
不费吹灰之力,easy as ABC; it's a walk-over
不分彼此,share everything; be on very intimate terms
不分皂白,make no distinction between black and white; indiscriminate
不打不成相识,"no discord, no concord; from an exchange of blows friendship grows"
不违农时,do farm work in the right time; not miss the farming season
不打自招,a self-confession; a frank avowal
不到黄河心不死,not give up till coming to a dead end; until all is over ambition never dies
不得人心,be unpopular; 
不得要领,unable to make heads or tails of something; beside the point
不登大雅之堂,in bad taste; indecent
不动声色,stay calm and collected; keep one's countenance
不痛不痒,superficial; milk and water
不同凡响,out of the ordinary; outstanding
不能自拔,be inescapably caught in; be inextricably bogged down in
不念旧恶,forget old grudges; let bygones be bygones
不宁唯是,that isn't all; not only so
不劳而获,profit by other people's toil; gain results without working for them
不郎不秀,worthless; unpromising
不了了之,leave in status quo; conclude without conclusion
不吝指教,not spare your comments; do not stint your criticism
不露声色,keep a straight face; keep one's countenance
不落窠臼,leave the beaten track; have an original style
不伦不类,neither rhyme nor reason; nondescript
不苟言笑,quiet and reserved; discreet in speech and manner
不甘后人,hate to be outdone; cannot bear playing the second fiddle
不甘示弱,yield no ground; unwilling to show one's weakness
不敢越雷池一步,keep within bounds; dare not exceed the utmost limits one can go
不过尔尔,just so-so; just middling
不管三七二十一,come what may; recklessly
不共戴天,absolutely irreconcilable; have a deep-seated hatred for
不攻自破,collapse of itself; cannot stand any refutation
不可偏废,without neglecting either; 
不可磨灭,will endure for centuries; ineffaceable
不可多得,hard to come by; rare
不可同日而语,there is no comparison between the two; not to be compared with
不可理喻,will not listen to reason; impervious to reason
不可开交,up to one's eyes; not having a moment one can call one's own
不可救药,incurable; hopeless
不可企及,lag far behind; out of one's reach
不可终日,be unable to carry on even for a single day; be in a desperate situation
不可收拾,unmanageable; hopeless
不可胜数,innumerable; countless
不可思议,mysterious; unimaginable
不可一世,overbearing; swashbuckling
不可言状,beyond description; nondescript
