idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe
"Mr Right, Ms Right","at the costume party, they found their Mr Right and Ms Right outfits in the store",literal,the best future life partner for someone,literal,literal,literal,"['34T446B1CGU0JY86MV1WGY535W6C0M', '3JV9LGBJW9UY3RGUQ2ZQWQM01REOGY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.273, 45.577]"
a bird in the hand,"holding a bird in the hand, she carefully examined its feathers",literal,a possession that is worthy,literal,literal,literal,"['3TEM0PF1QLDAOQEKMRW704NLQWJ0DB', '3IRIK4HM3Q0VX9ULOKHDPZFUIZSC6N']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[96.687, 47.933]"
a hard nut to crack,the mysterious case was a hard nut to crack for the detective,figurative,a problem that is difficult to solve,figurative,figurative,figurative,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]"
a litmus test,"in the chemistry lab, the new policy was a litmus test to determine the acidity of a solution",literal,someone's decision or opinion about something that suggests what they think about a wider range of related things,tie,discard,figurative,"['3KOPY89HMOIJ84D9FA0150G5YSZJ32', '3KKG4CDWKYEFKOJ4TCE7QBU8GNJ49D']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.387, 48.432]"
a trip to the sun,he planned a trip to the sun when he decided to pursue his wildest dreams,figurative,something which is very unlikely,figurative,figurative,figurative,"['3Z7EFSHGNPU8GOEHP7Q3PCSEF3RCXH', '3EG49X351ASJ075GFGD03C04JHG6XJ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[62.052, 146.511]"
a wet blanket,"after the rainstorm, the picnic blanket was being a wet blanket on the ground",literal,a person who spoils other people's fun.,literal,literal,literal,"['3XC1O3LBO82U2BZ3XAI53SXVWGHLTN', '3GD6L00D38DDZ95FV3ZAXZTP42G1MW']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[106.194, 40.352]"
a witch hunt,the company started a witch hunt to find the person responsible for the leak,figurative,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,figurative,figurative,figurative,"['3BDCF01OGDAQJXYX7G54B9PABI0LYD', '3Y54SXRO111XL1MX6OA6UFTE97ATUP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[113.946, 31.328]"
acid test,moving in together was the acid test for their relationship to see if they could handle living with each other,figurative,a test that proves a hypothesis or validity of a product or idea,figurative,figurative,figurative,"['3XUHV3NRV0EQVD5N5TL98KYAZWNH5M', '3RKNTXVS32ETP7T9LIS7M65SM514AS']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[65.204, 151.035]"
air their dirty laundry,they aired their dirty laundry outside on the clothesline,literal,to make public something embarrassing that should be kept secret,literal,literal,literal,"['3Z7EFSHGNPU8GOEHP7Q3PCSEF3RCXH', '3EG49X351ASJ075GFGD03C04JHG6XJ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[62.052, 146.511]"
all ears,"in the surreal art exhibit, the walls appeared to be all ears",literal,saying that you are all ears means the other person has got your full attention in terms of listening to him,literal,literal,literal,"['36WLNQG78FQG0JVUG24GQ31PHCGEB3', '37C0GNLMHVJ5210ZOGCO95XC3Z4D6O']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[116.321, 153.414]"
all the rage,"in the 90s, the new fashion trend was all the rage among teenagers",figurative,when something is the height of popularity,figurative,figurative,figurative,"['3SB5N7Y3OJKD0AOBOHXF6PQI3OYG00', '3DIP6YHAPS8XYLXNDQK6Z1BO96VE84']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.967, 52.012]"
apple polisher,he got the promotion by being an apple polisher and constantly flattering the boss,figurative,a flatterer; toady,figurative,figurative,figurative,"['382M9COHEXVVWI40GTLBVTTD6XNEUK', '3E337GFOLPOGL6GIPNZDH1MVBH9GNB']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[125.714, 155.442]"
apples and oranges,arguing about their preferences in music was like comparing apples and oranges,figurative,two things that are fundamentally different and therefore not suited to comparison,figurative,figurative,figurative,"['3CPLWGV3M4F16WTABHT3PK0874EN9R', '34MAJL3QPK3T5MUOC3DXZYRMGVA43X']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.83, 111.134]"
apples and oranges,"at the grocery store, they were comparing apples and oranges to decide which fruit to buy",literal,two things that are fundamentally different and therefore not suited to comparison,literal,literal,literal,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]"
apples to apples,"to make a fair judgment, we need to compare apples to apples in this situation",figurative,having a fair comparison between the two things,tie,ambiguous,figurative,"['3SUWZRL0METAU7EZKBN8FNFX3B6E6J', '3I7DHKZYG3G6HHEHA3X95ZMXJH9F5L']","['A2A6FH0F7LD9ND', 'A2H1QUGX0SOUMH']","[52.399, 420.147]"
arm in arm,the two companies walked arm in arm in their joint venture,figurative,to be closely allied,figurative,figurative,figurative,"['3R5F3LQFVI0YU8BZGUNFHX26CH8ZOY', '34MAJL3QPK3T5MUOC3DXZYRMGVC43Z']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[47.996, 27.061]"
asleep at the wheel,the manager was asleep at the wheel when the company lost a major client,figurative,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",tie,figurative,ambiguous,"['308Q0PEVBOT9SVIJE1GBKC4RL5K9IX', '3SNLUL3WOK392OESXF8F8OJXFUPLUF']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.075, 83.204]"
at daggers drawn,the actors were at daggers drawn with each other during the stage fight scene,literal,almost ready to fight,literal,literal,literal,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]"
at the bottom of the ladder,"before climbing, she started at the bottom of the ladder and checked each rung for stability",literal,"occupying the lowest, most basic position in a given group",literal,literal,literal,"['32RIADZIS8KXP3F32IEY76ZY8BA4SQ', '3OS4RQUCRPV86XVQBDOM8LMPTDZFBQ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[83.249, 148.876]"
at the drop of a dime,our team is always ready at the drop of a dime to tackle any challenge,figurative,something that can happen very fast without hesitation,figurative,figurative,figurative,"['39GHHAVOMV74Q0WDFO5KF58BCSVJ4N', '3SKEMFQBZJL0KLPX9CV9XWOTT3RK8U']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[111.002, 86.66]"
at the drop of the hat,"as a professional hat catcher, he was ready at the drop of a hat to catch any falling hats",literal,to do something easily and without any preparation,literal,literal,literal,"['3TOK3KHVJ9YFAY5TXZVWQD972OV7OE', '3M68NM076XNZ3BJ46H78EUEGI0VR68']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[123.647, 59.048]"
back against the wall,"with no other options left, he had his back against the wall and had to make a decision",figurative,to be in a tough situation with limited options,figurative,figurative,figurative,"['3XC1O3LBO82U2BZ3XAI53SXVWGHLTN', '3GD6L00D38DDZ95FV3ZAXZTP42G1MW']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[106.194, 40.352]"
back door,she went through the back door to avoid being seen by the guests,literal,to take indirect or unofficial route to get something done,tie,ambiguous,literal,"['3Z7EFSHGNPU8GOEHP7Q3PCSEF3RCXH', '3EG49X351ASJ075GFGD03C04JHG6XJ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[62.052, 146.511]"
back the wrong horse,"at the racetrack, she backed the wrong horse and lost her bet",literal,to make the wrong decision and support a person or action that is later unsuccessful,literal,literal,literal,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]"
back to the salt mines,"after a relaxing vacation, it's time for going back to the salt mines and working hard",figurative,"resume work, usually with some reluctance",ambiguous,ambiguous,ambiguous,"['337RC3OW0LI9F33S25IK4ALGT1XLV3', '31LVTDXBLNQHMWMBTLDA3DWD8VKLRA']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[100.005, 56.233]"
back to the salt mines,the miners finished their lunch break and were going back to the salt mines to continue their work,literal,"resume work, usually with some reluctance",literal,literal,literal,"['35K3O9HUART6D07AL4QC9TSAWABEFO', '3VJ40NV2QY328W20A2YXV91PRLOOT9']","['A1HKYY6XI2OHO1', 'A1I7H6RDJS4EKN']","[125.003, 2125.893]"
bad blood,"after the transfusion, the doctor discovered that there's bad blood between them",literal,to have ill feelings towards someone,tie,literal,ambiguous,"['3CPLWGV3M4F16WTABHT3PK0874EN9R', '34MAJL3QPK3T5MUOC3DXZYRMGVA43X']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.83, 111.134]"
bad blood,"due to their past disagreements, there's bad blood between them",figurative,to have ill feelings towards someone,figurative,figurative,figurative,"['3K3R2QNK8RJE1MDJ8I5P3FS2F0B9U9', '3HL8HNGX4LHPI4GTDTAQHFRZ5DS9F6']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[37.079, 153.593]"
ball and chain,the prisoner was carrying a ball and chain as a part of his punishment,literal,a burden or problem that ties you down and prevents you from doing what you want,literal,literal,literal,"['3CPLWGV3M4F16WTABHT3PK0874EN9R', '34MAJL3QPK3T5MUOC3DXZYRMGVA43X']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.83, 111.134]"
bare bones,the archaeologist presented the bare bones of the ancient skeleton,literal,most basic and important elements or facts,literal,literal,literal,"['3D4CH1LGEQ9VW4COODG8Z0RB6SS9G5', '39RP059MEX9EC7N7X0SZ3B6YQE8BMQ']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.477, 87.946]"
bark up the wrong tree,accusing her of stealing the documents was barking up the wrong tree,figurative,waste one's efforts by pursuing the wrong thing or path,figurative,figurative,figurative,"['3KOPY89HMOIJ84D9FA0150G5YSZJ32', '3KKG4CDWKYEFKOJ4TCE7QBU8GNJ49D']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.387, 48.432]"
bats in the belfry,his wild theories and peculiar behavior made others think he had bats in the belfry,figurative,to be silly and slightly crazy and behave in a confused way,figurative,figurative,figurative,"['3P1L2B7ADH5EPJUV1TW69IR8X80LO1', '37FMASSAYS7SGOXGCLU7BIZH95OBIA']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[100.216, 34.816]"
bats in the belfry,the old church tower had bats in the belfry that flew out at dusk,literal,to be silly and slightly crazy and behave in a confused way,literal,literal,literal,"['3Z7EFSHGNPU8GOEHP7Q3PCSEF3RCXH', '3EG49X351ASJ075GFGD03C04JHG6XJ']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[62.052, 146.511]"
begun to see the light,"as the sun rose, she began to see the light streaming through the window",literal,to suddenly begin to understand,literal,literal,literal,"['3K3R2QNK8RJE1MDJ8I5P3FS2F0B9U9', '3HL8HNGX4LHPI4GTDTAQHFRZ5DS9F6']","['A290OV59Q76QC8', 'A2LMQ4497NMK3S']","[37.079, 153.593]"
being bouncing off the walls,the rubber ball kept bouncing off the walls in the small room,literal,excited and full of nervous energy,literal,literal,literal,"['3TK8OJTYMH1Z6OIQUXBRLRU0YBYPV5', '30IQTZXKA0MOMWJ1DRXJUBQD6EUX09']","['A290OV59Q76QC8', 'A2YO837C0O1E91']","[53.466, 45.91]"
between a rock and a hard place,he was caught between a rock and a hard place when he had to choose between his job and his family,figurative,having two very bad choices,figurative,figurative,figurative,"['3BDCF01OGDAQJXYX7G54B9PABI0LYD', '3Y54SXRO111XL1MX6OA6UFTE97ATUP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[113.946, 31.328]"
bite off more than one can chew,"by accepting too many projects at once, he bit off more than he could chew",figurative,"to try to do something that is too difficult for you, or more than you can manage",figurative,figurative,figurative,"['382M9COHEXVVWI40GTLBVTTD6XNEUK', '3E337GFOLPOGL6GIPNZDH1MVBH9GNB']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[125.714, 155.442]"
bits and pieces,"after the meeting, we gathered the bits and pieces of information to create a report",figurative,miscellaneous small objects,figurative,figurative,figurative,"['34T446B1CGU0JY86MV1WGY535W6C0M', '3JV9LGBJW9UY3RGUQ2ZQWQM01REOGY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[108.273, 45.577]"
bitter medicine,the doctor prescribed a dose of bitter medicine to treat his illness,literal,something difficult to accept,literal,literal,literal,"['3SB5N7Y3OJKD0AOBOHXF6PQI3OYG00', '3DIP6YHAPS8XYLXNDQK6Z1BO96VE84']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[120.967, 52.012]"
bitter pill,he had to swallow a bitter pill when he realized he couldn't afford his dream car,figurative,something unpleasant to be endured,figurative,figurative,figurative,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]"
black hole,scientists discovered a black hole in the system while observing the galaxy,literal,a place in which things are lost never to be seen again,literal,literal,literal,"['3LYA37P8I63JMJN4COFJOYEU19DBKL', '30BUDKLTXTBEB3ELFSD3NH1X7GZ5EY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.787, 47.3]"
blazing row,the firefighters had a blazing row of flames to extinguish,literal,a very angry argument,literal,literal,literal,"['3SPJ03342HJKO7AX4VTRVUCI7TVJY9', '38JBBYETQ4QWFKAL1NUTIPVJ7K0E4Y']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[49.674, 47.302]"
blind spot,he had a blind spot when it came to recognizing his own flaws,figurative,"if you have a blind spot about something, you cannot accept or understand it",figurative,figurative,figurative,"['3BDCF01OGDAQJXYX7G54B9PABI0LYD', '3Y54SXRO111XL1MX6OA6UFTE97ATUP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[113.946, 31.328]"
"blood, sweat, and tears","after the intense workout, he put in blood, sweat, and tears on the gym floor",literal,putting a lot of effort to get a task done.,tie,figurative,discard,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]"
"blood, sweat, and tears","he put in blood, sweat, and tears to build his business from the ground up",figurative,putting a lot of effort to get a task done.,figurative,figurative,figurative,"['3E13VNJ1N3BR3QFOAO1I56M8NTW1IG', '31QTRG6Q29TGAIDVZ8YBSQYUGSZYPM']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[147.3, 42.162]"
bread and butter,"graphic design is their bread and butter, as it's their main source of income",figurative,to indicate what a person earns or earns for,figurative,figurative,figurative,"['3XC1O3LBO82U2BZ3XAI53SXVWGHLTN', '3GD6L00D38DDZ95FV3ZAXZTP42G1MW']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[106.194, 40.352]"
break a leg,"before her performance, we told her to break a leg on stage",figurative,good luck,figurative,figurative,figurative,"['3LYA37P8I63JMJN4COFJOYEU19DBKL', '30BUDKLTXTBEB3ELFSD3NH1X7GZ5EY']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[103.787, 47.3]"
break the mould,the sculptor was breaking the mould to reveal the finished statue,literal,to do something different from what is expected,literal,literal,literal,"['3R5F3LQFVI0YU8BZGUNFHX26CH8ZOY', '34MAJL3QPK3T5MUOC3DXZYRMGVC43Z']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[47.996, 27.061]"
bright spark,"she was a bright spark in the team, always coming up with innovative ideas",figurative,an intelligent and lively person (humorously),figurative,figurative,figurative,"['3XC1O3LBO82U2BZ3XAI53SXVWGHLTN', '3GD6L00D38DDZ95FV3ZAXZTP42G1MW']","['A1HKYY6XI2OHO1', 'A290OV59Q76QC8']","[106.194, 40.352]"
bright spark,the firework display created a bright spark in the night sky,literal,an intelligent and lively person (humorously),literal,literal,literal,"['37TRT2X2467OBZHMU3F7NJEHMKDJBU', '3KXIR214IKW4K4Y583ZSGOMUAHC42O']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[56.205, 91.41]"
bull in a china shop,"he was clumsy and careless, acting like a bull in a china shop during the meeting",figurative,"extremely awkward, clumsy person",tie,literal,figurative,"['3R5F3LQFVI0YU8BZGUNFHX26CH8ZOY', '34MAJL3QPK3T5MUOC3DXZYRMGVC43Z']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[47.996, 27.061]"
burn bridges,"after the argument, she burned bridges with them and never spoke to them again",figurative,"remove someone's all options of retreat, act decisively",figurative,figurative,figurative,"['36WLNQG78FQG0JVUG24GQ31PHCGEB3', '37C0GNLMHVJ5210ZOGCO95XC3Z4D6O']","['A1HKYY6XI2OHO1', 'A2LMQ4497NMK3S']","[116.321, 153.414]"
burn fingers,they burned their fingers while trying to grab a hot pan,literal,to bear an unpleasant result of an action that has been taken in the past,literal,literal,literal,"['3EWIJTFFV4NFGWSKIM7R6M56Q8KE0I', '3907X2AHFGLQ9XKO6NRGJMXP1D72PC']","['A290OV59Q76QC8', 'A38DXFI1TZA295']","[49.498, 32.637]"
call bluff,"during the poker game, she called his bluff and revealed his cards",literal,"to challenge to prove one's claim, when they are likely attempting to deceive",tie,literal,ambiguous,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]"
call bluff,she called his bluff when he threatened to quit the job,figurative,"to challenge to prove one's claim, when they are likely attempting to deceive",figurative,figurative,figurative,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]"
call names,the teacher asked the students to practice calling names at each other during the roll call,literal,to insult someone,tie,literal,ambiguous,"['3QEMNNSB2DFO61E47QHGFJX8YAOD7N', '3GLB5JMZFDB7ZUP50TLALWA1XD7GDT']","['A2LMQ4497NMK3S', 'A38DXFI1TZA295']","[160.22, 66.441]"
camp follower,"as a camp follower, she provided food and supplies to the soldiers during their journey",literal,"a person who is supportive of the cause, person or organisation",tie,literal,figurative,"['35GMH2SV3UX0JDK3K792WN1OOBZOEH', '3VP0C6EFSWC86V6C19BRSVK6CDX6M0']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[62.593, 57.684]"
