annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous,intended_ambiguous_retrial,intended_figurative,intended_figurative_retrial,intended_literal,intended_literal_retrial,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a bed of roses,It's not a bed of roses,,It's not a bed of roses trying to rebuild our relationship,,It's not a bed of roses because we used cotton sheets instead,,,ambiguous : figurative : literal,ambiguous,figurative,literal,easy option,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a bird in the hand,There's a bird in his hand,,There's a bird in his hand because he's considering the potential he might have if he holds on,,There's a bird in his hand because he caught it,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a possession that is worthy,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,a cuckoo in the nest,He was a cuckoo in the nest,<found a cuckoo in the nest>,He was a cuckoo in the nest because he had different views from the team,"when the new employee started causing problems, they realized they had <found a cuckoo in the nest>",He was a cuckoo in the nest as he sneaked his way in,"while observing the bird's nest, the ornithologist <found a cuckoo in the nest>",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,an unwelcome intruder in a place or situation.,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,a cut above,This project is a cut above,<a cut above the rest>,This project is a cut above the rest and stands out from all the others,"her performance was <a cut above the rest>, earning her the lead role",This project is a cut above the previous projects as it used more advanced techniques,"the top shelf was <a cut above the rest>, making it difficult to reach",0.0,figurative : figurative : figurative,figurative,figurative,figurative,noticeably greater to,False,False
"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'ambiguous']",True,a damp squib,The event was a damp squib,,The event was a damp squib as it failed to live up to expectations,,The event was a damp squib because it was constantly disrupted by rain,,,figurative : figurative : ambiguous,figurative,figurative,ambiguous,an event which people think will be exciting but which is disappointing when it happens.,False,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",False,a good man is hard to find,It's a good man that's hard to find.,,It's a good man that's hard to find nowadays since trust and kindness seem to be lacking,,It's a good man that's hard to find since he's been missing for many days,,,ambiguous : figurative : literal,ambiguous,figurative,literal,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,False,True
"['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a hard nut to crack,He's a hard nut to crack,<a hard nut to crack>,He's a hard nut to crack and no one has been able to bring him out of his shell,the mysterious case was <a hard nut to crack> for the detective,He's a hard nut to crack and a hammer couldn't break it open,the thick shell made the walnut <a hard nut to crack> with bare hands,0.0,figurative : figurative : literal,figurative,figurative,literal,a problem that is difficult to solve,False,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",False,a litmus test,I used the test as a litmus test,,I used the test as a litmus test to determine whether I should invest in this business scheme,,I used the test as a litmus test to check the acidity of the soil,,,ambiguous : figurative : literal,ambiguous,figurative,literal,someone's decision or opinion about something that suggests what they think about a wider range of related things,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a lot on my plate,I have a lot on my plate,,I have a lot on my plate with all the tasks I have to do for work,,I have a lot on my plate because I loaded it up,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to have so many things to do at one time,False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a needle in a haystack,"It's like a needle in a haystack"" ",<finding a needle in a haystack>,It's like a needle in a haystack trying to find a way to resolve this issue,locating the right document in the archive was like <finding a needle in a haystack>,It's like a needle in a haystack since I'm looking for a physical needle among the hay bales,"the farmer accidentally dropped his sewing needle, and it became a challenge of <finding a needle in a haystack>",0.0,figurative : figurative : literal,figurative,figurative,literal,something very small amidst something very big,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",False,a piece of cake,It's a piece of cake,,It's a piece of cake for me to get the job done,,I'm going to have a piece of cake for dessert,,,ambiguous : figurative : literal,ambiguous,figurative,literal,very easy task,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",False,a roof over your head,He has a roof over his head,,"He has a roof over his head, meaning he has a place to stay and someone to rely on",,"He has a roof over his head, literally providing a cover from the rain",,,ambiguous : figurative : literal,ambiguous,figurative,literal,a place to live,False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",False,a screw loose,I think he has a screw loose,,I think he has a screw loose because of the outrageous things he does,,I think he has a screw loose because the machine is malfunctioning,,,ambiguous : figurative : literal,ambiguous,figurative,literal,someone who behaves in a strange way and seem slightly mentally ill,False,True
"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,a storm is brewing,A storm is brewing,<a storm is brewing in the distance>,A storm is brewing; it's only a matter of time before everything starts to fall apart,"with the tension between the two groups, <a storm is brewing in the distance>",A storm is brewing; rain clouds have been gathering in the sky,"dark clouds are gathering, and <a storm is brewing in the distance>",0.0,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal,"there is going to be trouble, probably with outbursts of anger or emotion",False,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,a trip to the sun,He took a trip to the sun,<planned a trip to the sun>,He took a trip to the sun in order to find new inspiration for his art work,he <planned a trip to the sun> when he decided to pursue his wildest dreams,He took a trip to the sun by building a space shuttle,the science fiction writer <planned a trip to the sun> for her characters in the novel,0.0,figurative : figurative : literal,figurative,figurative,literal,something which is very unlikely,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,a voice crying in the wilderness,She's a voice crying in the wilderness,,She's a voice crying in the wilderness as she protests against the injustice in the society,,She's a voice crying in the wilderness as she screams for help from the remote location,,,ambiguous : figurative : literal,ambiguous,figurative,literal,to say something that is not popular,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a wakeup call,It's a wakeup call,,It's a wakeup call for me to start being more responsible with my time,,It's a wakeup call because the alarm just went off,,,ambiguous : figurative : literal,ambiguous,figurative,literal,something that makes you realize that you need to take action to change a situation,False,True
"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a wet blanket,He's a wet blanket,,"He's a wet blanket, extinguishing any enthusiasm in the room",,"He's a wet blanket, literally drenching the atmosphere with water",,,ambiguous : figurative : literal,ambiguous,figurative,literal,a person who spoils other people's fun.,False,True
"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'figurative']",False,a whale of,She had a whale of a time,<had a whale of a time>,She had a whale of a time at the amusement park,we <had a whale of a time> at the amusement park,She had a whale of a time cutting up the whale,the marine biologist <had a whale of a time> studying the humpback's behavior,0.0,figurative : figurative : figurative,figurative,figurative,figurative,very big (piece) of something,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a whole new ball game,This is a whole new ball game,,This is a whole new ball game now that we've received the grant,,"This is a whole new ball game, as we just switched to soccer",,,ambiguous : figurative : literal,ambiguous,figurative,literal,a significant change in circumstances.,False,True
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a witch hunt,The investigation is a witch hunt,<started a witch hunt>,The investigation is a witch hunt because they are trying to quickly find someone to blame,the company <started a witch hunt> to find the person responsible for the leak,The investigation is a witch hunt as they are trying to identify and punish a witch,"during the historical reenactment, they <started a witch hunt> to portray the events accurately",0.0,figurative : figurative : literal,figurative,figurative,literal,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,above board,Everything was above board,,"Everything was above board, which was a relief, especially in this difficult political climate",,"Everything was above board, literally visible to everyone",,,ambiguous : figurative : literal,ambiguous,figurative,literal,"straight; without concealment, legitimate; open",False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,Achilles heel,This is his Achilles heel,,"This is his Achilles heel, as he always has difficulty containing his emotions",,"This is his Achilles heel, as he has a weak spot on the back of his heel where he gets injured easily",,,ambiguous : figurative : literal,ambiguous,figurative,literal,a vulnerable spot or weakness,False,True
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,acid test,We have to put this to the acid test,,We have to put this to the acid test to see if it will help us in the long run,,We have to put this to the acid test to see if it remains the same after a chemical reaction,,,ambiguous : figurative : literal,ambiguous,figurative,literal,a test that proves a hypothesis or validity of a product or idea,False,True
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']",False,across the board,We took action across the board,<improvements across the board>,We took action across the board to make sure the situation was handled efficiently,the company saw <improvements across the board> after implementing new strategies,We took action across the board that was laid out in front of us,the chess master made <improvements across the board> by adjusting the positions of his pieces,0.0,figurative : figurative : figurative,figurative,figurative,figurative,applying to everyone,False,False
"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'ambiguous']",False,act of God,It was an act of God,<an act of God>,It was an act of God when the hurricane destroyed our town,the sudden storm that saved the village from invaders was considered <an act of God>,It was an act of God when the choir sang to praise Him,"in the play, the actor portraying Zeus performed <an act of God> by throwing a lightning bolt",0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,an occurrence of out of control natural forces in action,False,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,add fuel to the flames,He added fuel to the flames,,He added fuel to the flames by arguing and making things worse,,He added fuel to the flames by placing some fuel on the burning log,,,ambiguous : figurative : literal,ambiguous,figurative,literal,"an action, whether verbal or physical that makes a bad situation even worse",False,True
