idiom_0,meaning_0,instance_0,label_0,idiom_1,meaning_1,instance_1,label_1,idiom_2,meaning_2,instance_2,label_2,idiom_3,meaning_3,instance_3,label_3,idiom_4,meaning_4,instance_4,label_4
put cards on the table,be open and honest,Let's put our cards on the table and be honest with each other,0,put your head on the block,if you put yourself in a dangerous situation where you risk losing your job or your reputation if things go wrong,He put his head on the block,2,silver spoon,having a rich or privileged background,She had a silver spoon when it came to her education since her parents could afford to send her to the best schools,0,concern with,to be busy with something,He was concerned with the results,2,no room to swing a cat,a very small place,The house had no room to swing a cat as it was too crowded with furniture and other belongings,0
over the moon,extremely pleased or happy,He was over the moon when he heard the news of his promotion,0,at sea,It means to be confused or not understand something at all.,They were at sea trying to make sense of the situation,0,skating on thin ice,to do something considered quite dangerous or risky,He's skating on thin ice and he could break through it at any moment,1,man's best friend,"It refers to animals that are of use to human beings, mostly used to address dogs.",He is a man's best friend,2,black book,a book containing a list of secret contacts,He wrote it in his black book when the ink matched,1
good egg,a kind person,He is a good egg because he always helps me out when I'm in need,0,a wet blanket,a person who spoils other people's fun.,He's a wet blanket,2,graveyard shift,"a period of work, for example in a factory, that begins late at night and ends early in the morning","She works the graveyard shift, meaning her job requires longs hours spent in the dark",0,call it a day,"stop doing something, especially working",Let's call it a day,2,back to the drawing board,back to the planning stage,We went back to the drawing board as we needed a fresh start,1
rub the wrong way,to tick someone off,It rubbed the wrong way when he started criticizing her performance,0,ball and chain,a burden or problem that ties you down and prevents you from doing what you want,My job is like a ball and chain because I have to stay in the office all day,1,tore your hair out,to be extremely agitated or distressed about something,She was tearing her hair out trying to figure out the cause of the problem,0,in touch,"to remain in contact with someone, especially when separated by time or distance",We need to stay in touch and make sure that we keep up with each other's lives,0,birds of a feather,"people with similar tastes, interests, and backgrounds",We are birds of a feather because we both have feathers,1
"blood, sweat, and tears",putting a lot of effort to get a task done.,"It took blood, sweat, and tears to make this business a success",0,kiss and make up,to become friendly again after an argument,They kissed and made up after arguing with each other,0,kick yourself,to be angry with yourself for something you have or have not done,She kicked herself with her foot,1,speak of the devil,when someone comes in unexpectedly while being talked about,I was just speaking of the devil when Lucifer called me on the phone,1,when pigs fly,something that will never happen,"It will happen when pigs fly, meaning it is never going to happen",0
carry on,to continue with something,I had to carry on,2,not hurt a fly or flea,"To not be able to cause harm to anyone, including even a tiny and insignificant insect.","I wouldn't hurt a fly or flea, no matter what",1,full cry,to talk about a subject in an eager tone,The children were in full cry with enthusiasm to compete in the race,0,begun to see the light,to suddenly begin to understand,I have begun to see the light after doing lots of research and talking to mentors,0,turn the tables,change your position with respect to someone else.,"I turned the tables by speaking up for myself, showing them my true potential",0
zero hour,a time when a crucial decision or essential action must be taken,It's zero hour,2,the other side of the coin,"the opposite aspect, contrasting arguments.",Let's consider the other side of the coin before making a decision,0,bad blood,to have ill feelings towards someone,There is bad blood between them since their last physical altercation,1,forty winks,"sleep for a while, mostly during the day",I had forty winks on my eyes yesterday,1,sink or swim,"having to do something alone, and their success or failure depends entirely on their own efforts","He's in a sink or swim situation, where he will either be able to stay afloat or be underwater",1
in hot water,in trouble or state of shame,He's in hot water following the scandal that he has been caught in,0,go through the roof,to become very angry,My enthusiasm went through the roof when I was trying to see what's above it,1,a bed of roses,easy option,It's not a bed of roses,2,by hook or by crook,by any possible means,"He will get it by hook or by crook, no matter what it takes",0,card up sleeve,to have a secret advantage that is suddenly revealed to change the game,He had a card up his sleeve when he asked for a raise at work,0
turn down a glass,to decline something that someone has offered.,She turned down a glass when the waiter offered her a drink; an indication that she didn't want to consume anything,0,feet of clay,have a flaw or weakness most people are unaware of.,He has feet of clay so he can never achieve his dreams,0,zip it,to ask someone to shut up,Zip it up so your coat won't be open,1,pie in the sky,used to portray or refer to something that is lovely to consider however is probably not going to happen,It's a pie in the sky because it's too high up on the shelf,1,there's no such thing as a free lunch,to be aware of something that seems free of cost but may have a charge levied in another form,"You can't get a free lunch, so you will have to work hard to achieve the desired outcome",0
hung out to dry,"to abandon someone who is in difficulty, without giving any assistance or support",They hung her out to dry when they refused to give her any help,0,the sun rises and sets on them,to believe that someone is the most wonderful and important person in the world; to love and adore someone more than anyone else,She thinks the sun rises and sets on them because they live in a village near the equator,1,fall out,to disagree with someone about something,They had a fall out,2,never looked back,"after an event which changed your life for the better, you continue to be happy with the situation",I never looked back after running away,1,hold water,"it means that the point of view or argument put forward is sound, strong or logical","This story doesn't hold water, so I don't believe it",0
