,,,,,,Name:,Jaechan Lee,
,,,,,,Email:,chan0369@cs.washington.edu,
,,,,,,Language:,Korean,
"Instructions: In this dataset, we consider subsentences with idioms (e.g., ""They got our feet wet"") that are ambiguous between literal and figurative interpretations. We are asking you to translate two sentences containing the subsentence, one that is literal and one that is figurative. The translation of the figurative sentence should translate the meaning of the idiom, rather than translating it literally. For instance, you would say ""They got familiar with"" in your target language. If there is an equivalent idiom in the target language (same meaning AND same surface form), you can use it and select the top checkbox for Equivalent Idiom (ignore the second one, we cannot systematically delete it). If there is a corresponding idiom with a different surface form, you may use it for the figurative translation, and you do not need to indicate anything extra. If the original source sentence has serious fluency/coherence issues and/or there is no natural translation, you may select the Nonsensical checkbox and skip the translation.

The subsentence in the source sentence is demarcated in double square brackets. When writing the translation, please additionally mark the span(s) corresponding to the subsentence in square brackets. ",,,,,,,,
Idiom,Meaning,,Source ,Translation,,Malformed Brackets,Equivalent idiom,Discard
get one's feet wet,to begin taking part in a new activity,fig,[[They got their feet wet]] by starting with a small project before tackling the main task.,[[Se familiarizaron]] con el trabajo comenzando con un proyecto pequeño antes de abordar la tarea principal.,EXAMPLE (for Spanish),FALSE,FALSE,FALSE
,,lit,[[They got their feet wet]] when they stepped into the shallow water at the beach.,[[Se mojaron los pies]] cuando entraron en el agua poco profunda de la playa.,,FALSE,FALSE,FALSE
a bird in the hand,a possession that is worthy,fig,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush",그는 [[더 많은 것을 얻기 위해 노력하는 것보다 이미 가진 것에 만족하는 것이 더 낫다는]] 생각으로 채용 제안을 받아들이기로 결정했습니다.,,FALSE,FALSE,FALSE
,,lit,"Holding [[a bird in the hand]], she carefully examined its feathers",그녀는 [[손에 새]]를 쥔 채로 조심스럽게 새의 깃털을 살펴보았습니다.,,FALSE,FALSE,FALSE
a cuckoo in the nest,an unwelcome intruder in a place or situation.,fig,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]",새 직원이 문제를 일으키기 시작하자 그들은 [[침입자를 찾았는 것]]을 깨달았습니다.,,FALSE,FALSE,FALSE
,,lit,"While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]",새의 둥지를 살펴보다가 조류학자는 [[둥지에서 뻐꾸기를 발견했습니다]].,,FALSE,FALSE,FALSE
a hard nut to crack,a problem that is difficult to solve,fig,The mysterious case was [[a hard nut to crack]] for the detective,그 신비한 사건은 탑정에겐 [[풀리지 않는 난제]]였습니다.,,FALSE,FALSE,FALSE
,,lit,The thick shell made the walnut [[a hard nut to crack]] with bare hands,두꺼운 껍질은 그 호두를 맨손으로 [[까기는 어려운 견과]]로 만들었습니다.,,FALSE,FALSE,FALSE
a lot on my plate,to have so many things to do at one time,fig,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days",여러 프로젝트를 동시에 감행하면서 요즘 그녀는 [[해야 할 일이 많았습니다]].,,FALSE,FALSE,FALSE
,,lit,"At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything",저녁 포틀럭 파티에서 가지각색의 요리를 전부 조금씩 시도한 그의 [[접시에는 많은 것이 담겨 있었습니다]].,,FALSE,FALSE,FALSE
a roof over your head,a place to live,fig,Finding a job is essential for [[having a roof over your head]],직업을 갖는 것은 [[살 집을 마련하는 것]]에 있어 필수적입니다.,,FALSE,FALSE,FALSE
,,lit,"During the rainstorm, [[having a roof over your head]] kept you dry",비바람 속에서 [[당신의 머리 위에 있는 지붕은]] 당신의 건조함을 유지시켜줍니다.,,FALSE,FALSE,FALSE
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,fig,He [[has a screw loose]] if he thinks he can quit his job without consequences,,,TRUE,TRUE,FALSE
,,lit,The wobbly table [[has a screw loose]] and needs to be fixed,,,TRUE,TRUE,FALSE
