model,language_pair,score
gpt,en-zh,0.9181385278701782
gpt,en-ko,0.9120058584213256
gpt,en-he,0.9076747226715088
gpt,en-yo,0.8612274348735809
palm,en-zh,0.9208610320091247
palm,en-ko,0.9158717930316925
palm,en-he,0.9110476255416871
palm,en-yo,0.8113648009300232
google,en-zh,0.9135948133468628
google,en-ko,0.9256453692913056
google,en-he,0.9169719994068146
google,en-yo,0.8759403479099274
opus,en-zh,0.9013589096069335
opus,en-ko,0.0
opus,en-he,0.9152675187587738
opus,en-yo,0.8383336687088012
nllb,en-zh,0.905010496377945
nllb,en-ko,0.9029639482498169
nllb,en-he,0.9171897137165069
nllb,en-yo,0.8366054618358612
