idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,t_f_brkt_ko,t_l_brkt_ko,t_f_ko,t_l_ko,t_f_a_ko,t_l_a_ko,t_f_brkt_zh,t_l_brkt_zh,t_f_zh,t_l_zh,t_f_a_zh,t_l_a_zh,p_f_ko_gpt4,p_l_ko_gpt4,p_a_ko_gpt4,p_f_ko_nllb,p_l_ko_nllb,p_a_ko_nllb
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,그는 [[더 많은 것을 얻기 위해 노력하는 것보다 이미 가진 것에 만족하는 것이 더 낫다는]] 생각으로 채용 제안을 받아들이기로 결정했습니다.,그녀는 [[손에 새]]를 쥔 채로 조심스럽게 새의 깃털을 살펴보았습니다.,그는 더 많은 것을 얻기 위해 노력하는 것보다 이미 가진 것에 만족하는 것이 더 낫다는 생각으로 채용 제안을 받아들이기로 결정했습니다.,그녀는 손에 새를 쥔 채로 조심스럽게 새의 깃털을 살펴보았습니다.,더 많은 것을 얻기 위해 노력하는 것보다 이미 가진 것에 만족하는 것이 더 낫다는,손에 새,他决定接受这份工作，相信[[看得见摸得着的]]，知足常乐,她把[[一只鸟拿在手里]]，仔细检查它的羽毛,他决定接受这份工作，相信看得见摸得着的，知足常乐,她把一只鸟拿在手里，仔细检查它的羽毛,看得见摸得着的,一只鸟拿在手里,"그는 손에 잡힌 새 하나가 덤불 속의 두 마리 새보다 값어치 있다고 믿어서, 그 일자리 제안을 받아들이기로 결정했다.",손에 새를 들고 있는 그녀는 조심스럽게 그 깃털을 살펴보았다.,손에 잡힌 새,"그는 일 제안을 받아들이기로 결정했고, 손에 새가 두 개보다 더 가치 있다고 믿었습니다.","새 를 손에 쥐고, 새 의 깃털 을 조심스럽게 조사",손에 새
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,새 직원이 문제를 일으키기 시작하자 그들은 [[침입자를 찾았는 것]]을 깨달았습니다.,새의 둥지를 살펴보다가 조류학자는 [[둥지에서 뻐꾸기를 발견했습니다]].,새 직원이 문제를 일으키기 시작하자 그들은 침입자를 찾았는 것을 깨달았습니다.,새의 둥지를 살펴보다가 조류학자는 둥지에서 뻐꾸기를 발견했습니다.,침입자를 찾았는 것,둥지에서 뻐꾸기를 발견했습니다,当新员工开始制造麻烦时，他们才发现被[[鸠占鹊巢]]了,鸟类学家在观察鸟巢时，在巢中发现了一只[[杜鹃鸟]],当新员工开始制造麻烦时，他们才发现被鸠占鹊巢了,鸟类学家在观察鸟巢时，在巢中发现了一只杜鹃鸟,鸠占鹊巢,杜鹃鸟,"새로운 직원이 문제를 일으키기 시작했을 때, 그들은 둥지 속 뻐꾸기를 찾았다는 것을 깨달았다.","조류학자가 새의 둥지를 관찰하던 중, 둥지 안에서 뻐꾸기를 발견했다.",둥지에서 뻐꾸기를 발견했다.,새로운 직원이 문제를 일으키기 시작했을 때 그들은 둥지에서 큐쿠를 발견했다고 깨달았습니다,"새 들 의 둥지를 관찰 하는 동안, 새 들 의 생물학자 는 그 둥지에서 둥지를 발견 하였다",둥지에서 을 찾았어
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,그 신비한 사건은 탑정에겐 [[풀리지 않는 난제]]였습니다.,두꺼운 껍질은 그 호두를 맨손으로 [[까기는 어려운 견과]]로 만들었습니다.,그 신비한 사건은 탑정에겐 풀리지 않는 난제였습니다.,두꺼운 껍질은 그 호두를 맨손으로 까기는 어려운 견과로 만들었습니다.,풀리지 않는 난제,까기는 어려운 견과,这神秘案件对侦探是个[[难啃的硬骨头]],厚实的外壳让核桃[[难以被徒手打开]],这神秘案件对侦探是个难啃的硬骨头,厚实的外壳让核桃难以被徒手打开,难啃的硬骨头,难以被徒手打开,이 신비한 사건은 그 탐정에게 까다로운 난제였다.,두꺼운 껍질 때문에 호두는 맨손으로 까기 어려운 견과류였다.,까다로운 문제,신비스러운 사건은 형사에게 풀어나갈 수 없는 문제였습니다.,두꺼운 껍질은 벌거벗은 손으로 깨질 수 있는 견과류를 만들었다,을 수 있는 견고한 견과류
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,여러 프로젝트를 동시에 감행하면서 요즘 그녀는 [[해야 할 일이 많았습니다]].,저녁 포틀럭 파티에서 가지각색의 요리를 전부 조금씩 시도한 그의 [[접시에는 많은 것이 담겨 있었습니다]].,여러 프로젝트를 동시에 감행하면서 요즘 그녀는 해야 할 일이 많았습니다.,저녁 포틀럭 파티에서 가지각색의 요리를 전부 조금씩 시도한 그의 접시에는 많은 것이 담겨 있었습니다.,해야 할 일이 많았습니다,접시에는 많은 것이 담겨 있었습니다,她在工作中兼顾多个项目，这几天[[忙得不可开交]],在餐会上，他每样菜都试了一些，[[在盘子里盛了很多]],她在工作中兼顾多个项目，这几天忙得不可开交,在餐会上，他每样菜都试了一些，在盘子里盛了很多,忙得不可开交,在盘子里盛了很多,요즘 일에서 여러 프로젝트를 동시에 jongjong하며 그녀는 요즘 정신이 없었습니다.,"뭐든지 조금씩 시도한 후에, 그는 파티에서 접시에 음식을 많이 가지고 있었습니다.",접시에 많은 것이 있었다.,"직장에서 여러 프로젝트를 진행하고, 요즘은 많은 일을 하고 있었습니다.",식식에서 그는 모든 것을 시도한 후 많은 것을 먹었습니다,그 중 많은 사람들이
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,직업을 갖는 것은 [[살 집을 마련하는 것]]에 있어 필수적입니다.,비바람 속에서 [[당신의 머리 위에 있는 지붕은]] 당신의 건조함을 유지시켜줍니다.,직업을 갖는 것은 살 집을 마련하는 것에 있어 필수적입니다.,비바람 속에서 당신의 머리 위에 있는 지붕은 당신의 건조함을 유지시켜줍니다.,살 집을 마련하는 것,당신의 머리 위에 있는 지붕은,找份工作对[[养家糊口]]很重要,在暴雨中，[[头顶有个屋檐]]可以避免淋湿,找份工作对养家糊口很重要,在暴雨中，头顶有个屋檐可以避免淋湿,养家糊口,头顶有个屋檐,일자리를 찾는 것은 머리 위에 지붕을 갖기 위해 필수적입니다.,"비바람 동안, 머리 위에 지붕이 있어서 건조하게 지낼 수 있었습니다.",머리 위에 지붕이 있는 것,일 을 찾는 것 은 머리 위 에 지붕 을 닦는 데 필수적 인 것 이다,"폭풍우 때, 머리 위에 지붕이 있으면 건조해집니다",머리 위에 지붕이 있는
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,시험을 망치고 나서 [[그녀는]] 더 공부를 열심히 하기 위한 [[동기부여를 받았습니다]].,[[그녀는]] 아침 6시에 호텔 프론트 데스크로 부터 [[기상 알람을 받았습니다]].,시험을 망치고 나서 그녀는 더 공부를 열심히 하기 위한 동기부여를 받았습니다.,그녀는 아침 6시에 호텔 프론트 데스크로 부터 기상 알람을 받았습니다.,그녀는 동기부여를 받았습니다,그녀는 기상 알람을 받았습니다,在考试失利后，她[[警醒]]要努力学习,她早上六点接到酒店前台的[[叫早电话]],在考试失利后，她警醒要努力学习,她早上六点接到酒店前台的叫早电话,警醒,叫早电话,"시험에 떨어진 후, 그녀는 더 열심히 공부해야 한다는 일깨움을 받았다.",그녀는 오전 6시에 호텔 프론트 데스크로부터 깨우는 전화를 받았습니다.,그녀는 깨우는 전화를 받았습니다.,"시험 에 실패 한 후, 더 열심히 공부 하기 위해 깨어나게 되었습니다.",그녀는 호텔의 입문에서 새벽 6시에 깨어난 전화를 받았습니다.,그녀는 깨어난 전화가 왔습니다.
a wet blanket,a person who spoils other people's fun.,"He was always [[being a wet blanket]] at parties, constantly complaining","After the rainstorm, the picnic blanket was [[being a wet blanket]] on the ground","He was always being a wet blanket at parties, constantly complaining","After the rainstorm, the picnic blanket was being a wet blanket on the ground",being a wet blanket,그는 항상 파티에서 끊임 없이 불평하는 [[흥을 깨는 사람이었습니다]].,비바람 이후에 돗자리는 [[젖은 담요]]로 땅에 있었습니다.,그는 항상 파티에서 끊임 없이 불평하는 흥을 깨는 사람이었습니다.,비바람 이후에 돗자리는 젖은 담요로 땅에 있었습니다.,흥을 깨는 사람이었습니다,젖은 담요,他在聚会上总是[[扫兴的那个人]]，不停地抱怨,在暴雨后，[[野餐布在地上被打湿]],他在聚会上总是扫兴的那个人，不停地抱怨,在暴雨后，野餐布在地上被打湿,扫兴的那个人,野餐布在地上被打湿,"그는 파티에서 항상 까칠한 사람이었고, 끊임없이 불평을 했습니다.","비바람이 지나고 나서, 소풍 담요는 땅에 젖은 담요가 되었다.",축 처진 사람이 되다,"그는 항상 파티에서 젖은 담요가 되어, 끊임없이 불평","비가 불어오자, 피크닉 덮개는 땅에 젖은 덮개",젖은 담요가 되고
a whole new ball game,a significant change in circumstances.,"After the company's merger, [[it's a whole new ball game]] for the employees","When they switched from soccer to baseball, [[it's a whole new ball game]] for the players","After the company's merger, it's a whole new ball game for the employees","When they switched from soccer to baseball, it's a whole new ball game for the players",it's a whole new ball game,회사의 합병이후 직원들의 [[상황이 완전히 달라졌습니다]].,축구에서 야구로 종목을 바꾸자 선수들은 [[전혀 다른 구기 종목을 하게 됩니다]].,회사의 합병이후 직원들의 상황이 완전히 달라졌습니다.,축구에서 야구로 종목을 바꾸자 선수들은 전혀 다른 구기 종목을 하게 됩니다.,상황이 완전히 달라졌습니다,전혀 다른 구기 종목을 하게 됩니다,公司合并后，对员工来说[[变化巨大]],对这些球员来说，当从足球转成棒球后，[[比赛类型是全新的]],公司合并后，对员工来说变化巨大,对这些球员来说，当从足球转成棒球后，比赛类型是全新的,变化巨大,比赛类型是全新的,"회사의 합병 후, 직원들에게는 완전히 새로운 경기가 시작되었습니다.","그들이 축구에서 야구로 전환하면, 선수들에게는 완전히 새로운 경기가 됩니다.",이제 완전히 새로운 경기입니다.,회사 합병 후 직원들은 새로운 놀이를 하게 될 겁니다,"축구에서 야구로 바뀌었을 때, 선수들에게 완전히 새로운 야구 경기가 되었습니다.",완전히 새로운 공 경기가 됐어요
acid test,a test that proves a hypothesis or validity of a product or idea,Moving in together was [[the acid test for their relationship]] to see if they could handle living with each other,The chemistry lab experiment was [[the acid test for their relationship]] as they had to work together to determine the pH of various solutions,Moving in together was the acid test for their relationship to see if they could handle living with each other,The chemistry lab experiment was the acid test for their relationship as they had to work together to determine the pH of various solutions,the acid test for their relationship,동거를 결정하는 것은 그들이 함께 생활할 수 있는지 확인하기 위한 [[진정한 척도]]였습니다.,그들은 함께 작업하며 다양한 용액의 pH를 측정해야 했기에 그 화학 실험은 [[그들간의 관계를 측정하는 산성 시험]]이었습니다. ,동거를 결정하는 것은 그들이 함께 생활할 수 있는지 확인하기 위한 진정한 척도였습니다.,그들은 함께 작업하며 다양한 용액의 pH를 측정해야 했기에 그 화학 실험은 그들간의 관계를 측정하는 산성 시험이었습니다. ,진정한 척도,그들간의 관계를 측정하는 산성 시험,同居是对他们关系的[[关键考验]]，看他们能否适应和彼此生活,这个化学实验是对它们的[[酸度测试]]，因为它们一同决定溶液的pH值,同居是对他们关系的关键考验，看他们能否适应和彼此生活,这个化学实验是对它们的酸度测试，因为它们一同决定溶液的pH值,关键考验,酸度测试,"함께 이사하는 것은 그들의 관계에 대한 산성 시험이었으며, 그들이 서로와 함께 살아갈 수 있는지 확인하기 위한 것이었습니다.",화학 실험실에서의 실험은 그들의 관계에 대한 산성 시험이었다. 왜냐하면 그들은 함께 다양한 용액의 pH를 결정해야 했기 때문이다.,그들의 관계에 대한 산성 시험,함께 살기란 그들의 관계의 산성 테스트였는데,"화학 실험실 실험은 그들의 관계를 위한 산 테스트였는데, 그들은 다양한 용액의 pH를 결정하기 위해 함께 일해야 했습니다.",그들의 관계를 위한 산 테스트
across the board,applying to everyone,The company saw [[improvements across the board]] after implementing new strategies,The chess master made [[improvements across the board]] by adjusting the positions of his pieces,The company saw improvements across the board after implementing new strategies,The chess master made improvements across the board by adjusting the positions of his pieces,improvements across the board,새로운 전략을 시도한 후 회사는 [[모든 부문에서 향상]]을 보였습니다.,체스 마스터는 말의 위치를 조정하며 [[전 체스판을 걸친 향상]]을 이루어냈습니다.,새로운 전략을 시도한 후 회사는 모든 부문에서 향상을 보였습니다.,체스 마스터는 말의 위치를 조정하며 전 체스판을 걸친 향상을 이루어냈습니다.,모든 부문에서 향상,전 체스판을 걸친 향상,实施新战略后，公司[[全面改善]],棋手通过改变棋子位置[[获得在棋盘上的优势]],实施新战略后，公司全面改善,棋手通过改变棋子位置获得在棋盘上的优势,全面改善,获得在棋盘上的优势,회사는 새로운 전략을 시행한 후 전반적으로 개선을 확인했습니다.,체스 마스터는 말들의 위치를 조정함으로써 전체적으로 개선을 이루었습니다.,전반적인 개선 사항,회사는 새로운 전략을 적용한 후 전반적으로 개선된,체스 마스터 는 모든 부분 에서 그 조각 의 위치를 조정 함 으로 개선 을 하였다,전반적인 개선
add fuel to the flames,"an action, whether verbal or physical that makes a bad situation even worse","By spreading rumors, [[they added fuel to the flames]] of the ongoing conflict","To keep the bonfire going, [[they added fuel to the flames]] by throwing more wood","By spreading rumors, they added fuel to the flames of the ongoing conflict","To keep the bonfire going, they added fuel to the flames by throwing more wood",they added fuel to the flames,루머를 퍼뜨림으로서 [[그들은]] 현재 진행중인 갈등을 [[더욱 악화시켰습니다]].,"불장작을 계속 타오르게 하기 위해, 그들은 더 많은 나무를 던져서 [[불길에 연료를 추가했습니다]].",루머를 퍼뜨림으로서 그들은 현재 진행중인 갈등을 더욱 악화시켰습니다.,"불장작을 계속 타오르게 하기 위해, 그들은 더 많은 나무를 던져서 불길에 연료를 추가했습니다.",그들은 더욱 악화시켰습니다,불길에 연료를 추가했습니다,他们通过散步谣言对现有的冲突[[火上浇油]],为了让篝火继续燃烧，他们[[往火里扔了更多木头当燃料]],他们通过散步谣言对现有的冲突火上浇油,为了让篝火继续燃烧，他们往火里扔了更多木头当燃料,火上浇油,往火里扔了更多木头当燃料,루머를 퍼뜨리며 그들은 진행 중인 갈등의 불길에 기름을 붓게 되었다.,"모닥불을 계속 유지하기 위해, 그들은 더 많은 나무를 던져 불꽃에 연료를 공급했다.",그들은 불길에 연료를 더했다.,소문을 퍼뜨리면서 계속되는 분쟁의 불에 연료를 더했습니다,"불꽃 을 계속 켜기 위해, 그들은 더 많은 나무 를 던지면서 불에 연료를 더 했다",그들은 불에 연료를 더했습니다
against the clock,in a great hurry to finish something before a particular time,"With the deadline approaching, we [[were racing against the clock]] to finish the project","In the unique competition, participants [[were racing against the clock]] by trying to outrun a giant clock on wheels","With the deadline approaching, we were racing against the clock to finish the project","In the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",were racing against the clock,"마감시간이 다가오자, 우리는 프로젝트를 완료하기 위해 [[바쁘게 움직였습니다]].",이 독특한 대회에서는 대회 참가자들이 바퀴가 달린 커다란 시계보다 더 빨리 달리기 위해서 [[시계와 경주를 하고 있었습니다]],"마감시간이 다가오자, 우리는 프로젝트를 완료하기 위해 바쁘게 움직였습니다.",이 독특한 대회에서는 대회 참가자들이 바퀴가 달린 커다란 시계보다 더 빨리 달리기 위해서 시계와 경주를 하고 있었습니다,바쁘게 움직였습니다,시계와 경주를 하고 있었습니다,当截止日期临近，我们在[[和时间赛跑]]以完成项目,在一个特别的竞赛中，参赛者[[和钟赛跑]]，试图超过一个有轮子的巨大钟表,当截止日期临近，我们在和时间赛跑以完成项目,在一个特别的竞赛中，参赛者和钟赛跑，试图超过一个有轮子的巨大钟表,和时间赛跑,和钟赛跑,"마감 시한이 다가오면서, 우리는 프로젝트를 완료하기 위해 시간과 경쟁하고 있었습니다.",독특한 경쟁에서 참가자들은 바퀴 달린 거대한 시계를 뛰어넘으려고 시간과 경쟁하였습니다.,시간과의 경쟁을 벌이고 있습니다.,임기가 가까워지면서 우리는 프로젝트를 끝낼 수 있는 시계를 향해 달려가고 있었습니다.,독특한 대회에서 참가자들은 거대한 시계와 달리며,시계를 향해 달려가고 있었습니다.
against the grain,a difficult path to be followed,His decision to quit his job was [[going against the grain]] of his family's expectations,"When sanding wood, [[going against the grain]] can cause scratches and damage",His decision to quit his job was going against the grain of his family's expectations,"When sanding wood, going against the grain can cause scratches and damage",going against the grain,그의 직장을 그만두는 결정은 가족의 반대를 무릅쓴 [[정상에 어긋난 행동]]이었습니다.,"나무를 갈 때, 나무 [[결의 반대 방향]]으로 갈아내는 것은 긁힘과 손상을 일으킬 수 있습니다",그의 직장을 그만두는 결정은 가족의 반대를 무릅쓴 정상에 어긋난 행동이었습니다.,"나무를 갈 때, 나무 결의 반대 방향으로 갈아내는 것은 긁힘과 손상을 일으킬 수 있습니다",정상에 어긋난 행동,결의 반대 방향,他辞职的决定[[违背]]了他家人的期望,打磨木材时，[[逆着纹路打磨]]会造成划伤及损坏,他辞职的决定违背了他家人的期望,打磨木材时，逆着纹路打磨会造成划伤及损坏,违背,逆着纹路打磨,그의 직장을 그만두기로 한 결정은 가족의 기대와 정반대였다.,"나무를 연마할 때, 나무결에 반대로 갈면 긁히거나 손상될 수 있습니다.",반대로 가다,그의 직장을 그만두는 결정은 그의 가족의 기대에 부합하지 않았습니다,"나무 를 닦는 때, 곡물 에 맞게 가리는 것 은 경 경 경과와 손상을 일으킬 수 있습니다",곡물과 맞붙는
