idiom,meaning,s_f_brkt,s_l_brkt,s_f,s_l,s_a,p_a_de_opus,p_f_de_opus,p_l_de_opus,p_a_he_opus,p_f_he_opus,p_l_he_opus,p_a_hi_opus,p_f_hi_opus,p_l_hi_opus,p_a_hu_opus,p_f_hu_opus,p_l_hu_opus,p_a_ko_opus,p_f_ko_opus,p_l_ko_opus,p_a_es_opus,p_f_es_opus,p_l_es_opus,p_a_yo_opus,p_f_yo_opus,p_l_yo_opus,p_a_zh_opus,p_f_zh_opus,p_l_zh_opus
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]","During the anatomy class, we studied [[his Achilles heel]] and its function","Despite his intelligence, procrastination was his Achilles heel","During the anatomy class, we studied his Achilles heel and its function",his Achilles heel,Seine Achillesferse,"Trotz seiner Intelligenz, Prokrastination war seine Achillesferse",Während des Anatomiekurses studierten wir seine Achillesferse und ihre Funktion.,עקב אכילס שלו.,"למרות האינטיליגנציה שלו, דחיה הייתה עקב אכילס שלו","במהלך שיעור האנטומיה, חקרנו את עקב אכילס שלו ואת תפקודו",उसकी अहिल्याबाई मेढा,"अपनी बुद्धि के बावजूद, वह अपने अक्षीय एड़ी था","एनाटिका वर्ग के दौरान, हमने उसके अक्षीय एड़ी और उसके कार्य का अध्ययन किया",az Achilles-sarkát,Intelligenciája ellenére a halogatás volt az Achilles-sarka.,Az anatómia órán tanulmányoztuk az Achilles-sarkát és annak működését.,,,,Su talón de Aquiles,"A pesar de su inteligencia, la procrastinación era su talón de Aquiles.","Durante la clase de anatomía, estudiamos su talón de Aquiles y su función.",Achilles gel tó jé ọmọ ègbón rè,"Bó tilè jé pé ọlógbón ni, ó ṣì máa ń fòní dónìí fòladóla ni Achilles heel","Nígbà tí wón jọ wà ní kíláàsì àkókó, a kékòó nípa Achilles heel àti iṣé ọwó rè",他的脚跟,"尽管他有智慧,但拖延是他的阿基里斯脚跟","在解剖课上,我们研究了 他的阿基里斯脚跟和它的功能"
"Mr Right, Ms Right",the best future life partner for someone,"After years of searching, they finally [[found their Mr Right and Ms Right]] and settled down","At the costume party, they [[found their Mr Right and Ms Right]] outfits in the store","After years of searching, they finally found their Mr Right and Ms Right and settled down","At the costume party, they found their Mr Right and Ms Right outfits in the store",found their Mr Right and Ms Right,Sie haben Mr. Right und Ms. Right gefunden.,Nach Jahren der Suche fanden sie schließlich ihren Mr Right und Ms Right und ließen sich nieder.,Auf der Kostümparty fanden sie ihre Mr Right und Ms Right Outfits im Laden.,"""מצאו את הגבר הנכון והצודק.","אחרי שנים של חיפושים, הם סוף סוף מצאו את הגבר הנכון והצודק שלהם והתיישבו.","במסיבת התחפושות, הם מצאו את התלבושות הנכונות שלהם בחנות.",उनके श्री right and Ms right पाया,"वर्षों की खोज के बाद, वे अंत में अपने श्री ठीक और Ms right पाया और नीचे बस गया","पोशाक पार्टी में, उन्हें दुकान में अपने श्री right और Ms right outfits पाया",Megtalálták az igazit és az igazit,"Több évnyi keresgélés után végül megtalálták Mr. és Ms. Right-ot, és letelepedtek.",A jelmezbálon megtalálták a Mr Right és Ms Right ruháikat a boltban.,,,,Encontraron a su Srta. Correcta y a la Sra. Correcta,"Después de años de búsqueda, finalmente encontraron a su Srta. y a la Sra.","En la fiesta de disfraces, encontraron sus trajes de Mr Right y Ms Right en la tienda.",Mo rí Ọtún àti Ọtún wọn,"Léyìn òpò ọdún tí wón ti ń wá wọn kiri, wón rí Ògbéni Mstún àti Mess, wón sì fi ibè sílè.","Nígbà tí wón dé ilé ìtajà náà, wón rí Ògá wọn àti Ògbéni Msights tí wón wà ní ṣóòbù tí wón ti ń ta ọjà.",权利与权利 权利 权利与权利,"经过多年的搜寻,他们终于找到了右先生和右女士,安顿下来。","在服装派对上,他们在店里 发现了他们的Right先生和Right女士的衣服"
Young Turk,a young person who has many new ideas and wants a reform,He quickly became [[a Young Turk in the company]] due to his innovative ideas,"The new employee was [[a Young Turk in the company]], having recently moved from Turkey",He quickly became a Young Turk in the company due to his innovative ideas,"The new employee was a Young Turk in the company, having recently moved from Turkey",a Young Turk in the company,ein Junger Türke in der Firma,Er wurde schnell ein junger Türke im Unternehmen aufgrund seiner innovativen Ideen,"Der neue Mitarbeiter war ein junger Türke im Unternehmen, der vor kurzem aus der Türkei gezogen ist.",טורקי צעיר בחברה,הוא הפך במהרה לטורקי צעיר בחברה בגלל הרעיונות החדשניים שלו.,"העובד החדש היה טורקי צעיר בחברה, שעבר לאחרונה מטורקיה",कंपनी में एक युवा तुर्क,अपने नवीकरणीय विचारों के कारण वह कंपनी में तेजी से युवा तुर्क बन गया,"नया कर्मचारी कंपनी में एक युवा तुर्क था, हाल ही में तुर्की से स्थानांतरित हो गया था",egy fiatal török a társaságban,Gyorsan fiatal török lett a cégben innovatív ötletei miatt.,"Az új alkalmazott egy fiatal török volt a cégnél, miután nemrég elköltözött Törökországból.",,,,un joven turco en la empresa,Rápidamente se convirtió en un joven turco en la empresa debido a sus ideas innovadoras.,"El nuevo empleado era un joven turco en la empresa, que se había mudado recientemente de Turquía.",Òdókùnrin kan tó ń jé Turk wà nínú ilé iṣé náà,Kò pé tó fi di òdókùnrin kan tó ń jé Turk lówó nínú àwọn èrò tó ń gbìn sókàn rè,"Òṣìṣé tuntun náà jé òdókùnrin kan ní iléeṣé náà, lénu àìpé yìí ó ṣí kúrò ní Tókì",a 公司中的年轻土耳其人。,"因为他的创新想法,他很快成为公司中的年轻土耳其人","这名新雇员是该公司的青年土耳其人,最近从土耳其迁出"
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush","Holding [[a bird in the hand]], she carefully examined its feathers","He decided to accept the job offer, believing that a bird in the hand is worth two in the bush","Holding a bird in the hand, she carefully examined its feathers",a bird in the hand,Ein Vogel in der Hand,"Er beschloss, das Stellenangebot anzunehmen und glaubte, dass ein Vogel in der Hand zwei im Busch wert ist.","Einen Vogel in der Hand haltend, untersuchte sie sorgfältig seine Federn.",ציפור ביד.,"הוא החליט לקבל את הצעת העבודה, מתוך אמונה שציפור ביד שווה שתיים בשיח","אוחזת בציפור ביד, היא בדקה בזהירות את נוצותיה.",हाथ में एक चिड़िया,"उसने नौकरी की पेशकश को स्वीकार करने का फैसला किया, यह मानते हुए कि एक हाथ में एक पक्षी की कीमत दो इंच है","हाथ में एक पंख रखते हुए, उसने अपने पंखों की अच्छी तरह जाँच की",Madár a kézben,"Úgy döntött, hogy elfogadja az állásajánlatot, abban a hitben, hogy egy madár a kezében kettőt ér a bokorban.","Egy madarat tartva a kezében, gondosan megvizsgálta a tollait.",,,,Un pájaro en la mano,"Decidió aceptar la oferta de trabajo, creyendo que un pájaro en la mano vale dos en el monte.","Sosteniendo un pájaro en la mano, examinó cuidadosamente sus plumas.",ẹyẹ tó wà ní ọwó rè,"Ó pinnu láti gba iṣé náà, ó gbà pé ẹyẹ kan tó wà lówó rè tó béè ó jù béè lọ nínú igbó","Ó di ẹyẹ lówó mú, ó sì fara balè ṣàyèwò àwọn ìyé rè",一只鸟在手里,"他决定接受这份工作, 相信一只鸟在树丛里 手上的一只鸟值两只",手里握着一只鸟 她仔细检查了它的羽毛
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]","While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]","When the new employee started causing problems, they realized they had found a cuckoo in the nest","While observing the bird's nest, the ornithologist found a cuckoo in the nest",found a cuckoo in the nest,Ein Kuckuck im Nest gefunden,"Als der neue Mitarbeiter anfing, Probleme zu verursachen, stellten sie fest, dass sie einen Kuckuck im Nest gefunden hatten.","Während er das Nest des Vogels beobachtete, fand der Ornithologe einen Kuckuck im Nest.",מצאתי קוקו בקן.,"כשהעובד החדש התחיל לגרום לבעיות, הם הבינו שמצאו קוקו בקן","תוך התבוננות בקן הציפורים, מצא האורניתולוג קוקיה בקן",नंदकुमार में कनक पाई ॥,"जब नए कर्मचारी ने समस्याओं का सामना करना शुरू किया, तो उन्हें एहसास हुआ कि उन्हें घोंसले में एक चाकू मिला है","पक्षी के घोंसले को देखते हुए, ऑर्निथोलॉजिस्ट ने घोंसले में एक चाकू पाया",Egy kakukkot találtak a fészekben,"Amikor az új alkalmazott elkezdett problémákat okozni, rájöttek, hogy egy kakukkot találtak a fészekben.",A madárfészek megfigyelése közben az ornitológus kakukkot talált a fészekben.,,,,Encontré un cuco en el nido,"Cuando el nuevo empleado comenzó a causar problemas, se dieron cuenta de que habían encontrado un cuco en el nido.","Mientras observaba el nido del pájaro, el ornitólogo encontró un cuco en el nido.",rí góòmù kan nínú ìté náà,"Nígbà tí òṣìṣé tuntun náà bèrè sí fa ìṣòro, wón rí i pé àwọn ti rí kétékété kan nínú ìté náà","Nígbà tí ẹni tó jé onímò nípa ẹyẹ náà rí ìté ẹyẹ náà, ó rí kétékété kan nínú ìté rè",在巢穴里发现了一只怪狗,当新雇员开始制造问题时 他们意识到在巢穴里发现了一只怪狗,在观察鸟巢时 鸟类学家发现鸟巢里有只怪狗
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,The thick shell made the walnut [[a hard nut to crack]] with bare hands,The mysterious case was a hard nut to crack for the detective,The thick shell made the walnut a hard nut to crack with bare hands,a hard nut to crack,eine harte Nuss zu knacken,Der mysteriöse Fall war eine harte Nuss für den Detektiv zu knacken,"Die dicke Schale machte die Walnuss zu einer harten Nuss, die mit bloßen Händen zu knacken war",אגוז קשה לפיצוח,המקרה המסתורי היה אגוז קשה לפיצוח עבור הבלש,הקליפה העבה הפכה את האגוז לאגוז קשה לפיצוח בידיים חשופות.,"जो मांस और त्वचा को चाट जाएगी,",रहस्यवादी मामला जांचकर्ता के लिए छेड़छाड़ करने के लिए एक कठिन नकदी था,घने शैल ने नरभक्षी को अपने हाथों से चीरने के लिए एक कठिन नल बना दिया,kemény dió a repedéshez,A titokzatos ügyet nehéz volt feltörni a nyomozó számára,"A vastag héj a diót kemény dióvá tette, hogy puszta kézzel repedjen.",,,,una nuez dura para romper,El misterioso caso fue un hueso duro de roer para el detective.,La cáscara gruesa hizo que la nuez fuera una nuez dura para romper con las manos desnudas,Èso kan tó le gan - an tó lè fó,Ìṣèlè abàmì yìí jé èpà kan tó ṣòro gan - an fún àwọn tó mò nípa rè,Ewéko tó tóbi gan - an ló mú kí èèpo èyìn rè le koránkorán,硬坚果要爆裂,神秘的这个案子 是一个难以破解的坚果 为侦探,厚厚的贝壳使核桃 成为硬坚果 用双手破碎
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days","At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything","Juggling multiple projects at work, she was having a lot on the plate these days","At the potluck dinner, he was having a lot on the plate after trying a bit of everything",was having a lot on the plate,Viel auf dem Teller,"Jonglieren mehrere Projekte bei der Arbeit, sie war eine Menge auf dem Teller in diesen Tagen","Beim potluck-dinner hatte er viel auf dem teller, nachdem er ein bisschen von allem versucht hatte.",היה לי הרבה על הצלחת.,"ג'אגלינג פרויקטים מרובים בעבודה, היה לה הרבה על הצלחת בימים אלה","בארוחת הערב המשותפות, הוא היה שיש הרבה על הצלחת לאחר שניסה קצת מכל דבר",प्लेट पर बहुत कुछ हो रहा था,"काम पर अनेक परियोजनाओं को समेटते हुए, वह इन दिनों प्लेट पर बहुत कुछ कर रही थी","पोटलक भोजन में, वह प्लेट पर एक बहुत कुछ सब कुछ कोशिश करने के बाद कर रहा था",Sok minden volt a tányéron,"Több projekten is dolgozott, és mostanában sok dolga volt.","A potluck-vacsorán sok volt a tányéron, miután mindenből kipróbált egy kicsit.",,,,Tenía mucho en el plato,"Haciendo malabares con múltiples proyectos en el trabajo, ella estaba teniendo mucho en el plato en estos días.","En la cena de la comida, él estaba teniendo mucho en el plato después de probar un poco de todo.",Wón ń jẹ oúnjẹ tó pò gan - an lórí àwo náà,"Òpò iṣé ló ń ṣe níbi iṣé, ó sì ń ṣe òpò iṣé lórí àwo ọjó wònyí","Níbi tí wón ti ń se oúnjẹ òsán, ó ti ń jẹ oúnjẹ tó pò gan - an lórí abó náà léyìn tó ti ń gbìyànjú díèdíè",盘子上有很多东西,"工作时在玩多个项目,最近她有很多事情要做","在饭桌上,他尝试了所有事情后 有很多事要处理"
a roof over your head,a place to live,Finding a job is essential for [[having a roof over your head]],"During the rainstorm, [[having a roof over your head]] kept you dry",Finding a job is essential for having a roof over your head,"During the rainstorm, having a roof over your head kept you dry",having a roof over your head,Ein Dach über dem Kopf,"Einen Job zu finden ist wichtig, um ein Dach über dem Kopf zu haben","Während des Regensturms, ein Dach über dem Kopf halten Sie trocken",יש קורת גג מעל הראש שלך,מציאת עבודה היא חיונית שיש קורת גג מעל הראש שלך,"במהלך סופת הגשמים, עם קורת גג מעל הראש שלך שמר אותך יבש",अपने सिर पर एक छत है,अपने सिर पर छत रखने के लिए नौकरी मिलना बेहद ज़रूरी है,"बरसात के दौरान, अपने सिर पर एक छत रखने के साथ, आप सूखा रखा",Tető van a fejed felett,"A munka megtalálása elengedhetetlen ahhoz, hogy tető legyen a fejed felett","A zivatar alatt, tetővel a fejed felett, szárazon tartott.",,,,Tener un techo sobre tu cabeza,Encontrar un trabajo es esencial para tener un techo sobre tu cabeza.,"Durante la tormenta, tener un techo sobre tu cabeza te mantuvo seco",ní òrùlé kan lórí rẹ,Ó ṣe pàtàkì pé kó o wá iṣé kó o bàa lè ní òrùlé lé ẹ lórí,"Nígbà tí òjò bá ń rò, tí o sì ní òrùlé lé e lórí, ó máa ń mú kí o gbẹ",头顶有屋顶,找工作是让你头顶的 关键,在暴风雨中 头上顶有屋顶 让你很干燥
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,He [[has a screw loose]] if he thinks he can quit his job without consequences,The wobbly table [[has a screw loose]] and needs to be fixed,He has a screw loose if he thinks he can quit his job without consequences,The wobbly table has a screw loose and needs to be fixed,has a screw loose,hat eine Schraube lose,"Er hat eine Schraube lose, wenn er denkt, dass er seinen Job ohne Konsequenzen beenden kann",Der wackelige Tisch hat eine Schraube lose und muss fixiert werden,יש בורג משוחרר.,יש לו בורג רופף אם הוא חושב שהוא יכול להתפטר מעבודתו ללא השלכות,לשולחן המתנדנד יש בורג משוחרר וצריך לתקן אותו.,"निश्चय ही वह एक अनुस्मृति है,",उसके पास एक श्राप छूट है अगर वह समझता है कि वह बिना परिणाम के अपनी नौकरी छोड़ सकता है,Wobbly तालिका में एक स्क्रू लैस है और स्थिर करने की जरूरत है,Van egy csavar laza,"Van egy csavarja, ha azt hiszi, hogy következmények nélkül kiléphet a munkájából","A wobbly asztal van egy csavar laza, és meg kell rögzíteni",,,,tiene un tornillo suelto,Tiene un tornillo suelto si cree que puede renunciar a su trabajo sin consecuencias.,La mesa tambaleante tiene un tornillo suelto y necesita ser fijado,ní apèrè tí ń jáni kulè,Ó ti já ara rè kulè tó bá rò pé òun lè fi iṣé òun sílè láìsí pé iṣé náà bó lówó òun,"Wàláà tí wón fi òdà bítúménì ṣe ní ibi ìkòwé, ó sì yẹ kí wón gbé e pa mó",有螺丝松,"如果他觉得可以不负任何后果地辞掉工作,他就会松得一松一松","摇摆的桌子松了,需要固定"
a wakeup call,something that makes you realize that you need to take action to change a situation,"After failing the exam, [[she received a wakeup call]] to study harder",[[She received a wakeup call]] from the hotel's front desk at 6 a.m.,"After failing the exam, she received a wakeup call to study harder",She received a wakeup call from the hotel's front desk at 6 a.m.,she received a wakeup call,Sie erhielt einen Weckruf,"Nachdem sie die Prüfung nicht bestanden hatte, erhielt sie einen Weckruf, um härter zu lernen",Sie erhielt einen Weckruf von der Hotelrezeption um 6 Uhr.,היא קיבלה קריאת השכמה.,"לאחר שנכשלה במבחן, היא קיבלה קריאת השכמה ללמוד קשה יותר",היא קיבלה שיחת השכמה מדלפק הקבלה של המלון בשעה 6 בבוקר.,उसे जाग्रत काल मिला,"परीक्षा में विफल होने के बाद, उसे अध्ययन करने के लिए एक सजग होइए!",उसे होटल के फ्रंट डेस्क से सुबह 6 बजे जाग्रत कॉल मिला।,Ébresztő hívást kapott,"Miután megbukott a vizsgán, ébresztőt kapott, hogy keményebben tanuljon.",Reggel 6-kor kapott egy ébresztést a hotel recepciójáról.,,,,Recibió una llamada de atención,"Después de fallar el examen, recibió una llamada de atención para estudiar más duro.",Recibió una llamada de atención de la recepción del hotel a las 6 a.m.,Wón pè é pé kó wá jí i dìde,"Léyìn tí ìdánwò náà parí, wón ké sí i pé kó wá máa kékòó Bíbélì lemólemó",O gba ife-eye idije yi lodun to koja pelu ami-idamo Cm ati nomba atomu 6.,她接到了警醒电话,"考试失败后,她接到催眠电话,要求她更努力地学习","上午6时,她接到旅馆前台的警示电话。"
