idiom,meaning
get to [pron] point,get to the main point of a discussion or conversation.
bring (somebody) to ([pron]) knees,force someone to submit to one's will or power.
make up [pron] mind,come to a decision or opinion.
build bridges,create a connection or relationship with someone.
raise eyebrows,express surprise or disapproval.
come to blows,engage in physical violence.
home truth,"a frank and honest statement, often unpleasant, that is said to someone in order to help them."
hot potato,a situation or issue that is difficult to handle and is quickly passed from one person to another.
tie [pron] knot,get married.
quantum leap,"a sudden, dramatic, and significant advancement or improvement."
flog [pron] dead horse,continue to discuss or debate a topic that has already been resolved.
have eyes only for,only have romantic feelings for one person.
man in blue,a police officer
curl [pron] lip,express disapproval or contempt for someone or something.
act [pron] age,behave in a way that is not appropriate for one's age.
couch potato,a person who spends a lot of time sitting around and watching television.
chew [pron] cud,think deeply and reflect on something.
feel [pron] age,"feel the effects of aging, especially in terms of physical decline."
cut [pron] throat,"to do something that will harm someone else, even if it means harming oneself in the process."
good samaritan,"a person who helps others out of the goodness of their heart, without expecting anything in return."
testing [pron] waters,trying something out to see how it goes or how people respond.
chew [pron] fat,engage in a friendly conversation with someone.
hit [pron] ceiling,reach the maximum level of success or achievement that one can attain.
sacred cow,"an idea, institution, or person that is treated with too much respect and not allowed to be criticized or changed."
clock out,to finish work for the day and leave the workplace.
wine and dine,to treat someone to a luxurious meal and drinks in order to impress them.
silver fox,an attractive older man.
play [pron] joke,trick someone in a playful way.
give [pron] [pron] hand,help someone out.
spill [pron] beans,reveal a secret or private information.
grin like [pron] cheshire cat,smile broadly and mischievously.
cash cow,a business or product that generates a steady and reliable income.
leave no stone unturned,to make a thorough effort to find something or to achieve a goal.
stop by,visit someone or a place for a short period of time.
get [pron] sack,to be fired from a job.
let [pron] heart rule [pron] head,make decisions based on emotions rather than logic.
start from scratch,"begin a task or project from the beginning, without using any existing resources or materials."
not bat [pron] eyelid,show no reaction or emotion.
bite [pron] dust,fail or be defeated.
kill time,to pass time in an unproductive or unenjoyable way.
scratch [pron] head,puzzled or confused about something.
jump to conclusions,make a decision or judgment without having all the facts.
jump [pron] gun,act too quickly or prematurely.
be on cloud nine,be extremely happy and content.
set [pron] ball rolling,start a process or activity.
stick to [pron] guns,remain firm in one's opinion or decision despite opposition or criticism.
meet [pron] waterloo,experience a complete and total defeat or failure.
come of age,reach adulthood and the associated privileges and responsibilities.
ahead of [pron] time,earlier than expected.
shoot straight,be honest and direct in one's communication.
join [pron] club,become part of a group or activity that someone else is already involved in.
keep [pron] eyes peeled,be alert and watchful for something.
draw [pron] shortest straw,be the one who has to do something unpleasant or undesirable.
big wheel,a person of influence or importance.
go dutch,to split the cost of something equally between two or more people.
take [pron] dim view of,have a negative opinion of someone or something.
basket case,a person or situation that is in a state of complete disarray or chaos.
[pron] bottom line is,the most important point or conclusion.
find [pron] feet,become comfortable and confident in a new situation.
big head,having an overly high opinion of oneself.
easy on the ear,pleasing to listen to.
white elephant,a possession that is useless and expensive to maintain.
hang in there,persevere and remain strong in a difficult situation.
wax and wane,to increase and decrease in intensity or size over time.
smell [pron] rat,suspect that someone is up to something dishonest or untrustworthy.
music to [pron] ears,something that is very pleasing or satisfying to hear.
see eye to eye,"agree on something, have the same opinion."
pick up [pron] tab,pay for someone else's expenses.
bring to [pron] table,"contribute one's ideas, knowledge, or resources to a discussion or situation."
unwritten law,an accepted rule or custom that is not formally expressed or recorded.
new arrival,a person or thing that has recently arrived or been introduced.
beach bum,"a person who spends a lot of time at the beach, usually for leisure activities."
throw in [pron] towel,"give up, admit defeat, or concede."
war of words,"a heated argument or disagreement between two people or groups, usually involving verbal insults or criticism."
burn [pron] fingers,experience a negative consequence as a result of taking a risk.
bank on,rely on something or someone to provide a desired outcome.
keep at bay,to keep someone or something away or at a distance.
strike [pron] chord,resonate with someone emotionally.
save face,to maintain one's dignity or reputation in a difficult or embarrassing situation.
lose [pron] shirt,to suffer a great financial loss.
snake in [pron] grass,someone who is not what they appear to be and is likely to be untrustworthy.
pull [pron] wool over [pron] eyes,deceive someone by making them believe something that is not true.
scrape together,gather or accumulate something with difficulty or by using all available resources.
fall prey to,"become a victim of something, usually a scam or deception."
ask out,to invite someone on a date.
go for broke,take a risk and use all of one's resources in an attempt to achieve a goal.
miss [pron] boat,fail to take advantage of an opportunity.
bag lady,a homeless woman who carries her possessions in bags.
make waves,cause trouble or disruption.
watch [pron] clock,"pay close attention to the time, especially when it is running out."
go through [pron] roof,increase dramatically or to an extreme degree.
take breath away,to be so amazing or shocking that it causes someone to be speechless.
fight like cat and dog,constantly argue and disagree with each other.
say [pron] piece,express one's opinion or feelings on a particular subject.
bend over backwards,make a great effort to please someone or do something.
sleep on [pron],think about something for a while before making a decision.
put on [pron] brave face,try to appear strong and confident even when feeling scared or uncertain.
cross [pron] fingers,hope for the best.
nurse [pron] back to health,help someone recover from an illness or injury.
[pron] man of action,someone who is quick to take action and get things done.
put [pron] shoulder to [pron] wheel,work hard and diligently to achieve a goal.
sail close to [pron] wind,"take risks, act dangerously, or do something that is close to the edge of what is acceptable."
[pron] place in [pron] sun,give someone recognition or praise for their accomplishments.
come clean,"to confess the truth, especially after having lied or kept something hidden."
wag [pron] dog,manipulate someone to do something for one's own benefit.
burn candles at both ends,"work or study excessively, often leading to exhaustion."
see [pron] point,understand and agree with someone's opinion.
wear off,gradually decrease in intensity or effectiveness.
carry [pron] ball,"take responsibility for something, especially when others are not willing to do so."
love to death,"to love someone or something too much, to the point of being overbearing."
watch [pron] language,"be careful of what one says, as it could be offensive or inappropriate."
thumbnail sketch,a brief overview or summary of something.
steal [pron] thunder,take the credit or recognition for something that someone else did.
come to terms with,accept and adjust to a difficult situation.
lay down [pron] law,establish a set of rules or expectations that must be followed.
wet blanket,a person who is unenthusiastic or who discourages others from having fun.
get on [pron] nerves,annoy or irritate someone.
burn [pron] midnight oil,work late into the night.
hit [pron] road,leave a place quickly.
have [pron] guts,have the courage to do something difficult or dangerous.
come out of [pron] closet,"acknowledge one's true identity, especially when it is different from what was previously assumed or publicly known."
paint [pron] town red,"have a wild night out with friends, usually involving a lot of drinking and partying."
skin [pron] alive,criticize someone harshly and publicly.
catch [pron] eye,attract someone's attention.
man of means,a wealthy person.
forbidden fruit,something that is attractive because it is not allowed or is off limits.
[pron] life-saver,someone who helps out in a difficult situation and is greatly appreciated.
stitch up,to arrange something in a way that is advantageous to oneself.
love nest,a place where two people in a romantic relationship live together.
give [pron] kiss of life,revive someone who is unconscious or near death.
fire [pron] imagination,inspire someone to think of new ideas or possibilities.
banana republic,"a small, politically unstable country, typically in Latin America, that is economically dependent on a single export, such as bananas."
nail it,successfully complete a task or achieve a goal.
running battle,a long-term conflict or dispute that continues over a period of time.
keep tabs on,to monitor or keep track of someone or something.
come from behind,to achieve success after being in a difficult or losing position.
stiff upper lip,remain calm and composed in the face of adversity.
fill [pron] shoes,"take on the same responsibilities as someone else, usually after they have left."
reinvent [pron] wheel,"to do something that has already been done before, usually in a more complicated or inefficient way."
scarlet woman,a woman who is considered to be immoral or promiscuous.
bend [pron] law,stretch the rules or regulations to one's advantage.
call [pron] spade [pron] spade,"tell it like it is, speak honestly and directly about a situation."
take for [pron] ride,deceive or mislead someone for personal gain.
stir up [pron] hornets' nest,do something that will cause a lot of trouble or anger.
play ball,cooperate and agree to do something.
wild-goose chase,a futile search for something that is impossible to find.
come true,happen as expected or hoped for.
swing by,to make a brief visit to a place.
beyond [pron] wildest dreams,far better than what was expected or hoped for.
keep body and soul together,"manage to survive, especially in difficult circumstances."
self-made man,a person who has achieved success and wealth through their own hard work and determination.
turn back [pron] clock,go back in time to a previous point in one's life.
pay [pron] dues,work hard and accept the necessary responsibilities to achieve success.
drag [pron] feet,procrastinate or delay doing something.
go out on [pron] limb,"take a risk, especially one that could have serious consequences."
keep [pron] cool,remain calm and composed in a difficult situation.
hit [pron] roof,become extremely angry.
