idiom,instance,label,meaning,maxVote,gold_0,gold_1,AssignmentId,WorkerId,TimeMe,batch_num,gold,WorkerIdPosition
Achilles heel,"despite his intelligence, procrastination was his Achilles heel",figurative,a vulnerable spot or weakness,figurative,figurative,figurative,"['3GS6S824S6DCIS6I4S3V348J5FHNWJ', '3LWJHTCVCS2VA3XFUVLC3AHOFNEFQ0']","['A110KENBXU7SUJ', 'A38DXFI1TZA295']","[90.898, 24.979]",4,"['figurative', 'figurative']",0
Achilles heel,"during the anatomy class, we studied his Achilles heel and its function",literal,a vulnerable spot or weakness,literal,literal,literal,"['3FK0YFF9PFWCB8FMG9KQRJJIK9HVVY', '3SEPORI8W3F9S4HY6BIXG2I1NANAZD']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.455, 146.45]",4,"['literal', 'literal']",0
a damp squib,the firework turned out to be a damp squib when it failed to ignite in the rain,literal,an event which people think will be exciting but which is disappointing when it happens.,figurative,figurative,figurative,"['3QHK8ZVMI2YU6P5MXORK3YR9QJZLBZ', '3X3OR7WPZFGB4R7FUC7ACW18IDF8LO']","['A290OV59Q76QC8', 'AKQAI78JTXXC9']","[45.864, 79.556]",4,"['figurative', 'figurative']",1
a good man is hard to find,"in today's world, a good man is hard to find for a long-lasting relationship",figurative,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,literal,literal,literal,"['3VHHR074HJX74D2WK7F4YW5D7T8L7D', '39ASUFLU6DNNDMYVLYWYF0SH0PMXEX']","['A110KENBXU7SUJ', 'A290OV59Q76QC8']","[80.386, 62.228]",4,"['literal', 'literal']",0
a hard nut to crack,the mysterious case was a hard nut to crack for the detective,figurative,a problem that is difficult to solve,figurative,figurative,figurative,"['3KYQYYSHYBNVR763OCYIQ5J3OZYODO', '3MMN5BL1WFK99CJUI7DTLS8M2MVM3A']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.239, 71.186]",2,"['figurative', 'figurative']",1
a screw loose,the wobbly table has a screw loose and needs to be fixed,literal,someone who behaves in a strange way and seem slightly mentally ill,literal,literal,literal,"['37XITHEISCPOJSS5G8KB0U6QEW9RCN', '3A0EX8ZRNO4E6OCLG3GAX6T5ZYOYBP']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[68.292, 29.391]",3,"['literal', 'literal']",0
a voice crying in the wilderness,"his warnings about climate change were like a voice crying in the wilderness, as few people paid attention",figurative,to say something that is not popular,tie,literal,figurative,"['3GU1KF0O4YHKXAKKPGKRKF0TVTLPBM', '3UWN2HHPUELJBBP9KNTU6F5YZ26NSP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[71.529, 40.34]",3,"['literal', 'figurative']",0
a witch hunt,the company started a witch hunt to find the person responsible for the leak,figurative,an attempt to find and punish people whose opinions are unpopular and who are said to be a danger to society,figurative,figurative,figurative,"['3BDCF01OGDAQJXYX7G54B9PABI0LYD', '3Y54SXRO111XL1MX6OA6UFTE97ATUP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[113.946, 31.328]",2,"['figurative', 'figurative']",0
acid test,moving in together was the acid test for their relationship to see if they could handle living with each other,figurative,a test that proves a hypothesis or validity of a product or idea,figurative,figurative,figurative,"['3XUHV3NRV0EQVD5N5TL98KYAZWNH5M', '3RKNTXVS32ETP7T9LIS7M65SM514AS']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[65.204, 151.035]",2,"['figurative', 'figurative']",0
act of God,the sudden storm that saved the village from invaders was considered an act of God,figurative,an occurrence of out of control natural forces in action,tie,literal,figurative,"['35GMH2SV3UX0JDK3K792WN1OOL2EOU', '3IUZPWIU14NBAMLF7FBFBCRFBKXWK8']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[97.737, 44.829]",3,"['literal', 'figurative']",0
act of God,"in the play, the actor portraying Zeus performed an act of God by throwing a lightning bolt",literal,an occurrence of out of control natural forces in action,tie,figurative,literal,"['3RANCT1ZVVXXPFSG62JLULNS3AUBUL', '3WOKGM4L7HW1SN59C0ANBYZKUK80OA']","['A38DXFI1TZA295', 'AKQAI78JTXXC9']","[35.555, 70.039]",4,"['figurative', 'literal']",1
add fuel to the flames,"by spreading rumors, they added fuel to the flames of the ongoing conflict",figurative,"an action, whether verbal or physical that makes a bad situation even worse",figurative,figurative,figurative,"['3NQL1CS157OTF2ARLK7AYINC2Q4YVV', '3IOEN3P9SNZBA6KN8NST83W3EC516A']","['A2A6FH0F7LD9ND', 'A2TBXASXZIRNNW']","[101.669, 26.319]",3,"['figurative', 'figurative']",0
against the clock,"with the deadline approaching, we were racing against the clock to finish the project",figurative,in a great hurry to finish something before a particular time,tie,literal,figurative,"['3X65QVEQIG3DGUXSBONFEIXR84ZLC6', '38BQUHLA9CGYV1CG15XL9V6XXN8OM8']","['A110KENBXU7SUJ', 'AX8NXTT8QMGHC']","[33.41, 102.137]",4,"['literal', 'figurative']",0
against the clock,"in the unique competition, participants were racing against the clock by trying to outrun a giant clock on wheels",literal,in a great hurry to finish something before a particular time,literal,literal,literal,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]",3,"['literal', 'literal']",1
against the grain,"when sanding wood, going against the grain can cause scratches and damage",literal,a difficult path to be followed,literal,literal,literal,"['3S96KQ6I92KB4ZBBKTKHKFPQNHYDT2', '3SITXWYCNBPP6JMBB7U8ESMWXS9XBX']","['AKQAI78JTXXC9', 'AURYD2FH3FUOQ']","[68.396, 52.884]",4,"['literal', 'literal']",0
ahead of the curve,"by constantly learning new skills, she was staying ahead of the curve in her industry",figurative,better than others,figurative,figurative,figurative,"['3LYA37P8I63JMJN4COFJOYEU1JFBK7', '39N5ACM9HU319H5NRW6VT9537TIP9C']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[46.569, 75.92]",3,"['figurative', 'figurative']",1
ahead of the pack,"during the marathon, the lead runner was staying ahead of the pack of other runners",literal,more successful than other people who are trying to achieve the same things,literal,literal,literal,"['34Q075JO1DTGWVY86YCCZ2MC19J109', '37TRT2X2467OBZHMU3F7NJEHMUFJBG']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[88.712, 44.096]",3,"['literal', 'literal']",0
all the rage,"when the store ran out of stock, the new fashion trend was all the rage as customers angrily demanded more",literal,when something is the height of popularity,literal,literal,literal,"['3BQU611VF50GHUPGA7AY7J5O2P1992', '326O153BMYE9FGTEUYVMLTPPK7VDEW']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[57.594, 51.402]",3,"['literal', 'literal']",0
an arm and a leg,the prosthetic limbs he needed cost an arm and a leg at the medical supply store,literal,a large amount of money,tie,discard,figurative,"['3GU1KF0O4YHKXAKKPGKRKF0TVTLPBM', '3UWN2HHPUELJBBP9KNTU6F5YZ26NSP']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[71.529, 40.34]",3,"['discard', 'figurative']",0
apples and oranges,arguing about their preferences in music was like comparing apples and oranges,figurative,two things that are fundamentally different and therefore not suited to comparison,figurative,figurative,figurative,"['3CPLWGV3M4F16WTABHT3PK0874EN9R', '34MAJL3QPK3T5MUOC3DXZYRMGVA43X']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.83, 111.134]",2,"['figurative', 'figurative']",1
apples and oranges,"at the grocery store, they were comparing apples and oranges to decide which fruit to buy",literal,two things that are fundamentally different and therefore not suited to comparison,literal,literal,literal,"['38YMOXR4MAF4B70Q5BHE1TMXAFA6WQ', '30MVJZJNH2T5N62PWJ1BWDJRYKAJ9K']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[99.355, 38.979]",2,"['literal', 'literal']",1
apples to apples,"to make a fair judgment, we need to compare apples to apples in this situation",figurative,having a fair comparison between the two things,tie,ambiguous,figurative,"['3SUWZRL0METAU7EZKBN8FNFX3B6E6J', '3I7DHKZYG3G6HHEHA3X95ZMXJH9F5L']","['A2A6FH0F7LD9ND', 'A2H1QUGX0SOUMH']","[52.399, 420.147]",2,"['ambiguous', 'figurative']",0
arm in arm,the two companies walked arm in arm in their joint venture,figurative,to be closely allied,figurative,figurative,figurative,"['3R5F3LQFVI0YU8BZGUNFHX26CH8ZOY', '34MAJL3QPK3T5MUOC3DXZYRMGVC43Z']","['A2A6FH0F7LD9ND', 'A38DXFI1TZA295']","[47.996, 27.061]",2,"['figurative', 'figurative']",0
arm in arm,"the couple walked arm in arm down the street, enjoying the evening",literal,to be closely allied,literal,literal,literal,"['3RYC5T2D7J97DH19LD6HKU5XDFOPRZ', '36DSNE9QZLE8UT6VY8KTT3EGTTYJOK']","['A2A6FH0F7LD9ND', 'A2LMQ4497NMK3S']","[77.538, 158.473]",3,"['literal', 'literal']",0
asked for the moon,he asked for the moon when he requested a million-dollar salary,figurative,ask for something that is very difficult or impossible to get,figurative,figurative,figurative,"['35GCEFQ6IL498JIDXW3NTU4VH0UZ35', '3300DTYQTIX34PXJZK16LSWO3M0QEU']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[78.272, 41.497]",4,"['figurative', 'figurative']",0
asleep at the switch,the train operator fell asleep at the switch during his break,literal,failing to attend to one's responsibilities or duties,literal,literal,literal,"['3HL8HNGX4LHPI4GTDTAQHFRZ5NW9FU', '39PAAFCOD2GXYGBXBEKBQ1VXNOMVT3']","['A2A6FH0F7LD9ND', 'AX8NXTT8QMGHC']","[62.328, 68.86]",3,"['literal', 'literal']",0
asleep at the wheel,the manager was asleep at the wheel when the company lost a major client,figurative,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",tie,figurative,ambiguous,"['308Q0PEVBOT9SVIJE1GBKC4RL5K9IX', '3SNLUL3WOK392OESXF8F8OJXFUPLUF']","['A290OV59Q76QC8', 'A2A6FH0F7LD9ND']","[41.075, 83.204]",2,"['figurative', 'ambiguous']",1
asleep at the wheel,he was so exhausted that he fell asleep at the wheel while driving,literal,"when someone is not sufficiently attentive, especially at a critical moment when vigilance is required",literal,literal,literal,"['3G0WWMR1UB07YVAWSJ4PBFQXHE0QNI', '3DIP6YHAPS8XYLXNDQK6Z1BO9GE8E1']","['A110KENBXU7SUJ', 'A2LMQ4497NMK3S']","[32.879, 142.675]",4,"['literal', 'literal']",0
at an arm's length,she kept it at an arm's length to avoid getting too involved in the situation,figurative,as far away from your body as possible,tie,figurative,ambiguous,"['337RC3OW0LI9F33S25IK4ALGTBFLV5', '34X6J5FLP9EBF5JBDLCXI89G8UVQJE']","['A1HKYY6XI2OHO1', 'AKQAI78JTXXC9']","[108.09, 31.38]",4,"['figurative', 'ambiguous']",1
at daggers drawn,the actors were at daggers drawn with each other during the stage fight scene,literal,almost ready to fight,literal,literal,literal,"['3E7TUJ2EGS2SKK2XMNF0TFOET0C9DV', '3IGI0VL64N04DJXGD6CLMAVX231ON7']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[141.766, 36.871]",2,"['literal', 'literal']",1
ate her alive,the guilt of lying to her best friend it ate her alive for days,figurative,to criticize someone severely because you are angry with them,figurative,figurative,figurative,"['3FIJLY1B6AKAARW0UI6N35REARSFP9', '3KRVW3HTZ31DTT498MEUT0GYUCBSM9']","['AKQAI78JTXXC9', 'AX8NXTT8QMGHC']","[35.085, 35.864]",4,"['figurative', 'figurative']",0
ate her alive,"in the horror movie, the monster found her hiding spot and it ate her alive",literal,to criticize someone severely because you are angry with them,literal,literal,literal,"['3CN4LGXD5D4ULPRC1O6NPSNZP6MY4Y', '3P1L2B7ADH5EPJUV1TW69IR8XIILO3']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1']","[27.433, 126.192]",4,"['literal', 'literal']",0
back against the wall,he had his back against the wall while waiting for the elevator,literal,to be in a tough situation with limited options,literal,literal,literal,"['3I0BTBYZAD1DM19BINJLDPXM8U6Y0I', '308Q0PEVBOT9SVIJE1GBKC4RLF2I98']","['A2LMQ4497NMK3S', 'AKQAI78JTXXC9']","[145.492, 22.85]",4,"['literal', 'literal']",1
back the wrong horse,she backed the wrong horse when she supported the losing candidate,figurative,to make the wrong decision and support a person or action that is later unsuccessful,figurative,figurative,figurative,"['3VFJCI1K4FF1048AIUGUQLR5COGRGC', '3V5Q80FXID7J28F18PU96JUOWRX232']","['A110KENBXU7SUJ', 'A1HKYY6XI2OHO1']","[21.296, 122.951]",4,"['figurative', 'figurative']",0
back the wrong horse,"at the racetrack, she backed the wrong horse and lost her bet",literal,to make the wrong decision and support a person or action that is later unsuccessful,literal,literal,literal,"['3F6KKYWMNRHD9M6RNXY5BGJYYPTND8', '37QW5D2ZRW2Y8425EL4BOIF3AX58S0']","['A1HKYY6XI2OHO1', 'A2A6FH0F7LD9ND']","[124.668, 63.569]",2,"['literal', 'literal']",1
back to the drawing board,the architect realized he made a mistake and was going back to the drawing board to fix it,literal,back to the planning stage,figurative,figurative,figurative,"['37XITHEISCPOJSS5G8KB0U6QEW9RCN', '3A0EX8ZRNO4E6OCLG3GAX6T5ZYOYBP']","['A2A6FH0F7LD9ND', 'APRZ7BR8C0ZMQ']","[68.292, 29.391]",3,"['figurative', 'figurative']",0
