idiom,meaning,instance,label,assignment_0,assignment_1,assignment_2,gold_0,gold_1,gold_2,maxVote,review_noAgreement,review_maxVoteGptDiff
up to the neck,"when people are very involved in something, especially when it's something wrong","They were up to the neck in water, swimming in a pool",1,"{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 82, 'AssignmentId': '34J10VATJVEFKUZ5V3RX67UGMIRQIK', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 383, 'AssignmentId': '3YT88D1N0OEEJOJRXV0D6FGI4U23K5', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 53, 'AssignmentId': '3E4GGUZ1TO7PY6N8TVM8N5BQYG22KT', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
turn back on,choose not to speak to,I had to turn back on it to use it again,1,"{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 82, 'AssignmentId': '34J10VATJVEFKUZ5V3RX67UGMIRQIK', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 383, 'AssignmentId': '3YT88D1N0OEEJOJRXV0D6FGI4U23K5', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 53, 'AssignmentId': '3E4GGUZ1TO7PY6N8TVM8N5BQYG22KT', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",1,2,0,0,True,True
straight from the horse's mouth,from a dependable or reliable source,He heard it straight from the horse's mouth,2,"{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 82, 'AssignmentId': '34J10VATJVEFKUZ5V3RX67UGMIRQIK', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 383, 'AssignmentId': '3YT88D1N0OEEJOJRXV0D6FGI4U23K5', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 53, 'AssignmentId': '3E4GGUZ1TO7PY6N8TVM8N5BQYG22KT', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",0,2,2,2,False,False
crocodile tears,fake cry,He was shedding crocodile tears,2,"{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 82, 'AssignmentId': '34J10VATJVEFKUZ5V3RX67UGMIRQIK', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 383, 'AssignmentId': '3YT88D1N0OEEJOJRXV0D6FGI4U23K5', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 53, 'AssignmentId': '3E4GGUZ1TO7PY6N8TVM8N5BQYG22KT', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,2,0,0,False,True
flash in the pan,"something that cannot be repeated, usually a positive concept",The party was a flash in the pan as the fireworks they set went off in an instant,1,"{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 82, 'AssignmentId': '34J10VATJVEFKUZ5V3RX67UGMIRQIK', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}","{'WorkerId': 'A2TBXASXZIRNNW', 'WorkTimeInSeconds': 383, 'AssignmentId': '3YT88D1N0OEEJOJRXV0D6FGI4U23K5', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2YO837C0O1E91', 'WorkTimeInSeconds': 53, 'AssignmentId': '3E4GGUZ1TO7PY6N8TVM8N5BQYG22KT', 'HITId': '36KM3FWE46SRKXFG4COKBSHZHBP704', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",2,0,0,0,False,True
backroom boy(s),people who work in anonymity,"He is one of the backroom boys, quietly involved in decision-making processes",0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 125, 'AssignmentId': '38YMOXR4MAF4B70Q5BHE1TMX1SCW6Z', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 185, 'AssignmentId': '31UV0MXWN6SQR8G7BB3U8WZPQM35IL', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 123, 'AssignmentId': '3D8YOU6S9U0RJ3BLAB2DJ510GC26UB', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}",0,0,0,0,False,False
queer pitch,spoil somebody's chance of doing something.,He threw a queer pitch which made the opposing team confused,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 125, 'AssignmentId': '38YMOXR4MAF4B70Q5BHE1TMX1SCW6Z', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 185, 'AssignmentId': '31UV0MXWN6SQR8G7BB3U8WZPQM35IL', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 0, 'bad': False}","{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 123, 'AssignmentId': '3D8YOU6S9U0RJ3BLAB2DJ510GC26UB', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,0,1,1,False,True
cut down,to reduce the amount of something (usually bad),We had to cut down the tree to make room for the new flower bed,0,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 125, 'AssignmentId': '38YMOXR4MAF4B70Q5BHE1TMX1SCW6Z', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 185, 'AssignmentId': '31UV0MXWN6SQR8G7BB3U8WZPQM35IL', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 123, 'AssignmentId': '3D8YOU6S9U0RJ3BLAB2DJ510GC26UB', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,True
above board,"straight; without concealment, legitimate; open","Everything was above board, literally visible to everyone",1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 125, 'AssignmentId': '38YMOXR4MAF4B70Q5BHE1TMX1SCW6Z', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 185, 'AssignmentId': '31UV0MXWN6SQR8G7BB3U8WZPQM35IL', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 123, 'AssignmentId': '3D8YOU6S9U0RJ3BLAB2DJ510GC26UB', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}",1,1,1,1,False,False
yoke around one's neck,a fatiguing burden.,He carried a yoke around his neck as he plowed the fields,1,"{'WorkerId': 'A1HKYY6XI2OHO1', 'WorkTimeInSeconds': 125, 'AssignmentId': '38YMOXR4MAF4B70Q5BHE1TMX1SCW6Z', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A1LI3JQS2VBOXC', 'WorkTimeInSeconds': 185, 'AssignmentId': '31UV0MXWN6SQR8G7BB3U8WZPQM35IL', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 1, 'bad': False}","{'WorkerId': 'A2H1QUGX0SOUMH', 'WorkTimeInSeconds': 123, 'AssignmentId': '3D8YOU6S9U0RJ3BLAB2DJ510GC26UB', 'HITId': '3YOAVL4CBFXR3V3N6835EF0B8GI4Z9', 'HITTypeId': '3PCDMC3F6KHCLEW4V42C9VGU0ZX2XB', 'gold': 2, 'bad': False}",1,1,2,1,False,False
