model,language_pair,score
gpt,en-zh,0.9297574210166931
gpt,en-ko,0.9307609760761261
gpt,en-he,0.9204188179969788
gpt,en-yo,0.8545170056819916
palm,en-zh,0.9323703837394715
palm,en-ko,0.9314826381206512
palm,en-he,0.9189245998859406
palm,en-yo,0.7991037964820862
google,en-zh,0.931537207365036
google,en-ko,0.9572945237159729
google,en-he,0.9393953216075898
google,en-yo,0.8797437882423401
opus,en-zh,0.9171878457069397
opus,en-ko,0.0
opus,en-he,0.931425050497055
opus,en-yo,0.8354887199401856
nllb,en-zh,0.9138916480541229
nllb,en-ko,0.9182519698143006
nllb,en-he,0.9308795189857483
nllb,en-yo,0.8380839955806733
