idiom,meaning,example,source,dupl,tag,idiom_set,idiom_EPIE,meaning_EPIE,example_EPIE,idiom_dictionary,meaning_dictionary,example_dictionary,idiom_bookcorpus,meaning_bookcorpus
by and by,soon; after a while.,"By and by, she paused to make sure everyone was paying attention.",dictionary,1,,frozenset(),now and then,occasionally; from time to time.,"She said it was br it was , I did not think it was but it wa it was really good fun and also I was going out with Carl at the time and so , you know , in our big like little group big little group , our big group , that was a bit of a erm contradiction , erm in our big group and erm we knew masses of people and there were lots of there and there were lots of Felixstowe people there and it was just a really good laugh and erm Right Said Fred were there and some other sort of ravey group , can not remember what now and then , no some techno group , and then erm so we all thought oh let's go for this , let's go , la this time last year we thought oh well let's go over to this one for a joke , you know , for old time 's sake let's just go along and have a joke and we went and it was full of erm like they were all about fourteen , I suppose when we went we were all fourteen too but last year well most of my friends are sort of you know sixteen erm we went and it was not , it was not , it was not full at all and the place is huge and it says , it says on the thing , you know , two thousand people go and there must have been about four hundred at the most and it was really , and I , also I ha I was ill that day and it was really shit so if they said it was brilliant last year it probably was not the stockings because it was , nobody I met said it was , and also yeah the stockings and the feathers were put on the same day and there 's competition between the two companies does stocking and I have forgotten what feathers is , there 's competition and so lots of people went to the feathers instead and the feathers had like too many people and the stockings had too lit too few .",by and by,soon; after a while.,"By and by, she paused to make sure everyone was paying attention.",,
the bottom line,"ing: in the final analysis, the most important fact in a situation. Example: The bottom line is that pregnant women's health is at greater risk if they smExample: ing: in the final analysis, the most important fact in a situation. ","The bottom line is that pregnant women's health is at greater risk if they smExample: ing: in the final analysis, the most important fact in a situation. Example: The bottom line is that pregnant women's health is at greater risk if they sm",dictionary,1,,"frozenset({'line', 'bottom'})",[pron] bottom line is,the most important point or conclusion.,"It 's something to do with relating to it , but it 's something to do with the , the final , the bottom line is that people watch .",the bottom line,"ing: in the final analysis, the most important fact in a situation. Example: The bottom line is that pregnant women's health is at greater risk if they smExample: ing: in the final analysis, the most important fact in a situation. ","The bottom line is that pregnant women's health is at greater risk if they smExample: ing: in the final analysis, the most important fact in a situation. Example: The bottom line is that pregnant women's health is at greater risk if they sm",,
on pins and needles,being anxious or nervous,We have been on pins and needles since we got the news that she had been stranded in the hills amidst a landslide.,dictionary,1,,"frozenset({'needl', 'pin'})",,,,on pins and needles,being anxious or nervous,We have been on pins and needles since we got the news that she had been stranded in the hills amidst a landslide.,pins and needles,to be very anxious or nervous about what is going to happen
you've made your bed,to make a decision and to accept the consequences of those decisions,"Don't come back when it is all over and you have nowhere to go. Once you've made your bed , you'll have to lie in it.",dictionary,1,,"frozenset({'made', 'bed'})",,,,you've made your bed,to make a decision and to accept the consequences of those decisions,"Don't come back when it is all over and you have nowhere to go. Once you've made your bed , you'll have to lie in it.",you've made your bed,this means that someone will have to live with the consequences of their own actions
"love me, love my dog",to accept someone unconditionally,"My parents share a very straightforward relationship, it is like love me, love my dog. They accept each other exactly the way they are in person.",dictionary,1,,"frozenset({'love', 'dog'})",,,,"love me, love my dog",to accept someone unconditionally,"My parents share a very straightforward relationship, it is like love me, love my dog. They accept each other exactly the way they are in person.","love me, love my dog","if someone loves you, they must love everything about you, including everyone and everything you love"
a needle in a haystack,something very small amidst something very big,"You must be kidding when you say that you would like to find evidence in this case, it is like trying to find a needle in a haystack.",dictionary,1,,"frozenset({'needl', 'haystack'})",,,,a needle in a haystack,something very small amidst something very big,"You must be kidding when you say that you would like to find evidence in this case, it is like trying to find a needle in a haystack.",needle in a haystack,"something that is impossible or extremely difficult to find, especially because the area you have to search is too large"
feather in your cap,It means to have an achievement in your name.,"Ruth scored the last goal for her team, adding a feather in her cap.",dictionary,1,,"frozenset({'cap', 'feather'})",,,,feather in your cap,It means to have an achievement in your name.,"Ruth scored the last goal for her team, adding a feather in her cap.",feather in your cap,something that you achieve and proud of
you can't teach an old dog new tricks,you cannot make others change their habits,I tried to make my grandmother learn how to use a smartphone but it was just like you can't teach an old dog new tricks.,dictionary,1,,"frozenset({'trick', 'new', 'teach', 'dog', 'old'})",,,,you can't teach an old dog new tricks,you cannot make others change their habits,I tried to make my grandmother learn how to use a smartphone but it was just like you can't teach an old dog new tricks.,you can't teach an old dog new tricks,it is difficult to make someone change the way they do something when they have been doing it the same way for a long time
red herring,something irrelevant that distracts you from something important,The new law is just a red herring meant to draw our attention away from the issues regarding education.,dictionary,1,,"frozenset({'red', 'herring'})",,,,red herring,something irrelevant that distracts you from something important,The new law is just a red herring meant to draw our attention away from the issues regarding education.,red herring,something that is a distraction from the real issues
in stitches,to laugh so hard that you are not able to control yourself,The movie had everyone in the theatre in stitches.,dictionary,1,,frozenset({'stitch'}),,,,in stitches,to laugh so hard that you are not able to control yourself,The movie had everyone in the theatre in stitches.,in stitches,to laugh a lot
take over,to take control of something - often by force,I can't believe that they were able to launch a takeover of our company.,dictionary,1,,frozenset({'take'}),,,,take over,to take control of something - often by force,I can't believe that they were able to launch a takeover of our company.,you can't take it with you,"enjoy life, enjoy what you have and don't worry about not having a lot, especially money"
skating on thin ice,to do something considered quite dangerous or risky,Sebastian using all his savings to buy blue chip stocks is definitely skating on thin ice.,dictionary,1,,"frozenset({'thin', 'ice', 'skate'})",,,,skating on thin ice,to do something considered quite dangerous or risky,Sebastian using all his savings to buy blue chip stocks is definitely skating on thin ice.,skating on thin ice,to do or say something that could cause disagreement or trouble
dead in the water,unable to produce movement,Their company is trying to revive an income that is dead in the water.,dictionary,1,,"frozenset({'water', 'dead'})",,,,dead in the water,unable to produce movement,Their company is trying to revive an income that is dead in the water.,dead in the water,a plan at a standstill or has ceased to function and is unlikely to be reactivated in the future
forty winks,"sleep for a while, mostly during the day",The bank manager caught the security guard while taking forty winks on duty.,dictionary,1,,"frozenset({'forti', 'wink'})",,,,forty winks,"sleep for a while, mostly during the day",The bank manager caught the security guard while taking forty winks on duty.,forty winks,"to have a short sleep or rest, generally during the day"
zip it,to ask someone to shut up,The teacher had asked the class to zip it but today everybody seemed to want to talk a lot. So she punished the entire class.,dictionary,1,,frozenset({'zip'}),,,,zip it,to ask someone to shut up,The teacher had asked the class to zip it but today everybody seemed to want to talk a lot. So she punished the entire class.,zip it,a rude and angry way of telling someone to stop talking
"if you scratch my back, I'll scratch yours",to return a favour for a favour,"The government cannot expect any progress in the society with a ""if you scratch my back, I'll scratch yours"" attitude.",dictionary,1,,"frozenset({'scratch', 'back'})",,,,"if you scratch my back, I'll scratch yours",to return a favour for a favour,"The government cannot expect any progress in the society with a ""if you scratch my back, I'll scratch yours"" attitude.",you scratch my back and i'll scratch yours,"if you do something for me, I'll return the favour"
feel the pinch,experience financial hardship,"Since Farrokh was made redundant, we've really felt the pinch. We can't even afford to buy the kids new shoes.",dictionary,1,,"frozenset({'pinch', 'feel'})",,,,feel the pinch,experience financial hardship,"Since Farrokh was made redundant, we've really felt the pinch. We can't even afford to buy the kids new shoes.",feel the pinch,to have problems with money because you are earning less than before
tip of the iceberg,to only know a very small part of the problem,The manager-employee problems in this company are just the tip of the iceberg.,dictionary,1,,"frozenset({'tip', 'iceberg'})",,,,tip of the iceberg,to only know a very small part of the problem,The manager-employee problems in this company are just the tip of the iceberg.,tip of the iceberg,the part that is known of a problem or situation which is thought to be much more serious
look before you leap,to make sure that everything is alright before doing something important which you cannot revert,You better check out the costs that you will have to incur through the duration of this lawsuit before filling it. It is always better to look before you leap.,dictionary,1,,"frozenset({'leap', 'befor', 'look'})",,,,look before you leap,to make sure that everything is alright before doing something important which you cannot revert,You better check out the costs that you will have to incur through the duration of this lawsuit before filling it. It is always better to look before you leap.,look before you leap,advising someone to think carefully about the possible dangers before doing something
