numHIT,total_time,gold_maxvote_diff,gold_gpt_diff,time_per_HIT,mean_gold_maxvote_diff,mean_gold_gpt_diff
235,3950.0549999999985,140,163,16.808744680851056,0.5957446808510638,0.6936170212765957
110,2663.8649999999993,9,25,24.216954545454538,0.08181818181818182,0.22727272727272727
30,1306.38,3,11,43.54600000000001,0.1,0.36666666666666664
175,6544.925000000002,15,32,37.39957142857144,0.08571428571428572,0.18285714285714286
185,13316.400000000001,22,47,71.98054054054055,0.11891891891891893,0.25405405405405407
140,5448.199999999999,18,36,38.91571428571428,0.12857142857142856,0.2571428571428571
170,5602.3600000000015,18,45,32.95505882352942,0.10588235294117647,0.2647058823529412
140,7006.364999999994,35,55,50.045464285714246,0.25,0.39285714285714285
20,4361.439999999999,8,9,218.07199999999995,0.4,0.45
15,930.72,3,8,62.048,0.2,0.5333333333333333
170,7896.144999999998,31,47,46.44791176470587,0.18235294117647058,0.27647058823529413
60,1954.695,9,20,32.57825,0.15,0.3333333333333333
135,4536.445,14,44,33.60329629629629,0.1037037037037037,0.32592592592592595
115,11524.689999999993,12,27,100.21469565217386,0.10434782608695652,0.23478260869565218
190,26253.265000000018,24,42,138.17507894736852,0.12631578947368421,0.22105263157894736
60,7124.3300000000045,6,17,118.7388333333334,0.1,0.2833333333333333
10,516.4649999999999,1,1,51.64649999999999,0.1,0.1
5,502.16,1,0,100.432,0.2,0.0
5,1836.9049999999997,1,1,367.381,0.2,0.2
5,226.26999999999998,0,1,45.254,0.0,0.2
5,324.13,1,1,64.826,0.2,0.2
