annotations_ambiguous,annotations_figurative,annotations_literal,error,idiom,intended_ambiguous_old,intended_ambiguous,intended_figurative_old,intended_figurative,intended_literal_old,intended_literal,iter,maxvote - for sort,maxvote_ambiguous,maxvote_figurative,maxvote_literal,meaning,not_found,well_formed,converted
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a bed of roses,It's not a bed of roses,life is not always a bed of roses,It's not a bed of roses trying to rebuild our relationship,"despite the challenges, she learned that life is not always a bed of roses",It's not a bed of roses because we used cotton sheets instead,"while visiting the botanical garden, she noticed that life is not always a bed of roses, as there were various other flowers",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,easy option,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a bird in the hand,There's a bird in his hand,a bird in the hand,There's a bird in his hand because he's considering the potential he might have if he holds on,"he decided to accept the job offer, believing that a bird in the hand is worth two in the bush",There's a bird in his hand because he caught it,"holding a bird in the hand, she carefully examined its feathers",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,a possession that is worthy,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,a cuckoo in the nest,He was a cuckoo in the nest,found a cuckoo in the nest,He was a cuckoo in the nest because he had different views from the team,"when the new employee started causing problems, they realized they had found a cuckoo in the nest",He was a cuckoo in the nest as he sneaked his way in,"while observing the bird's nest, the ornithologist found a cuckoo in the nest",0.0,ambiguous : figurative : figurative,ambiguous,figurative,figurative,an unwelcome intruder in a place or situation.,False,False,False
"['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,a cut above,This project is a cut above,a cut above the rest,This project is a cut above the rest and stands out from all the others,"her performance was a cut above the rest, earning her the lead role",This project is a cut above the previous projects as it used more advanced techniques,"the top shelf was a cut above the rest, making it difficult to reach",0.0,figurative : figurative : figurative,figurative,figurative,figurative,noticeably greater to,False,False,False
"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'ambiguous']",True,a damp squib,The event was a damp squib,turned out to be a damp squib,The event was a damp squib as it failed to live up to expectations,the highly anticipated party turned out to be a damp squib due to poor planning,The event was a damp squib because it was constantly disrupted by rain,the firework turned out to be a damp squib when it failed to ignite in the rain,0.0,figurative : figurative : ambiguous,figurative,figurative,ambiguous,an event which people think will be exciting but which is disappointing when it happens.,False,False,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",False,a good man is hard to find,It's a good man that's hard to find.,a good man is hard to find,It's a good man that's hard to find nowadays since trust and kindness seem to be lacking,"in today's world, a good man is hard to find for a long-lasting relationship",It's a good man that's hard to find since he's been missing for many days,"in the crowded shopping mall, a good man is hard to find when you're looking for your friend",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,False,True,False
"['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a hard nut to crack,He's a hard nut to crack,a hard nut to crack,He's a hard nut to crack and no one has been able to bring him out of his shell,the mysterious case was a hard nut to crack for the detective,He's a hard nut to crack and a hammer couldn't break it open,the thick shell made the walnut a hard nut to crack with bare hands,0.0,figurative : figurative : literal,figurative,figurative,literal,a problem that is difficult to solve,False,False,False
"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",False,a litmus test,I used the test as a litmus test,the new policy was a litmus test,I used the test as a litmus test to determine whether I should invest in this business scheme,"for the government, the new policy was a litmus test of public opinion",I used the test as a litmus test to check the acidity of the soil,"in the chemistry lab, the new policy was a litmus test to determine the acidity of a solution",0.0,ambiguous : figurative : literal,ambiguous,figurative,literal,someone's decision or opinion about something that suggests what they think about a wider range of related things,False,True,False
"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a lot on my plate,I have a lot on my plate,having a lot on the plate,I have a lot on my plate with all the tasks I have to do for work,"juggling multiple projects at work, she was having a lot on the plate these days",I have a lot on my plate because I loaded it up,"at the potluck dinner, he was having a lot on the plate after trying a bit of everything",1.0,ambiguous : figurative : literal,ambiguous,figurative,literal,to have so many things to do at one time,False,True,False
"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,a needle in a haystack,"It's like a needle in a haystack"" ",finding a needle in a haystack,It's like a needle in a haystack trying to find a way to resolve this issue,locating the right document in the archive was like finding a needle in a haystack,It's like a needle in a haystack since I'm looking for a physical needle among the hay bales,"the farmer accidentally dropped his sewing needle, and it became a challenge of finding a needle in a haystack",0.0,figurative : figurative : literal,figurative,figurative,literal,something very small amidst something very big,False,False,False
