idiom,meaning,intended_ambiguous,intended_figurative,intended_literal,num_reprompt,pron_converted,intended_ambiguous_old,intended_figurative_old,intended_literal_old,annotations_ambiguous_old,annotations_figurative_old,annotations_literal_old,well_formed_old,maxvote_id_old,maxvote_ambiguous_old,maxvote_figurative_old,maxvote_literal_old
a bed of roses,easy option,life is not always a bed of roses,"despite the challenges, she learned that life is not always a bed of roses","while visiting the botanical garden, she noticed that life is not always a bed of roses, as there were various other flowers",0,False,It's not a bed of roses,It's not a bed of roses trying to rebuild our relationship,It's not a bed of roses because we used cotton sheets instead,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a bird in the hand,a possession that is worthy,a bird in the hand,"he decided to accept the job offer, believing that a bird in the hand is worth two in the bush","holding a bird in the hand, she carefully examined its feathers",0,False,There's a bird in his hand,There's a bird in his hand because he's considering the potential he might have if he holds on,There's a bird in his hand because he caught it,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a cuckoo in the nest,an unwelcome intruder in a place or situation.,found a cuckoo in the nest,"when the new employee started causing problems, they realized they had found a cuckoo in the nest","while observing the bird's nest, the ornithologist found a cuckoo in the nest",0,False,He was a cuckoo in the nest,He was a cuckoo in the nest because he had different views from the team,He was a cuckoo in the nest as he sneaked his way in,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'figurative', 'figurative']",False,ambiguous : figurative : figurative,ambiguous,figurative,figurative
a damp squib,an event which people think will be exciting but which is disappointing when it happens.,turned out to be a damp squib,the highly anticipated party turned out to be a damp squib due to poor planning,the firework turned out to be a damp squib when it failed to ignite in the rain,0,False,The event was a damp squib,The event was a damp squib as it failed to live up to expectations,The event was a damp squib because it was constantly disrupted by rain,"['figurative', 'figurative', 'figurative']","['ambiguous', 'figurative', 'figurative']","['figurative', 'ambiguous', 'ambiguous']",False,figurative : figurative : ambiguous,figurative,figurative,ambiguous
a good man is hard to find,This proverb refers to women who are looking for suitable alliances but aren't able to find them.,a good man is hard to find,"in today's world, a good man is hard to find for a long-lasting relationship","in the crowded shopping mall, a good man is hard to find when you're looking for your friend",0,False,It's a good man that's hard to find.,It's a good man that's hard to find nowadays since trust and kindness seem to be lacking,It's a good man that's hard to find since he's been missing for many days,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a hard nut to crack,a problem that is difficult to solve,a hard nut to crack,the mysterious case was a hard nut to crack for the detective,the thick shell made the walnut a hard nut to crack with bare hands,0,False,He's a hard nut to crack,He's a hard nut to crack and no one has been able to bring him out of his shell,He's a hard nut to crack and a hammer couldn't break it open,"['figurative', 'ambiguous', 'figurative']","['literal', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
a litmus test,someone's decision or opinion about something that suggests what they think about a wider range of related things,the new policy was a litmus test,"for the government, the new policy was a litmus test of public opinion","in the chemistry lab, the new policy was a litmus test to determine the acidity of a solution",0,False,I used the test as a litmus test,I used the test as a litmus test to determine whether I should invest in this business scheme,I used the test as a litmus test to check the acidity of the soil,"['literal', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'literal']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a lot on my plate,to have so many things to do at one time,was having a lot on the plate,"juggling multiple projects at work, she was having a lot on the plate these days","at the potluck dinner, he was having a lot on the plate after trying a bit of everything",1,True,I have a lot on my plate,I have a lot on my plate with all the tasks I have to do for work,I have a lot on my plate because I loaded it up,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a needle in a haystack,something very small amidst something very big,finding a needle in a haystack,locating the right document in the archive was like finding a needle in a haystack,"the farmer accidentally dropped his sewing needle, and it became a challenge of finding a needle in a haystack",0,False,"It's like a needle in a haystack"" ",It's like a needle in a haystack trying to find a way to resolve this issue,It's like a needle in a haystack since I'm looking for a physical needle among the hay bales,"['figurative', 'ambiguous', 'figurative']","['figurative', 'figurative', 'figurative']","['literal', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
a piece of cake,very easy task,she found it a piece of cake,she found it a piece of cake to solve the complex math problem,"searching through the bakery, she found it a piece of cake on the shelf",0,False,It's a piece of cake,It's a piece of cake for me to get the job done,I'm going to have a piece of cake for dessert,"['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'ambiguous', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a roof over your head,a place to live,having a roof over your head,finding a job is essential for having a roof over your head,"during the rainstorm, having a roof over your head kept you dry",0,False,He has a roof over his head,"He has a roof over his head, meaning he has a place to stay and someone to rely on","He has a roof over his head, literally providing a cover from the rain","['ambiguous', 'ambiguous', 'ambiguous']","['figurative', 'literal', 'figurative']","['literal', 'literal', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a screw loose,someone who behaves in a strange way and seem slightly mentally ill,has a screw loose,he has a screw loose if he thinks he can quit his job without consequences,the wobbly table has a screw loose and needs to be fixed,0,False,I think he has a screw loose,I think he has a screw loose because of the outrageous things he does,I think he has a screw loose because the machine is malfunctioning,"['figurative', 'ambiguous', 'ambiguous']","['figurative', 'figurative', 'figurative']","['literal', 'figurative', 'literal']",True,ambiguous : figurative : literal,ambiguous,figurative,literal
a storm is brewing,"there is going to be trouble, probably with outbursts of anger or emotion",a storm is brewing in the distance,"with the tension between the two groups, a storm is brewing in the distance","dark clouds are gathering, and a storm is brewing in the distance",0,False,A storm is brewing,A storm is brewing; it's only a matter of time before everything starts to fall apart,A storm is brewing; rain clouds have been gathering in the sky,"['figurative', 'ambiguous', 'ambiguous']","['ambiguous', 'figurative', 'ambiguous']","['literal', 'literal', 'literal']",False,ambiguous : ambiguous : literal,ambiguous,ambiguous,literal
a trip to the sun,something which is very unlikely,planned a trip to the sun,he planned a trip to the sun when he decided to pursue his wildest dreams,the science fiction writer planned a trip to the sun for her characters in the novel,0,False,He took a trip to the sun,He took a trip to the sun in order to find new inspiration for his art work,He took a trip to the sun by building a space shuttle,"['figurative', 'figurative', 'ambiguous']","['figurative', 'figurative', 'figurative']","['figurative', 'literal', 'literal']",False,figurative : figurative : literal,figurative,figurative,literal
