model,language_pair,score
gpt,en-de,13.32068311195446
gpt,en-he,14.30740037950664
gpt,en-hi,23.68121442125237
gpt,en-hu,23.14990512333966
gpt,en-ko,26.29981024667932
gpt,en-es,11.72675521821632
gpt,en-yo,18.89943074003795
gpt,en-zh,23.833017077798864
palm,en-de,23.194257514580528
palm,en-he,19.40763834762276
palm,en-hi,25.247148288973385
palm,en-hu,30.14391287436795
palm,en-ko,30.14256619144603
palm,en-es,19.142857142857142
palm,en-yo,15.773470163435958
palm,en-zh,26.76565008025682
google,en-de,11.11954459203036
google,en-he,13.092979127134724
google,en-hi,21.707779886148007
google,en-hu,20.910815939278937
google,en-ko,26.223908918406075
google,en-es,8.500948766603415
google,en-yo,19.772296015180267
google,en-zh,21.74573055028463
opus,en-de,6.9829222011385195
opus,en-he,13.396584440227704
opus,en-hi,23.33965844402277
opus,en-hu,18.937381404174573
opus,en-ko,0.0
opus,en-es,7.514231499051234
opus,en-yo,16.698292220113853
opus,en-zh,20.379506641366223
nllb,en-de,11.385199240986717
nllb,en-he,13.51043643263757
nllb,en-hi,22.656546489563567
nllb,en-hu,21.783681214421257
nllb,en-ko,26.816279954355267
nllb,en-es,8.007590132827325
nllb,en-yo,16.01518026565465
nllb,en-zh,19.962049335863377
