idiom,meaning,source,label,translation_ko,equiv_idiom_ko,discard_ko,translation_zh,equiv_idiom_zh,discard_zh,complete_ko,complete_zh
Achilles heel,a vulnerable spot or weakness,"Despite his intelligence, procrastination was [[his Achilles heel]]",figurative,,True,False,尽管他很聪明，拖延是他的[[致命弱点]],False,False,True,True
Achilles heel,a vulnerable spot or weakness,"During the anatomy class, we studied [[his Achilles heel]] and its function",literal,,True,False,在解剖课上，我们研究了[[他的跟腱]]及其作用,False,False,True,True
a bird in the hand,a possession that is worthy,"He decided to accept the job offer, believing that [[a bird in the hand]] is worth two in the bush",figurative,그는 [[더 많은 것을 얻기 위해 노력하는 것보다 이미 가진 것에 만족하는 것이 더 낫다는]] 생각으로 채용 제안을 받아들이기로 결정했습니다.,False,False,他决定接受这份工作，相信[[看得见摸得着的]]，知足常乐,False,False,True,True
a bird in the hand,a possession that is worthy,"Holding [[a bird in the hand]], she carefully examined its feathers",literal,그녀는 [[손에 새]]를 쥔 채로 조심스럽게 새의 깃털을 살펴보았습니다.,False,False,她把[[一只鸟拿在手里]]，仔细检查它的羽毛,False,False,True,True
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"When the new employee started causing problems, they realized they had [[found a cuckoo in the nest]]",figurative,새 직원이 문제를 일으키기 시작하자 그들은 [[침입자를 찾았는 것]]을 깨달았습니다.,False,False,当新员工开始制造麻烦时，他们才发现被[[鸠占鹊巢]]了,False,False,True,True
a cuckoo in the nest,an unwelcome intruder in a place or situation.,"While observing the bird's nest, the ornithologist [[found a cuckoo in the nest]]",literal,새의 둥지를 살펴보다가 조류학자는 [[둥지에서 뻐꾸기를 발견했습니다]].,False,False,鸟类学家在观察鸟巢时，在巢中发现了一只[[杜鹃鸟]],False,False,True,True
a hard nut to crack,a problem that is difficult to solve,The mysterious case was [[a hard nut to crack]] for the detective,figurative,그 신비한 사건은 탑정에겐 [[풀리지 않는 난제]]였습니다.,False,False,这神秘案件对侦探是个[[难啃的硬骨头]],False,False,True,True
a hard nut to crack,a problem that is difficult to solve,The thick shell made the walnut [[a hard nut to crack]] with bare hands,literal,두꺼운 껍질은 그 호두를 맨손으로 [[까기는 어려운 견과]]로 만들었습니다.,False,False,厚实的外壳让核桃[[难以被徒手打开]],False,False,True,True
a lot on my plate,to have so many things to do at one time,"Juggling multiple projects at work, she [[was having a lot on the plate]] these days",figurative,여러 프로젝트를 동시에 감행하면서 요즘 그녀는 [[해야 할 일이 많았습니다]].,False,False,她在工作中兼顾多个项目，这几天[[忙得不可开交]],False,False,True,True
a lot on my plate,to have so many things to do at one time,"At the potluck dinner, he [[was having a lot on the plate]] after trying a bit of everything",literal,저녁 포틀럭 파티에서 가지각색의 요리를 전부 조금씩 시도한 그의 [[접시에는 많은 것이 담겨 있었습니다]].,False,False,在餐会上，他每样菜都试了一些，[[在盘子里盛了很多]],False,False,True,True
